Maison des associations;Date;Heure de d‚but;Heure de fin;Activit‚;Type de r‚servation;Association
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;11/06/2019;14H00;18H00;ORGANISME PUBLIC;PERMANENCE;MAIRIE DE NICE ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;11/06/2019;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;INSTITUT PERICLES - DELEGATION DPTALE DE LA COMMISSION DE LA RESERVE MILITAIRE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;11/06/2019;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;AMICALE DES TRANSMISSIONS ET DU GENIE DE LA COTE D'AZUR
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;11/06/2019;15H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;AMICALE DES SOUS MARINIERS DE NICE - COTE D'AZUR AGASM SECTION PEGASE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;11/06/2019;15H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;ANSORAA - ASSOCIATION NATIONALE DES SOUS-OFFICIERS DE RESERVE DE L'ARMEE DE L'AIR -SECTION AM
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;11/06/2019;15H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;FNAME-OPEX 06 - FEDERATION NATIONALE DES ANCIENS DES MISSIONS EXTERIEURES DPT 06
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;11/06/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;AMICALE DES SOUS OFFICIERS DE LA BA 943
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;11/06/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;AMICALE DES PORTE-DRAPEAUX DES ALPES MARITIMES NICE MONACO
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/06/2019;10H00;12H00;ORGANISME PUBLIC;PERMANENCE;MAIRIE DE NICE ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/06/2019;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;UADIF06 - UNION DES ANCIENS DEPORTES, INTERNES ET FAMILLES 06
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/06/2019;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;INSTITUT PERICLES - DELEGATION DPTALE DE LA COMMISSION DE LA RESERVE MILITAIRE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/06/2019;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;LE SOUVENIR FRANCAIS DELEGATION DEPARTEMENTALE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/06/2019;10H00;12H00;AFFAIRES MILITAIRES;REUNION;SMLH - SOCIETE DES MEMBRES DE LA LEGION D'HONNEUR - SECTION DES A.M.
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/06/2019;14H00;18H00;ORGANISME PUBLIC;PERMANENCE;MAIRIE DE NICE ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/06/2019;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;AMTS - ASSOCIATION MEMOIRE DU TIRAILLEUR SENEGALAIS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/06/2019;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;INSTITUT PERICLES - DELEGATION DPTALE DE LA COMMISSION DE LA RESERVE MILITAIRE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/06/2019;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;AMICALE PATRIOTIQUE ET DES ANCIENS DES TROUPES DE MARINE ET ANCIENS D'OUTRE-MER
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/06/2019;14H00;17H00;AFFAIRES MILITAIRES;COURS;AMTS - ASSOCIATION MEMOIRE DU TIRAILLEUR SENEGALAIS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/06/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;UNPRG NICE - UNION NATIONALE DU PERSONNEL EN RETRAITE DE LA GENDARMERIE - SECTEUR NICE 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/06/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;ASAF 06 - ASSOCIATION DE SOUTIEN A L'ARMEE FRANCAISE DES ALPES MARITIMES
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/06/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;ANORAA - ASSOCIATION NATIONALE DES OFFICIERS DE RESERVE DE L'ARMEE DE L'AIR
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/06/2019;10H00;12H00;ORGANISME PUBLIC;PERMANENCE;MAIRIE DE NICE ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/06/2019;10H00;12H00;AFFAIRES MILITAIRES;REUNION;ANMONM - ASS. NALE DES MEMBRES DE L'ORDRE NATIONAL DU MERITE - Section D‚partementale des AM 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/06/2019;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;INSTITUT PERICLES - DELEGATION DPTALE DE LA COMMISSION DE LA RESERVE MILITAIRE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/06/2019;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;LE SOUVENIR FRANCAIS - COMITE DE NICE - SF
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/06/2019;11H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;AMMAC - AMICALE DES MARINS ET MARINS ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/06/2019;14H00;15H00;AFFAIRES MILITAIRES;PERMANENCE;ARAC06 ASSOCIATION REPUBLICAINE DES ANCIENS COMBATTANTS ET VICTIMES DE GUERRE COMITE DEPARTEMENTAL06
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/06/2019;14H00;18H00;ORGANISME PUBLIC;PERMANENCE;MAIRIE DE NICE ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/06/2019;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;INSTITUT PERICLES - DELEGATION DPTALE DE LA COMMISSION DE LA RESERVE MILITAIRE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/06/2019;15H00;16H00;AFFAIRES MILITAIRES;PERMANENCE;ARAC NICE ASSOCIATION REPUBLICAINE ANCIENS COMBATTANTS ET VICTIMES DE GUERRE NICE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/06/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;AFFAA - ANCIENS DES FORCES FRANCAISES EN ALLEMAGNE ET EN AUTRICHE 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/06/2019;15H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;UNPRG UD06 - UNION NATIONALE DU PERSONNEL EN RETRAITE DE LA GENDARMERIE - UNION DEPARTEMENTALE 06 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/06/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;UNOR CA - UNION DES OFFICIERS DE RESERVE DE LA COTE D'AZUR 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/06/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;UMCA - UNION MEDITERRANEENNE DES COMBATTANTS DE L'AIR ET ANCIENS DE L'ARMEE DE L'AIR
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;14/06/2019;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;SMLH - SOCIETE DES MEMBRES DE LA LEGION D'HONNEUR - SECTION DES A.M.
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;14/06/2019;10H00;12H00;ORGANISME PUBLIC;PERMANENCE;MAIRIE DE NICE ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;14/06/2019;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;INSTITUT PERICLES - DELEGATION DPTALE DE LA COMMISSION DE LA RESERVE MILITAIRE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;14/06/2019;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;SNEMM06 - SOCIETE NATIONALE  D'ENTRAIDE DE LA MEDAILLE MILITAIRE - Union D‚p. des AM et Monaco
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;14/06/2019;14H00;18H00;ORGANISME PUBLIC;PERMANENCE;MAIRIE DE NICE ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;14/06/2019;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;INSTITUT PERICLES - DELEGATION DPTALE DE LA COMMISSION DE LA RESERVE MILITAIRE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;14/06/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;UNSOR - UNION NATIONALE DES SOUS-OFFICIERS EN RETRAITE - SECTION NICE ET BANLIEUE 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;14/06/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;CESEGUMO - CENTRE D'ETUDES SUR LA SECONDE GUERRE MONDIALE 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;14/06/2019;16H00;19H00;AFFAIRES MILITAIRES;PERMANENCE;UNP - UNION NATIONALE DES PARACHUTISTES DE NICE 
GARIBALDI;11/06/2019;09H00;12H00;SOCIAL;REUNION;ABI 06 - ASSOCIATION AU BENEFICE DE L'INSERTION
GARIBALDI;11/06/2019;09H00;12H00;SANTE;REUNION;ASFC - ASSOCIATION FRANCAISE DU SYNDROME DE FATIGUE CHRONIQUE 
GARIBALDI;11/06/2019;10H00;12H00;ACTIVITE BIEN ETRE;COURS;L'ESPACE DES POSSIBLES
GARIBALDI;11/06/2019;10H00;12H00;SANTE;ATELIER;ANPAA06 - ASSOCIATION NATIONALE DE PREVENTION EN ALCOOLOGIE ET ADDICTOLOGIE -COMITE DES A M   
GARIBALDI;11/06/2019;14H00;17H00;SANTE;REUNION;GROUPEMENT DE PARKINSONIENS DES ALPES-MARITIMES ET PACA - GPAM PACA
GARIBALDI;11/06/2019;14H00;17H00;ORGANISME PUBLIC;REUNION;MAIRIE DE NICE
GARIBALDI;11/06/2019;14H00;17H00;SANTE;REUNION;GROUPEMENT DE PARKINSONIENS DES ALPES-MARITIMES ET PACA - GPAM PACA
GARIBALDI;11/06/2019;17H00;19H00;CHANT;COURS;LES VOIX DE NICE
GARIBALDI;11/06/2019;18H00;20H00;COURS DE LANGUE;COURS;MANABI
GARIBALDI;11/06/2019;18H00;19H00;ACTIVITE BIEN ETRE;COURS;EMM'ESSENTIELS
GARIBALDI;11/06/2019;18H00;19H00;SPORT;COURS;GYMNASTIQUE VOLONTAIRE CORVESY GV CORVESY
GARIBALDI;11/06/2019;19H00;21H00;CULTURE;COURS;ASSOCIATION FRANCE-JAPON - CHAIRE KAWABATA
GARIBALDI;11/06/2019;19H00;21H00;DANSE ;COURS;TIGRE TANGO
GARIBALDI;11/06/2019;19H00;20H00;ACTIVITE BIEN ETRE;COURS;ASSOCIATION POUR L'ART DU MIEUX ETRE
GARIBALDI;11/06/2019;19H00;21H00;CITOYENNETE;REUNION;ESPRIT MOTARD 06
GARIBALDI;12/06/2019;09H00;13H00;ACTIVITE BIEN ETRE;COURS;L'ESPACE DES POSSIBLES
GARIBALDI;12/06/2019;09H00;18H00;SOCIAL;ATELIER;CHRYSALIDES
GARIBALDI;12/06/2019;10H00;12H00;CULTURE;COURS;"ASSOCIATION NICOISE ""CHINE HORIZON"""
GARIBALDI;12/06/2019;10H00;12H00;COURS DE LANGUE;COURS;PLANETE ASIE 
GARIBALDI;12/06/2019;10H00;11H00;CULTURE;ATELIER;BUBULLE
GARIBALDI;12/06/2019;10H00;12H00;SANTE;ATELIER;ASSOCIATION HOSPITALIERE SAINTE MARIE
GARIBALDI;12/06/2019;13H00;18H00;SOCIAL;ATELIER;CHRYSALIDES
GARIBALDI;12/06/2019;13H00;18H00;SOCIAL;ATELIER;CHRYSALIDES
GARIBALDI;12/06/2019;14H00;16H00;COURS DE LANGUE;COURS;INSTITUT CONFUCIUS COTE D'AZUR
GARIBALDI;12/06/2019;16H00;19H00;CHANT;AMPHITHEATRE MISE EN PLACE REGIE;SI RAY SOL
GARIBALDI;12/06/2019;17H00;19H00;DANSE ;COURS;MOUVANCES
GARIBALDI;12/06/2019;18H00;21H00;CHANT;LOGE;SI RAY SOL
GARIBALDI;12/06/2019;18H00;20H00;ACTIVITE BIEN ETRE;COURS;L'ESPACE DES POSSIBLES
GARIBALDI;12/06/2019;19H00;21H00;LOISIRS;PERMANENCE;NIKAIA SOLEX
GARIBALDI;12/06/2019;19H00;21H00;CULTURE;COURS;ASSOCIATION FRANCE-JAPON - CHAIRE KAWABATA
GARIBALDI;12/06/2019;19H00;21H00;CHANT;SPECTACLE;SI RAY SOL
GARIBALDI;13/06/2019;09H00;12H00;CULTURE;REUNION;LES MOTS A LA BOUCHE
GARIBALDI;13/06/2019;09H00;11H00;ACTIVITE BIEN ETRE;COURS;QI GONG & SANTE
GARIBALDI;13/06/2019;10H00;12H00;ACTIVITE BIEN ETRE;COURS;SOPHROLOGIE ET SOI
GARIBALDI;13/06/2019;10H00;11H00;CULTURE;COURS;COLOMBIE COTE D'AZUR CCA
GARIBALDI;13/06/2019;11H00;12H00;CULTURE;COURS;COLOMBIE COTE D'AZUR CCA
GARIBALDI;13/06/2019;11H00;12H00;ACTIVITE BIEN ETRE;COURS;MANGALAM
GARIBALDI;13/06/2019;12H00;14H00;ACTIVITE BIEN ETRE;COURS;EMM'ESSENTIELS
GARIBALDI;13/06/2019;12H00;14H00;ACTIVITE BIEN ETRE;COURS;LA VOIE ZEN GESTION DU STRESS
GARIBALDI;13/06/2019;12H00;13H00;SPORT;COURS;GYMNASTIQUE VOLONTAIRE CORVESY GV CORVESY
GARIBALDI;13/06/2019;13H00;15H00;SOCIAL;REUNION;ASSOCIATION ESPOIR DE VIVRE
GARIBALDI;13/06/2019;13H00;18H00;LOISIRS;ATELIER;NICE TAROT CLUB
GARIBALDI;13/06/2019;14H00;16H00;CULTURE;COURS;COMMUNAUTE GRECQUE DES ALPES-MARITIMES CGDAM
GARIBALDI;13/06/2019;14H00;17H00;SOCIAL;PERMANENCE;UN ENFANT PAR LA MAIN
GARIBALDI;13/06/2019;17H00;18H00;HUMANITAIRE;REUNION;ATDQM - AGIR TOUS POUR LA DIGNITE DU QUART MONDE
GARIBALDI;13/06/2019;18H00;21H00;ECONOMIE;REUNION;LES AMIS DE NICE COOP
GARIBALDI;13/06/2019;18H00;21H00;THEATRE;COURS;LE QUADRANT MAGIQUE
GARIBALDI;13/06/2019;18H00;21H00;ORGANISME PUBLIC;;SVA SERVICE DE LA VIE ASSOCIATIVE
GARIBALDI;13/06/2019;18H00;20H00;COURS DE LANGUE;COURS;MANABI
GARIBALDI;13/06/2019;19H00;21H00;CULTURE;COURS;ASSOCIATION FRANCE-JAPON - CHAIRE KAWABATA
GARIBALDI;14/06/2019;10H00;13H00;DANSE ;COURS;CENTRE DE DANSE LUNE ET ETOILES
GARIBALDI;14/06/2019;10H00;14H00;HANDICAP;REUNION;ASSOCIATION ESPOIR DE VIVRE
GARIBALDI;14/06/2019;10H00;11H00;CULTURE;COURS;COLOMBIE COTE D'AZUR CCA
GARIBALDI;14/06/2019;12H00;13H00;ACTIVITE BIEN ETRE;COURS;ARFEUILLE
GARIBALDI;14/06/2019;12H00;13H00;ACTIVITE BIEN ETRE;COURS;ASSOCIATION POUR L'ART DU MIEUX ETRE
GARIBALDI;14/06/2019;12H00;14H00;SANTE;COURS;SOS CANCER DU SEIN REGION PACA ET CORSE
GARIBALDI;14/06/2019;14H00;16H00;PROXIMITE;REUNION;AMI - ALTERNATIVE DE MEDIATEURS INDEPENDANTS
GARIBALDI;14/06/2019;16H00;18H00;CULTURE;COURS;FRANCE ETATS UNIS NICE
GARIBALDI;14/06/2019;16H00;20H00;THEATRE;AMPHITHEATRE MISE EN PLACE REGIE;LE QUADRANT MAGIQUE
GARIBALDI;14/06/2019;17H00;18H00;THEATRE;COURS;LE QUADRANT MAGIQUE
GARIBALDI;14/06/2019;18H00;21H00;CULTURE;CONFERENCE;CEPPI - CENTRE D'ETUDES PARAPSYCHOLOGIQUES ET DES PHENOMENES INEXPLIQUES
GARIBALDI;14/06/2019;18H00;21H00;THEATRE;COURS;COUR ET JARDIN
GARIBALDI;14/06/2019;18H00;21H00;THEATRE;COURS;COUR ET JARDIN
GARIBALDI;14/06/2019;18H00;21H00;THEATRE;COURS;COUR ET JARDIN
GARIBALDI;14/06/2019;20H00;23H00;THEATRE;SPECTACLE;LE QUADRANT MAGIQUE
GARIBALDI;15/06/2019;10H00;13H00;CULTURE;REUNION;FRANCE RUSSIE
GARIBALDI;15/06/2019;11H00;13H00;ACTIVITE BIEN ETRE;COURS;SHANTI-YOGA
GARIBALDI;15/06/2019;14H00;17H00;CULTURE;REUNION;FRANCE RUSSIE
GARIBALDI;15/06/2019;14H00;16H00;CITOYENNETE;CONFERENCE;ALL HUMANS HAVE RIGHTS
GARIBALDI;15/06/2019;15H00;18H00;SPECTACLE VIVANT;ANIMATION;LA FABRIQUE DES MIRAGES
GARIBALDI;15/06/2019;17H00;18H00;SPECTACLE VIVANT;AMPHITHEATRE MISE EN PLACE REGIE;COUNTA BLABLA
GARIBALDI;15/06/2019;19H00;23H00;THEATRE;SPECTACLE;COUNTA BLABLA
LA LUNA;11/06/2019;10H00;12H00;ACTIVITE BIEN ETRE;COURS;GYM ET BIEN ETRE
LA LUNA;11/06/2019;11H00;13H00;ACTIVITE BIEN ETRE;COURS;EVEIL MASALA
LA LUNA;11/06/2019;14H00;17H00;MUSIQUE;REUNION;ORCHESTRE SYMPHONIQUE EUROPEEN MUSICA E PACE
LA LUNA;11/06/2019;14H00;17H00;COURS DE LANGUE;COURS;DIRECTION DES SENIORS
LA LUNA;11/06/2019;14H00;17H00;CHANT;COURS;SENSATIONS ART CULTURE LOISIRS SPECTACLES
LA LUNA;11/06/2019;17H00;18H00;SPORT;COURS;SENSATIONS ART CULTURE LOISIRS SPECTACLES
LA LUNA;11/06/2019;18H00;20H00;ACTIVITE BIEN ETRE;COURS;YOGA ESSENCE
LA LUNA;11/06/2019;19H00;20H00;ACTIVITE BIEN ETRE;COURS;ASSOCIATION CONNAISSANCES ET TRANSCENDANCE
LA LUNA;11/06/2019;19H00;20H00;DANSE ;COURS;1000 AURAS DANSENT
LA LUNA;12/06/2019;10H00;12H00;MUSIQUE;ATELIER;ARSIS
LA LUNA;12/06/2019;14H00;16H00;ENSEIGNEMENT;COURS;DIRECTION DES SENIORS
LA LUNA;12/06/2019;14H00;16H00;COURS DE LANGUE;COURS;DIRECTION DES SENIORS
LA LUNA;12/06/2019;14H00;18H00;LOISIRS;ANIMATION;PROMO LOISIRS
LA LUNA;12/06/2019;14H00;18H00;LOISIRS;ANIMATION;PROMO LOISIRS
LA LUNA;12/06/2019;15H00;18H00;ECONOMIE;PERMANENCE;JCEMN - JEUNE CHAMBRE ECONOMIQUE METROPOLE NICOISE
LA LUNA;12/06/2019;17H00;20H00;ACTIVITE BIEN ETRE;COURS;OLEA PADMA
LA LUNA;12/06/2019;18H00;20H00;SPECTACLE VIVANT;ATELIER;CELLO MI MUSICA
LA LUNA;12/06/2019;18H00;20H00;JEUNESSE;COURS;LEACTIVNICE
LA LUNA;13/06/2019;09H00;12H00;EMPLOI;REUNION;EGEE 06 - ENTENTE DES GENERATIONS POUR L'EMPLOI ET L'ENTREPRISE
LA LUNA;13/06/2019;09H00;10H00;DANSE ;COURS;1000 AURAS DANSENT
LA LUNA;13/06/2019;10H00;12H00;ACTIVITE BIEN ETRE;COURS;L'ESPACE DES POSSIBLES
LA LUNA;13/06/2019;10H00;12H00;ACTIVITE BIEN ETRE;COURS;GYM ET BIEN ETRE
LA LUNA;13/06/2019;14H00;17H00;SENIORS;ATELIER;DIRECTION DES SENIORS
LA LUNA;13/06/2019;14H00;16H30;DANSE ;OCCUPATION PERMANENTE;DIRECTION DES SENIORS
LA LUNA;13/06/2019;14H00;16H30;DANSE ;OCCUPATION PERMANENTE;DIRECTION DES SENIORS
LA LUNA;13/06/2019;18H00;20H00;CULTURE;COURS;SUN RIVIER'ART
LA LUNA;13/06/2019;18H00;20H00;ACTIVITE BIEN ETRE;COURS;YOGADITI
LA LUNA;13/06/2019;18H00;20H00;DANSE ;COURS;1000 AURAS DANSENT
LA LUNA;14/06/2019;09H00;12H00;INFORMATIQUE;COURS;DIRECTION DES SENIORS
LA LUNA;14/06/2019;10H00;12H00;ACTIVITE BIEN ETRE;COURS;OLEA PADMA
LA LUNA;14/06/2019;10H00;13H00;ACTIVITE BIEN ETRE;COURS;SESAME
LA LUNA;14/06/2019;14H00;16H00;CHANT;COURS;DIRECTION DES SENIORS
LA LUNA;14/06/2019;16H00;18H00;CHANT;COURS;DIRECTION DES SENIORS
LA LUNA;14/06/2019;17H00;18H00;MUSIQUE;COURS;ARSIS
LA LUNA;14/06/2019;18H00;20H00;DANSE ;COURS;CENTRE DE DANSE LUNE ET ETOILES
LA LUNA;14/06/2019;19H00;20H00;CULTURE;COURS;SUN RIVIER'ART
LA LUNA;15/06/2019;10H00;12H00;CULTURE;COURS;SUN RIVIER'ART
LA LUNA;15/06/2019;10H00;12H00;COURS DE LANGUE;COURS;PLANETE ASIE 
LA LUNA;15/06/2019;10H00;12H00;COURS DE LANGUE;COURS;ASSOCIATION PASSERELLE FRANCO JAPONAIS
LA LUNA;15/06/2019;14H00;18H00;ACTIVITE BIEN ETRE;ATELIER;SESAME
LA LUNA;15/06/2019;15H00;17H00;CULTURE;ATELIER;ATELIER DU CINEMA FRANCO-RUSSE MARIA
LIBERATION;15/06/2019;10H00;13H00;ORGANISME PUBLIC;REUNION;DIRECTION  DE LA CULTURE - BIBLIOTHEQUES
NICE-CENTRE;11/06/2019;09H00;14H00;ORGANISME PUBLIC;REUNION;SVA SERVICE DE LA VIE ASSOCIATIVE
NICE-CENTRE;11/06/2019;16H00;18H00;SOCIAL;PERMANENCE;AS3P - ASSOCIATION DE SUIVI PSYCHOLOGIQUE POST-PENAL  
NICE-CENTRE;11/06/2019;17H00;19H00;DANSE ;COURS;CENTRE DE DANSE LUNE ET ETOILES
NICE-CENTRE;12/06/2019;09H00;12H00;SOCIAL;PERMANENCE;ABI 06 - ASSOCIATION AU BENEFICE DE L'INSERTION
NICE-CENTRE;12/06/2019;09H00;12H00;COURS DE LANGUE;COURS;INSTITUT CONFUCIUS COTE D'AZUR
NICE-CENTRE;12/06/2019;11H00;12H00;CULTURE;COURS;COLOMBIE COTE D'AZUR CCA
