SITE;APPLICATION;ANNEE;MOIS;PREMIERE_VISITE;DERNIERE_VISITE;NB_VISITEURS;NB_VISITE;MOY_VISITEURS_VISITE;PAGES;MOY_PAGES_VISITE;HITS;MOY_HITS_VISITE;VOL_BANDEPASSANTE;MOY_BANDEPASSANTE_VISITE
peche.agriculture.gouv.fr_sip_dcf;sip_dcf;2016;Décembre;12 Dec 2016 - 17:23;12 Dec 2016 - 18:43;2;3;1,50;80;26,67;213;71,00;4,09;1396,00
peche.agriculture.gouv.fr_telesisaap;telesisaap;2016;Décembre;NA;30 Dec 2016 - 14:05;10;16;1,60;5566;347,88;5890;368,12;9,86;630,81
peche.national.agri;;2016;Décembre;01 Dec 2016 - 05:09;30 Dec 2016 - 19:12;27;184;6,81;104194;566,27;187284;1017,85;1649,95;9182,32
peche.national.agri_ersweb;ersweb;2016;Décembre;01 Dec 2016 - 13:01;29 Dec 2016 - 17:00;2;61;30,50;1425;23,36;6415;105,16;67,53;1133,57
peche.national.agri_sisaap;sisaap;2016;Décembre;01 Dec 2016 - 08:23;30 Dec 2016 - 11:12;2;52;26,00;12213;234,87;34170;657,12;782,50;15409,27
perf.national.agri;;2016;Décembre;01 Dec 2016 - 00:00;31 Dec 2016 - 23:58;58;265;4,57;35225;132,92;98221;370,65;1055,33;4077,97
perf.national.agri_nomade;nomade;2016;Décembre;01 Dec 2016 - 10:18;30 Dec 2016 - 17:17;43;210;4,88;1253;5,97;18126;86,31;44,66;217,79
perf.national.agri_nomade-pentaho;nomade-pentaho;2016;Décembre;01 Dec 2016 - 10:05;30 Dec 2016 - 15:51;28;104;3,71;12143;116,76;25433;244,55;440,03;4332,64
perf.national.agri_nomade_admin;nomade_admin;2016;Décembre;01 Dec 2016 - 11:14;29 Dec 2016 - 14:42;10;31;3,10;641;20,68;2162;69,74;18,92;624,97
perf.national.agri_nomade_dico;nomade_dico;2016;Décembre;01 Dec 2016 - 10:19;29 Dec 2016 - 14:46;14;55;3,93;1824;33,16;6533;118,78;54,59;1016,38
perf.national.agri_nomade_dnci;nomade_dnci;2016;Décembre;01 Dec 2016 - 11:13;30 Dec 2016 - 09:19;10;45;4,50;325;7,22;3773;83,84;17,01;387,00
perf.national.agri_nomade_vc;nomade_vc;2016;Décembre;01 Dec 2016 - 10:51;30 Dec 2016 - 17:36;33;163;4,94;12353;75,79;29107;178,57;286,39;1799,15
perf.national.agri_p3-pentaho;p3-pentaho;2016;Décembre;01 Dec 2016 - 00:00;31 Dec 2016 - 23:58;7;22;3,14;3856;175,27;4459;202,68;125,68;5849,68
perf.national.agri_valse_bi;valse_bi;2016;Décembre;NA;29 Dec 2016 - 11:42;13;32;2,46;2830;88,44;8628;269,62;68,05;2177,62
portail.agricoll.agriculture.gouv.fr;;2016;Décembre;01 Dec 2016 - 00:00;31 Dec 2016 - 23:49;8451;28851;3,41;159903;5,54;439046;15,22;2201,87;78,15
portail.mercure.agriculture.gouv.fr;;2016;Décembre;01 Dec 2016 - 00:00;31 Dec 2016 - 21:52;234;9437;40,33;54229;5,75;180178;19,09;1365,99;148,22
propluvia.developpement-durable.gouv.fr;;2016;Décembre;01 Dec 2016 - 03:29;31 Dec 2016 - 23:55;1725;3769;2,18;27193;7,21;177714;47,15;1490,99;405,09
proxyvip.national.agri;;2016;Décembre;01 Dec 2016 - 07:15;31 Dec 2016 - 16:31;677;7884;11,65;9265;1,18;45609;5,79;593,66;77,11
pssi.national.agri;;2016;Décembre;02 Dec 2016 - 09:26;30 Dec 2016 - 10:46;15;19;1,27;108;5,68;460;24,21;8,47;456,74
reports.forge.agriculture;;2016;Décembre;01 Dec 2016 - 08:46;30 Dec 2016 - 16:07;80;351;4,39;4079;11,62;22260;63,42;782,14;2281,79
scm.forge.national.agri;;2016;Décembre;01 Dec 2016 - 03:00;31 Dec 2016 - 22:59;200;3621;18,11;2505837;692,03;3091691;853,82;34247,55;9685,03
service.agriculture;;2016;Décembre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
service.agriculture.gouv.fr;;2016;Décembre;01 Dec 2016 - 09:54;30 Dec 2016 - 10:33;17;47;2,76;853;18,15;3069;65,30;5,44;118,55
service.agriculture.gouv.fr_fco;fco;2016;Décembre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
service.agriculture.gouv.fr_sesam;sesam;2016;Décembre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
signature.national.agri;;2016;Décembre;01 Dec 2016 - 00:45;31 Dec 2016 - 11:06;2;207;103,50;8767;42,35;8767;42,35;4,34;21,48
stats.agriculture.gouv.fr;;2016;Décembre;01 Dec 2016 - 00:10;31 Dec 2016 - 23:53;3330;5798;1,74;184132;31,76;667862;115,19;11213,75;1980,49
stats.agriculture.gouv.fr_calvaabatvol;calvaabatvol;2016;Décembre;02 Dec 2016 - 15:33;29 Dec 2016 - 16:25;3;7;2,33;72;10,29;824;117,71;60,51;8851,86
stats.agriculture.gouv.fr_calvahuile;calvahuile;2016;Décembre;13 Dec 2016 - 13:33;23 Dec 2016 - 10:36;3;3;1,00;16;5,33;265;88,33;1,24;424,67
stats.agriculture.gouv.fr_calvamargarine;calvamargarine;2016;Décembre;12 Dec 2016 - 15:28;23 Dec 2016 - 10:42;3;3;1,00;46;15,33;310;103,33;3,43;1170,00
stats.agriculture.gouv.fr_cartostat;cartostat;2016;Décembre;01 Dec 2016 - 01:43;31 Dec 2016 - 23:53;766;1049;1,37;16764;15,98;40493;38,60;1440,72;1406,39
stats.agriculture.gouv.fr_decoupe;decoupe;2016;Décembre;01 Dec 2016 - 17:19;29 Dec 2016 - 15:11;10;21;2,10;283;13,48;1313;62,52;10,92;532,48
stats.agriculture.gouv.fr_disar;disar;2016;Décembre;01 Dec 2016 - 00:10;31 Dec 2016 - 21:16;1798;2846;1,58;84898;29,83;330011;115,96;3499,03;1258,96
stats.agriculture.gouv.fr_eal;eal;2016;Décembre;01 Dec 2016 - 09:08;29 Dec 2016 - 10:58;12;42;3,50;347;8,26;1816;43,24;33,37;813,55
stats.agriculture.gouv.fr_emlcollecte;emlcollecte;2016;Décembre;01 Dec 2016 - 09:28;30 Dec 2016 - 14:10;166;387;2,33;12907;33,35;48295;124,79;1738,37;4599,73
stats.agriculture.gouv.fr_emlestim;emlestim;2016;Décembre;02 Dec 2016 - 08:27;27 Dec 2016 - 09:13;4;25;6,25;365;14,60;1592;63,68;127,52;5223,40
stats.agriculture.gouv.fr_epcia;epcia;2016;Décembre;01 Dec 2016 - 07:51;31 Dec 2016 - 07:35;154;307;1,99;7676;25,00;43559;141,89;2153,87;7184,24
stats.agriculture.gouv.fr_epciaref;epciaref;2016;Décembre;01 Dec 2016 - 09:37;29 Dec 2016 - 09:58;12;60;5,00;1580;26,33;3323;55,38;55,72;951,00
stats.agriculture.gouv.fr_mpaa;mpaa;2016;Décembre;NA;16 Dec 2016 - 11:43;5;20;4,00;1344;67,20;2775;138,75;60,64;3104,80
stats.agriculture.gouv.fr_opagreg;opagreg;2016;Décembre;01 Dec 2016 - 14:39;23 Dec 2016 - 10:34;1;9;9,00;353;39,22;545;60,56;35,80;4073,78
stats.agriculture.gouv.fr_prixgrumes;prixgrumes;2016;Décembre;NA;31 Dec 2016 - 15:24;14;26;1,86;331;12,73;1433;55,12;22,90;902,12
stats.agriculture.gouv.fr_prodcom;prodcom;2016;Décembre;NA;20 Dec 2016 - 15:57;7;11;1,57;69;6,27;912;82,91;5,70;530,64
stats.agriculture.gouv.fr_prodcomadepale;prodcomadepale;2016;Décembre;01 Dec 2016 - 11:27;14 Dec 2016 - 14:40;7;10;1,43;88;8,80;999;99,90;10,58;1083,70
stats.agriculture.gouv.fr_prodcomalliance7;prodcomalliance7;2016;Décembre;01 Dec 2016 - 09:18;09 Dec 2016 - 18:30;4;12;3,00;89;7,42;548;45,67;6,35;541,83
stats.agriculture.gouv.fr_prodcomcnva;prodcomcnva;2016;Décembre;NA;13 Dec 2016 - 12:26;2;3;1,50;32;10,67;220;73,33;1,53;523,00
stats.agriculture.gouv.fr_prodcomcoopdeshy;prodcomcoopdeshy;2016;Décembre;NA;21 Dec 2016 - 11:05;2;5;2,50;45;9,00;345;69,00;2,15;440,60
stats.agriculture.gouv.fr_prodcomfam;prodcomfam;2016;Décembre;NA;14 Dec 2016 - 15:19;1;2;2,00;10;5,00;142;71,00;0,32;164,00
