insee_com,postal_code,nom_comm,nom_dept,nom_region,statut,z_moyen,superficie,population,lat,lon,geo_shape,id_geofla,code_comm,code_cant,code_arr,code_dept,code_reg
33201,33550,HAUX,GIRONDE,AQUITAINE,Commune simple,61.0,1053.0,0.8,44.7364762745, -0.365775340015,"{""type"": ""Polygon""; ""coordinates"": [[[-0.385184376658125; 44.71864756864342]; [-0.383917759735794; 44.72868875873767]; [-0.388182353758748; 44.73023440967703]; [-0.392751781751644; 44.742908542654064]; [-0.383424532813803; 44.74108530190695]; [-0.352074330905067; 44.758367036843325]; [-0.344553789267225; 44.757594150785415]; [-0.347346818619487; 44.75288705600705]; [-0.345326609030963; 44.7431620283931]; [-0.351918000176511; 44.72158837701197]; [-0.385184376658125; 44.71864756864342]]]}",8183,201.0,23,2,33,72
33173,33570,FRANCS,GIRONDE,AQUITAINE,Commune simple,61.0,661.0,0.2,44.942978361, -0.00064276030543,"{""type"": ""Polygon""; ""coordinates"": [[[0.018211644309914; 44.9280292463143]; [-0.009928036450463; 44.92818046972275]; [-0.016969810910391; 44.932233246826485]; [-0.010442064318948; 44.93987970068107]; [-0.01779942000106; 44.94764513743869]; [-0.009525432975291; 44.94974360937297]; [-0.002167322484147; 44.95781746939948]; [-0.004268500194269; 44.96718533919573]; [0.009230298216758; 44.96277392470013]; [0.005113831704019; 44.94623767536696]; [0.018211644309914; 44.9280292463143]]]}",15957,173.0,31,5,33,72
33545,33180,VERTHEUIL,GIRONDE,AQUITAINE,Commune simple,17.0,2181.0,1.2,45.2541334712, -0.845409908523,"{""type"": ""Polygon""; ""coordinates"": [[[-0.815908649730563; 45.242346104511434]; [-0.848002844177379; 45.23497049873848]; [-0.862448373560999; 45.23721235483994]; [-0.881485295766475; 45.23372153146569]; [-0.885445848662225; 45.2358105393713]; [-0.891980103571562; 45.24496783747803]; [-0.884699386267792; 45.25347923452489]; [-0.860081580094006; 45.269000180382115]; [-0.832439858439164; 45.274359985411486]; [-0.807124867212177; 45.275721114183504]; [-0.802925863331914; 45.26601994387067]; [-0.81282302681065; 45.25469358061397]; [-0.811230457582776; 45.24820318682374]; [-0.815908649730563; 45.242346104511434]]]}",36485,545.0,33,4,33,72
33213,33650,LA BREDE,GIRONDE,AQUITAINE,Chef-lieu canton,40.0,2319.0,3.8,44.6801130358, -0.53691849986,"{""type"": ""Polygon""; ""coordinates"": [[[-0.503553212117898; 44.66208307709907]; [-0.522049389405836; 44.66386551420135]; [-0.537898164987743; 44.656853027062056]; [-0.545384892434405; 44.66085775461876]; [-0.558983515397001; 44.670640357716806]; [-0.571906946344489; 44.675279399885696]; [-0.577432376356672; 44.68471665683295]; [-0.591718919138655; 44.68510079591184]; [-0.594300674446798; 44.69150569028937]; [-0.592746501650254; 44.69189864059762]; [-0.579987180714344; 44.69668317593904]; [-0.546542980919488; 44.6986975973351]; [-0.528503346766514; 44.693110291864066]; [-0.50905624079936; 44.692241921210204]; [-0.499309169349629; 44.68624249153506]; [-0.491084211838301; 44.68601575639831]; [-0.486942861864297; 44.68054116777519]; [-0.495657554585711; 44.66547802625879]; [-0.503553212117898; 44.66208307709907]]]}",24857,213.0,27,2,33,72
33266,33620,MARCENAIS,GIRONDE,AQUITAINE,Commune simple,43.0,915.0,0.7,45.0595596341, -0.344873421107,"{""type"": ""Polygon""; ""coordinates"": [[[-0.338190104069132; 45.043875051571106]; [-0.350592034730956; 45.045917646074486]; [-0.362412441231281; 45.04736363606388]; [-0.364912887571504; 45.054272422307875]; [-0.35422332480894; 45.08167616788631]; [-0.353486006839087; 45.082320201099215]; [-0.334585571789397; 45.0704150502022]; [-0.31966693978658; 45.049836089293706]; [-0.338190104069132; 45.043875051571106]]]}",14361,266.0,44,1,33,72
33021,33124,AUROS,GIRONDE,AQUITAINE,Chef-lieu canton,65.0,1523.0,0.9,44.5076532706, -0.163740689311,"{""type"": ""Polygon""; ""coordinates"": [[[-0.117707200303206; 44.49059760691246]; [-0.124755683156399; 44.48628087975235]; [-0.147982345564269; 44.49047609800622]; [-0.157275158007659; 44.48920133018628]; [-0.175748529238508; 44.491391590165826]; [-0.178701347086819; 44.5011448077696]; [-0.188273814212274; 44.50814814582327]; [-0.191215573182953; 44.517874476595075]; [-0.199756115830212; 44.520591223951875]; [-0.200606464731128; 44.537369583799126]; [-0.186475014467167; 44.53249894207374]; [-0.183101293345732; 44.53141606902505]; [-0.162117671543573; 44.51792864333654]; [-0.158566108858336; 44.511840926770695]; [-0.130902209828199; 44.50998996400243]; [-0.129799688959691; 44.496002871829226]; [-0.117707200303206; 44.49059760691246]]]}",33400,21.0,3,3,33,72
33517,33460,SOUSSANS,GIRONDE,AQUITAINE,Commune simple,9.0,1563.0,1.5,45.0563042075, -0.697907697302,"{""type"": ""Polygon""; ""coordinates"": [[[-0.711379178643551; 45.031560141972626]; [-0.720657531481567; 45.03116015117892]; [-0.72338154747129; 45.03389036812945]; [-0.723363675951372; 45.05043141521819]; [-0.732863091589854; 45.06129956663651]; [-0.728699431190388; 45.06275512852402]; [-0.719090547848639; 45.064383537140436]; [-0.703226522368256; 45.07259209391417]; [-0.683826770232559; 45.07451550527114]; [-0.676231154427672; 45.078948867113965]; [-0.666603196564826; 45.071036807147586]; [-0.659095312027483; 45.064577660558925]; [-0.653093048651261; 45.05914129183701]; [-0.656902341270203; 45.057105359606396]; [-0.665425141460011; 45.06005194061493]; [-0.669857620421704; 45.05879724464554]; [-0.689328834623586; 45.04916701658255]; [-0.697637096841447; 45.03731769796189]; [-0.698952949284243; 45.034146207644035]; [-0.711379178643551; 45.031560141972626]]]}",4159,517.0,20,4,33,72
33011,33740,ARES,GIRONDE,AQUITAINE,Commune simple,21.0,4899.0,5.5,44.7952271583, -1.07883221151,"{""type"": ""Polygon""; ""coordinates"": [[[-1.116328702483808; 44.756408982750266]; [-1.128248892842233; 44.751430447380315]; [-1.150352704581173; 44.764127273556]; [-1.161932908153921; 44.77490806135456]; [-1.148149865451257; 44.778688770628946]; [-1.13853752141651; 44.790651320635206]; [-1.050538540839765; 44.82316644788952]; [-1.040599457539186; 44.8484018266051]; [-1.006743750508514; 44.82984239605628]; [-1.02621306556027; 44.79713400632449]; [-1.040930874105862; 44.782778298881055]; [-1.082417960947477; 44.77415315615348]; [-1.099490634493972; 44.768068324062]; [-1.116328702483808; 44.756408982750266]]]}",27991,11.0,2,6,33,72
33439,33620,SAINT-MARIENS,GIRONDE,AQUITAINE,Commune simple,60.0,1202.0,1.5,45.1211853951, -0.40505275637,"{""type"": ""Polygon""; ""coordinates"": [[[-0.42914805648587; 45.104899953042654]; [-0.432760855752992; 45.11709982170948]; [-0.441366854854019; 45.118564841435415]; [-0.433286923713967; 45.12172507839619]; [-0.42495876856907; 45.133310029648676]; [-0.410631618349867; 45.13180255690434]; [-0.387070559822493; 45.13778407653745]; [-0.384296251757604; 45.14075227136857]; [-0.377412517541033; 45.12483798794078]; [-0.377534419508738; 45.114641415759465]; [-0.392416914038192; 45.1081962096724]; [-0.401173485295666; 45.107577814074055]; [-0.415652718540074; 45.1089734844695]; [-0.42914805648587; 45.104899953042654]]]}",23428,439.0,44,1,33,72
33235,33690,LAVAZAN,GIRONDE,AQUITAINE,Commune simple,116.0,899.0,0.2,44.3913358368, -0.115846952236,"{""type"": ""Polygon""; ""coordinates"": [[[-0.131396016196159; 44.37130933242537]; [-0.132034473933428; 44.4001012598089]; [-0.115089135856325; 44.40386127330075]; [-0.112703983676673; 44.41578431671409]; [-0.096825752711922; 44.408376402098995]; [-0.097066867763179; 44.40818944539081]; [-0.101446983716008; 44.40670582622624]; [-0.096428360125575; 44.39744201172193]; [-0.104290402899779; 44.38867132788951]; [-0.110769903774073; 44.37193045004493]; [-0.131396016196159; 44.37130933242537]]]}",29198,235.0,25,3,33,72
