FID,sous_type,iden,shape
odt_det_pdipr.931,Boucle locale,445,"MULTILINESTRING ((-0.5242925219999393 45.05766420500004, -0.5243760109999585 45.05780606900004, -0.5249304109999571 45.05821481500004, -0.5254580659999419 45.058597243000065, -0.525523843999963 45.05913561700004, -0.5259652429999733 45.05932224500003, -0.5259505069999477 45.05952965400007, -0.525815869999974 45.05987517600005, -0.5257677049999643 45.060173460000044, -0.5259346979999577 45.060457186000065, -0.5268913769999699 45.061278591000075, -0.5264225399999418 45.06129970200004, -0.5260189719999744 45.06135513000004, -0.5255556799999681 45.06148411000004, -0.5251820979999593 45.06162877300005, -0.5248747059999346 45.06182573400008, -0.5244845289999489 45.06214184600003, -0.5242061949999766 45.06241006400006, -0.52398136599993 45.06273090800005, -0.5235492499999737 45.06371418800006, -0.5240098309999439 45.06402634800003, -0.5245386689999805 45.06418372300004, -0.5249720409999554 45.064460576000045, -0.5252834009999674 45.06458755600005, -0.526206651999928 45.06500477800006, -0.5264949599999795 45.06517735600005, -0.5251290189999622 45.06603173700006, -0.5241285909999647 45.06683166200003, -0.5247847689999503 45.06699475100004, -0.5249819759999355 45.06712468000006, -0.5249234259999298 45.06746823800006, -0.524615118999975 45.06814228600007, -0.5244084989999465 45.068570676000036, -0.5240077229999542 45.06967016600004, -0.5233306109999489 45.07083079000006, -0.5235082469999384 45.07132127500006, -0.5239893929999653 45.07129086000003, -0.5243868189999716 45.07136161600005, -0.5251786929999298 45.07169222700003, -0.5257657489999588 45.07199211600005, -0.5261068889999478 45.071956304000025, -0.5264692389999368 45.07183893300004, -0.5266638939999666 45.07167188400007, -0.5267171499999677 45.07147248000007, -0.526993005999941 45.07140234800005, -0.5280055759999414 45.07133118400003, -0.5298583849999545 45.07104926300008, -0.5303099839999277 45.070938573000035, -0.5307687139999757 45.07071968100007, -0.5310893839999267 45.071026431000064, -0.5316996979999544 45.071037647000026, -0.5321658339999544 45.070962577000046, -0.5330521579999754 45.06868932300006, -0.5332075079999754 45.068253241000036, -0.5332966469999292 45.06776486600006, -0.5336992039999586 45.067196366000076, -0.5339933209999685 45.06649565400005, -0.5345927209999672 45.06728124400007, -0.5349007079999524 45.067588311000065, -0.5350781359999246 45.06782674900006, -0.5351850199999717 45.06817503000008, -0.5353338339999709 45.06835120100004, -0.5356706089999648 45.068477495000025, -0.5364419359999602 45.06865553700004, -0.5371489139999426 45.068817239000055, -0.5382528569999749 45.06904065300006, -0.5389072439999723 45.06916770300006, -0.5395939729999668 45.069428929000026, -0.540899374999924 45.06986312300006, -0.5415725059999659 45.07010668700008, -0.5423565599999733 45.07028435900003, -0.542823010999939 45.070461273000035, -0.5433716249999634 45.070753068000045, -0.5438868399999706 45.071135740000045, -0.5442612449999729 45.07125203000004, -0.5451402959999427 45.071301196000036, -0.5458274309999638 45.07083326700007, -0.5463156579999691 45.070694555000046, -0.5467967869999484 45.070664039000064, -0.5472059909999416 45.07071640600003, -0.5473395899999787 45.07035287800005, -0.5480922389999705 45.07041430800007, -0.5484859609999262 45.070413065000025, -0.5490018789999453 45.07031862600007, -0.5492927189999364 45.07029305300006, -0.5500444349999611 45.07033649200008, -0.551215339999942 45.07013497400004, -0.5521452109999245 45.06993972300006, -0.5528288309999425 45.06989490400008, -0.5533198339999785 45.069810096000026, -0.5539639949999469 45.06973929500003, -0.5545790479999368 45.06959723800003))"
odt_det_pdipr.932,Boucle locale,446,"MULTILINESTRING ((-0.493189134999966 45.03488892900003, -0.4928549439999301 45.03480745400003, -0.4923373279999623 45.03461364700007, -0.491538521999928 45.03438201200004, -0.4926503229999639 45.032778456000074, -0.4921105669999406 45.032648221000045))"
odt_det_pdipr.933,Boucle locale,447,"MULTILINESTRING ((-0.540983295999979 45.06190380700008, -0.5413521909999304 45.06166919800006, -0.5420069009999793 45.06106711600006, -0.5422389229999567 45.06113310000006, -0.5425720839999713 45.060944422000034, -0.542813535999926 45.06094715100005, -0.5432508229999371 45.061052808000056, -0.5430124939999246 45.06135604200006, -0.543567616999951 45.06251178700006, -0.543854658999976 45.06339545600008, -0.5440986639999323 45.06393819500005, -0.5453981509999721 45.064750540000034, -0.5460345829999369 45.06502203400004, -0.5474443129999713 45.065264408000075, -0.5481189209999684 45.06529186200004, -0.547766223999929 45.066084154000066, -0.5477232959999583 45.066481328000066, -0.548330195999938 45.06667256700007, -0.5491804439999441 45.066902474000074, -0.5501298469999369 45.067084787000056, -0.5512863199999742 45.06758574600008, -0.5537657209999338 45.06836725800008, -0.5548706559999346 45.06860848500003))"
odt_det_pdipr.934,Boucle locale,448,"MULTILINESTRING ((-0.5532110329999682 45.05034307600005, -0.5531882999999311 45.05088374600007, -0.5526855419999492 45.05147293700003, -0.5523823249999396 45.052236950000065, -0.5508468309999444 45.052501996000046, -0.548261178999951 45.052596332000064, -0.5477303369999618 45.05387032700003, -0.5471769879999329 45.05397473900007, -0.5470406339999272 45.05428433000003, -0.5470700769999439 45.05460761000006, -0.5471920189999651 45.05500049400007, -0.5470457739999688 45.05536435000005, -0.5470988509999302 45.05638911500006, -0.545445936999954 45.056351095000025, -0.5453451689999724 45.05685778600008, -0.5454264939999689 45.05769279100008, -0.5462107359999777 45.05812246100004, -0.5472543479999672 45.05841035800006, -0.5478368319999731 45.05837720000005, -0.5489186099999301 45.058421054000064, -0.5494828189999339 45.05828034700005, -0.5497075489999474 45.058940591000066, -0.5499342489999322 45.05939375400004, -0.5501289619999739 45.05996476800004, -0.5502556969999546 45.06020450200003, -0.5507747819999622 45.06017297900007, -0.5512285839999436 45.06010715000008, -0.5517932719999408 45.05997542000006, -0.5524044889999686 45.05976146300003, -0.5524116629999298 45.05941022400003, -0.5524540869999441 45.059004059000074, -0.552486422999948 45.05791405800005, -0.5534629999999652 45.05788859900008, -0.5533547059999364 45.05727033200003, -0.5538610789999439 45.05723912500008, -0.554301703999954 45.05716462500004, -0.5543115859999261 45.057110359000035, -0.5553943539999295 45.05692909100003, -0.5566959179999458 45.05704814600006, -0.5567152789999454 45.056687587000056, -0.5569398949999709 45.056366678000074, -0.5573763039999449 45.05621126300008, -0.5579606289999788 45.05621400800004, -0.5580184329999724 45.056104481000034, -0.5583543139999279 45.05596969100003, -0.5586737699999276 45.05576331800006, -0.5591351259999442 45.05535520600006, -0.5595776559999308 45.05507360400003, -0.560045491999972 45.05503437400006, -0.5603005369999323 45.05505471200007, -0.5605832859999396 45.05511933200006, -0.5607805359999247 45.055249196000034, -0.5616771289999747 45.05563981700004, -0.5622065079999743 45.05556296300006, -0.5629121149999605 45.05496842100007, -0.563565495999967 45.05483430900006, -0.5639769799999499 45.05468852000007))"
odt_det_pdipr.935,Boucle locale,449,"MULTILINESTRING ((-0.4913405559999546 45.04198390200003, -0.4910194609999508 45.041911087000074, -0.4900703229999408 45.04197130500006))"
odt_det_pdipr.936,Boucle locale,450,"MULTILINESTRING ((-0.493189134999966 45.03488892900003, -0.4945054649999747 45.03506232600006, -0.4943697799999427 45.03538982900005, -0.4942073639999762 45.03569101100004, -0.493885157999955 45.036095286000034, -0.4939365539999585 45.03660703000003, -0.4941010289999781 45.03684585600007, -0.4945286689999762 45.03726697800005, -0.4947071969999684 45.037532447000046, -0.494911659999957 45.038058281000076, -0.4951201209999567 45.038412995000044, -0.4955622869999274 45.038869747000035, -0.4958092489999331 45.03923247600005))"
odt_det_pdipr.937,Boucle locale,451,"MULTILINESTRING ((-0.493189134999966 45.03488892900003, -0.4923926799999663 45.03595338200006, -0.4920700029999807 45.036348661000034, -0.4918988989999775 45.03647904400003, -0.4914311729999668 45.036517985000046, -0.4902854979999347 45.03745631800007, -0.4900745259999439 45.03755171100005, -0.4897566509999365 45.03754181700003, -0.4896811309999407 45.03780477200007, -0.4892353769999431 45.03852721800007, -0.4891295699999318 45.038943962000076, -0.4895493399999396 45.03896025900008))"
odt_det_pdipr.938,Boucle locale,452,"MULTILINESTRING ((-0.5069907259999695 45.05035946500004, -0.5097099599999524 45.05089273700003, -0.5101028139999357 45.05112567700007, -0.5103467079999291 45.05142545000007, -0.5104688449999344 45.05182736300003, -0.5104962359999377 45.05211469500006, -0.5106824319999532 45.05277599400006, -0.5110342299999502 45.05319901000007, -0.5119048129999442 45.053833721000046, -0.5121562839999569 45.05452934600004, -0.5124181439999802 45.05517969700003, -0.5128317409999568 45.05581714700003, -0.5133830169999669 45.056415052000034))"
odt_det_pdipr.939,Boucle locale,453,"MULTILINESTRING ((-0.4900703229999408 45.04197130500006, -0.4897166649999463 45.04200732800007, -0.4891134299999749 45.041878696000026, -0.487979113999927 45.042042629000036, -0.4877147529999775 45.042337399000075, -0.4873493229999326 45.042391717000044, -0.4871440879999796 45.04209991300007, -0.4870014219999348 45.04204054200005, -0.4868384109999511 45.04208069900005, -0.4862149909999403 45.042555632000074, -0.4855955849999418 45.04285943900004, -0.4852003099999251 45.04307652700004, -0.4840967819999378 45.043347647000076, -0.4837852479999469 45.043463588000066, -0.4834057619999612 45.04349124700008, -0.4831177659999639 45.043570583000076, -0.4829099439999709 45.04372888800003, -0.482833472999971 45.04397386000005, -0.4829730169999493 45.044222337000065, -0.484851009999943 45.04570470800007, -0.4865520289999381 45.04720055900003, -0.4864076079999791 45.047357255000065, -0.487874814999941 45.048246977000076, -0.4878710819999696 45.04792303500005, -0.4883107199999586 45.04757879300007, -0.4889459459999443 45.04708554600006, -0.4895630989999518 45.04673677300008, -0.4900711389999515 45.04648978900008, -0.4903156239999476 45.04630353300007, -0.4904875759999641 45.04593910700004, -0.4909094819999496 45.04549629400003, -0.4912731019999796 45.04540600800004, -0.4927974759999643 45.04542110500006, -0.4931827989999533 45.045258250000074, -0.493334392999941 45.04499334900004, -0.4943875309999726 45.04448039600004, -0.4956507219999366 45.04385405200003, -0.49634765899998 45.04382723800006, -0.4967103459999294 45.04371895400004, -0.4971459069999469 45.043545798000025, -0.4975773479999361 45.04329173700006, -0.4981532959999413 45.04313298900007, -0.4981177379999622 45.042683847000035, -0.4976675449999561 45.04256934800003, -0.4969650089999504 45.04223627400006, -0.4962331299999505 45.04207496400005, -0.4967369829999484 45.04174704800005, -0.4967418859999384 45.04159390400008, -0.4963859489999436 45.04158500300008, -0.4957533509999621 45.041628176000074, -0.4954561199999716 45.04127573200003, -0.4951371879999442 45.04099585000006, -0.4955608479999682 45.04058897800007, -0.4957739859999606 45.04028649700007, -0.4958707239999285 45.03994198500004, -0.4958092489999331 45.03923247600005))"
odt_det_pdipr.940,Boucle locale,454,"MULTILINESTRING ((-0.4900703229999408 45.04197130500006, -0.4901013259999445 45.04133144300005, -0.4896841809999728 45.041117058000054, -0.4891066779999278 45.04074474300006, -0.4892392159999304 45.04035432100005, -0.4890443759999243 45.04001725100005))"
odt_det_pdipr.941,Boucle locale,455,"MULTILINESTRING ((-0.5483741959999406 45.09080405900005, -0.5480034159999718 45.09174084700004, -0.5476877979999699 45.09227113600008, -0.5475630019999471 45.09280546300005))"
odt_det_pdipr.942,Boucle locale,456,"MULTILINESTRING ((-0.5545790479999368 45.06959723800003, -0.5548706559999346 45.06860848500003))"
odt_det_pdipr.943,Boucle locale,457,"MULTILINESTRING ((-0.5545790479999368 45.06959723800003, -0.5548252079999543 45.06968983300004, -0.5559901869999635 45.07035254800007, -0.5557506129999297 45.07332024800007, -0.555507013999943 45.07401070800006, -0.5551867459999471 45.07493720100007, -0.554855257999975 45.07564795300004, -0.5547762579999471 45.07583904300003, -0.5547690199999806 45.07643332200007, -0.5545917899999608 45.07668998200006, -0.5540229619999764 45.07747893100003, -0.5537323069999616 45.07824262400004, -0.5533885609999629 45.07896269200006, -0.5536493159999623 45.07909091700003))"
odt_det_pdipr.944,Boucle locale,458,"MULTILINESTRING ((-0.5379097869999327 45.096341565000046, -0.5371456559999501 45.09606432000004, -0.5365534849999563 45.09591763600008, -0.5355932629999529 45.09578048100008, -0.5339234159999364 45.09543665000007, -0.5332902319999562 45.09548003900005, -0.5320448969999347 45.09572828700004, -0.5304243599999268 45.096094235000066, -0.5310557999999332 45.09650997500006, -0.5310170789999802 45.09674501100005, -0.5310252569999534 45.09838304400006, -0.5314424529999542 45.09932640100004, -0.5313763129999529 45.09976917600005, -0.5311848169999394 45.09999916100003, -0.5305417619999275 45.10059187100006, -0.5298054879999654 45.101349011000025, -0.5297167249999575 45.10184637900005, -0.5299957739999286 45.10454858000003, -0.5302768849999779 45.10457732200007, -0.5305415969999672 45.10453447500004, -0.5324019409999323 45.10314517200004, -0.5328699119999669 45.102854025000056, -0.5339199039999585 45.102511812000046, -0.5346825839999383 45.102267039000026, -0.5352266919999806 45.10197391100007, -0.535617550999973 45.101666746000035, -0.53594447699993 45.10135223300006, -0.5361830159999386 45.101049010000054, -0.536445859999958 45.10023207800003, -0.5367930519999504 45.09981802300007, -0.5367984719999299 45.099430823000034, -0.5368693659999622 45.098834897000074, -0.5371176389999732 45.09798233600003, -0.5376390889999243 45.09700567900006, -0.5379097869999327 45.096341565000046))"
odt_det_pdipr.1449,Jonction,1344,"MULTILINESTRING ((-0.9616051989999619 45.04181123400008, -0.9584891809999476 45.041300757000045, -0.9575152249999519 45.041365735000056, -0.9553770119999285 45.04106917400003, -0.9542577759999631 45.04103940700003, -0.9519025639999654 45.04093829000004, -0.9506533839999634 45.040858326000034, -0.9486964059999536 45.04061928200008, -0.9476041249999412 45.040615657000046, -0.9468107749999604 45.04051313300005, -0.9398181969999655 45.04080119500003, -0.937112309999975 45.04099823100006))"
odt_det_pdipr.947,Boucle locale,461,"MULTILINESTRING ((-0.303427567999961 45.048500657000034, -0.303085153999973 45.04850881200008, -0.3026671719999285 45.048797775000025, -0.3016715329999329 45.04975750700004, -0.3015481159999354 45.04983244600004, -0.300983371999962 45.04997189100004, -0.3006286919999752 45.04998933000007, -0.300169996999955 45.04995524100008, -0.2991333609999742 45.049781893000045, -0.2986738179999406 45.04972981800006, -0.2981910379999704 45.049723296000025, -0.295050056999969 45.049887925000064, -0.2943379469999741 45.05282091200007, -0.2938441549999311 45.05285063200006, -0.2931579949999446 45.05283991300007, -0.2913497359999724 45.05245979000006, -0.2909495649999485 45.05366630900005, -0.2905067019999592 45.055044844000065, -0.2903668379999544 45.05557917400006, -0.2903833789999339 45.05592979100004, -0.2911433549999742 45.057234814000026, -0.292045016999964 45.05858147600003, -0.2928129769999259 45.05924728200006, -0.2934890809999615 45.05931224500006, -0.2939465739999605 45.05931939000004, -0.2939619229999266 45.05991304300005, -0.2943269829999622 45.060651403000065, -0.2945405019999612 45.06060133400007, -0.2946420409999746 45.06086893200006, -0.2945676319999393 45.06090669900004, -0.294650598999965 45.061318742000026, -0.2947694999999726 45.06168493200005, -0.295152729999927 45.06226985300003))"
odt_det_pdipr.948,Circuit départemental,836,"MULTILINESTRING ((-0.4079440769999678 44.66411934300004, -0.4089978679999717 44.665037985000026, -0.4100243009999644 44.665912304000074, -0.4106462189999434 44.66650873400005, -0.411400710999942 44.66723684100003, -0.4125029829999676 44.668370226000036, -0.4130467349999662 44.66891460100004, -0.4141124119999518 44.66981490500007, -0.415091959999927 44.67050136900008, -0.4157020659999375 44.67085509000003, -0.4158636079999383 44.670806054000025, -0.4162017309999442 44.67050062200008, -0.4165778749999731 44.66994225900004, -0.4180622689999609 44.66755630700004, -0.4190091469999402 44.66603872400003, -0.4202218019999577 44.666080356000066, -0.4210656669999366 44.66605921900003, -0.4235077629999751 44.665971015000025, -0.4239890279999372 44.666012942000066, -0.4239538979999793 44.666067819000034, -0.4242687729999375 44.666059922000045, -0.424762631999954 44.66610153000005, -0.4253059879999341 44.666123897000034, -0.4260804829999643 44.666230452000036, -0.4279330919999325 44.66646292100006, -0.4289981689999536 44.666580156000066, -0.429948564999961 44.66667326600003, -0.4321655729999634 44.666878507000035, -0.4335711809999339 44.666996133000055, -0.4344824729999459 44.66706319000008, -0.4355241629999682 44.66721695000007, -0.4353460449999602 44.66795038400005, -0.4350797529999682 44.66868603900008, -0.4345723419999672 44.67015671100006, -0.4344474069999364 44.67069082000006, -0.4340579259999799 44.671996533000026, -0.4337714229999392 44.673344652000026, -0.4336126799999533 44.67396060500005, -0.4334238559999335 44.67447832100004, -0.4329396459999657 44.67539944200007, -0.432692589999931 44.67550464900006, -0.432312293999928 44.675721201000044, -0.4315183399999682 44.67624513100003, -0.4310573999999292 44.676616694000074, -0.4309201609999604 44.676647143000025, -0.4305500569999481 44.67707041700004, -0.4301421539999524 44.67749464000008, -0.4298252659999662 44.67771858800006, -0.4289687169999752 44.67825307100003, -0.4279590209999356 44.67900737900004, -0.4272379079999382 44.67947545200008, -0.426517227999966 44.67995250900003, -0.4260800899999708 44.680296455000075, -0.4255015139999614 44.68084193400006, -0.4252884759999347 44.68112625900005, -0.4251912329999641 44.68120069300005, -0.4251846389999514 44.68157883300006, -0.4251889219999612 44.682433667000055, -0.4252521619999356 44.682693063000045, -0.4262230149999482 44.683451655000056, -0.426839159999929 44.68443512700003, -0.4270365679999486 44.684601162000035, -0.4280779659999325 44.68372007600004, -0.4298265419999439 44.68234424700006, -0.430180016999941 44.68260534800004, -0.430666753999958 44.68275510600006, -0.4309079039999801 44.68278504300008, -0.431385597999963 44.68300702100004, -0.4316689859999769 44.68312588800006, -0.4326095689999647 44.68352521000003, -0.4333112299999584 44.683939535000036, -0.4338946219999684 44.684257837000075, -0.4345783689999507 44.68456461100004, -0.4352486359999261 44.68485372200007, -0.4358667339999442 44.68510814500007, -0.4354942379999329 44.68573848400007, -0.4350975759999756 44.68613544500005, -0.4349291849999304 44.68630167300006, -0.4344650729999557 44.68661033500007, -0.4357150909999632 44.687397823000026, -0.4364438019999284 44.687847446000035, -0.4341230099999507 44.68964275800005, -0.4335799949999455 44.69014238900007, -0.4329864069999303 44.69089527400007, -0.4327714289999562 44.69139565100005, -0.4326468739999427 44.69193875000008, -0.4324444899999662 44.692438809000066, -0.4319896399999266 44.69293621600008, -0.4317770329999462 44.69322954300003, -0.4314672749999318 44.69411027600006, -0.4311243119999517 44.694829853000044, -0.4305236389999436 44.69595188100004, -0.4291907849999461 44.69757826500006, -0.4289502789999346 44.69781829100003, -0.4277594019999356 44.69720922400006, -0.4269812519999618 44.69780471800004, -0.4266834869999343 44.698163167000075, -0.4263897099999667 44.698602512000036, -0.4260450739999442 44.699034131000076, -0.4257689589999245 44.69932003900004, -0.4255867629999557 44.69920761600008, -0.4242957589999605 44.69887100700004, -0.4238139739999269 44.698568101000035, -0.4238190469999381 44.69841498400007, -0.422816801999943 44.69779213800007, -0.4221451159999674 44.69747598500004, -0.4216885589999606 44.69717243900004, -0.4214075459999549 44.69684649700008, -0.4204234829999791 44.69607918500003, -0.4195360569999593 44.69548043700007, -0.4187034759999619 44.69497030300005, -0.4180362679999803 44.69474400900003, -0.4174059849999594 44.69449878900008, -0.416765990999977 44.69405582100006, -0.4161376589999577 44.69462049100008, -0.4158641979999516 44.69444733800003, -0.4151156599999695 44.694106067000064, -0.4139207939999778 44.69366794600006, -0.4129252969999584 44.69369280400008, -0.4123823739999466 44.693427375000056, -0.4120417009999642 44.69342687900007, -0.4116716019999558 44.693598104000046, -0.4115703509999662 44.69359163100006, -0.4115312989999325 44.693052643000044, -0.4116633719999641 44.69240139200008, -0.4113481649999358 44.69214827600007, -0.4110807219999515 44.691839970000046, -0.4108707339999569 44.691674222000074, -0.4107694879999713 44.69166774800004, -0.4105614439999386 44.69179892900007, -0.4103985129999614 44.69182099200003, -0.4100908069999605 44.69172067400007, -0.409528001999945 44.69156372200007, -0.4088935579999316 44.69148954700006, -0.4079476209999484 44.69149512600006, -0.4074753939999596 44.691641884000035, -0.4069967239999528 44.691914791000045, -0.4065330119999544 44.69249330100007, -0.4060445269999491 44.69308142600005, -0.4056757299999276 44.693279596000025, -0.4046682269999451 44.693574659000035, -0.4044063879999271 44.693896153000026, -0.4038763999999446 44.69415232400007, -0.4035588739999412 44.69436721000005, -0.403320469999926 44.69465212100005, -0.4028525999999602 44.694888743000035, -0.4019202209999548 44.69517291200003, -0.4016256889999568 44.69534222300007, -0.4010388139999463 44.695725786000025, -0.4002586449999512 44.69628513600003, -0.4000131919999603 44.69642622500004, -0.3998173979999251 44.69680906200006, -0.3994703749999644 44.697195656000076, -0.3985556169999427 44.698100313000054, -0.3983593689999338 44.698474160000046, -0.3981578509999508 44.698740144000055, -0.3972400949999724 44.69984285000004, -0.3967798399999651 44.700754208000035, -0.3968350949999717 44.70188675600008, -0.3969042509999667 44.70201103100004, -0.3970759859999475 44.70216875700004, -0.397636347999935 44.70253282200008, -0.3983305269999278 44.70279456800006, -0.3993528399999491 44.703057159000025, -0.3998649299999784 44.70243248000003, -0.4008799129999261 44.702803233000054, -0.400968574999979 44.702810029000034, -0.4010055069999794 44.702791113000046, -0.4010636929999691 44.70269067300006, -0.4011119089999511 44.702644478000025, -0.4012122969999723 44.70263298300006, -0.4015717789999371 44.70275903900006, -0.4018295569999282 44.70286962200004, -0.4019725879999783 44.702956060000076, -0.3999533849999466 44.70553507000005, -0.4003259269999262 44.70566980500007, -0.4008171769999649 44.705909580000025, -0.4022465469999474 44.706495010000026, -0.4026743509999733 44.706727356000044, -0.4031716309999638 44.70683198200004, -0.4034537609999802 44.70692395800006))"
odt_det_pdipr.949,Circuit départemental,837,"MULTILINESTRING ((-0.3366386839999791 44.657568092000076, -0.3374910779999709 44.65693545800008, -0.3380288919999543 44.656580431000066, -0.33869048899993 44.65617739600003, -0.3397188149999692 44.656854312000064, -0.3403686659999607 44.65646955100004, -0.3415345419999767 44.655802263000055, -0.3423150219999798 44.65551329900006, -0.3426145399999427 44.65571298400005, -0.3431272839999338 44.65588947900005, -0.3446813099999417 44.65701249600005, -0.3470198389999268 44.65871930000003, -0.3477752349999719 44.659222820000025, -0.3482931909999252 44.65950715300005, -0.3487364509999793 44.65981130400007, -0.3492056579999598 44.66039378900007, -0.3497361229999569 44.66093878100003, -0.3504194529999722 44.66151603600008, -0.350883089999968 44.66198166400005))"
odt_det_pdipr.950,Transversal,1772,"MULTILINESTRING ((-0.3100663509999322 44.77013162000003, -0.3095163509999566 44.77052278800005, -0.3084782279999558 44.76967476200008, -0.3081002139999782 44.76996280600008, -0.3076540019999356 44.77014449300003, -0.3070920939999269 44.770283954000035, -0.3066756649999434 44.77029393600003, -0.3064766149999514 44.77009172400005, -0.3061986459999275 44.76928845100008, -0.3059576159999438 44.769267230000025, -0.303815492999945 44.76965151200005, -0.3030083079999599 44.769679835000034, -0.3022957139999676 44.769570900000076, -0.3014383829999474 44.76933943200004, -0.3002671959999361 44.76888148300003, -0.2990997559999755 44.76823445000008, -0.2988427289999436 44.768141601000025, -0.2982987819999607 44.76785762500003, -0.2975566789999675 44.767389397000045, -0.2969040509999559 44.768016931000034, -0.2968684549999807 44.768602731000044, -0.2968231279999714 44.768981781000036, -0.2960637379999298 44.77002582500006, -0.2958783269999685 44.77038122100004))"
odt_det_pdipr.951,Transversal,1773,"MULTILINESTRING ((-0.0179449569999406 44.67632793800004, -0.0178856009999322 44.67671611500003, -0.0177865569999653 44.67706015200008, -0.0175122529999498 44.67743492900007, -0.0169790149999471 44.67795020900007, -0.0161261579999632 44.677761486000065, -0.0127758909999329 44.679065732000026, -0.012148156999956 44.679133112000045, -0.0121880509999528 44.679483177000066, -0.0120562319999635 44.67964795000006, -0.0118877429999316 44.67984049900008, -0.0117057299999601 44.68031226900007, -0.0119141139999783 44.68046978500007))"
