Date de l'export,Code du dpartement,Libell du dpartement,Code de la commune,Libell de la commune,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprims,% Exp/Ins,% Exp/Vot,NøListe,Nuance Liste,Libell Abrg Liste,Libell Etendu Liste,Nom Tte de Liste,Voix,% Voix/Ins,% Voix/Exp,NøListe,Nuance Liste,Libell Abrg Liste,Libell Etendu Liste,Nom Tte de Liste,Voix,% Voix/Ins,% Voix/Exp,NøListe,Nuance Liste,Libell Abrg Liste,Libell Etendu Liste,Nom Tte de Liste,Voix,% Voix/Ins,% Voix/Exp,NøListe,Nuance Liste,Libell Abrg Liste,Libell Etendu Liste,Nom Tte de Liste,Voix,% Voix/Ins,% Voix/Exp
14/12/2015 09:30,33,GIRONDE,20,Auriolles,95,27,"28,42",68,"71,58",2,"2,11","2,94",1,"1,05","1,47",65,"68,42","95,59",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,30,"31,58","46,15",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,16,"16,84","24,62",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,19,20,"29,23",,,,,,,,
14/12/2015 09:30,33,GIRONDE,21,Auros,718,258,"35,93",460,"64,07",8,"1,11","1,74",17,"2,37","3,7",435,"60,58","94,57",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,170,"23,68","39,08",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,158,"22,01","36,32",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,107,"14,9","24,6",,,,,,,,
14/12/2015 09:30,33,GIRONDE,22,Avensan,1750,736,"42,06",1014,"57,94",18,"1,03","1,78",16,"0,91","1,58",980,56,"96,65",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,425,"24,29","43,37",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,239,"13,66","24,39",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,316,"18,06","32,24",,,,,,,,
14/12/2015 09:30,33,GIRONDE,23,Ayguemorte-les-Graves,858,325,"37,88",533,"62,12",15,"1,75","2,81",16,"1,86",3,502,"58,51","94,18",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,243,"28,32","48,41",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,151,"17,6","30,08",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,108,"12,59","21,51",,,,,,,,
14/12/2015 09:30,33,GIRONDE,24,Bagas,195,62,"31,79",133,"68,21",3,"1,54","2,26",7,"3,59","5,26",123,"63,08","92,48",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,50,"25,64","40,65",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,40,"20,51","32,52",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,33,"16,92","26,83",,,,,,,,
14/12/2015 09:30,33,GIRONDE,25,Baigneaux,263,110,"41,83",153,"58,17",4,"1,52","2,61",4,"1,52","2,61",145,"55,13","94,77",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,65,"24,71","44,83",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,44,"16,73","30,34",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,36,"13,69","24,83",,,,,,,,
14/12/2015 09:30,33,GIRONDE,26,Balizac,356,132,"37,08",224,"62,92",14,"3,93","6,25",8,"2,25","3,57",202,"56,74","90,18",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,77,"21,63","38,12",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,65,"18,26","32,18",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,60,"16,85","29,7",,,,,,,,
14/12/2015 09:30,33,GIRONDE,27,Barie,211,79,"37,44",132,"62,56",6,"2,84","4,55",6,"2,84","4,55",120,"56,87","90,91",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,72,"34,12",60,3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,16,"7,58","13,33",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,32,"15,17","26,67",,,,,,,,
14/12/2015 09:30,33,GIRONDE,28,Baron,838,330,"39,38",508,"60,62",19,"2,27","3,74",10,"1,19","1,97",479,"57,16","94,29",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,259,"30,91","54,07",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,121,"14,44","25,26",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,99,"11,81","20,67",,,,,,,,
14/12/2015 09:30,33,GIRONDE,29,Le Barp,3528,1562,"44,27",1966,"55,73",39,"1,11","1,98",31,"0,88","1,58",1896,"53,74","96,44",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,849,"24,06","44,78",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,593,"16,81","31,28",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,454,"12,87","23,95",,,,,,,,
14/12/2015 09:30,33,GIRONDE,30,Barsac,1497,662,"44,22",835,"55,78",25,"1,67","2,99",21,"1,4","2,51",789,"52,71","94,49",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,362,"24,18","45,88",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,240,"16,03","30,42",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,187,"12,49","23,7",,,,,,,,
14/12/2015 09:30,33,GIRONDE,31,Bassanne,86,17,"19,77",69,"80,23",4,"4,65","5,8",2,"2,33","2,9",63,"73,26","91,3",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,34,"39,53","53,97",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,13,"15,12","20,63",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,16,"18,6","25,4",,,,,,,,
14/12/2015 09:30,33,GIRONDE,32,Bassens,4465,2053,"45,98",2412,"54,02",59,"1,32","2,45",49,"1,1","2,03",2304,"51,6","95,52",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,1260,"28,22","54,69",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,448,"10,03","19,44",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,596,"13,35","25,87",,,,,,,,
14/12/2015 09:30,33,GIRONDE,33,Baurech,652,297,"45,55",355,"54,45",13,"1,99","3,66",4,"0,61","1,13",338,"51,84","95,21",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,162,"24,85","47,93",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,123,"18,87","36,39",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,53,"8,13","15,68",,,,,,,,
14/12/2015 09:30,33,GIRONDE,34,Bayas,379,153,"40,37",226,"59,63",5,"1,32","2,21",2,"0,53","0,88",219,"57,78","96,9",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,71,"18,73","32,42",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,71,"18,73","32,42",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,77,"20,32","35,16",,,,,,,,
14/12/2015 09:30,33,GIRONDE,35,Bayon-sur-Gironde,534,193,"36,14",341,"63,86",12,"2,25","3,52",8,"1,5","2,35",321,"60,11","94,13",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,135,"25,28","42,06",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,80,"14,98","24,92",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,106,"19,85","33,02",,,,,,,,
14/12/2015 09:30,33,GIRONDE,36,Bazas,3293,1274,"38,69",2019,"61,31",49,"1,49","2,43",60,"1,82","2,97",1910,58,"94,6",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,854,"25,93","44,71",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,706,"21,44","36,96",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,350,"10,63","18,32",,,,,,,,
14/12/2015 09:30,33,GIRONDE,37,Beautiran,1727,761,"44,06",966,"55,94",22,"1,27","2,28",24,"1,39","2,48",920,"53,27","95,24",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,508,"29,42","55,22",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,252,"14,59","27,39",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,160,"9,26","17,39",,,,,,,,
14/12/2015 09:30,33,GIRONDE,38,Bgadan,722,281,"38,92",441,"61,08",7,"0,97","1,59",4,"0,55","0,91",430,"59,56","97,51",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,101,"13,99","23,49",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,131,"18,14","30,47",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,198,"27,42","46,05",,,,,,,,
14/12/2015 09:30,33,GIRONDE,39,Bgles,17638,8882,"50,36",8756,"49,64",242,"1,37","2,76",255,"1,45","2,91",8259,"46,83","94,32",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,5314,"30,13","64,34",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,1678,"9,51","20,32",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,1267,"7,18","15,34",,,,,,,,
14/12/2015 09:30,33,GIRONDE,40,Bguey,697,264,"37,88",433,"62,12",6,"0,86","1,39",21,"3,01","4,85",406,"58,25","93,76",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,195,"27,98","48,03",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,120,"17,22","29,56",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,91,"13,06","22,41",,,,,,,,
14/12/2015 09:30,33,GIRONDE,42,Belin-Bliet,3250,1383,"42,55",1867,"57,45",31,"0,95","1,66",43,"1,32","2,3",1793,"55,17","96,04",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,835,"25,69","46,57",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,521,"16,03","29,06",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,437,"13,45","24,37",,,,,,,,
14/12/2015 09:30,33,GIRONDE,43,Bellebat,176,75,"42,61",101,"57,39",2,"1,14","1,98",0,0,0,99,"56,25","98,02",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,37,"21,02","37,37",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,24,"13,64","24,24",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,38,"21,59","38,38",,,,,,,,
14/12/2015 09:30,33,GIRONDE,44,Bellefond,205,86,"41,95",119,"58,05",6,"2,93","5,04",2,"0,98","1,68",111,"54,15","93,28",2,LUG,PLUS FORTS PLUS SOLIDAIRE,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,ROUSSET Alain,45,"21,95","40,54",3,LUD,GENERATION NOUVELLE REGIO,GENERATION NOUVELLE REGION,CALMELS Virginie,45,"21,95","40,54",8,LFN,LISTE FRONT NATIONAL,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,COLOMBIER Jacques,21,"10,24","18,92",,,,,,,,
