Numéro;Référence;Titre;Nom;Prénom;Civilité;Circonscription;Groupe;Type Appartenance;Date de publication JO;Ministère de dépôt;Ministère de réponse;Thème(s);URL Question
0018G;SEQ82040018G;Contrôles d'identité et emploi des armes par la police;Dailly;Etienne;M.;Seine-et-Marne;G.D.;;1982-04-30;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1982/qSEQ82040018G.html
0019G;SEQ82050019G;Défense du franc;Larché;Jacques;M.;Seine-et-Marne;U.R.E.I.;;1982-05-28;Économie;Économie;;http://www.senat.fr/questions/base/1982/qSEQ82050019G.html
0020G;SEQ82050020G;Création de postes dans les hôpitaux;Boyer;Louis;M.;Loiret;U.R.E.I.;;1982-05-28;Santé;Santé;;http://www.senat.fr/questions/base/1982/qSEQ82050020G.html
0021G;SEQ82050021G;Evolution des prix de détail;Fourcade;Jean-Pierre;M.;Hauts-de-Seine;U.R.E.I.;;1982-05-28;Budget;Budget;;http://www.senat.fr/questions/base/1982/qSEQ82050021G.html
0022G;SEQ82050022G;Commerce extérieur: textile;Schumann;Maurice;M.;Nord;RPR;;1982-05-28;Industrie;Industrie;;http://www.senat.fr/questions/base/1982/qSEQ82050022G.html
0023G;SEQ82050023G;Professions libérales: politique du gouvernement;Ceccaldi-Pavard;Pierre;M.;Essonne;U.C.D.P.;;1982-05-28;Premier ministre;Relations avec le Parlement;;http://www.senat.fr/questions/base/1982/qSEQ82050023G.html
0024G;SEQ82050024G;Liberté du travail: respect;Fosset;André;M.;Hauts-de-Seine;U.C.D.P.;;1982-05-28;Premier ministre;Relations avec le Parlement;;http://www.senat.fr/questions/base/1982/qSEQ82050024G.html
0025G;SEQ82050025G;Politique des traitements dans la fonction publique;Schiele;Pierre;M.;Haut-Rhin;U.C.D.P.;;1982-05-28;Fonction publique;Fonction publique;;http://www.senat.fr/questions/base/1982/qSEQ82050025G.html
0026G;SEQ82050026G;Installation d'une soufflerie cryogénique à Toulouse;Eeckhoutte;Léon;M.;Haute-Garonne;SOC;;1982-05-28;Défense;Défense;;http://www.senat.fr/questions/base/1982/qSEQ82050026G.html
0027G;SEQ82050027G;Création d'un grand service public d'éducation;Régnault;René;M.;Côtes du Nord;SOC;;1982-05-28;Éducation;Relations avec le Parlement;;http://www.senat.fr/questions/base/1982/qSEQ82050027G.html
0028G;SEQ82050028G;Etablissement d'éducation et de soins: Aire-sur-l'Adour;Goldet;Cécile;Mme;Paris;SOC;;1982-05-28;Santé;Santé;;http://www.senat.fr/questions/base/1982/qSEQ82050028G.html
0029G;SEQ82050029G;Cotisations sociales agricoles;Tardy;Fernand;M.;Alpes de Haute-Provence;SOC;;1982-05-28;Agriculture;Agriculture;;http://www.senat.fr/questions/base/1982/qSEQ82050029G.html
0030G;SEQ82050030G;Protection des femmes enceintes;Luc;Hélène;Mme;Val-de-Marne;C;;1982-05-28;Santé;Santé;;http://www.senat.fr/questions/base/1982/qSEQ82050030G.html
0031G;SEQ82050031G;Crédits d'investissement des PTT;Pelletier;Jacques;M.;Aisne;G.D.;;1982-05-28;Postes;Postes;;http://www.senat.fr/questions/base/1982/qSEQ82050031G.html
0032G;SEQ82050032G;Malaise des cadres: politique du gouvernement;Beranger;Jean;M.;Yvelines;GD-SRG;;1982-05-28;Premier ministre;Relations avec le Parlement;;http://www.senat.fr/questions/base/1982/qSEQ82050032G.html
0033G;SEQ82050033G;Règle de l'unanimité dans la CEE;Bonduel;Stéphane;M.;Charente-Maritime;GD-SRG;;1982-05-28;Affaires européennes;Affaires européennes;;http://www.senat.fr/questions/base/1982/qSEQ82050033G.html
0034G;SEQ82050034G;Stratégie industrielle de la France;Bourgine;Raymond;M.;Paris;NI;;1982-05-28;Premier ministre;Relations avec le Parlement;;http://www.senat.fr/questions/base/1982/qSEQ82050034G.html
0035G;SEQ82060035G;Inondation à Bordeaux: aide de l'Etat;Valade;Jacques;M.;Gironde;RPR;;1982-06-25;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1982/qSEQ82060035G.html
0036G;SEQ82060036G;Blocage des prix: conséquences;Souvet;Louis;M.;Doubs;RPR;;1982-06-25;Budget;Budget;;http://www.senat.fr/questions/base/1982/qSEQ82060036G.html
0037G;SEQ82060037G;Accueil des rapatriés du Liban;de Cuttoli;Charles;M.;Français établis hors de France;G.D.;;1982-06-25;Relations extérieures;Relations extérieures;;http://www.senat.fr/questions/base/1982/qSEQ82060037G.html
0038G;SEQ82060038G;Perspectives énergétiques de la France;Vallon;Pierre;M.;Rhône;U.C.D.P.;;1982-06-25;Énergie;Énergie;;http://www.senat.fr/questions/base/1982/qSEQ82060038G.html
0039G;SEQ82060039G;Emissions de bons du Trésor;Cauchon;Jean;M.;Eure-et-Loir;U.C.D.P.;;1982-06-25;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1982/qSEQ82060039G.html
0040G;SEQ82060040G;Enseignement agricole;Tinant;René;M.;Ardennes;U.C.D.P.;;1982-06-25;Agriculture;Agriculture;;http://www.senat.fr/questions/base/1982/qSEQ82060040G.html
0041G;SEQ82060041G;Ordre des médecins;Rudloff;Marcel;M.;Bas-Rhin;U.C.D.P.;;1982-06-25;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1982/qSEQ82060041G.html
0042G;SEQ82060042G;Situation au Liban: action gouvernementale;Machefer;Philippe;M.;Yvelines;SOC;;1982-06-25;Relations extérieures;Relations extérieures;;http://www.senat.fr/questions/base/1982/qSEQ82060042G.html
0043G;SEQ82060043G;Equipement électronique: restructuration et investissements;Perrein;Louis;M.;Val-d'Oise;SOC;;1982-06-25;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1982/qSEQ82060043G.html
0044G;SEQ82060044G;Problèmes posés par le blocage des loyers;Laucournet;Robert;M.;Haute-Vienne;SOC;;1982-06-25;Urbanisme;Urbanisme;;http://www.senat.fr/questions/base/1982/qSEQ82060044G.html
0045G;SEQ82060045G;Participation des collectivités locales à la formation professionnelle;Schmaus;Guy;M.;Hauts-de-Seine;C;;1982-06-25;Formation professionnelle;Formation professionnelle;;http://www.senat.fr/questions/base/1982/qSEQ82060045G.html
0046G;SEQ82060046G;Cumul des mandats: dépôt d'un projet de loi;Robert;Paul;M.;Cantal;G.D.;;1982-06-25;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1982/qSEQ82060046G.html
0047G;SEQ82060047G;Augmentation des cotisations de sécurité sociale des Français de l'étranger;Cantegrit;Jean-Pierre;M.;Français établis hors de France;G.D.;;1982-06-25;Solidarité;Solidarité;;http://www.senat.fr/questions/base/1982/qSEQ82060047G.html
0048G;SEQ82060048G;Importation de fruits et légumes d'Espagne;Tajan;Pierre;M.;Tarn-et-Garonne;GD-SRG;;1982-06-25;Agriculture;Agriculture;;http://www.senat.fr/questions/base/1982/qSEQ82060048G.html
0049G;SEQ82060049G;Situation de l'emploi à Nancy;Pouille;Richard;M.;Meurthe-et-Moselle;U.R.E.I.;;1982-06-25;Industrie;Industrie;;http://www.senat.fr/questions/base/1982/qSEQ82060049G.html
0050G;SEQ82060050G;Minerai de fer français: situation;Martin;Hubert;M.;Meurthe-et-Moselle;U.R.E.I.;;1982-06-25;Industrie;Industrie;;http://www.senat.fr/questions/base/1982/qSEQ82060050G.html
0051G;SEQ82060051G;Restructuration du groupe Vieille-Montagne;Puech;Jean;M.;Aveyron;U.R.E.I.;;1982-06-25;Industrie;Industrie;;http://www.senat.fr/questions/base/1982/qSEQ82060051G.html
0052G;SEQ82060052G;Avenir de la société métallurgique normande;Girault;Jean-Marie;M.;Calvados;U.R.E.I.;;1982-06-25;Industrie;Industrie;;http://www.senat.fr/questions/base/1982/qSEQ82060052G.html
0053G;SEQ82100053G;Conditions de la sortie du blocage des revenus et des prix;Meric;André;M.;Haute-Garonne;SOC;;1982-10-08;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1982/qSEQ82100053G.html
0054G;SEQ82100054G;Redressement de la sécurité sociale et avenir des caisses de l'UNEDIC;Schwint;Robert;M.;Doubs;SOC;;1982-10-08;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1982/qSEQ82100054G.html
0055G;SEQ82100055G;Situation en Pologne;Monory;René;M.;Vienne;U.C.D.P.;;1982-10-08;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1982/qSEQ82100055G.html
0056G;SEQ82100056G;Difficultés de la rentrée universitaire;Seramy;Paul;M.;Seine-et-Marne;U.C.D.P.;;1982-10-08;Éducation;Éducation;;http://www.senat.fr/questions/base/1982/qSEQ82100056G.html
0057G;SEQ82100057G;Conséquences du blocage du prix de l'eau;Mont;Claude;M.;Loire;U.C.D.P.;;1982-10-08;Économie;Économie;;http://www.senat.fr/questions/base/1982/qSEQ82100057G.html
0058G;SEQ82100058G;Bilan du plan textile-habillement;Dumont;Raymond;M.;Pas-de-Calais;C;;1982-10-08;Recherche;Recherche;;http://www.senat.fr/questions/base/1982/qSEQ82100058G.html
0059G;SEQ82100059G;Commercialisation de l'Airbus;Legrand;Bernard;M.;Loire-Atlantique;G.D.;;1982-10-08;Transports;Transports;;http://www.senat.fr/questions/base/1982/qSEQ82100059G.html
0060G;SEQ82100060G;Liaison Sud-Ouest du TGV;Caillavet;Henri;M.;Lot-et-Garonne;GD-SRG;;1982-10-08;Transports;Transports;;http://www.senat.fr/questions/base/1982/qSEQ82100060G.html
0061G;SEQ82100061G;Circulaires anticipant sur des lois non encore votées;Habert;Jacques;M.;Français établis hors de France;NI;;1982-10-08;Affaires européennes;Affaires européennes;;http://www.senat.fr/questions/base/1982/qSEQ82100061G.html
0062G;SEQ82100062G;Authenticité d'un document interne au Parti socialiste;Miroudot;Michel;M.;Haute-Saône;U.R.E.I.;;1982-10-08;Premier ministre;Justice;;http://www.senat.fr/questions/base/1982/qSEQ82100062G.html
0063G;SEQ82100063G;Transferts de charges d'aide sociale sur les budgets des collectivités locales;de Bourgoing;Philippe;M.;Calvados;U.R.E.I.;;1982-10-08;Intérieur;Immigrés;;http://www.senat.fr/questions/base/1982/qSEQ82100063G.html
0064G;SEQ82100064G;Poursuites contre un parlementaire sans demande préalable de levée de son immunité;Carous;Pierre;M.;Nord;RPR;;1982-10-08;Premier ministre;Justice;;http://www.senat.fr/questions/base/1982/qSEQ82100064G.html
0065G;SEQ82110065G;Industrie automobile: situation;Vallon;Pierre;M.;Rhône;U.C.D.P.;;1982-11-05;Recherche;Recherche;;http://www.senat.fr/questions/base/1982/qSEQ82110065G.html
0066G;SEQ82110066G;Aide de l'Etat aux activités sportives;Francou;Jean;M.;Bouches-du-Rhône;U.C.D.P.;;1982-11-05;Jeunesse;Jeunesse;;http://www.senat.fr/questions/base/1982/qSEQ82110066G.html
0067G;SEQ82110067G;Situation en Afghanistan;Salvi;Pierre;M.;Val-d'Oise;U.C.D.P.;;1982-11-05;Relations extérieures;Relations extérieures;;http://www.senat.fr/questions/base/1982/qSEQ82110067G.html
0068G;SEQ82110068G;Egalité professionnelle entre hommes et femmes dans la fonction publique;Luc;Hélène;Mme;Val-de-Marne;C;;1982-11-05;Fonction publique;Fonction publique;;http://www.senat.fr/questions/base/1982/qSEQ82110068G.html
0069G;SEQ82110069G;Recensement: date des résultats;Touzet;René;M.;Indre;G.D.;;1982-11-05;Intérieur;Intérieur;;http://www.senat.fr/questions/base/1982/qSEQ82110069G.html
0070G;SEQ82110070G;Industrie du jouet: situation;Mouly;Georges;M.;Corrèze;G.D.;;1982-11-05;Recherche;Recherche;;http://www.senat.fr/questions/base/1982/qSEQ82110070G.html
0071G;SEQ82110071G;Annulation de crédits budgétaires en cours d'exercice: cas de l'agriculture;Rigou;Michel;M.;Charente-Maritime;GD-SRG;;1982-11-05;Budget;Budget;;http://www.senat.fr/questions/base/1982/qSEQ82110071G.html
0072G;SEQ82110072G;Situation critique des usines Matra-automobiles à Romorantin;Thyraud;Jacques;M.;Loir-et-Cher;U.R.E.I.;;1982-11-05;Recherche;Recherche;;http://www.senat.fr/questions/base/1982/qSEQ82110072G.html
0073G;SEQ82110073G;Installation éventuelle de la société américaine Computer Vision à Nancy;Pouille;Richard;M.;Meurthe-et-Moselle;U.R.E.I.;;1982-11-05;Recherche;Recherche;;http://www.senat.fr/questions/base/1982/qSEQ82110073G.html
0074G;SEQ82110074G;Orientation générale de la politique économique du gouvernement et plus particulièrement sur le fonds des grands travaux;Giraud;Michel;M.;Val-de-Marne;RPR;;1982-11-05;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1982/qSEQ82110074G.html
0075G;SEQ82110075G;Fonderies Montupet à Ussel: situation;Belcour;Henri;M.;Corrèze;RPR;;1982-11-05;Recherche;Recherche;;http://www.senat.fr/questions/base/1982/qSEQ82110075G.html
0076G;SEQ82110076G;Perspectives sportives;Faigt;Jules;M.;Hérault;SOC;;1982-11-05;Jeunesse;Jeunesse;;http://www.senat.fr/questions/base/1982/qSEQ82110076G.html
0077G;SEQ82110077G;Montants compensatoires monétaires;Janetti;Maurice;M.;Var;SOC;;1982-11-05;Agriculture;Agriculture;;http://www.senat.fr/questions/base/1982/qSEQ82110077G.html
0078G;SEQ82120078G;Avenir de la filière bois-papier;Jargot;Paul;M.;Isère;C;;1982-12-17;Recherche;Recherche;;http://www.senat.fr/questions/base/1982/qSEQ82120078G.html
0079G;SEQ82120079G;Manufacture d'armes de Tulle;Mouly;Georges;M.;Corrèze;G.D.;;1982-12-17;Défense;Défense;;http://www.senat.fr/questions/base/1982/qSEQ82120079G.html
0080G;SEQ82120080G;Industrie automobile;Beranger;Jean;M.;Yvelines;GD-SRG;;1982-12-17;Recherche;Recherche;;http://www.senat.fr/questions/base/1982/qSEQ82120080G.html
0081G;SEQ82120081G;Emploi des jeunes: propositions patronales;Legrand;Bernard;M.;Loire-Atlantique;G.D.;;1982-12-17;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1982/qSEQ82120081G.html
0082G;SEQ82120082G;Discours de Mexico;Habert;Jacques;M.;Français établis hors de France;NI;;1982-12-17;Culture;Culture;;http://www.senat.fr/questions/base/1982/qSEQ82120082G.html
0083G;SEQ82120083G;Crise à Decazeville;Puech;Jean;M.;Aveyron;U.R.E.I.;;1982-12-17;Recherche;Recherche;;http://www.senat.fr/questions/base/1982/qSEQ82120083G.html
0084G;SEQ82120084G;Indemnisation des dégâts causés par les tempêtes dans le Rhône;Mathieu;Serge;M.;Rhône;U.R.E.I.;;1982-12-17;Intérieur;Intérieur;;http://www.senat.fr/questions/base/1982/qSEQ82120084G.html
0085G;SEQ82120085G;Subventions des communes aux écoles privées;du Luart;Roland;M.;Sarthe;U.R.E.I.;;1982-12-17;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1982/qSEQ82120085G.html
0086G;SEQ82120086G;Aggravation de l'insécurité dans le Nord;Schumann;Maurice;M.;Nord;RPR;;1982-12-17;Intérieur;Intérieur;;http://www.senat.fr/questions/base/1982/qSEQ82120086G.html
0087G;SEQ82120087G;Accord franco-suisse sur l'imposition des frontaliers;Souvet;Louis;M.;Doubs;RPR;;1982-12-17;Relations extérieures;Relations extérieures;;http://www.senat.fr/questions/base/1982/qSEQ82120087G.html
0088G;SEQ82120088G;Dégradation de la distribution du courrier en Seine-Maritime;de Montalembert;Geoffroy;M.;Seine-Maritime;RPR;;1982-12-17;Postes;Postes;;http://www.senat.fr/questions/base/1982/qSEQ82120088G.html
0089G;SEQ82120089G;Lutte contre l'inflation: bilan de l'action du gouvernement;Bonifay;Charles;M.;Bouches-du-Rhône;SOC;;1982-12-17;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1982/qSEQ82120089G.html
0090G;SEQ82120090G;Retraite des gendarmes;Matraja;Pierre;M.;Bouches-du-Rhône;SOC;;1982-12-17;Défense;Défense;;http://www.senat.fr/questions/base/1982/qSEQ82120090G.html
0091G;SEQ82120091G;Remboursement de certains médicaments;Longequeue;Louis;M.;Haute-Vienne;SOC;;1982-12-17;Postes;Postes;;http://www.senat.fr/questions/base/1982/qSEQ82120091G.html
0092G;SEQ82120092G;Hospice de Carcassonne;Bastie;Pierre;M.;Aude;SOC;;1982-12-17;Postes;Postes;;http://www.senat.fr/questions/base/1982/qSEQ82120092G.html
0093G;SEQ82120093G;Indemnisation dans les départements sinistrés;Authié;Germain;M.;Ariège;SOC;;1982-12-17;Intérieur;Intérieur;;http://www.senat.fr/questions/base/1982/qSEQ82120093G.html
0094G;SEQ82120094G;Contrôle douanier abusif;Salvi;Pierre;M.;Val-d'Oise;U.C.D.P.;;1982-12-17;Intérieur;Intérieur;;http://www.senat.fr/questions/base/1982/qSEQ82120094G.html
0095G;SEQ82120095G;Circulation par temps de pluie;Arzel;Alphonse;M.;Finistère;U.C.D.P.;;1982-12-17;Postes;Postes;;http://www.senat.fr/questions/base/1982/qSEQ82120095G.html
0096G;SEQ82120096G;Soutien aux entreprises;Colin;Jean;M.;Essonne;U.C.D.P.;;1982-12-17;Économie;Économie;;http://www.senat.fr/questions/base/1982/qSEQ82120096G.html
0097G;SEQ83040097G;Crise des travaux publics;Moutet;Jacques;M.;Pyrénées-Atlantiques;G.D.;;1983-04-22;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1983/qSEQ83040097G.html
0098G;SEQ83040098G;Libération d'un médecin français;Collard;Henri;M.;Eure;G.D.;;1983-04-22;Relations extérieures;Relations extérieures;;http://www.senat.fr/questions/base/1983/qSEQ83040098G.html
0099G;SEQ83040099G;Répercussion sur la dotation globale de fonctionnement et sur la dotation globale d'équipement de la réduction des dépenses publiques;Caillavet;Henri;M.;Lot-et-Garonne;GD-SRG;;1983-04-22;Économie;Économie;;http://www.senat.fr/questions/base/1983/qSEQ83040099G.html
0101G;SEQ83040101G;Commémoration du bicentenaire du traité de Versailles;Habert;Jacques;M.;Français établis hors de France;NI;;1983-04-22;Postes;Postes;;http://www.senat.fr/questions/base/1983/qSEQ83040101G.html
0102G;SEQ83040102G;Situation dans les milieux médicaux;Miroudot;Michel;M.;Haute-Saône;U.R.E.I.;;1983-04-22;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1983/qSEQ83040102G.html
0103G;SEQ83040103G;Montants compensatoires monétaires;du Luart;Roland;M.;Sarthe;U.R.E.I.;;1983-04-22;Agriculture;Agriculture;;http://www.senat.fr/questions/base/1983/qSEQ83040103G.html
0104G;SEQ83040104G;Enquête d'utilité publique sur le tracé du TGV Atlantique;Thyraud;Jacques;M.;Loir-et-Cher;U.R.E.I.;;1983-04-22;Transports;Transports;;http://www.senat.fr/questions/base/1983/qSEQ83040104G.html
0105G;SEQ83040105G;Tournée de l'équipe de France de rugby en Afrique du Sud;Valade;Jacques;M.;Gironde;RPR;;1983-04-22;Relations extérieures;Relations extérieures;;http://www.senat.fr/questions/base/1983/qSEQ83040105G.html
0106G;SEQ83040106G;Difficultés financières des collectivités locales;Herment;Rémi;M.;Meuse;U.C.D.P.;;1983-04-22;Intérieur;Intérieur;;http://www.senat.fr/questions/base/1983/qSEQ83040106G.html
0107G;SEQ83040107G;Financement des élections prud'homales;Schiele;Pierre;M.;Haut-Rhin;U.C.D.P.;;1983-04-22;Intérieur;Intérieur;;http://www.senat.fr/questions/base/1983/qSEQ83040107G.html
0108G;SEQ83040108G;Avenir du groupe CGCT;Janetti;Maurice;M.;Var;SOC;;1983-04-22;Postes;Postes;;http://www.senat.fr/questions/base/1983/qSEQ83040108G.html
0109G;SEQ83040109G;Loi d'orientation du IXème plan;Laucournet;Robert;M.;Haute-Vienne;SOC;;1983-04-22;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1983/qSEQ83040109G.html
0110G;SEQ83040110G;Aide à la Polynésie;Perrein;Louis;M.;Val-d'Oise;SOC;;1983-04-22;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83040110G.html
0111G;SEQ83040111G;Aide à la Polynésie;Chauvin;Adolphe;M.;Val-d'Oise;U.C.D.P.;;1983-04-22;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83040111G.html
0112G;SEQ83040112G;Promotion du tourisme dans les départements d'outre-mer;Virapoulle;Louis;M.;La Réunion;U.C.D.P.;;1983-04-22;Tourisme;Tourisme;;http://www.senat.fr/questions/base/1983/qSEQ83040112G.html
0113G;SEQ83040113G;Développement industriel régional;Gamboa;Pierre;M.;Essonne;C;;1983-04-22;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83040113G.html
0114G;SEQ83040114G;Situation dans les milieux médicaux;Alloncle;Michel;M.;Charente;RPR;;1983-04-22;Santé;Santé;;http://www.senat.fr/questions/base/1983/qSEQ83040114G.html
0115G;SEQ83040115G;Situation dans les milieux médicaux;Belcour;Henri;M.;Corrèze;RPR;;1983-04-22;Santé;Santé;;http://www.senat.fr/questions/base/1983/qSEQ83040115G.html
0116G;SEQ83040116G;Situation dans les milieux médicaux;Ciccolini;Félix;M.;Bouches-du-Rhône;SOC;;1983-04-22;Santé;Santé;;http://www.senat.fr/questions/base/1983/qSEQ83040116G.html
0100G;SEQ83040100G;Financement des examens sportifs;Legrand;Bernard;M.;Loire-Atlantique;G.D.;;1983-04-28;Temps libre;Temps libre;;http://www.senat.fr/questions/base/1983/qSEQ83040100G.html
0117G;SEQ83050117G;Baisse de la production d'acier;Schmitt;Robert;M.;Moselle;U.R.E.I.;;1983-05-20;Industrie;Industrie;;http://www.senat.fr/questions/base/1983/qSEQ83050117G.html
0118G;SEQ83050118G;Politique charbonnière;Lucotte;Marcel;M.;Saône-et-Loire;U.R.E.I.;;1983-05-20;Énergie;Énergie;;http://www.senat.fr/questions/base/1983/qSEQ83050118G.html
0119G;SEQ83050119G;Accords entre la CEE et le Japon sur l'électronique:avenir de Renault-Douai;Schumann;Maurice;M.;Nord;RPR;;1983-05-20;Industrie;Industrie;;http://www.senat.fr/questions/base/1983/qSEQ83050119G.html
0120G;SEQ83050120G;Hausse des prix et balance commerciale en 1983;Poncelet;Christian;M.;Vosges;RPR;;1983-05-20;Consommation;Consommation;;http://www.senat.fr/questions/base/1983/qSEQ83050120G.html
0121G;SEQ83050121G;Conflits sociaux dans les établissements hospitaliers;Schwint;Robert;M.;Doubs;SOC;;1983-05-20;Santé;Santé;;http://www.senat.fr/questions/base/1983/qSEQ83050121G.html
0122G;SEQ83050122G;Politique à l'égard des pays d'Amérique latine et d'Amérique centrale;Pontillon;Robert;M.;Hauts-de-Seine;SOC;;1983-05-20;Relations extérieures;Relations extérieures;;http://www.senat.fr/questions/base/1983/qSEQ83050122G.html
0123G;SEQ83050123G;Plan de restructuration de l'industrie de l'aluminium;Authié;Germain;M.;Ariège;SOC;;1983-05-20;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83050123G.html
0124G;SEQ83050124G;Relance économique et questions monétaires;Grimaldi;Roland;M.;Nord;SOC;;1983-05-20;Premier ministre;Premier ministre;;http://www.senat.fr/questions/base/1983/qSEQ83050124G.html
0125G;SEQ83050125G;Politique de régression sociale;Vallon;Pierre;M.;Rhône;U.C.D.P.;;1983-05-20;Affaires sociales;Affaires sociales;;http://www.senat.fr/questions/base/1983/qSEQ83050125G.html
0126G;SEQ83050126G;Politique énergétique;Poudonson;Roger;M.;Pas-de-Calais;U.C.D.P.;;1983-05-20;Énergie;Énergie;;http://www.senat.fr/questions/base/1983/qSEQ83050126G.html
0127G;SEQ83050127G;Restructuration du groupe Péchiney-Ugine-Kuhlmann dans l'Isère;Vallin;Camille;M.;Rhône;C;;1983-05-20;Relations avec le Parlement;Relations avec le Parlement;;http://www.senat.fr/questions/base/1983/qSEQ83050127G.html
