NUMORG;DFREFENR;MASFB1TO;MASF1FSU;MASF1FPR;MASF1PFP;MASF1PPS;MASF1PSU;MASF1PPR;MASF1CFP;MASF1CPS;MASF1CIN
NUMORG;DFREFENR;MASFB1TO;MASF1FSU;MASF1FPR;MASF1PFP;MASF1PPS;MASF1PSU;MASF1PPR;MASF1CFP;MASF1CPS;MASF1CIN
11;31/12/2018;24332618.75;0;0;0;22080186.26;1472232.19;0;473265.5;304930.61;2004.19
28;31/12/2018;10783782.54;0;0;10000;8741322.85;1686097.14;0;295362.55;51000;0
31;31/12/2018;8071321.8;0;0;186975;7525414.59;358932.21;0;0;0;0
41;31/12/2018;9658950.91;0;0;7500;8922176.92;543946.5;0;185327.49;0;0
51;31/12/2018;7568409.53;0;0;14000;7217418.93;336990.6;0;0;0;0
61;31/12/2018;76179105.42;128004.3;0;-12;72363762.97;3082266.22;79000;238929.56;67363.56;219790.81
78;31/12/2018;15498565.21;0;0;4417;14532728.19;930318.99;0;0;30000;1101.03
81;31/12/2018;7738880.34;0;0;74973.63;6285329.89;1273282.02;0;0;105294.8;0
91;31/12/2018;9562078.16;0;0;0;8443539.34;951962.66;0;133646.47;32929.69;0
101;31/12/2018;9069327.74;0;0;0;8538442.15;355047.84;0;175837.75;0;0
111;31/12/2018;15766241.91;0;0;130873.17;14867496.74;767872;0;0;0;0
121;31/12/2018;11215760.03;0;0;0;9334072.37;1588514.03;0;0;293173.63;0
131;31/12/2018;148249651.36;0;0;60000;140463785.86;7692865.5;0;0;33000;0
141;31/12/2018;22296548.26;0;0;61300;18374876.36;1501675.06;0;999470.76;1180272.94;178953.14
151;31/12/2018;3038138.69;0;0;-314.21;2700397.62;330055.28;8000;0;0;0
161;31/12/2018;12505098.57;0;0;2000;11394695.96;1058402.61;50000;0;0;0
171;31/12/2018;21144698.56;0;0;106750;19062866.27;1951666.6;0;0;23415.69;0
181;31/12/2018;9577621.61;0;0;0;8684776.35;780883.25;50000;0;61962.01;0
191;31/12/2018;8737150.17;0;0;3000;8240267.21;446843.3;2802.7;0;44236.96;0
201;31/12/2018;9666489.3;0;0;-995.17;7334715.47;1265835.78;0;675964.77;379463.6;11504.85
202;31/12/2018;7688498.68;0;0;0;6796195.09;442440.01;0;0;443046.02;6817.56
211;31/12/2018;27311808.56;0;0;0;24532940.07;2053530.15;17406.5;707931.84;0;0
221;31/12/2018;17508861.19;10354.23;0;31132.75;15934681.1;1436348.11;16345;0;80000;0
231;31/12/2018;2916403.28;0;0;100;2734458.58;181844.7;0;0;0;0
241;31/12/2018;12490470.62;0;0;85;11257617.86;943397.45;0;273632.31;0;15738
253;31/12/2018;22902076.76;0;0;10000;19263887.52;2792942.28;25124.76;690981.72;115312.6;3827.88
261;31/12/2018;25540510.09;0;0;18747;21269784.67;2998623.45;0;635092.34;618262.63;0
271;31/12/2018;17391258.48;0;0;550;16518841.4;768267.08;103600;0;0;0
281;31/12/2018;13812223.36;0;0;10355.46;12558657.63;968041.8;0;274626.17;0;542.3
293;31/12/2018;33630135.42;0;0;0;31940927.83;909338.63;0;636305.76;143563.2;0
301;31/12/2018;45695658.18;0;0;909012.18;40027810.54;2927023.15;11408.6;1320571.8;497431.91;2400
311;31/12/2018;118367451.25;-58;0;98500;108005734.99;8992637;0;472772.31;797864.95;0
321;31/12/2018;8167164.37;0;0;0;7300547.15;850348.31;0;16268.91;0;0
331;31/12/2018;99091678.98;0;0;0;89575501.73;8523045.17;14516.3;848615.78;130000;0
348;31/12/2018;69876100.29;0;0;14145;63823928.26;5278941.04;0;553978.02;202569.78;2538.19
351;31/12/2018;43974538.53;0;0;16703.75;39066815.35;2561776.5;0;2081943.54;176013.76;71285.63
361;31/12/2018;6300650.86;0;0;0;4877867.28;392501.24;0;465860.53;555488.21;8933.6
371;31/12/2018;25425357.04;0;0;4756;24428930.81;606349.2;68843.76;316477.27;0;0
388;31/12/2018;74533812.43;0;0;164734.9;65898974.31;5954597.48;100000;1934940.83;428625.55;51939.36
391;31/12/2018;9033994.38;0;0;0;7836783.81;1067210.57;0;0;130000;0
401;31/12/2018;14541315.81;0;0;2000;11899663.04;1815792.11;196108.5;615245.1;0;12507.06
411;31/12/2018;7987301.87;0;0;33376.84;6710229.47;356085;0;875667.87;0;11942.69
428;31/12/2018;36484271.5;0;0;0;33859943.95;1685372.23;0;264772.1;669229.22;4954
431;31/12/2018;10584504.67;0;0;7607.31;9448070.17;1103827.19;0;0;25000;0
441;31/12/2018;75637088.86;0;0;1317008;63858989.04;7908783.16;0;2221616.92;328748.7;1943.04
451;31/12/2018;26144562.1;0;0;0;22691277.34;1667998.78;156339;937597.62;586382;104967.36
461;31/12/2018;7054939.98;0;0;0;5760179.67;574841.49;0;0;493326.86;226591.96
471;31/12/2018;15057064.27;0;0;89462;13500299.78;1355294.52;0;112007.97;0;0
481;31/12/2018;2906513.78;0;0;0;2845837.46;29071.72;0;31604.6;0;0
493;31/12/2018;35707744.2;157498.7;0;728674.85;32302397.34;1681606.04;0;837567.27;0;0
501;31/12/2018;15625002.39;0;0;0;12567771.42;1916391.06;10500;663612.36;462958.78;3768.77
511;31/12/2018;23568134.78;0;0;0;20776755.7;2249996.59;0;469919.36;48705.84;22757.29
