OBJECTID,code_voie,metre,t_inf140,t_inf120,t_inf90,t_inf120sm,t_p5,t_p8,t_p12,t_dev2,t_sol,t_cont_rc,t_contv_ch,t_abstrot,numphoto,observatio,commune,chiffrage,fk_objet,created_user,created_date,last_edited_user,last_edited_date,rue,url_photo_avant,url_photo_apres,clc_taux_courant,clc_taux_initial,tmp_somme_taux,CreationDate,Creator,EditDate,Editor,GlobalID,SHAPE_Length
44,29,0,0,0,0,0,0,0,0,0.25,1,0,0,0,1400163,Aucune observation,SAINT-QUENTIN,2250,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1400163.JPG,nophoto.JPG,0,0,1.25,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{5A8241B8-DD9E-4D02-A7D3-2ED35EA75C2C},152.82482996485
45,30,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1400154,Aucune observation,SAINT-QUENTIN,2250,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1400154.JPG,nophoto.JPG,75,75,0.25,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{3B89FDDA-8BB7-45C3-A456-A1D572180830},73.0338297266415
46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1410256,Aucune observation,SAINT-QUENTIN,1900,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410256.JPG,nophoto.JPG,0,0,1,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{8631C8F1-9970-439A-B3F3-17287B71E4B8},92.8123962313217
47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1410261,Aucune observation,SAINT-QUENTIN,2250,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410261.JPG,nophoto.JPG,0,0,1,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{515E71F7-4624-43CB-970A-54E8A28B8E46},146.417261904274
48,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,1410265,Aucune observation,SAINT-QUENTIN,850,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410265.JPG,nophoto.JPG,0,0,1.25,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{76A61DA3-E699-4355-815E-BDA52FEB2B85},151.604762394987
49,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,1410252,Aucune observation,SAINT-QUENTIN,1050,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1410252.JPG,nophoto.JPG,0,0,1.25,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{6CF21B80-E342-4283-9CB7-645F08A05A6E},93.1787912137782
50,27,0,0,0,0,0,0,0,0,0.25,1,0,0,0,1400155,Aucune observation,SAINT-QUENTIN,1900,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1400155.JPG,nophoto.JPG,0,0,1.25,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{E21591BF-21AD-4E7D-9AF2-DB6A1F44FD22},75.987277883475
51,28,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1400161,Aucune observation,SAINT-QUENTIN,1050,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1400161.JPG,nophoto.JPG,75,75,0.25,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{4AC94E57-DC62-449B-9F54-088CAF8213EC},149.980390519716
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400202,Aucune observation,SAINT-QUENTIN,500,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1400202.JPG,nophoto.JPG,100,100,0,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{981F6DEB-4515-4B2D-8A5B-416898A1E757},44.5446186732838
53,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,1400205,Aucune observation,SAINT-QUENTIN,2250,CHEMINEMENT,,,PROD,2015/12/09 09:31:02,,P1400205.JPG,nophoto.JPG,50,50,0.5,2015/12/09 15:27:27,mickael.delaere,2015/12/09 15:27:27,mickael.delaere,{D5D3F622-46B8-4106-894C-704F211AEFF6},123.087814669927
