X,Y,FID,nombre,localisati,secteur,etat,source,export,controle
55.4459877190001,-20.8969512159999,234,1,Allée des Topazes épicerie Hong Lau,La Bellepière,RAS,CINOR,26/08/2019,30/08/01
55.4466447510001,-20.896315917,235,2,Allée des Topazes arrêt Mairie,La Bellepière,HS,CINOR,26/08/2019,30/08/01
55.4465868770001,-20.895970953,236,2,Allée des Topazes Mairie annexe Poste,La Bellepière,RAS,CINOR,26/08/2019,30/08/01
55.44927232,-20.896443572,237,1,Stade Bellepière,La Bellepière,RAS,CINOR,26/08/2019,30/08/01
55.4493496960001,-20.895808061,238,1,Bvd Gaston Monnerville,La Bellepière,RAS,CINOR,26/08/2019,30/08/01
55.449291843,-20.8952452149999,239,5,Bvd Gaston Monnerville Entré Lycée,La Bellepière,2plB 2vpB,CINOR,26/08/2019,30/08/01
55.449407916,-20.894791352,240,1,Bvd Gaston Monnerville Gymnase,La Bellepière,RAS,CINOR,26/08/2019,30/08/01
55.4451008200001,-20.889488899,241,1,Allée des Topazes arrêt Camps Ozous,La Bellepière,RAS,CINOR,26/08/2019,30/08/01
55.4455641910001,-20.890687311,242,5,Allée des Topazes arrêt Hopital,La Bellepière,2HS 3RAS,CINOR,26/08/2019,30/08/01
55.4429939390001,-20.8934282769999,243,1,Allée des Topazes arrêt Ecole Normale,La Bellepière,RAS,CINOR,26/08/2019,30/08/01
55.44511902,-20.8939371349999,244,1,Allée des Emeraude Maison de quartier Boulodrome,La Bellepière,B,CINOR,26/08/2019,30/08/01
55.454826944,-20.8918041599999,245,1,Bvd Providence face alleé des Thuyas (citée Vidot),La Providence,RAS,CINOR,26/08/2019,30/08/01
55.4568492440001,-20.893662422,246,2,Bvd Providence arrêt Papaya,La Providence,HS,CINOR,26/08/2019,30/08/01
55.457548854,-20.8932195109999,247,2,Ecole maternelle Jacque Coeur,La Providence,HS,CINOR,26/08/2019,30/08/01
55.4571230700001,-20.8932050989999,248,1,Centre culturel Jacque Coeur,La Providence,RAS,CINOR,26/08/2019,30/08/01
55.457427158,-20.893605309,249,1,Ecole maternelle Jacque Coeur (entré Sud),La Providence,HS,CINOR,26/08/2019,30/08/01
55.4573509640001,-20.8944485129999,250,1,Bvd Providence intersection Allée de la Forêt,La Providence,RAS,CINOR,26/08/2019,30/08/01
55.4582327700001,-20.8963923069999,251,2,Bvd Providence proximité de OK,La Providence,RAS,CINOR,26/08/2019,30/08/01
55.4582631640001,-20.896249403,252,1,Rue des Paniers arrêt Dorret,Les Camélias,RAS,CINOR,26/08/2019,30/08/01
55.4582175690001,-20.896120719,253,1,Rue des Paniers intersection rue Alphonse Dodet,Les Camélias,RAS,CINOR,26/08/2019,30/08/01
55.46028628,-20.893477162,254,1,Avenue Jean Albany (Début),Les Camélias,RAS,CINOR,26/08/2019,30/08/01
55.398128666,-20.918952764,255,1,Route Antide Boyer intersection Chemin Cayenne ter,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.400348932,-20.920165315,256,1,Route Antide Boyer arrêt Papayes,La Montagne,MC,CINOR,26/08/2019,04/09/01
55.40314284,-20.921420783,257,1,Route Antide Boyer arrêt des affouches 100m supere,La Montagne,Taggé,CINOR,26/08/2019,04/09/01
55.4032338960001,-20.920929782,258,1,Route Antide Boyer superet Pirrot,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.4045014010001,-20.919324074,259,1,Route Antide Boyer école primaire les affouches,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.4046379810001,-20.918827806,260,1,Route Antide Boyer arrêt bus à côté n°45,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.4062291170001,-20.917398271,261,1,Route Antide Boyer arrêt Cascade,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.4056329220001,-20.916901756,262,1,Chemin Père Rimbault arrêt Soupou,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.4044915740001,-20.91631948,263,1,Chemin Père Rimbault arrêt ravine Prudent,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.4036688310001,-20.914766136,264,1,Chemin Père Rimbault arrêt Cimetière,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.4038773950001,-20.909576214,265,1,Chemin du Cimetière arrêt ?,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.403428569,-20.912497844,266,1,Chemin du Cimetière commerce alimentation Bouhan,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.40311583,-20.913224886,267,1,Chemin du Cimetière Entré du Cimetière,La Montagne,RAS,CINOR,26/08/2019,04/09/01
