oid,code,libelle,surf_m2
133765,2310,Prairies,870
133984,2310,Prairies,26746
134022,2310,Prairies,6409
134086,2310,Prairies,6180791
134183,2310,Prairies,1162897
134753,2310,Prairies,11361
134857,2310,Prairies,9541
134988,2310,Prairies,1760119
135017,2310,Prairies,14012
135304,2310,Prairies,7573175
135391,2310,Prairies,7864
151677,2310,Prairies,5643034
135576,2310,Prairies,13459641
135793,2310,Prairies,2100817
136210,2310,Prairies,17878
136346,2310,Prairies,3656238
136361,2310,Prairies,7145
136420,2310,Prairies,9154
136497,2310,Prairies,7379
136537,2310,Prairies,21480
136591,2310,Prairies,9385
136885,2310,Prairies,3375
136931,2310,Prairies,3914
137044,2310,Prairies,5066
137146,2310,Prairies,1967218
137233,2310,Prairies,15163
137305,2310,Prairies,2872
137322,2310,Prairies,3697946
137359,2310,Prairies,1567201
137454,2310,Prairies,9485
137526,2310,Prairies,1740131
137548,2310,Prairies,11008
137678,2310,Prairies,5880
137726,2310,Prairies,1308
137732,2310,Prairies,6109
137878,2310,Prairies,29622
138027,2310,Prairies,2687612
138020,2310,Prairies,2079
138477,2310,Prairies,17529054
138520,2310,Prairies,4822
138532,2310,Prairies,25314
138586,2310,Prairies,1406961
138614,2310,Prairies,5989
138629,2310,Prairies,9366
138687,2310,Prairies,5835
138709,2310,Prairies,3248945
138745,2310,Prairies,4728
138801,2310,Prairies,7089444
138847,2310,Prairies,1770513
138917,2310,Prairies,13015
138956,2310,Prairies,2862
139096,2310,Prairies,1418505
139227,2310,Prairies,2832432
139289,2310,Prairies,9560
139720,2310,Prairies,3078428
139394,2310,Prairies,2349286
139464,2310,Prairies,1360343
139946,2310,Prairies,5541
139560,2310,Prairies,906958
139591,2310,Prairies,4275
139644,2310,Prairies,1457713
139697,2310,Prairies,1869
139779,2310,Prairies,16587
139788,2310,Prairies,561754761
139817,2310,Prairies,29278
139876,2310,Prairies,7877
139912,2310,Prairies,11363
139920,2310,Prairies,117227
139994,2310,Prairies,4775911
140070,2310,Prairies,2620
140116,2310,Prairies,7127420
140130,2310,Prairies,1334094
140225,2310,Prairies,41387
140269,2310,Prairies,1355024
140298,2310,Prairies,27462
140336,2310,Prairies,11196
140394,2310,Prairies,10734
140535,2310,Prairies,4848643
140558,2310,Prairies,12035916
140609,2310,Prairies,7415
140713,2310,Prairies,3563
140727,2310,Prairies,1238107
140823,2310,Prairies,1895041
140891,2310,Prairies,3866
140964,2310,Prairies,2215287
140958,2310,Prairies,5022
141014,2310,Prairies,4577
141040,2310,Prairies,2930
141114,2310,Prairies,1023131
141131,2310,Prairies,3389
141235,2310,Prairies,3457
141317,2310,Prairies,39814
141339,2310,Prairies,5461845
141352,2310,Prairies,2431999
141568,2310,Prairies,1400
141532,2310,Prairies,37825
141614,2310,Prairies,24276
141788,2310,Prairies,19499
141935,2310,Prairies,8272
141968,2310,Prairies,1558
142003,2310,Prairies,1662
142069,2310,Prairies,5385
142406,2310,Prairies,1133
142420,2310,Prairies,1094867
142456,2310,Prairies,13759
142572,2310,Prairies,2774
142717,2310,Prairies,4360
142821,2310,Prairies,4078
142984,2310,Prairies,1413498
143304,2310,Prairies,2370
143395,2310,Prairies,2827
143413,2310,Prairies,3783
143440,2310,Prairies,3534464
143509,2310,Prairies,14616
143517,2310,Prairies,1572292
143537,2310,Prairies,1576575
144025,2310,Prairies,1362540
143968,2310,Prairies,5986
152795,2310,Prairies,5552
144369,2310,Prairies,3459
144531,2310,Prairies,8675
144599,2310,Prairies,4285
144627,2310,Prairies,3361
144730,2310,Prairies,9477
144875,2310,Prairies,3750
145013,2310,Prairies,4151251
145042,2310,Prairies,6643
145123,2310,Prairies,1271595
145428,2310,Prairies,9472
145537,2310,Prairies,3926
145565,2310,Prairies,1978610
145658,2310,Prairies,24301
145834,2310,Prairies,3027
145874,2310,Prairies,2852464
145856,2310,Prairies,1955080
145955,2310,Prairies,4980
145990,2310,Prairies,2640755
146006,2310,Prairies,3819
146059,2310,Prairies,2785
146127,2310,Prairies,1895
146132,2310,Prairies,1097
146145,2310,Prairies,1914
146191,2310,Prairies,4237
146384,2310,Prairies,10077
146452,2310,Prairies,6186
146469,2310,Prairies,1924
146575,2310,Prairies,1358818
146641,2310,Prairies,2247331
146750,2310,Prairies,17284
146810,2310,Prairies,2291
146827,2310,Prairies,5184
146879,2310,Prairies,12207
146908,2310,Prairies,4970
146960,2310,Prairies,21093
147060,2310,Prairies,2402395
147132,2310,Prairies,4118792
147178,2310,Prairies,6836
147173,2310,Prairies,4431284
147202,2310,Prairies,4558
147254,2310,Prairies,1664545
147288,2310,Prairies,5480
147302,2310,Prairies,1845592
147401,2310,Prairies,5456
147355,2310,Prairies,7950
147439,2310,Prairies,1954709
147377,2310,Prairies,6137
147456,2310,Prairies,1482
147483,2310,Prairies,2408
147539,2310,Prairies,2745
147558,2310,Prairies,3051
147660,2310,Prairies,9968
158193,2310,Prairies,887
147783,2310,Prairies,586
147860,2310,Prairies,4985
147886,2310,Prairies,6286849
147895,2310,Prairies,4375
148118,2310,Prairies,1693335
148179,2310,Prairies,11327
148285,2310,Prairies,3624
148306,2310,Prairies,2533118
148344,2310,Prairies,1547372
148383,2310,Prairies,2531902
148435,2310,Prairies,5372298
148471,2310,Prairies,7804
148515,2310,Prairies,2317075
148519,2310,Prairies,4975465
149075,2310,Prairies,1647
148601,2310,Prairies,11055
148872,2310,Prairies,2485709
134241,2310,Prairies,0
148967,2310,Prairies,1554004
149052,2310,Prairies,827166
149655,2310,Prairies,2860
149867,2310,Prairies,2638658
149937,2310,Prairies,5733
149995,2310,Prairies,2678079
118722,2310,Prairies,5029
150075,2310,Prairies,4127698
118855,2310,Prairies,6581
150264,2310,Prairies,5581423
125546,2310,Prairies,30899
150551,2310,Prairies,13355
125653,2310,Prairies,7010
132558,2310,Prairies,5164
150734,2310,Prairies,1511676
133135,2310,Prairies,21323
134881,2310,Prairies,8043
134882,2310,Prairies,4202
150965,2310,Prairies,1692017
150981,2310,Prairies,5106709
151012,2310,Prairies,1952440
135511,2310,Prairies,20567
136569,2310,Prairies,15645
151520,2310,Prairies,8283
151542,2310,Prairies,1514774
137537,2310,Prairies,1246
151797,2310,Prairies,2287810
151958,2310,Prairies,1879640
152039,2310,Prairies,4951
152071,2310,Prairies,4651
152090,2310,Prairies,2255
152122,2310,Prairies,7376
152236,2310,Prairies,3312
152243,2310,Prairies,1427
152320,2310,Prairies,4702
152481,2310,Prairies,2762526
152828,2310,Prairies,927713
152864,2310,Prairies,732
153015,2310,Prairies,2398
153301,2310,Prairies,3353
153440,2310,Prairies,2160
153547,2310,Prairies,8909
153639,2310,Prairies,1434652
153684,2310,Prairies,2313622
153705,2310,Prairies,1185
154058,2310,Prairies,2098192
154252,2310,Prairies,3687
154512,2310,Prairies,2072
154610,2310,Prairies,2611
154777,2310,Prairies,4666
99653,2111,Terres arables,9551
103144,2111,Terres arables,1258
