"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_LGT_1P","NB_LGT_2P","NB_LGT_3P","NB_LGT_4P","NB_LGT_5P","NB_LGT_6P","NB_LGT_DEMOLIS","NB_LGT_IND_CREES","NB_LGT_COL_CREES","NB_LGT_TOT_CREES","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","I_PISCINE","I_GARAGE","I_VERANDA","I_ABRIJARDIN","I_AUTREANNEXE","I_RESIDPRINC","I_RESIDSEC","I_PERSONNELLE","I_VENTE","I_LOCATION","I_LGTR_SENIORS","I_LGTR_ETUDIANTS","I_LGTR_TOURISME","I_LGTR_HOTELIERESOC","I_LGTR_SOCIAL","I_LGTR_HANDICAPES","I_LGTR_AUTRE","I_LGTR_AUTRE_LIBELLE","SDP_A1","SDP_B1","SDP_D1","SDP_ E1","SDP_F1","TYPE_OPERATION_CONSTR","PERIODE_DEVRT","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"24","37","37002","2019","0370021950016","90","2",,,,"7",,"RUE DE LA MILLETIERE",,,"37100","TOURS",,"100",,,"RUE FLEURIE",,,"37340","AMBILLOU",,"0149AD","0063AD","0152AD",1,12525,,,,0,0,4,2,0,0,0,6,0,6,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,450,0,0,0,"7",2019-12-31,,
"24","37","37003","2019","03700319A0063","80","2",,,,"8","allee","de la Croix Saint-Jean",,,"37400","AMBOISE",,"100","8","ALLEE","DE LA CROIX SAINT JEAN",,,,"AMBOISE",,"0216BM","0214BM","0218BM",2,7404,,,,0,0,0,0,0,0,0,0,0,0,,"2",1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,435,21,0,72,0,"12",2019-12-31,"2019-12-31",
"24","37","37003","2019","03700319A0065","80","2",,,,"9","Chemi","du Grand Malpogne",,,"37400","AMBOISE",,"100","9","CHEMI","DU GRAND MALPOGNE",,,,"AMBOISE",,"0138C","0140C","4179C",2,7288,,,,0,0,0,0,0,0,0,0,0,0,,"2",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,156,26,0,0,0,"4",2019-12-31,"2019-12-31",
"24","37","37003","2019","03700319A0066","10","2",,,,"7","rue","des Devalleries",,,"37520","LA RICHE",,"100","6","ALLEE","DE LA PERLE -",,,,"AMBOISE",,"0286AB",,,2,317,,,,0,0,0,0,0,0,0,1,0,1,,"1",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,89,0,0,0,"5",2019-12-31,"2019-12-02",
"24","37","37003","2019","03700319A0067","10","2",,,,"199","Rue","Jolivet",,,"37000","TOURS",,"100","24","Rue","Jean Monnet",,,,"AMBOISE",,"2476D","2466D",,2,543,,,,0,0,0,0,0,0,0,1,0,1,,"1",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,103,0,0,0,"5",2019-12-31,"2019-12-03",
"24","37","37003","2019","03700319A0072","90","2",,,,"4","Allee","du Bosquet",,,"37300","JOUE LES TOURS",,"100",,"RUE","DE BEL AIR",,,,"AMBOISE",,"348pF",,,1,271,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,92,0,0,0,"4",2019-12-31,,
"24","37","37003","2019","03700319A0073","90","2",,,,"75","rue","Stephanie Pitard",,,"37000","TOURS",,"100","14","RUE","DU CLOS CHAUFFOUR",,,,"AMBOISE",,"040cAS",,,1,428,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,89,0,0,0,"4",2019-12-31,,
"24","37","37003","2019","03700319A0074","90","2",,,,"10","bis","rue du Four a Chaux",,,"37400","AMBOISE",,"100","10","BIS","RUE DU FOUR A CHAUX",,,,"AMBOISE",,"2769A",,,1,246,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,"1",2019-12-31,,
"24","37","37003","2019","03700319A0075","90","2",,,,"2","Rue","de Montluma",,,"37530","LIMERAY",,"100",,"LA","CLOSERIE",,,,"AMBOISE",,"0005AX","0004AX",,1,1425,,,,0,0,0,0,0,0,0,4,0,4,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,364,0,0,0,"7",2019-12-31,,
"24","37","37003","2019","03700319A0076","90","2",,,,"12","lieu","dit Tressort",,,"37310","DOLUS LE SEC",,"100",,"LES","GUILLONNIERES",,,,"AMBOISE",,"0611AV",,,1,362,,,,0,0,0,0,0,0,0,1,0,1,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,107,0,0,0,"5",2019-12-31,,
