id_obst,id_cer,nom_obst,type_obst,lib_obst
FR32OP157,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP158,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP159,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP160,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP161,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP162,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP163,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP164,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP165,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP166,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP167,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP168,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP169,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP170,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP171,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP172,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP173,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP174,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP175,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP176,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP177,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
FR32OP178,FR32CER2020,obstacle à la fonctionnalité des RB,12,obstacle à l'écoulement
