"ID",Client,Région,region_climatique,Technologie,Année pose,Nombre de logements dans résidence,Nombre de RFC dans la residence,Nombre de CET dans la residence,Nombre de RTH dans la residence,Nombre moyen de RTH par logement,Nombre moyen de RFC par logement,RFC_REDEVANCE annuelle_TTC_par RFC,RFC_REDEVANCE annuelle_TTC_par LOG,RFC_Redevance sur 10 ans_TTC_par logement,CET_REDEVANCE_annuelle_TTC_par LOG,CET_redevenance sur 10 ans_TTC_par log,RTH_cout Total_TTC_par RTh,RTH_cout Total_TTC_par log,RFC_abonnement_TTC_par RFC,RFC_abonnement_TTC_par LOG,CET_LER_abonnement_TTC_log_an_actualise,RFC_investissement_TTC_par RFC_unité,RFC_investissement_TTC_par LOG,RFC_investissement_offert,CET_Investissement_TTC_par log
20,1,IdF,1,1,2017,60,270, ,270,4.5,4.5,8.17,36.8,422.4,,,79.1,356.1,8.2,36.7, ,0,0,0, 
38,1,Nouvelle Aquitaine,2,1,2017,7,30, ,30,4.5,4.5,7.78,,401.8,,,68.6,308.6,7.8,34.9, ,0,0,0, 
39,1,PACA,3,1,2017,16,72, , , ,4.5,7.49,,387.2,,,, ,7.5,33.6, ,0,0,0, 
40,1,ARA,1,1,2017,11,50, , , ,4.5,7.63,34.7,398.5,,,, ,7.6,34.6, ,0,0,0, 
41,1,ARA,1,1,2017,4,20, , , ,5,8.06,40.3,462.8,,,, ,8,40.2, ,0,0,0, 
42,1,Normandie,1,1,2017,28,168, , , ,6,7.84,47,540.2,,,, ,7.8,46.9, ,0,0,0, 
43,1,Centre Val de Loire,2,1,2017,27,135, , , ,5,7.43,37.1,426.5,,,, ,7.4,37.1, ,0,0,0, 
44,1,Grand Est,1,1,2017,3,23, , , ,7.7,9.07,69.5,798.9,,,, ,9.1,69.4, ,0,0,0, 
45,1,IdF,1,1,2017,74,202, ,202,2.7,2.7,7.49,20.5,234.9,,,68.6,187.2,7.5,20.4, ,0,0,0, 
46,1,IdF,1,1,2017,13,41, , , ,3.2,8.35,26.3,302.2,,,, ,8.3,26.3, ,0,0,0, 
47,1,ARA,1,1,2017,6,30, , , ,5,8.35,41.7,479.1,,,68.6, ,8.3,41.6, ,0,0,0, 
48,1,PACA,3,1,2017,49,220, , , ,4.5,8.01,36,412.9,,,, ,8,35.9, ,0,0,0, 
49,1,ARA,1,1,2017,29,225, , , ,7.8,8.69,67.5,774.5,,,, ,8.7,67.3, ,0,0,0, 
50,1,PACA,3,1,2017,25,104, , , ,4.2,7.99,33.2,381.9,,,, ,8,33.2, ,0,0,0, 
51,1,ARA,1,1,2017,12,60, , , ,5,7.13,35.7,409.7,,,, ,7.1,35.6, ,0,0,0, 
53,1,IdF,1,1,2017,23,115, , , ,5,9.23,46.2,530,,,, ,8.7,43.4, ,5.4,26.8,1, 
57,1,Grand Est,1,1,2017,4,26, , , ,6.5,10.42,67.7,777.6,,,, ,10.4,67.6, ,0,0,0, 
58,1,Grand Est,1,1,2017,2,14, , , ,7,11.45,80.1,920.1,,,, ,10.9,76.2, ,5.4,37.6,1, 
59,1,Grand Est,1,1,2017,4,21, , , ,5.3,9.79,51.4,590.4,,,, ,9.8,51.3, ,0,0,0, 
60,1,Grand Est,1,1,2017,2,10, , , ,5,10.89,54.4,625,,,, ,10.9,54.3, ,0,0,0, 
61,1,Grand Est,1,1,2017,3,21, , , ,7,9.77,68.5,786.2,,,, ,9.8,68.3, ,0,0,0, 
62,1,Grand Est,1,1,2017,2,10, , , ,5,12.66,63.3,726.8,,,, ,12.2,61, ,4.3,21.5,1, 
65,1,IdF,1,1,2017,14,60, , , ,4.3,9.52,40.8,468.5,,,, ,8.7,37.5, ,7.5,32.2,1, 
72,1,IdF,1,1,2017,40,180, ,180,4.5,4.5,8.35,,431.2,,,, ,8.3,37.5, ,0,0,0, 
73,1,IdF,1,1,2017,7,78, , , ,11.1,9.09,101.3,1164,,,, ,8.3,92.8, ,7.5,83.7,1, 
76,1,ARA,1,1,2007,74,308, , , ,4.2,10.25,42.7,489.9,,,, ,9.3,38.6, ,9.4,39.3,1, 
77,1,IdF,1,1,2015,19,64, , , ,3.4,,,,,,, , , , , , , , 
78,1,Grand Est,1,1,2014,67,276, , , ,4.1,13.01,53.6,615.4,,,, ,13,53.5, ,0,0,0, 
84,1,IdF,1,1,2008,52,148, , , ,2.8,12.9,,421.7,,,, ,11.9,33.9, ,9.4,26.9,1, 
85,1,IdF,1,1, ,64,309, , , ,4.8,7.62,,423,,,, ,7.6,36.7, ,0,0,0, 
86,1,Occitanie,3,1,2009,64,261, , , ,4.1,11.17,,523.2,,,, ,10.6,43.3, ,5.4,21.9,1, 
87,1,ARA,1,1,2009,43,269, , , ,6.3,,,,,,, , , , ,3,19.1,1, 
88,1,Pays de la Loire,2,1,2009,40,239, , , ,6,12.16,72.7,834.5,,,, ,11.6,69.3, ,5.4,32.1,1, 
89,1,ARA,1,1,2008,52,323, , , ,6.2,12.44,,887.7,,,, ,11.9,73.8, ,5.4,33.3,1, 
90,1,Nouvelle Aquitaine,2,1,2014,56,307, ,307,5.5,5.5,10.37,56.8,652.5,,,, ,10,54.7, ,3.5,19.4,1, 
94,1,ARA,1,1,2010,40,261, , , ,6.5,,,,,,, , , , ,2.1,14,1, 
95,1,ARA,1,1,2016,44,198, , , ,4.5,,,,,,, , , , , , , , 
96,1,ARA,1,1,2005,24,154, , , ,6.4,,,,,,, , , , , , , , 
98,1,IdF,1,1,2015,40,180, , , ,4.5,,,,,,, , , , ,2.7,12.1,1, 
101,1,Pays de la Loire,2,1,2017,15,68, , , ,4.5,7.91,35.9,411.7,,,, ,7.6,34.3, ,3.2,14.6,1, 
103,1,ARA,1,1,2013,15,67, , , ,4.5,9,40.2,461.5,,,, ,8.6,38.4, ,3.8,16.8,1, 
104,1,ARA,1,1,2013,15,68, , , ,4.5,9.76,44.2,508.4,,,, ,9.4,42.7, ,3.2,14.4,1, 
105,1,ARA,1,1,2013,16,61, , , ,3.8,8.54,32.6,374.1,,,, ,8.3,31.5, ,2.7,10.2,1, 
106,1,ARA,1,1,2015,8,40, , , ,5,8.03,40.2,460.9,,,, ,7.3,36.7, ,6.7,33.5,1, 
110,1,ARA,1,1,2018,6,26, , , ,4.5,7.31,32.9,377.9,,,, ,7.3,32.8, ,0,0,0, 
111,1,IdF,1,1,2018,13,60, , , ,4.5,7.31,32.9,377.9,,,, ,7.3,32.8, ,0,0,0, 
112,1,ARA,1,1,2017,80,358, , , ,4.5,6.1,27.4,315.1,,,, ,6.1,27.4, ,0,0,0, 
113,1,ARA,1,1,2018,10,47, , , ,4.5,7.31,32.9,377.9,,,, ,7.3,32.8, ,0,0,0, 
114,1,ARA,1,1,2018,33,148, , , ,4.5,7.31,32.9,377.9,,,, ,7.3,32.8, ,0,0,0, 
115,1,ARA,1,1,2017,61,273, , , ,4.5,7.31,32.9,377.9,,,, ,7.3,32.8, ,0,0,0, 
116,1,ARA,1,1,2018,10,45, , , ,4.5,7.31,32.9,377.9,,,, ,7.3,32.8, ,0,0,0, 
117,1,ARA,1,1,2017,56,251, , , ,4.5,6.94,31.3,358.9,,,, ,6.9,31.2, ,0,0,0, 
118,1,IdF,1,1,2018,9,41, , , ,4.5,8.29,37.3,428.5,,,, ,8.3,37.2, ,0,0,0, 
119,1,ARA,1,1,2018,7,33, , , ,4.5,8.01,36.1,414.1,,,, ,8,36, ,0,0,0, 
126,1,IdF,1,1,2010,36,98, , , ,2.7,11.09,30.2,346.6,,,, ,10.5,28.7, ,5.4,14.6,1, 
127,1,Bretagne,2,1,2011,70,420, , , ,6,,,,,,, , , , ,3,18,1, 
131,1,Occitanie,3,1,2016,66,365, , , ,5.5,,,,,,, , , , ,1.9,10.4,1, 
133,1,IdF,1,1,2012,20,167, , , ,8.4,12.56,104.9,1204,,,, ,12.5,104.6, ,0,0,0, 
135,1,IdF,1,1,2008,44,157, ,220,5,3.6,11.59,41.4,475.1,,,, ,11.1,39.5, ,4.8,17.2,1, 
137,1,PACA,3,1,2017,60,300, , , ,5,7.14,35.7,410.2,,,, ,7.1,35.6, ,0,0,0, 
138,1,PACA,3,1,2017,54,220, ,1,0,4.1,8.02,32.7,375.4,,,, ,8,32.6, ,0,0,0, 
140,1,PACA,3,1,2017,40,200, ,1,0,5,7.03,35.2,404.1,,,, ,7,35.1, ,0,0,0, 
141,1,ARA,1,1,2017,31,155, , , ,5,7.09,35.5,407.6,,,, ,7.1,35.4, ,0,0,0, 
142,1,ARA,1,1,2017,78,450, , , ,5.8,7.06,40.8,467.8,,,, ,7,40.6, ,0,0,0, 
145,1,PACA,3,1,2017,49,200, ,1,0,4.1,8.02,32.7,376.1,,,, ,8,32.7, ,0,0,0, 
146,1,PACA,3,1,2017,43,175, ,1,0,4.1,8.02,32.6,375,,,, ,8,32.6, ,0,0,0, 
147,1,PACA,3,1,2017,48,200, ,200,4.2,4.2,6.88,28.6,329.1,,,, ,6.9,28.6, ,0,0,0, 
148,1,PACA,3,1,2017,58,232, , , ,4,7.77,31.1,356.6,,,, ,7.7,31, ,0,0,0, 
149,1,PACA,3,1,2017,53,203, , , ,3.8,7.97,30.6,350.6,,,, ,8,30.5, ,0,0,0, 
150,1,PACA,3,1,2017,62,258, , , ,4.2,8.02,33.4,383.5,,,, ,8,33.3, ,0,0,0, 
153,1,BFC,1,1,2016,38,200, , , ,5.3,8.26,43.4,499.2,,,, ,8.2,43.4, ,0,0,0, 
154,1,BFC,1,1,2017,4,30, , , ,7.5,9.45,70.8,813.5,,,, ,8.7,65, ,7.5,56.3,1, 
155,1,BFC,1,1,2017,4,26, , , ,6.5,9.09,59.1,679,,,, ,8.3,54.1, ,7.5,48.8,1, 
156,1,BFC,1,1,2017,4,21, , , ,5.3,9.09,47.7,548.4,,,, ,8.3,43.7, ,7.5,39.4,1, 
157,1,BFC,1,1,2017,3,27, , , ,9,9.09,81.8,940.2,,,, ,8.3,74.9, ,7.5,67.6,1, 
158,1,Grand Est,1,1,2017,5,25, , , ,5,8.16,40.9,469,,,, ,8.1,40.7, ,0,0,0, 
159,1,Grand Est,1,1,2017,2,18, , , ,9,8.69,78.2,898.4,,,, ,8.7,78.1, ,0,0,0, 
160,1,Grand Est,1,1,2017,3,27, , , ,9,8.35,75.1,862.3,,,, ,8.3,74.9, ,0,0,0, 
161,1,BFC,1,1,2016,4,24, , , ,6,8.69,52.2,598.9,,,, ,8.7,52, ,0,0,0, 
162,1,Grand Est,1,1,2017,7,52, , , ,7.4,8.06,59.8,687.6,,,, ,8,59.7, ,0,0,0, 
163,1,Occitanie,3,1,2016,10,77, , , ,7.7,7.24,55.8,640,,,, ,7.2,55.6, ,0,0,0, 
164,1,Occitanie,3,1,2017,37,185, ,1,0,5,7.4,37,424.7,,,, ,7.4,36.9, ,0,0,0, 
166,1,Pays de la Loire,2,1,2017,36,139, , , ,3.9,7.1,27.4,314.9,,,, ,7.1,27.4, ,0,0,0, 
167,1,Centre Val de Loire,2,1,2018,27,135, ,1,0,5,7.43,37.1,426.5,,,, ,7.4,37.1, ,0,0,0, 
172,1,Occitanie,3,1,2016,7,32, , , ,4.5,7.24,,374,,,, ,7.2,32.5, ,0,0,0, 
174,1,Hauts de France,1,1,2017,78,546, , , ,7,7.26,50.9,583.8,,,, ,7.2,50.7, ,0,0,0, 
175,1,Normandie,1,1,2017,69,380, , , ,5.5,7.48,41.2,473.5,,,, ,7.5,41.1, ,0,0,0, 
176,1,Hauts de France,1,1,2017,59,270, , , ,4.6,7.4,33.8,388.7,,,, ,7.4,33.8, ,0,0,0, 
177,1,Hauts de France,1,1,2017,59,226, , , ,3.8,6.85,26.2,301.2,,,, ,6.8,26.2, ,0,0,0, 
178,1,Normandie,1,1,2017,36,198, ,198,5.5,5.5,7.4,40.7,467.1,,,, ,7.4,40.6, ,0,0,0, 
179,1,Hauts de France,1,1,2017,78,350, , , ,4.5,6.69,30,344.6,,,, ,6.7,29.9, ,0,0,0, 
180,1,Hauts de France,1,1,2017,70,315, , , ,4.5,6.69,30.1,345.6,,,, ,6.7,30, ,0,0,0, 
182,1,Hauts de France,1,1,2017,37,166, , , ,4.5,6.69,30,344.5,,,, ,6.7,29.9, ,0,0,0, 
