Maisons des Associations;Date ;Heure de début;Heure de fin;Activité;Type de réservation;Associations
LA LUNA;20/11/2018;10H00;11H00;ACTIVITE BIEN ETRE;COURS;GYM ET BIEN ETRE
LA LUNA;20/11/2018;11H00;13H00;ACTIVITE BIEN ETRE;COURS;EVEIL MASALA
LA LUNA;20/11/2018;14H00;17H00;COURS DE LANGUE;COURS;DIRECTION DES SENIORS
LA LUNA;20/11/2018;17H00;20H00;CULTURE;COURS;SUN RIVIER'ART
LA LUNA;20/11/2018;18H00;20H00;ACTIVITE BIEN ETRE;COURS;YOGA ESSENCE
LA LUNA;20/11/2018;18H00;20H00;DANSE ;COURS;1000 AURAS DANSENT
LA LUNA;20/11/2018;19H00;20H00;ACTIVITE BIEN ETRE;COURS;DE L'ETOILE O SAMA
LA LUNA;21/11/2018;10H00;12H00;PROXIMITE;COURS;ASSOCIATION MEDIATION CITE
LA LUNA;21/11/2018;14H00;16H00;COURS DE LANGUE;COURS;DIRECTION DES SENIORS
LA LUNA;21/11/2018;14H00;18H00;LOISIRS;ANIMATION;PROMO LOISIRS
LA LUNA;21/11/2018;14H00;18H00;LOISIRS;ANIMATION;PROMO LOISIRS
LA LUNA;21/11/2018;14H00;16H00;ENSEIGNEMENT;COURS;DIRECTION DES SENIORS
LA LUNA;21/11/2018;17H00;18H00;ACTIVITE BIEN ETRE;COURS;OLEA PADMA
LA LUNA;21/11/2018;18H00;20H00;ACTIVITE BIEN ETRE;COURS;OLEA PADMA
LA LUNA;22/11/2018;09H00;11H00;DANSE ;COURS;1000 AURAS DANSENT
LA LUNA;22/11/2018;10H00;11H00;ACTIVITE BIEN ETRE;COURS;GYM ET BIEN ETRE
LA LUNA;22/11/2018;10H00;12H00;ACTIVITE BIEN ETRE;COURS;L'ESPACE DES POSSIBLES
LA LUNA;22/11/2018;14H00;16H30;DANSE ;OCCUPATION PERMANENTE;DIRECTION DES SENIORS
LA LUNA;22/11/2018;14H00;16H30;DANSE ;OCCUPATION PERMANENTE;DIRECTION DES SENIORS
LA LUNA;22/11/2018;15H00;18H00;SOCIAL;PERMANENCE;ALETHEIA
LA LUNA;22/11/2018;18H00;20H00;DANSE ;COURS;1000 AURAS DANSENT
LA LUNA;22/11/2018;18H00;19H00;ACTIVITE BIEN ETRE;COURS;YOGADOR
LA LUNA;22/11/2018;18H00;20H00;CULTURE;COURS;SUN RIVIER'ART
LA LUNA;22/11/2018;18H00;19H00;ACTIVITE BIEN ETRE;COURS;L'EVEIL DU COEUR
LA LUNA;23/11/2018;09H00;12H00;INFORMATIQUE;COURS;DIRECTION DES SENIORS
LA LUNA;23/11/2018;10H00;11H00;ACTIVITE BIEN ETRE;COURS;OLEA PADMA
LA LUNA;23/11/2018;10H00;13H00;ACTIVITE BIEN ETRE;COURS;SESAME
LA LUNA;23/11/2018;14H00;18H00;LOISIRS;ANIMATION;PROMO LOISIRS
LA LUNA;23/11/2018;14H00;16H00;CHANT;COURS;DIRECTION DES SENIORS
LA LUNA;24/11/2018;10H00;12H00;EMPLOI;REUNION;ASNC06 - LES AMIS DE SOLIDARITES NOUVELLES FACE AU CHOMAGE
LA LUNA;24/11/2018;10H00;12H00;CULTURE;COURS;SUN RIVIER'ART
LA LUNA;24/11/2018;10H00;12H00;COURS DE LANGUE;COURS;PLANETE ASIE 
LA LUNA;24/11/2018;10H00;12H00;COURS DE LANGUE;COURS;ASSOCIATION PASSERELLE FRANCO JAPONAIS
LA LUNA;24/11/2018;14H00;17H00;CULTURE;COURS;ASSOCIATION FRANCO-UKRAINIENNE COTE D'AZUR
LA LUNA;24/11/2018;15H00;17H00;CULTURE;ATELIER;ASSOCIATION FRANCO RUSSE NATHALIE
LIBERATION;24/11/2018;10H00;12H00;ECONOMIE;REUNION;LES AMIS DE NICE COOP
NICE-CENTRE;19/11/2018;14H00;17H00;COURS DE LANGUE;REUNION;FRANCE GRANDE BRETAGNE
NICE-CENTRE;20/11/2018;09H00;10H00;SOCIAL;PERMANENCE;AS3P - ASSOCIATION DE SUIVI PSYCHOLOGIQUE POST-PENAL  
NICE-CENTRE;20/11/2018;09H00;14H00;ORGANISME PUBLIC;REUNION;SVA SERVICE DE LA VIE ASSOCIATIVE
NICE-CENTRE;20/11/2018;10H00;17H00;COURS DE LANGUE;REUNION;FRANCE GRANDE BRETAGNE
NICE-CENTRE;20/11/2018;10H00;11H00;CULTURE;COURS;COLOMBIE COTE D'AZUR CCA
NICE-CENTRE;20/11/2018;16H00;17H00;HANDICAP;COURS;SESSAD LES NOISETIERS
NICE-CENTRE;20/11/2018;19H00;20H00;CULTURE;COURS;ART PLUME 7
NICE-CENTRE;21/11/2018;09H00;12H00;COURS DE LANGUE;COURS;INSTITUT CONFUCIUS COTE D'AZUR
NICE-CENTRE;21/11/2018;12H00;14H00;HANDICAP;COURS;SESSAD LES NOISETIERS
NICE-CENTRE;21/11/2018;14H00;17H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;21/11/2018;14H00;17H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;21/11/2018;14H00;17H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;21/11/2018;14H00;17H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;21/11/2018;14H00;17H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;21/11/2018;17H00;20H00;CULTURE;COURS;"ASSOCIATION NICOISE ""CHINE HORIZON"""
NICE-CENTRE;21/11/2018;18H00;20H00;CULTURE;COURS;ANECA - ASSOCIATION NICE ESPAGNE COTE D'AZUR
NICE-CENTRE;21/11/2018;18H00;20H00;SANTE;REUNION;OA - OUTRE-MANGEURS ANONYMES
NICE-CENTRE;22/11/2018;09H00;12H00;ENSEIGNEMENT;REUNION;ECTI - ECHANGES ET CONSULTATIONS PROFESSIONNELS SENIORS BENEVOLES
NICE-CENTRE;22/11/2018;17H00;20H00;CULTURE;COURS;"ASSOCIATION NICOISE ""CHINE HORIZON"""
NICE-CENTRE;22/11/2018;18H00;19H00;PATRIMOINE;COURS;ACADEMIA NISSARDA
NICE-CENTRE;22/11/2018;18H00;19H00;CULTURE;COURS;ANECA - ASSOCIATION NICE ESPAGNE COTE D'AZUR
NICE-CENTRE;22/11/2018;19H00;20H00;CULTURE;COURS;ART PLUME 7
NICE-CENTRE;23/11/2018;09H00;12H00;SOCIAL;PERMANENCE;ABI 06 - ASSOCIATION AU BENEFICE DE L'INSERTION
NICE-CENTRE;23/11/2018;10H00;11H00;CULTURE;COURS;ANECA - ASSOCIATION NICE ESPAGNE COTE D'AZUR
NICE-CENTRE;24/11/2018;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;24/11/2018;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;24/11/2018;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;24/11/2018;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;24/11/2018;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;24/11/2018;14H00;17H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;24/11/2018;14H00;17H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;24/11/2018;14H00;17H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;24/11/2018;14H00;17H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;24/11/2018;14H00;17H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;24/11/2018;17H00;18H00;INFORMATIQUE;REUNION;DESIR D'AVENIR
NICE-EST SAINT ROCH;19/11/2018;09H00;12H00;JEUNESSE;COURS;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;19/11/2018;09H00;12H00;SENIORS;COURS;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;19/11/2018;09H00;10H00;ACTIVITE BIEN ETRE;COURS;FORCE SANTE BIEN ETRE EN YOGA A NICE 
NICE-EST SAINT ROCH;19/11/2018;10H00;11H00;COURS DE LANGUE;COURS;COTE D'AZUR OXYGENE
NICE-EST SAINT ROCH;19/11/2018;14H00;17H00;SPORT;REUNION;ASSOCIATION SPORTIVE CULTURELLE ET HUMANITAIRE EXPLOITS SANS FRONTIERE
NICE-EST SAINT ROCH;19/11/2018;16H00;19H00;CHANT;COURS;COL CANTO
NICE-EST SAINT ROCH;19/11/2018;17H00;18H00;DANSE ;COURS;MOUVANCES
NICE-EST SAINT ROCH;19/11/2018;18H00;19H00;SPORT;COURS;GYMNASTIQUE VOLONTAIRE LA PASSERELLE
NICE-EST SAINT ROCH;19/11/2018;18H00;19H00;COURS DE LANGUE;COURS;COTE D'AZUR OXYGENE
NICE-EST SAINT ROCH;19/11/2018;18H00;21H00;CULTURE;ATELIER;CEPPI - CENTRE D'ETUDES PARAPSYCHOLOGIQUES ET DES PHENOMENES INEXPLIQUES
NICE-EST SAINT ROCH;19/11/2018;18H00;20H00;COURS DE LANGUE;COURS;AMICALE DES POLONAIS NICE - COTE D'AZUR
NICE-EST SAINT ROCH;19/11/2018;18H00;20H00;COURS DE LANGUE;COURS;ASSOCIATION PASSERELLE FRANCO JAPONAIS
NICE-EST SAINT ROCH;19/11/2018;18H00;19H00;CULTURE;COURS;ANECA - ASSOCIATION NICE ESPAGNE COTE D'AZUR
NICE-EST SAINT ROCH;19/11/2018;18H00;20H00;CULTURE;COURS;L'ECOLE DE LA VIE
NICE-EST SAINT ROCH;19/11/2018;19H00;20H00;SPECTACLE VIVANT;COURS;CORPS & GRAPHIK
NICE-EST SAINT ROCH;19/11/2018;19H00;21H00;CULTURE;COURS;ART PLUME 7
NICE-EST SAINT ROCH;19/11/2018;19H00;20H00;ACTIVITE BIEN ETRE;COURS;MANGALAM
NICE-EST SAINT ROCH;19/11/2018;19H00;20H00;ACTIVITE BIEN ETRE;COURS;FORCE SANTE BIEN ETRE EN YOGA A NICE 
NICE-EST SAINT ROCH;19/11/2018;19H00;21H00;DANSE ;COURS;PESVEBI (RACINES)
NICE-EST SAINT ROCH;19/11/2018;19H00;21H00;DANSE ;COURS;PESVEBI (RACINES)
NICE-EST SAINT ROCH;20/11/2018;09H00;12H00;EMPLOI;COURS;AXPERIENCE
NICE-EST SAINT ROCH;20/11/2018;09H00;17H00;HUMANITAIRE;COURS;AGIRabcd06  - ASS. GRALE DES INTERVENANTS RETRAITES 
NICE-EST SAINT ROCH;20/11/2018;09H00;12H00;PROXIMITE;COURS;ASSOCIATION MEDIATION CITE
NICE-EST SAINT ROCH;20/11/2018;09H00;12H00;SOCIAL;COURS;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
NICE-EST SAINT ROCH;20/11/2018;09H00;17H00;HUMANITAIRE;COURS;AGIRabcd06  - ASS. GRALE DES INTERVENANTS RETRAITES 
NICE-EST SAINT ROCH;20/11/2018;09H00;11H00;COURS DE LANGUE;COURS;COTE D'AZUR OXYGENE
NICE-EST SAINT ROCH;20/11/2018;09H00;12H00;SOCIAL;COURS;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
NICE-EST SAINT ROCH;20/11/2018;09H00;10H00;LOISIRS;COURS;BRIN DE SPORTS
NICE-EST SAINT ROCH;20/11/2018;09H00;12H00;EMPLOI;PERMANENCE;APPASCAM ASS. PROMOTION ET PROFESSIONALISATION DE L'ANIMATION SPORTIVE ET CULTURELLE DANS LES A.M.
NICE-EST SAINT ROCH;20/11/2018;14H00;17H00;LOISIRS;COURS;LE CLAN DES BOULEGANS
NICE-EST SAINT ROCH;20/11/2018;14H00;17H00;SPORT;COURS;NICE METROPOLE ATHLETISME
NICE-EST SAINT ROCH;20/11/2018;14H00;17H00;SENIORS;ATELIER;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;20/11/2018;14H00;17H00;EMPLOI;COURS;AXPERIENCE
NICE-EST SAINT ROCH;20/11/2018;14H00;16H00;COMMUNICATION;REUNION;CODES 06 - COMITE DEPARTEMENTAL D'EDUCATION POUR LA SANTE
NICE-EST SAINT ROCH;20/11/2018;14H00;17H00;SENIORS;ATELIER;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;20/11/2018;16H00;19H00;CHANT;COURS;COL CANTO
NICE-EST SAINT ROCH;20/11/2018;17H00;19H00;DANSE ;COURS;L'DANSE
NICE-EST SAINT ROCH;20/11/2018;17H00;18H00;ACTIVITE BIEN ETRE;COURS;FORCE SANTE BIEN ETRE EN YOGA A NICE 
NICE-EST SAINT ROCH;20/11/2018;18H00;21H00;CULTURE;COURS;NUX VOMICA
NICE-EST SAINT ROCH;20/11/2018;18H00;21H00;CHANT;COURS;AZURUS
NICE-EST SAINT ROCH;20/11/2018;19H00;21H00;DANSE ;COURS;L'DANSE
NICE-EST SAINT ROCH;20/11/2018;19H00;20H00;DANSE ;COURS;APOLLO DANSE
NICE-EST SAINT ROCH;20/11/2018;19H00;20H00;CULTURE;COURS;NUX VOMICA
NICE-EST SAINT ROCH;20/11/2018;19H00;20H00;CULTURE;COURS;NUX VOMICA
NICE-EST SAINT ROCH;20/11/2018;19H00;21H00;CULTURE;COURS;ASSOCIATION FRANCE-JAPON - CHAIRE KAWABATA
NICE-EST SAINT ROCH;20/11/2018;19H00;20H00;CULTURE;COURS;NUX VOMICA
NICE-EST SAINT ROCH;20/11/2018;19H00;20H00;CULTURE;COURS;NUX VOMICA
NICE-EST SAINT ROCH;21/11/2018;10H00;12H00;CULTURE;COURS;ANECA - ASSOCIATION NICE ESPAGNE COTE D'AZUR
NICE-EST SAINT ROCH;21/11/2018;10H00;12H00;ENSEIGNEMENT;COURS;CLUB EXCELLENCE 06
NICE-EST SAINT ROCH;21/11/2018;11H00;12H00;LOISIRS;COURS;BRIN D'SOLEIL
NICE-EST SAINT ROCH;21/11/2018;12H00;19H00;ENSEIGNEMENT;COURS;CLUB EXCELLENCE 06
NICE-EST SAINT ROCH;21/11/2018;13H00;17H00;CULTURE;COURS;ANECA - ASSOCIATION NICE ESPAGNE COTE D'AZUR
NICE-EST SAINT ROCH;21/11/2018;14H00;17H00;ENSEIGNEMENT;COURS;CLUB EXCELLENCE 06
NICE-EST SAINT ROCH;21/11/2018;14H00;16H00;COURS DE LANGUE;COURS;MANABI
NICE-EST SAINT ROCH;21/11/2018;14H00;16H00;COURS DE LANGUE;COURS;MANABI
NICE-EST SAINT ROCH;21/11/2018;14H00;16H00;DANSE ;COURS;PESVEBI (RACINES)
NICE-EST SAINT ROCH;21/11/2018;14H00;16H00;SENIORS;ATELIER;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;21/11/2018;14H00;17H00;SENIORS;ATELIER;POIVRE ET SEL
NICE-EST SAINT ROCH;21/11/2018;14H00;16H00;LOISIRS;ATELIER;CLUB DES CHIFFRES ET DES LETTRES DE NICE
NICE-EST SAINT ROCH;21/11/2018;14H00;16H00;DANSE ;COURS;PESVEBI (RACINES)
NICE-EST SAINT ROCH;21/11/2018;14H00;18H00;ENSEIGNEMENT;COURS;CLUB EXCELLENCE 06
NICE-EST SAINT ROCH;21/11/2018;15H00;16H00;CULTURE;COURS;ANECA - ASSOCIATION NICE ESPAGNE COTE D'AZUR
NICE-EST SAINT ROCH;21/11/2018;15H00;16H00;THEATRE;COURS;CREATION
NICE-EST SAINT ROCH;21/11/2018;15H00;16H00;COURS DE LANGUE;COURS;ANLV - ACADEMIE NICOISE DES LANGUES VIVANTES
NICE-EST SAINT ROCH;21/11/2018;16H00;21H00;DANSE ;COURS;L'DANSE
NICE-EST SAINT ROCH;21/11/2018;16H00;18H00;ENSEIGNEMENT;COURS;CLUB EXCELLENCE 06
NICE-EST SAINT ROCH;21/11/2018;16H00;18H00;SOCIAL;COURS;AJAMAT UNE SYNERGIE DIOLA AU SERVICE DU DEVELOPPEMENT HUMAIN
NICE-EST SAINT ROCH;21/11/2018;16H00;20H00;THEATRE;COURS;CREATION
NICE-EST SAINT ROCH;21/11/2018;16H00;19H00;PROXIMITE;REUNION;SEL NICE AZUR PROVENCE
NICE-EST SAINT ROCH;21/11/2018;17H00;19H00;DANSE ;COURS;APOLLO DANSE
NICE-EST SAINT ROCH;21/11/2018;17H00;18H00;ACTIVITE BIEN ETRE;COURS;FORCE SANTE BIEN ETRE EN YOGA A NICE 
NICE-EST SAINT ROCH;21/11/2018;18H00;21H00;CULTURE;COURS;ASPACA - ASSOCIATION SENEGALAISE PROVENCE ALPES COTE D'AZUR
NICE-EST SAINT ROCH;21/11/2018;18H00;20H00;COURS DE LANGUE;COURS;ASSOCIATION PASSERELLE FRANCO JAPONAIS
NICE-EST SAINT ROCH;21/11/2018;18H00;20H00;PATRIMOINE;COURS;INSTITUT D'ETUDES OCCITANES - IEO06
NICE-EST SAINT ROCH;21/11/2018;18H00;21H00;THEATRE;COURS;COUR ET JARDIN
NICE-EST SAINT ROCH;21/11/2018;19H00;21H00;CULTURE;COURS;ART PLUME 7
NICE-EST SAINT ROCH;21/11/2018;19H00;21H00;DANSE ;COURS;ANCA - AMERICAN NEW COUNTRY ATTITUDE
NICE-EST SAINT ROCH;22/11/2018;09H00;17H00;HUMANITAIRE;COURS;AGIRabcd06  - ASS. GRALE DES INTERVENANTS RETRAITES 
NICE-EST SAINT ROCH;22/11/2018;09H00;17H00;SOCIAL;ATELIER;UNIS - CITE MEDITERRANEE
NICE-EST SAINT ROCH;22/11/2018;09H00;12H00;EMPLOI;PERMANENCE;EXPLORATION PROFESSIONNELLE
NICE-EST SAINT ROCH;22/11/2018;09H00;12H00;SOCIAL;COURS;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
NICE-EST SAINT ROCH;22/11/2018;09H00;18H00;ECONOMIE;REUNION;FRANCE ACTIVE PACA 
NICE-EST SAINT ROCH;22/11/2018;09H00;12H00;SOCIAL;COURS;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
NICE-EST SAINT ROCH;22/11/2018;09H00;12H00;SOCIAL;PERMANENCE;ALAID
NICE-EST SAINT ROCH;22/11/2018;10H00;12H00;CULTURE;COURS;ANECA - ASSOCIATION NICE ESPAGNE COTE D'AZUR
NICE-EST SAINT ROCH;22/11/2018;10H00;12H00;SANTE;COURS;ANPAA06 - ASSOCIATION NATIONALE DE PREVENTION EN ALCOOLOGIE ET ADDICTOLOGIE -COMITE DES A M   
NICE-EST SAINT ROCH;22/11/2018;10H00;12H00;HUMANITAIRE;COURS;AGIRabcd06  - ASS. GRALE DES INTERVENANTS RETRAITES 
NICE-EST SAINT ROCH;22/11/2018;10H00;11H00;ACTIVITE BIEN ETRE;COURS;ASSOCIATION POUR L'ART DU MIEUX ETRE
NICE-EST SAINT ROCH;22/11/2018;10H00;11H00;ACTIVITE BIEN ETRE;COURS;FORCE SANTE BIEN ETRE EN YOGA A NICE 
NICE-EST SAINT ROCH;22/11/2018;11H00;13H00;ACTIVITE BIEN ETRE;COURS;SYNERGIE OPTIMALE
NICE-EST SAINT ROCH;22/11/2018;13H00;16H00;SPECTACLE VIVANT;COURS;LA RAPPORTEUSE
NICE-EST SAINT ROCH;22/11/2018;14H00;17H00;ACTIVITE MANUELLE;ATELIER;LES COUSETTES
NICE-EST SAINT ROCH;22/11/2018;14H00;16H00;SANTE;COURS;AFD 06 - ASSOCIATION DES DIABETIQUES DES ALPES-MARITIMES
NICE-EST SAINT ROCH;22/11/2018;14H00;17H00;SOCIAL;PERMANENCE;ALAID
NICE-EST SAINT ROCH;22/11/2018;16H00;19H00;CHANT;COURS;COL CANTO
NICE-EST SAINT ROCH;22/11/2018;17H00;21H00;SPECTACLE VIVANT;COURS;CORPS & GRAPHIK
NICE-EST SAINT ROCH;22/11/2018;17H00;19H00;ENSEIGNEMENT;COURS;CLUB EXCELLENCE 06
NICE-EST SAINT ROCH;22/11/2018;18H00;19H00;DANSE ;COURS;MOUVANCES
NICE-EST SAINT ROCH;22/11/2018;18H00;19H00;CULTURE;COURS;NUX VOMICA
NICE-EST SAINT ROCH;22/11/2018;18H00;20H00;ACTIVITE BIEN ETRE;COURS;SHANTI-YOGA
NICE-EST SAINT ROCH;22/11/2018;19H00;21H00;CULTURE;REUNION;L'ECOLE DE LA VIE
NICE-EST SAINT ROCH;22/11/2018;19H00;21H00;THEATRE;COURS;LE PETIT THEATRE DE LAURE
NICE-EST SAINT ROCH;22/11/2018;19H00;21H00;MUSIQUE;ATELIER;MUSIQUE ENSEMBLE
NICE-EST SAINT ROCH;23/11/2018;09H00;17H00;SENIORS;COURS;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;23/11/2018;09H00;13H00;PROXIMITE;COURS;AMM - ALPES MARITIMES MEDIATION
NICE-EST SAINT ROCH;23/11/2018;10H00;11H00;DANSE ;COURS;APOLLO DANSE
NICE-EST SAINT ROCH;23/11/2018;10H00;11H00;COURS DE LANGUE;COURS;COTE D'AZUR OXYGENE
NICE-EST SAINT ROCH;23/11/2018;10H00;12H00;CULTURE;COURS;ANECA - ASSOCIATION NICE ESPAGNE COTE D'AZUR
NICE-EST SAINT ROCH;23/11/2018;10H00;13H00;SPECTACLE VIVANT;ATELIER;LA FABRIQUE DES MIRAGES
NICE-EST SAINT ROCH;23/11/2018;15H00;16H00;LOISIRS;COURS;BRIN D'SOLEIL
NICE-EST SAINT ROCH;23/11/2018;15H00;16H00;THEATRE;COURS;CREATION
NICE-EST SAINT ROCH;23/11/2018;16H00;19H00;CHANT;COURS;COL CANTO
NICE-EST SAINT ROCH;23/11/2018;16H00;18H00;THEATRE;COURS;CREATION
NICE-EST SAINT ROCH;23/11/2018;17H00;19H00;ENSEIGNEMENT;COURS;CLUB EXCELLENCE 06
NICE-EST SAINT ROCH;23/11/2018;18H00;20H00;LOISIRS;COURS;ECOLE DE VIE
NICE-EST SAINT ROCH;23/11/2018;18H00;20H00;SOCIAL;REUNION;L'ECOLE DE LA VIE
NICE-EST SAINT ROCH;23/11/2018;18H00;20H00;THEATRE;COURS;CREATION
NICE-EST SAINT ROCH;23/11/2018;19H00;21H00;SPORT;ASSEMBLEE GENERALE;SYNDICAT NATIONAL DES ACCOMPAGNATEURS EN MONTAGNE 06 - SNAM 06
NICE-EST SAINT ROCH;23/11/2018;19H00;21H00;DANSE ;COURS;PESVEBI (RACINES)
NICE-EST SAINT ROCH;23/11/2018;19H00;21H00;DANSE ;COURS;AZUR BALLET
NICE-EST SAINT ROCH;23/11/2018;19H00;21H00;COURS DE LANGUE;COURS;AMICALE DES POLONAIS NICE - COTE D'AZUR
NICE-EST SAINT ROCH;23/11/2018;19H00;21H00;DANSE ;COURS;PESVEBI (RACINES)
NICE-EST SAINT ROCH;24/11/2018;10H00;13H00;THEATRE;COURS;LE QUADRANT MAGIQUE
NICE-EST SAINT ROCH;24/11/2018;10H00;12H00;CHANT;COURS;IL FAUT Y CROIRE
NICE-EST SAINT ROCH;24/11/2018;10H00;13H00;COURS DE LANGUE;COURS;MANABI
NICE-EST SAINT ROCH;24/11/2018;10H00;13H00;COURS DE LANGUE;COURS;MANABI
NICE-EST SAINT ROCH;24/11/2018;10H00;13H00;SOCIAL;COURS;AJAMAT UNE SYNERGIE DIOLA AU SERVICE DU DEVELOPPEMENT HUMAIN
NICE-EST SAINT ROCH;24/11/2018;10H00;13H00;SOCIAL;REUNION;ASSOCIATION NICE POUR L INTEGRATION ET LA SOLIDARITE (ANIS)
NICE-EST SAINT ROCH;24/11/2018;10H00;13H00;CULTURE;COURS;ASSOCIATION FRANCO TAMOULS DE LA COTE D'AZUR
NICE-EST SAINT ROCH;24/11/2018;10H00;13H00;COURS DE LANGUE;COURS;MANABI
NICE-EST SAINT ROCH;24/11/2018;10H00;13H00;COURS DE LANGUE;COURS;MANABI
NICE-EST SAINT ROCH;24/11/2018;10H00;13H00;CULTURE;COURS;ASSOCIATION FRANCO TAMOULS DE LA COTE D'AZUR
NICE-EST SAINT ROCH;24/11/2018;10H00;13H00;CULTURE;COURS;ASSOCIATION FRANCO TAMOULS DE LA COTE D'AZUR
NICE-EST SAINT ROCH;24/11/2018;11H00;13H00;CULTURE;COURS;ASSOCIATION FRANCO MEXICAINE DE LA COTE D AZUR
NICE-EST SAINT ROCH;24/11/2018;11H00;13H00;CULTURE;COURS;ASSOCIATION FRANCO MEXICAINE DE LA COTE D AZUR
NICE-EST SAINT ROCH;24/11/2018;12H00;13H00;DANSE ;COURS;TIGERACT AND CO
NICE-EST SAINT ROCH;24/11/2018;14H00;17H00;DANSE ;COURS;TIGRE TANGO
NICE-EST SAINT ROCH;24/11/2018;14H00;18H00;CHANT;COURS;ENSEMBLE VOCAL NIKAIACHOR
NICE-EST SAINT ROCH;24/11/2018;14H00;18H00;SOCIAL;REUNION;PROMENADE DES ANGES : 14 JUILLET 2016 - ENTRAIDE ET DEFENSE DES VICTIMES ET FAMILLES DE VICTIMES 
NICE-EST SAINT ROCH;24/11/2018;14H00;16H00;CULTURE;COURS;LE RENDEZ-VOUS ASTROLOGIQUE
NICE-EST SAINT ROCH;24/11/2018;14H00;17H00;POPULATION;REUNION;LUTTE OUVRIERE
NICE-EST SAINT ROCH;24/11/2018;14H00;17H00;CULTURE;COURS;LE RENDEZ-VOUS ASTROLOGIQUE
NICE-EST SAINT ROCH;24/11/2018;15H00;18H00;SPECTACLE VIVANT;ANIMATION;LA FABRIQUE DES MIRAGES
NICE-EST SAINT ROCH;24/11/2018;16H00;18H00;COMMUNICATION;COURS;DESIR D'AVENIR
;22/11/2018;18H00;21H00;HANDICAP;COURS;LE CHEMIN DES REVES
