Maison des Associations;Date ;Heure de début;Heure de fin;Activité;Type de réservation;Associations
GARIBALDI;17/05/2018;09H00;11H00;ACTIVITE BIEN ETRE;COURS;SOPHROLOGIE ET SOI
GARIBALDI;17/05/2018;09H00;11H00;ACTIVITE BIEN ETRE;COURS;QI GONG & SANTE
GARIBALDI;17/05/2018;10H00;12H00;CULTURE;COURS;COLOMBIE COTE D'AZUR CCA
GARIBALDI;17/05/2018;11H00;13H00;CULTURE;COURS;ARJNCA - ASSOCIATION DES RESSORTISSANTS JAPONAIS DE NICE COTE D'AZUR
GARIBALDI;17/05/2018;11H00;12H00;ACTIVITE BIEN ETRE;COURS;MANGALAM
GARIBALDI;17/05/2018;12H00;15H00;PROXIMITE;PERMANENCE;AMI - ALTERNATIVE DE MEDIATEURS INDEPENDANTS
GARIBALDI;17/05/2018;12H00;13H00;SPORT;COURS;GYMNASTIQUE VOLONTAIRE CORVESY GV CORVESY
GARIBALDI;17/05/2018;14H00;17H00;ENSEIGNEMENT;CONFERENCE;UNIA-UNIVERSITE DE NICE INTER AGES
GARIBALDI;17/05/2018;14H00;17H00;PROXIMITE;REUNION;FEDERATION DES MANDATAIRES JUDICIAIRES INDEPENDANTS DES ALPES MARITIMES - FMJI 06
GARIBALDI;17/05/2018;14H00;16H00;AFFAIRES MILITAIRES;ATELIER;LIAISON PHILATELIQUE LIPHI
GARIBALDI;17/05/2018;14H00;16H00;CULTURE;ATELIER;COMMUNAUTE GRECQUE DES ALPES-MARITIMES CGDAM
GARIBALDI;17/05/2018;14H00;17H00;ORGANISME PUBLIC;ATELIER;DRH - DIRECTION DES RESSOURCES HUMAINES
GARIBALDI;17/05/2018;17H00;18H00;SPORT;COURS;DAME D'AZUR - DA
GARIBALDI;17/05/2018;18H00;21H00;CULTURE;CONFERENCE;VU PAS VU
GARIBALDI;17/05/2018;18H00;20H00;ACTIVITE BIEN ETRE;COURS;VAYOGA-CULTURE ET YOGA
GARIBALDI;17/05/2018;18H00;21H00;THEATRE;COURS;LE QUADRANT MAGIQUE
GARIBALDI;18/05/2018;09H00;11H00;ACTIVITE BIEN ETRE;COURS;L'ESPACE DES POSSIBLES
GARIBALDI;18/05/2018;09H00;12H00;ENSEIGNEMENT;CONFERENCE;UNIA-UNIVERSITE DE NICE INTER AGES
GARIBALDI;18/05/2018;09H00;17H00;PROXIMITE;FORMATION;AMI - ALTERNATIVE DE MEDIATEURS INDEPENDANTS
