Departement,Population,Depense-totales-colleges,Dépenses-fonctionnement-colleges,Depenses-investissement-colleges,Nb-total-eleves,Depenses-fonctionnement/eleve,Depenses-investissement/eleve
Dordogne,429579,23 168 601 €,18 465 703 €,4 702 898 €,16143,1 144 €,291 €
Doubs,548026,20 082 984 €,9 943 006 €,10 139 977 €,25413,391 €,399 €
Drôme,509444,27 439 596 €,10 684 244 €,16 755 352 €,24436,437 €,686 €
Eure,612518,26 388 710 €,9 107 821 €,17 280 889 €,31867,286 €,542 €
Eure-et-Loir,444385,31 673 203 €,21 726 464 €,9 946 739 €,21769,998 €,457 €
Finistère,934625,57 176 394 €,34 075 451 €,23 100 943 €,42295,806 €,546 €
Gard,750025,32 520 974 €,13 769 272 €,18 751 703 €,35121,392 €,534 €
Haute-Garonne,1325392,45 572 187 €,24 315 389 €,21 256 798 €,58322,417 €,364 €
Gers,197598,14 508 054 €,3 558 971 €,10 949 082 €,8355,426 €,1 310 €
Gironde,1536448,108 478 292 €,61 463 582 €,47 014 710 €,70342,874 €,668 €
Hérault,1111881,56 144 367 €,40 809 018 €,15 335 348 €,50299,811 €,305 €
Ille-et-Vilaine,1047873,62 235 892 €,44 583 173 €,17 652 720 €,52534,849 €,336 €
Indre,235181,15 433 379 €,9 068 213 €,6 365 166 €,9337,971 €,682 €
Indre-et-Loire,615557,38 340 777 €,26 420 298 €,11 920 479 €,27822,950 €,428 €
Isère,1263850,65 489 412 €,24 357 090 €,41 132 322 €,62957,387 €,653 €
Jura,270914,22 595 605 €,13 891 625 €,8 703 980 €,12173,1 141 €,715 €
Landes,411197,32 351 734 €,18 381 523 €,13 970 211 €,18022,1 020 €,775 €
Loir-et-Cher,342471,13 256 314 €,5 903 045 €,7 353 270 €,15254,387 €,482 €
Loire,774144,27 802 192 €,13 459 535 €,14 342 657 €,36023,374 €,398 €
Haute-Loire,233918,10 759 184 €,5 788 136 €,4 971 048 €,11206,517 €,444 €
Loire-Atlantique,1363452,88 455 459 €,34 598 408 €,53 857 050 €,69265,500 €,778 €
Loiret,684104,49 900 675 €,41 564 026 €,8 336 649 €,33992,1 223 €,245 €
Lot,180470,14 517 434 €,8 818 111 €,5 699 322 €,6827,1 292 €,835 €
Lot-et-Garonne,343645,11 552 938 €,4 915 327 €,6 637 611 €,14488,339 €,458 €
Lozère,80712,4 384 139 €,2 133 983 €,2 250 156 €,3488,612 €,645 €
Maine-et-Loire,824547,42 531 053 €,33 922 293 €,8 608 760 €,41691,814 €,206 €
Manche,518364,34 145 614 €,26 742 759 €,7 402 856 €,23022,1 162 €,322 €
Marne,583691,38 497 584 €,27 022 368 €,11 475 216 €,26503,1 020 €,433 €
Haute-Marne,188083,15 251 311 €,11 023 092 €,4 228 219 €,7736,1 425 €,547 €
Mayenne,318095,13 609 148 €,7 392 653 €,6 216 494 €,15448,479 €,402 €
Meurthe-et-Moselle,745398,38 927 901 €,17 040 441 €,21 887 460 €,32380,526 €,676 €
Meuse,198334,12 330 826 €,9 927 586 €,2 403 240 €,8262,1 202 €,291 €
Morbihan,761433,61 653 895 €,32 773 511 €,28 880 384 €,35411,926 €,816 €
Moselle,1068119,26 990 742 €,18 145 738 €,8 845 005 €,46807,388 €,189 €
Nièvre,222688,8 647 923 €,3 643 934 €,5 003 990 €,8479,430 €,590 €
Nord,2635494,188 435 383 €,122 341 622 €,66 093 761 €,133849,914 €,494 €
Oise,835918,63 083 127 €,40 390 950 €,22 692 177 €,42616,948 €,532 €
Orne,298248,22 012 080 €,15 297 705 €,6 714 375 €,12557,1 218 €,535 €
Pas-de-Calais,1491735,115 620 127 €,76 885 900 €,38 734 227 €,72916,1 054 €,531 €
Puy-de-Dôme,658489,37 858 282 €,30 431 851 €,7 426 431 €,27909,1 090 €,266 €
Pyrénées-Atlantiques,685564,50 643 643 €,31 161 905 €,19 481 738 €,29922,1 041 €,651 €
Hautes-Pyrénées,236728,12 153 403 €,9 320 323 €,2 833 080 €,9937,938 €,285 €
Pyrénées-Orientales,471573,31 988 555 €,17 423 110 €,14 565 445 €,21587,807 €,675 €
Bas-Rhin,1128825,40 663 009 €,18 938 511 €,21 724 498 €,50456,375 €,431 €
Haut-Rhin,774976,23 993 193 €,15 183 335 €,8 809 857 €,35175,432 €,250 €
Rhône,1812196,18 433 440 €,11 570 591 €,6 862 848 €,88648,131 €,77 €
Haute-Saône,246782,7 644 295 €,3 702 364 €,3 941 931 €,11167,332 €,353 €
Saône-et-Loire,575097,25 828 836 €,11 609 509 €,14 219 327 €,24423,475 €,582 €
Sarthe,584865,48 713 857 €,27 016 022 €,21 697 835 €,28381,952 €,765 €
Savoie,437915,30 672 842 €,20 016 999 €,10 655 843 €,20132,994 €,529 €
Haute-Savoie,793342,37 409 923 €,16 051 431 €,21 358 492 €,39439,407 €,542 €
Paris,2254262,107 844 446 €,77 981 479 €,29 862 967 €,85127,916 €,351 €
Seine-Maritime,1280410,80 333 786 €,27 200 482 €,53 133 304 €,59997,453 €,886 €
Seine-et-Marne,1387830,91 224 372 €,34 082 554 €,57 141 819 €,77344,441 €,739 €
Yvelines,1446301,62 258 189 €,24 663 946 €,37 594 243 €,79041,312 €,476 €
Deux-Sèvres,383079,25 935 781 €,17 266 259 €,8 669 522 €,17847,967 €,486 €
Somme,584184,18 149 594 €,10 670 650 €,7 478 945 €,26823,398 €,279 €
Tarn,393877,23 745 364 €,17 231 378 €,6 513 986 €,17333,994 €,376 €
Tarn-et-Garonne,256867,14 552 280 €,11 574 402 €,2 977 878 €,12767,907 €,233 €
Var,1046346,76 221 907 €,57 175 428 €,19 046 479 €,46552,1 228 €,409 €
Vaucluse,562254,42 220 329 €,24 697 063 €,17 523 266 €,27853,887 €,629 €
Vendée,674843,35 878 336 €,14 861 627 €,21 016 709 €,32962,451 €,638 €
Vienne,442696,24 991 722 €,15 801 910 €,9 189 812 €,19391,815 €,474 €
Haute-Vienne,384411,14 389 570 €,5 318 095 €,9 071 475 €,15374,346 €,590 €
Vosges,388551,16 550 069 €,6 447 454 €,10 102 616 €,16787,384 €,602 €
Yonne,352182,15 534 412 €,8 389 599 €,7 144 813 €,15682,535 €,456 €
Territoire de Belfort,147777,8 383 556 €,6 108 368 €,2 275 188 €,6914,883 €,329 €
Essonne,1273233,72 599 003 €,34 387 961 €,38 211 043 €,68107,505 €,561 €
Hauts-de-Seine,1611290,140 354 238 €,82 443 711 €,57 910 527 €,72935,1 130 €,794 €
Seine-Saint-Denis,1565222,192 508 313 €,119 737 487 €,72 770 825 €,82356,1 454 €,884 €
Val-de-Marne,1367091,127 168 051 €,64 627 656 €,62 540 395 €,62759,1 030 €,997 €
Val-d'Oise,1211138,64 543 655 €,34 287 455 €,30 256 200 €,67914,505 €,446 €
Autre,2109231,76 227 512 €,32 831 788 €,43 395 724 €,151323,217 €,287 €
