X,Y,FID,genre,nom,educprio,ancienom,site_pre,tps,adresse,type,export,source
340055.99,7688334.34,104,Ecole primaire,La Chaumière,REP+, ,NON,OUI,"1, Rue de la Chaumière - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
341530.67,7689243.75,105,Collège,Deux Canons,REP+, , , , 40 Avenue Maréchal de Lattre de Tassigny,Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
341950.4506,7687592.4343,106,Ecole primaire,Les Baies Roses,REP+, , , ,7 - 9  rue Pierre de Coubertin - Le Moufia,Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
336103.83,7688967.27,107,Collège,Montagne, , , , ,"115, Chemin du Colorado - 97417 La Montagne",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
334640.42,7688584.62,108,Ecole élémentaire,Ruisseau Blanc, , , , ,"3, chemin Charles Olivier Manès - 97417 La Montagne",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
334691.87,7688572.64,109,Ecole maternelle,Ruisseau Blanc, , , , ,"1, chemin Charles Olivier Manès - 97417 La Montagne",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
339026.01,7690023.02,110,Collège,Juliette dodu, , , , ,"164, Rue Juliette Dodu - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
342277.38,7688804.44,111,Ecole primaire,Jean Baptiste Bossard,REP+, , , ,"7, Rue Lacroix - 97490 Sainte-Clotilde",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
340726.19,7689569.07,112,Ecole maternelle,Champfleuri,REP+, ,OUI,OUI,4 Allée des Etudiants - 19 Ruelle Magnan,Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
338454.47,7690146.15,113,Ecole élémentaire,Jules Reydellet B,REP,riviere reydellet B filles, , ,"101, Rue de la République - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
338369.35,7690058.38,114,Ecole élémentaire,Jules Reydellet A,REP,riviere Reydellet A garcons, , ,"94, Rue de la République - 97400 Saint-Denis",Public,02/12/2020,Direction Patrimoine Foncier / Plan & SIG
