OBJECTID,MOBILIER,ID_MOBILIE,COMMUNE,NOM_PARC,ACQUISITIO,TYPE,GlobalID
37,BARRIERE, ,ARDON,Dolines de Limère,Relevé terrain,"Pivotante, 3 pieds",7b81634a-355b-430c-ad3e-5c0e4ca249a1
38,BARRIERE, ,ARDON,Dolines de Limère,Relevé terrain,"Pivotante, 3 pieds",6f44342a-4cea-47d3-9028-3062ad684e93
39,BANC, ,ARDON,Dolines de Limère,Relevé terrain,"Bois, avec dossier 2 planches",4274bc69-f523-4acd-942b-0aecf662d1f3
40,BANC, ,ARDON,Dolines de Limère,Relevé terrain,"Bois, avec dossier 2 planches",f1ec97c0-0024-4284-83f8-8d406a4a4141
41,BANC, ,ARDON,Dolines de Limère,Relevé terrain,"Bois, avec dossier 2 planches",f6b0330a-3a64-4531-8cfd-8e950a3d9f16
42,BANC, ,ARDON,Dolines de Limère,Relevé terrain,"Bois, avec dossier 2 planches",f9ed2dfe-ec00-46b4-892e-43a31845fc7a
43,BANC, ,ARDON,Dolines de Limère,Relevé terrain,"Bois, avec dossier 2 planches",a59dec49-b546-4c61-8cad-911b1813a029
44,BANC,BN43,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois, avec dossier 1 planche",f9e5d496-d507-47a3-8463-1f266ca23fe8
45,BANC,BN44,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois, avec dossier 1 planche",36306e89-ac9e-4007-841c-d89e0e11ab2f
46,BANC,BN45,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois, avec dossier 1 planche",4478519f-47f3-4041-8447-fd569064f329
47,BANC,BN46,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois, avec dossier 1 planche",fee7395c-c822-41cf-92ea-a95305a09e63
48,BANC,BN47,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois, avec dossier 1 planche",803c391a-2d91-423d-9759-cc92683149e4
