id;cout_materiaux_ht;cout_implementation_ht;cout_total_ht;cout_induit_ht;date_sigture_devis;date_facture;date_x;annee_travaux;revenu_mo;climat;Code rÈgion;Code dÈpartement;departement;type_logement;annee_construction;constr_cat;nb_pieces;surf_habitable;montant_aides_fincieres;type_aides_fincieres;renovation_globale;marque;modele;energie_chauffage_avt_travaux;energie_chauffage_installee;generateur;type_chaudiere;cop;puissance;rendement;Colonne1
54;;;6957.345972;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1949;de 1945 ‡ 1973;;100;;;RÈnovation ‡ plusieurs gestes de travaux ;;;ELECTRICITE;;AUTRES;;;;;
55;;;4265.402844;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;100;;;RÈnovation ‡ plusieurs gestes de travaux ;;;ELECTRICITE;BOIS;POELE;;;;;
61;;;9206.635071;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;110;;;RÈnovation ‡ plusieurs gestes de travaux ;;;BOIS;ELECTRICITE;PAC;AIR-AIR;;;;
62;;;4739.336493;;;;;;31502;H1;32;02;AISNE;INDIVIDUEL;1949;de 1945 ‡ 1973;;99;;;RÈnovation ‡ plusieurs gestes de travaux ;;;GAZ;GAZ;CHAUDIERE;HPE;;;;
63;;;7731.753555;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;86;;;RÈnovation ‡ plusieurs gestes de travaux ;;;GAZ;GAZ;CHAUDIERE;HPE;;;;
64;;;12796.20853;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;110;;;RÈnovation ‡ plusieurs gestes de travaux ;;;ELECTRICITE;BOIS;AUTRES;;;;;
66;;;4468.246445;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;160;;;RÈnovation ‡ plusieurs gestes de travaux ;;;GAZ;GAZ;CHAUDIERE;HPE;;;;
67;;;15702.36967;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;162;;;RÈnovation ‡ plusieurs gestes de travaux ;;;GAZ;BOIS;CHAUDIERE;;;;;
68;;;6155.450237;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;130;;;RÈnovation ‡ plusieurs gestes de travaux ;;;FIOUL;FIOUL;CHAUDIERE;HPE;;;;
69;;;2000;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1949;de 1945 ‡ 1973;;101;;;RÈnovation ‡ plusieurs gestes de travaux ;;;GAZ;GAZ;CHAUDIERE;HPE;;;;
70;;;17819.90521;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1976;de 1974 ‡ 1990;;177;;;RÈnovation ‡ plusieurs gestes de travaux ;;;GAZ;GAZ;CHAUDIERE;HPE;;;;
25;;;5063.507109;;;;;;;H1;32;;;INDIVIDUEL;1976;de 1974 ‡ 1990;;116;;;RÈnovation ‡ plusieurs gestes de travaux ;;;GAZ;GAZ;CHAUDIERE;HPE;;;;
71;;;8568.720379;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;80;;;RÈnovation ‡ plusieurs gestes de travaux ;;;GAZ;GAZ;CHAUDIERE;HPE;;;;
72;;;10704.2654;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;135;;;RÈnovation ‡ plusieurs gestes de travaux ;;;FIOUL;GAZ;CHAUDIERE;HPE;;;;
75;;;17819.90521;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;85;;;RÈnovation ‡ plusieurs gestes de travaux ;;;BOIS;BOIS;POELE;;;;;
1840;;;3000;;;;;;;H2;84;07;ARDECHE;;;;;;;;;;;;BOIS;CHAUDIERE;;;;;
2455;8047;950;8997;;13/02/2018;07/04/2018;07/04/2018;2018;;H1;44;67;BAS-RHIN;INDIVIDUEL;;;;;;;RENOVATION SIMPLE;VAILLANT;ECOCOMPACT VCC 266/4-5;GAZ;GAZ;CHAUDIERE;A CONDENSATION;;25;92;
2456;22827;3106;25933;;22/01/2018;07/04/2018;07/04/2018;2018;;H1;44;67;BAS-RHIN;COLLECTIF;1990;de 1974 ‡ 1990;;;;;RENOVATION SIMPLE;VIESSMANN ;VITOCROSSAL 100;GAZ;GAZ;CHAUDIERE;A CONDENSATION;;;98;
2457;6888;1280;8168;;05/03/2017;07/04/2018;07/04/2018;2018;;H1;44;67;BAS-RHIN;INDIVIDUEL;;;;;;;RENOVATION SIMPLE;DE DIETRICH;MODULENS AGC25 / V 160SL;GAZ;GAZ;CHAUDIERE;A CONDENSATION;;25.5;94;
2458;16094;3820;19914;;30/01/2018;07/04/2018;07/04/2018;2018;;H1;44;67;BAS-RHIN;COLLECTIF;;;;;;;RENOVATION SIMPLE;DE DIETRICH;C230 ECO 210;GAZ;GAZ;CHAUDIERE;A CONDENSATION;;;109;
2459;7951;1504;9455;;03/06/2018;07/04/2018;07/04/2018;2018;;H1;44;67;BAS-RHIN;INDIVIDUEL;;;;;;;;VIESSMANN ;VITODENS;GAZ;GAZ;CHAUDIERE;A CONDENSATION;;26;;
2460;5499;1610;7109;;02/01/2018;07/04/2018;07/04/2018;2018;;H1;44;67;BAS-RHIN;INDIVIDUEL;;;;;;;RENOVATION SIMPLE;VIESSMANN ;VITODENS 222F;GAZ;GAZ;CHAUDIERE;A CONDENSATION;;19;96;
2127;2518;140;2658;;06/10/2016;09/10/2016;09/10/2016;2016;;H3;93;13;BOUCHES-DU-RHONE;INDIVIDUEL;1940;av. 1945;3;100;564.3;CITE;RENOVATION A PLUSIEURS GESTES DE TRAVAUX;TURBO FONTE;RIO;ELECTRICITE;BOIS;POELE;STANDARD;;9;79;
2128;2844;474;4076;758.29;05/02/2015;07/02/2015;07/02/2015;2015;;H3;93;13;BOUCHES-DU-RHONE;INDIVIDUEL;1970;de 1945 ‡ 1973;;150;1137;CITE;RENOVATION A PLUSIEURS GESTES DE TRAVAUX;CHAPPEE;LU PLATINUM DUO HTE 3.24;;GAZ;CHAUDIERE;A CONDENSATION;;24;109;
2129;;;30546;;22/04/2014;13/07/2018;13/07/2018;2018;;H3;93;13;BOUCHES-DU-RHONE;COLLECTIF;1960;de 1945 ‡ 1973;;;2600;CEE;RENOVATION A PLUSIEURS GESTES DE TRAVAUX;DE DIETRICH;C230;GAZ;BOIS;CHAUDIERE;A CONDENSATION;;;;
2130;;;31013;;08/05/2016;13/07/2018;13/07/2018;2018;;H3;93;13;BOUCHES-DU-RHONE;COLLECTIF;;;;;;;RENOVATION SIMPLE;;;FIOUL;GAZ;CHAUDIERE;A CONDENSATION;;;;
585;;;3829;;26/06/2018;26/06/2018;26/06/2018;2018;;H1;28;14;CALVADOS;INDIVIDUEL;1975;de 1974 ‡ 1990;9;160;;;BBC RENOVATION;BOSCH;4500 WT;GAZ;GAZ;CHAUDIERE;A CONDENSATION;;;90;
2647;4205;1100;5305;;09/09/2017;07/06/2018;07/06/2018;2018;;H2;75;17;CHARENTE-MARITIME;INDIVIDUEL;;;;;;;RENOVATION SIMPLE;FRISQUET ;HYDROMOTRIX VISIO 25 KW;GAZ;GAZ;CHAUDIERE;A CONDENSATION;;25;94;
2648;;;12838;;07/06/2018;07/06/2018;07/06/2018;2018;;H2;75;17;CHARENTE-MARITIME;INDIVIDUEL;;;;;;;RENOVATION A PLUSIEURS GESTES DE TRAVAUX;DAIKIN;ALTHERMA 14 KW MONO;FIOUL;ELECTRICITE;PAC;AIR-EAU;;;116;
43;;;7109.004739;;;;;;;H1;32;;;INDIVIDUEL;1900;av. 1945;;146;;;RÈnovation ‡ plusieurs gestes de travaux ;;;ELECTRICITE;BOIS;POELE;;;;;
2587;5601;2500;8101;2500;04/07/2018;24/08/2018;24/08/2018;2018;;H3;94;2A;CORSE-DU-SUD;INDIVIDUEL;1948;de 1945 ‡ 1973;5;135;600;AGIR+ ;BBC RENOVATION;;;ELECTRICITE;ELECTRICITE;PAC;;4;5.5;;
2588;4240;879;5939;820.47;21/05/2018;24/08/2018;24/08/2018;2018;;H3;94;2A;CORSE-DU-SUD;INDIVIDUEL;1989;de 1974 ‡ 1990;3;106;600; AGIR+  ;RENOVATION A PLUSIEURS GESTES DE TRAVAUX;SUTI;;ELECTRICITE;BOIS;POELE;;;9.5;94.6;
2589;2797;1176;4844;871.2;24/07/2017;15/12/2017;15/12/2017;2017;1;H3;94;2A;CORSE-DU-SUD;INDIVIDUEL;1948;de 1945 ‡ 1973;3;98;600;AGIR+ ;RENOVATION A PLUSIEURS GESTES DE TRAVAUX;DAIKIN;R32;ELECTRICITE;ELECTRICITE;PAC;;5.1;4.3;;
2471;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;4;;0;;;;;;;;;;;;
2472;;;18690;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1880;av. 1945;6;185;10511;;Isolation combles/toiture, Chauffage;;;;;;;;;;
2473;;;22462;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;2005;ap. 1990;6;200;10750;;Changement de chaudière, Menuiseries, isolation ;;;;;;;;;;
2474;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1991;ap. 1990;;;0;;Chauffage, Menuiseries, Autre;;;;;;;;;;
2475;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;2005;ap. 1990;;;0;;;;;;;;;;;;
2476;;;;;;;10/01/2017;2017;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Isolation combles/toiture, Chauffage;;;;;;;;;;
2477;;;14811;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1974;de 1974 ‡ 1990;5;110;7028;;Isolation combles/toiture, Chauffage;;;;;;;;;;
2478;;;16232;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1900;av. 1945;6;162;8904;;Isolation combles/toiture, Chauffage, Menuiseries;;;;;;;;;;
2479;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1983;de 1974 ‡ 1990;;;0;;Isolation combles/toiture, Chauffage, Menuiseries;;;;;;;;;;
2480;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1990;de 1974 ‡ 1990;6;120;0;;Chauffage, Ventilation;;;;;;;;;;
2481;;;22876;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1976;de 1974 ‡ 1990;4;93;12750;;Isolation combles/toiture, Chauffage, Menuiseries, Ventilation, Autre;;;;;;;;;;
2482;;;9875;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;212;6912;;Chauffage;;;;;;;;;;
2483;;;24654;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1950;de 1945 ‡ 1973;5;102;12750;;Chauffage, Menuiseries, Volets roulants;;;;;;;;;;
2484;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1950;de 1945 ‡ 1973;;;0;;Isolation combles/toiture, Chauffage;;;;;;;;;;
2485;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Chauffage;;;;;;;;;;
2486;;;5886;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;4;92;2957;;Chauffage (remplacement PAC par poele ‡ bois), VMC;;;ELECTRICITE;BOIS;;;;;;
2487;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;2005;ap. 1990;6;;0;;;;;;;;;;;;
2488;;;;;;;;;;H1;27;21;COTE-D'OR;;2005;ap. 1990;;;0;;Chauffage + menuiseries;;;;;;;;;;
2489;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;6;;0;;Isolation combles/toiture, Chauffage;;;;;;;;;;
2490;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;6;;0;;Isolation combles/toiture, Chauffage, Menuiseries, ElectricitÈ;;;;;;;;;;
2491;;;;;;;06/01/2017;2017;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;;;;;;;;;;;
2492;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;;;;;;;;;;;
2493;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Isolation murs, Isolation combles/toiture, Chauffage, Menuiseries, Ventilation, ElectricitÈ, Plomberie, Gros Oeuvre, Toiture/Charpente;;;;;;;;;;
2494;;;10629;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1972;de 1945 ‡ 1973;;103;7440;;Chauffage, Menuiseries;;;;;;;;;;
2495;;;5500;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1900;av. 1945;3;63;4600;;Chauffage;;;;;;;;;;
2496;;;16587;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;2005;ap. 1990;6;139;12610;;Isolation combles/toiture, Chauffage;;;;;;;;;;
2497;;;18432;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1950;de 1945 ‡ 1973;;;13652;;Chauffage, PE, isolation, remplacement de baignoire;;;;;;;;;;
2498;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Chauffage, Autre;;;;;;;;;;
2499;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1870;av. 1945;;;0;;Isolation combles/toiture, Chauffage, Toiture/Charpente;;;;;;;;;;
2500;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;;;;;;;;;;;
2501;;;7346;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1900;av. 1945;6;126;5143;;Chauffage;;;;;;;;;;
2502;;;6965;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1980;de 1974 ‡ 1990;4;75;4238;;Installation d'un chauffage au gaz (actuellement bois);;;BOIS;GAZ;POELE;;;;;
2504;;;23401;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;118;10600;;Chauffage, Menuiseries;;;;;;;;;;
2505;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1890;av. 1945;;;0;;amÈgement et isolation 1er Ètage, complÈment d'isolation RDC, changement des menuiseries les plus anciennes et chgt chauffage;;;;;;;;;;
2506;;;5307;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1970;de 1945 ‡ 1973;4;56;2387;;Chauffage, VMC;;;ELECTRICITE;BOIS;POELE;;;;;
2507;;;14766;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;2005;ap. 1990;4;85;10817;;"VMC, menuiseries, chauffage, isolation combles";;;;;;;;;;
2508;;;34123.22275;;;;01/01/2015;2015;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Chauffage;;;FIOUL;BOIS;CHAUDIERE;STANDARD;;;;
2509;;;33268;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;5;82;9476;;VMC, chauffage, Menuiseries, VR, isolation des combles;;;;;;;;;;
2510;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Chauffage;;;;;;;;;;
2511;;;10501;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1970;de 1945 ‡ 1973;6;83;7051;;Chauffage, VMC, isolation;;;;;;;;;;
2512;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;6;;0;;Isolation combles/toiture, Chauffage, Menuiseries, ElectricitÈ;;;;;;;;;;
2513;;;;;;;;;;H1;27;21;COTE-D'OR;;2005;ap. 1990;;;0;;;;;;;;;;;;
2514;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Isolation combles/toiture, Chauffage;;;;;;;;;;
2515;;;10975;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1950;de 1945 ‡ 1973;6;165;6584;;Chauffage;;;;;;;;;;
2516;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Isolation combles/toiture, Chauffage, Menuiseries;;;;;;;;;;
2517;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;;;;;;;;;;;
2518;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;4;;0;;Chauffage;;;BOIS;BOIS;;;;;;
2519;;;19104;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1960;de 1945 ‡ 1973;5;77;13372;;Chauffage, Menuiseries, Volets roulants, ballon ECS, VMC;;;;;;;;;;
2520;;;19919;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;2005;ap. 1990;6;168;14692;;Isolation + menuiseries + chaudière;;;;;;;;;;
2521;;;20691;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;173;14000;;Chauffage;;;;;;;;;;
2522;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Chauffage;;;;;;;;;;
2523;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1970;de 1945 ‡ 1973;6;;0;;Chauffage + 2 fenetres;;;;;;;;;;
2524;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1939;av. 1945;6;;0;;;;;;;;;;;;
2525;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Chauffage;;;;;;;;;;
2526;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1900;av. 1945;6;;0;;Isolation murs, Isolation combles/toiture, Chauffage, Menuiseries;;;;;;;;;;
2528;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1939;av. 1945;6;;0;;Chauffage, Menuiseries, Ventilation, ElectricitÈ, Autre;;;;;;;;;;
2529;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1960;de 1945 ‡ 1973;;;0;;;;;;;;;;;;
2530;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1900;av. 1945;6;;0;;Isolation combles, Menuiseries, Chauffage;;;;;;;;;;
2531;;;21250;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1930;av. 1945;6;109;14000;;Menuiseries, isolation, chauffage, VMC;;;;;;;;;;
2532;;;20888;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1974;de 1974 ‡ 1990;6;180;10600;;Chauffage;;;;;;;;;;
2533;;;23940;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1900;av. 1945;5;116;14488;;Chauffage, Menuiseries, Volets roulants, autres;;;;;;;;;;
2534;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1980;de 1974 ‡ 1990;;;0;;;;;;;;;;;;
2535;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;2005;ap. 1990;6;;0;;Isolation comble + chgt chaudière;;;;;;;;;;
2536;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;3;;0;;;;;;;;;;;;
111;5660;1325;6985;1827;;28/12/2011;28/12/2011;2011;;H2;53;;;;;;;;;;;WODTKE;FRANC;;BOIS;POELE;;;;90;
2537;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;2005;ap. 1990;6;139;0;;Chauffage, Isolation, VMC, menuiseries;;;;;;;;;;
2538;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1996;ap. 1990;5;86;0;;;;;;;;;;;;
2539;;;15646;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1950;de 1945 ‡ 1973;6;171;10074;;Isolation combles/toiture, Chauffage;;;FIOUL;BOIS;;;;;;
2540;;;18434;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1950;de 1945 ‡ 1973;6;116;11060;;Isolation combles/toiture, Chauffage, Menuiseries;;;;;;;;;;
2541;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Chauffage, Menuiseries;;;;;;;;;;
2542;;;42715;;;;01/01/2018;2018;;H1;27;21;COTE-D'OR;INDIVIDUEL;2005;ap. 1990;;145;24107;;RÈnovation complète;;;;;;;;;;
118;5513;1567;7080;1544;;21/09/2011;21/09/2011;2011;;H2;53;;;;;;;;;;;WODTKE;MOMO;;BOIS;POELE;;;8;70;
2543;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Chauffage;;;;;;;;;;
2544;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Chauffage;;;;;;;;;;
2545;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1970;de 1945 ‡ 1973;;;0;;Isolation murs, Chauffage, Menuiseries;;;;;;;;;;
2546;;;11676;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1975;de 1974 ‡ 1990;6;95;7301;;Chauffage, Menuisieries, Volets roulants, Autre;;;;;;;;;;
2547;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1900;av. 1945;4;113;0;;Isolation murs, Isolation combles/toiture, Chauffage;;;;;;;;;;
2548;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1950;de 1945 ‡ 1973;6;344;27750;;Isolation murs, Isolation combles/toiture, Chauffage, Menuiseries, Ventilation, ElectricitÈ, Plomberie, Gros Oeuvre;;;;;;;;;;
2549;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1900;av. 1945;4;120;0;;;;;;;;;;;;
2550;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;4;;0;;Isolation murs, Isolation combles/toiture, Chauffage;;;;;;;;;;
2551;;;5687;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1900;av. 1945;;115;3981;;chauffage;;;;;;;;;;
2552;;;19488;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1970;de 1945 ‡ 1973;6;190;10369;;Chauffage, Menuiseries, VR;;;;;;;;;;
2553;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;2000;ap. 1990;5;;0;;Isolation combles/toiture, Chauffage;;;;;;;;;;
2554;;;23222.74882;;08/01/2017;12/01/2017;12/01/2017;2017;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;165;0;;;;;;BOIS;;;;;;
2555;;;;;;;;;;H1;27;21;COTE-D'OR;COLLECTIF;;;3;;0;;Isolation murs, Isolation combles/toiture, Chauffage, Menuiseries, Autre;;;;;;;;;;
2556;;;16459;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;98;11521;;Chauffage, Menuiseries;;;;;;;;;;
2557;;;30541;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1984;de 1974 ‡ 1990;;;14000;;Fenêtres, PE, isolation combles, chauffage, remplacement baignoire;;;;;;;;;;
2558;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Chauffage;;;;;;;;;;
2559;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1890;av. 1945;;;0;;;;;;;;;;;;
2560;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;;;;;;;;;;;
2561;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Chauffage, Menuiseries;;;;;;;;;;
2562;;;26633;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;6;153;6526;;Isolation combles/toiture, chauffage;;;;;;;;;;
2563;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Isolation combles/toiture, Chauffage;;;;;;;;;;
2564;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1970;de 1945 ‡ 1973;6;;0;;Isolation murs, Chauffage;;;;;;;;;;
2565;;;32841;;;;;;;H1;27;21;COTE-D'OR;COLLECTIF;1950;de 1945 ‡ 1973;4;69;16250;;Isolation murs, Chauffage, Ventilation, ElectricitÈ, Plomberie, Autre;;;;;;;;;;
2566;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Isolation combles/toiture, Chauffage;;;;;;;;;;
2567;;;;;;;;;;H1;27;21;COTE-D'OR;COLLECTIF;1900;av. 1945;6;;0;;Isolation murs, Isolation combles/toiture, Chauffage;;;;;;;;;;
2568;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1890;av. 1945;;;0;;Chauffage, Menuiseries;;;;;;;;;;
2569;;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1935;av. 1945;6;;0;;Chauffage;;;FIOUL;FIOUL;;;;;;
2570;;;6422;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1900;av. 1945;3;56;4881;;Chauffage;;;;;;;;;;
