SITE;APPLICATION;ANNEE;MOIS;PREMIERE_VISITE;DERNIERE_VISITE;NB_VISITEURS;NB_VISITE;MOY_VISITEURS_VISITE;PAGES;MOY_PAGES_VISITE;HITS;MOY_HITS_VISITE;VOL_BANDEPASSANTE;MOY_BANDEPASSANTE_VISITE
alim.agriculture.gouv.fr_sial-bdni-consultation;sial-bdni-consultation;2020;Décembre;01 Dec 2020 - 04:58;31 Dec 2020 - 21:21;53;355;6,70;8338;23,49;9933;27,98;17,64;50,89
alim.agriculture.gouv.fr_sial-bdni-equarrissage;sial-bdni-equarrissage;2020;Décembre;02 Dec 2020 - 12:27;17 Dec 2020 - 19:47;4;4;1,00;11;2,75;20;5,00;0,04;11,00
alim.agriculture.gouv.fr_sial-bdni-statistiques;sial-bdni-statistiques;2020;Décembre;01 Dec 2020 - 04:55;31 Dec 2020 - 16:50;563;2896;5,14;82237;28,40;93140;32,16;165,96;58,68
alim.agriculture.gouv.fr_sial-biovigilance;sial-biovigilance;2020;Décembre;01 Dec 2020 - 08:38;29 Dec 2020 - 12:44;63;160;2,54;92442;577,76;116503;728,14;576,02;3686,51
alim.agriculture.gouv.fr_sial-nomenclatures;sial-nomenclatures;2020;Décembre;01 Dec 2020 - 08:58;31 Dec 2020 - 12:19;73;106;1,45;25033;236,16;29314;276,55;84,78;819,00
alim.agriculture.gouv.fr_sial-portail;sial-portail;2020;Décembre;01 Dec 2020 - 00:00;31 Dec 2020 - 23:05;5192;14848;2,86;5955027;401,07;7184534;483,87;19091,21;1316,64
alim.agriculture.gouv.fr_sial-usagers;sial-usagers;2020;Décembre;01 Dec 2020 - 00:00;31 Dec 2020 - 20:59;1837;4674;2,54;4757080;1017,77;5415109;1158,56;16248,22;3559,73
alim.agriculture.gouv.fr_sigal-vsb;sigal-vsb;2020;Décembre;01 Dec 2020 - 06:13;31 Dec 2020 - 23:36;2146;9243;4,31;220289;23,83;778308;84,21;6982,95;773,62
alim.agriculture.gouv.fr_spiral-m;spiral-m;2020;Décembre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
alim.agriculture.gouv.fr_vacc-fco;vacc-fco;2020;Décembre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
alim.national.agri;;2020;Décembre;01 Dec 2020 - 03:47;31 Dec 2020 - 19:19;623;3408;5,47;33531761;9839,13;34459935;10111,48;42003,60;12620,80
alim.national.agri_expader;expader;2020;Décembre;01 Dec 2020 - 15:43;28 Dec 2020 - 09:45;7;12;1,71;13;1,08;493;41,08;0,27;23,33
alim.national.agri_sial-habilitations;sial-habilitations;2020;Décembre;01 Dec 2020 - 08:51;31 Dec 2020 - 14:57;171;308;1,80;622812;2022,12;638048;2071,58;741,90;2466,59
alim.national.agri_sial-inspections;sial-inspections;2020;Décembre;01 Dec 2020 - 09:15;31 Dec 2020 - 14:34;30;89;2,97;46519;522,69;49465;555,79;88,36;1016,64
alim.national.agri_sial-methodes;sial-methodes;2020;Décembre;01 Dec 2020 - 15:35;17 Dec 2020 - 11:35;2;2;1,00;601;300,50;637;318,50;1,55;794,50
alim.national.agri_sial-si2a;sial-si2a;2020;Décembre;01 Dec 2020 - 03:47;31 Dec 2020 - 16:02;73;295;4,04;32507176;110193,82;33348581;113046,04;38465,61;133521,30
alim.national.agri_sial-usagers;sial-usagers;2020;Décembre;01 Dec 2020 - 17:18;28 Dec 2020 - 15:06;10;19;1,90;3650;192,11;4086;215,05;14,36;773,95
alim.national.agri_sigal-asda-services-ws;sigal-asda-services-ws;2020;Décembre;01 Dec 2020 - 04:17;31 Dec 2020 - 15:16;6;240;40,00;33157;138,15;33157;138,15;8,69;37,10
alim.national.agri_sigal_administration;sigal_administration;2020;Décembre;01 Dec 2020 - 09:56;30 Dec 2020 - 12:55;17;33;1,94;895;27,12;6863;207,97;24,47;759,45
alim.national.agri_spiral;spiral;2020;Décembre;01 Dec 2020 - 08:57;31 Dec 2020 - 09:01;5;24;4,80;73;3,04;2179;90,79;6,55;279,54
annuaire.agricoll.agriculture;;2020;Décembre;NA;NA;0;0;0,00;0;0,00;0;0,00;0,00;0,00
