nom;adresse;CP;commune;"commune (COG)";département;région;"région (COG)";"longitude (X)";"latitude (Y)";"handicap principal";"lien site onisep.fr"
"Fédération des associations, groupements et établissements pour la réadaptation des personnes en situation de handicap";"9 Rue du Colonel Rozanoff";75012;Paris;75100;"75 - Paris";Ile-de-France;11;2.3881064;48.8452824;"tous types de handicaps";www.onisep.fr/http/redirection/organisme_information/slug/INFO.3383
"Fédération étudiante pour une dynamique études et emploi avec un handicap";"14 r Scandicci";93500;Pantin;93055;"93 - Seine-Saint-Denis";Ile-de-France;11;2.3981416;48.8925784;"tous types de handicaps";www.onisep.fr/http/redirection/organisme_information/slug/INFO.1890
"Fédération française Handisport";"42 rue Louis Lumière";75020;Paris;75100;"75 - Paris";Ile-de-France;11;2.4063999652862;48.864601135254;"Handicap moteur";www.onisep.fr/http/redirection/organisme_information/slug/INFO.2196
"Fédération nationale des assosiations d'usagers en psychiatrie";"33 rue daviel";75013;Paris;75100;"75 - Paris";Ile-de-France;11;2.3436819;48.8282853;"Troubles multiples associés";www.onisep.fr/http/redirection/organisme_information/slug/INFO.1374
"Fédération pour l'enseignement des malades à domicile et à l'hôpital";"96 rue Didot";75014;Paris;75100;"75 - Paris";Ile-de-France;11;2.3143482;48.827305;"Troubles multiples associés";www.onisep.fr/http/redirection/organisme_information/slug/INFO.2757
"Groupe français des personnes handicapées";"45 rue Riquet";75019;Paris;75100;"75 - Paris";Ile-de-France;11;2.3706792;48.8892374;"tous types de handicaps";www.onisep.fr/http/redirection/organisme_information/slug/INFO.3008
Handidactique;"57 rue Saint-Jacques";75005;Paris;75100;"75 - Paris";Ile-de-France;11;2.3454311;48.8503698;"tous types de handicaps";www.onisep.fr/http/redirection/organisme_information/slug/INFO.602
"Union des associations françaises de laryngectomisés et mutilés de la voix";"43 rue Pommard";75012;Paris;75100;"75 - Paris";Ile-de-France;11;2.384463;48.8359918;"Troubles multiples associés";www.onisep.fr/http/redirection/organisme_information/slug/INFO.603
"Union nationale des association de famille de traumatisés craniens";"91-93 rue Danrémont";75018;Paris;75100;"75 - Paris";Ile-de-France;11;2.3365742999999;48.8944177;"Handicap moteur";www.onisep.fr/http/redirection/organisme_information/slug/INFO.2198
"Union nationales des associations de parents d'enfants atteints de cancer ou de leucémie";"354 route de ganges";34000;Montpellier;34172;"34 - Hérault";Occitanie;76;3.8466969;43.6412959;"Troubles multiples associés";www.onisep.fr/http/redirection/organisme_information/slug/INFO.1645
"Vaincre la mucoviscidose";"181 rue de Tolbiac";75013;Paris;75100;"75 - Paris";Ile-de-France;11;2.3666000366211;48.82740020752;"Troubles multiples associés";www.onisep.fr/http/redirection/organisme_information/slug/INFO.2207
"Trisomie 21 France";"4 square François Margand - BP 90249";42000;Saint-Etienne;42218;"42 - Loire";Auvergne-Rhône-Alpes;84;4.3726364;45.4462125;"Handicap mental";www.onisep.fr/http/redirection/organisme_information/slug/INFO.1887
"Accompagner la réalisation des projets d'études de jeunes élèves et étudiants handicapés";"33 boulevard Barbès";75018;Paris;75100;"75 - Paris";Ile-de-France;11;2.3493047;48.8870865;"tous types de handicaps";www.onisep.fr/http/redirection/organisme_information/slug/INFO.2200
"APF France handicap";"17 boulevard Auguste Blanqui";75013;Paris;75100;"75 - Paris";Ile-de-France;11;2.3666000366211;48.82740020752;"Handicap moteur";www.onisep.fr/http/redirection/organisme_information/slug/HAND.268
"Association des accidentés de la vie (ex FNATH)";"47 rue des Alliés";42030;Saint-Etienne;42218;"42 - Loire";Auvergne-Rhône-Alpes;84;4.3923997879028;45.453800201416;"Handicap moteur";www.onisep.fr/http/redirection/organisme_information/slug/INFO.2197
"Association des personnes de petite taille";"130 rue du Faubourg Poissonnière";75010;Paris;75100;"75 - Paris";Ile-de-France;11;2.3498264;48.8802607;"Handicap moteur";www.onisep.fr/http/redirection/organisme_information/slug/INFO.2754
"Association des sclérodermiques de France";"34-36 rue des montardoins";89000;Auxerre;89024;"89 - Yonne";Bourgogne-Franche-Comté;27;3.5758995;47.78808;"tous types de handicaps";www.onisep.fr/http/redirection/organisme_information/slug/INFO.1639
"Association française pour les enfants précoces";"22 rue Jean Laurent";78110;"Le Vésinet";78650;"78 - Yvelines";Ile-de-France;11;2.133756;48.893806;;www.onisep.fr/http/redirection/organisme_information/slug/INFO.242
"Association nationale des équipes contribuant à l'action médico-sociale précoce";"10 Rue Erard";75012;Paris;75100;"75 - Paris";Ile-de-France;11;2.384434;48.8452402;"tous types de handicaps";www.onisep.fr/http/redirection/organisme_information/slug/INFO.2651
Autisme-France;"1175 avenue de la république";6550;"La Roquette-sur-Siagne";06108;"06 - Alpes-Maritimes";"Provence-Alpes-Côte d'Azur";93;6.9496212;43.5788665;"Autisme et troubles envahissants du développement";www.onisep.fr/http/redirection/organisme_information/slug/INFO.1894
"Comité de liaison et d'action des parents d'enfants et d'adultes atteints de handicaps associés";"18 rue Etex";75018;Paris;75100;"75 - Paris";Ile-de-France;11;2.3510000705719;48.891700744629;"Handicap mental";www.onisep.fr/http/redirection/organisme_information/slug/INFO.1897
"Convention nationale des association de protection de l'enfant";"118 rue du château des rentiers";75013;Paris;75100;"75 - Paris";Ile-de-France;11;2.3670929;48.8285633;"tous types de handicaps";www.onisep.fr/http/redirection/organisme_information/slug/INFO.2660
"Entraide Universitaire";"31 rue d'Alésia";75014;Paris;75100;"75 - Paris";Ile-de-France;11;2.3332436;48.8276176;"tous types de handicaps";www.onisep.fr/http/redirection/organisme_information/slug/INFO.1378
"Fédération des établissements hospitaliers et d'aide à la personnes";"179 rue de Lourmel";75015;Paris;75100;"75 - Paris";Ile-de-France;11;2.282077;48.8381419;"tous types de handicaps";www.onisep.fr/http/redirection/organisme_information/slug/INFO.3386
"Fédération Française de sport adapté";"9 rue Jean Daudin";75015;Paris;75100;"75 - Paris";Ile-de-France;11;2.3074947;48.845498;"Troubles multiples associés";www.onisep.fr/http/redirection/organisme_information/slug/INFO.2708
"Fédération Française Sésame Autisme";"53 rue de Clisson";75013;Paris;75100;"75 - Paris";Ile-de-France;11;2.3666000366211;48.82740020752;"Autisme et troubles envahissants du développement";www.onisep.fr/http/redirection/organisme_information/slug/INFO.1895
"Fédération générale des PEP";"5-7 rue Georges Enesco";94026;Créteil;94028;"94 - Val-de-Marne";Ile-de-France;11;2.446545;48.7960622;"tous types de handicaps";www.onisep.fr/http/redirection/organisme_information/slug/INFO.831
"Fédération nationale des sourds de France";"41 rue Joseph Python";75020;Paris;75100;"75 - Paris";Ile-de-France;11;2.4063999652862;48.864601135254;"Handicap auditif";www.onisep.fr/http/redirection/organisme_information/slug/INFO.2203
"Femmes pour le dire, femmes pour agir";"2 rue Aristide Maillol";75015;Paris;75100;"75 - Paris";Ile-de-France;11;2.3112881;48.8376314;"tous types de handicaps";www.onisep.fr/http/redirection/organisme_information/slug/INFO.879
