code INSEE Departement,code INSEE commune,Commune brute,Adresse brute,Adresse formatee,Numero du bureau de vote,date,latitude,longitude
33,,CERONS,SALLE COMMUNALE 2, Cérons,,,44.6348,-0.33672
33,,GUILLOS,SALLE DES FETES 1,,,,45.1899,-0.649672
33,,ILLATS,SALLE DES FETES 1,,,,45.1899,-0.649672
33,,LANDIRAS,FOYER FAMILIAL 1, Landiras,,,44.5674,-0.414719
33,,LANDIRAS,FOYER FAMILIAL 2, Landiras,,,44.5674,-0.414719
33,,PODENSAC,FOYER RURAL 1,,,,45.1086,-0.586162
33,,PODENSAC,MAIRIE 2,,,,,
33,,PORTETS,SALLE DES FETES 1,,,,45.1899,-0.649672
33,,PREIGNAC,SALLE DES FETES 1,,,,45.1899,-0.649672
33,,PREIGNAC,SALLE DES FETES 2,,,,,
33,,PUJOLS-SUR-CIRON,MAIRIE 1,,,,44.5345,-0.343195
33,,SAINT-MICHEL-DE-RIEUFRET,SALLE POLYVALENTE 1,,,,45.1654,-0.65012
33,,VIRELADE,SALLE DU 3Ã¨me AGE 1, Virelade,,,44.6637,-0.384319
33,,BAGAS,MAIRIE 1,,,,44.5345,-0.343195
33,,BLAIGNAC,MAIRIE 1,,,,44.5345,-0.343195
33,,BOURDELLES,MAIRIE 1,,,,44.5345,-0.343195
33,,CAMIRAN,MAIRIE 1,,,,44.5345,-0.343195
33,,CASSEUIL,MAIRIE 1,,,,44.5345,-0.343195
33,,LES ESSEINTES,MAIRIE 1,,,,44.5345,-0.343195
33,,FLOUDES,MAIRIE 1,,,,44.5345,-0.343195
33,,FONTET,MAIRIE 1,,,,44.5345,-0.343195
33,,FOSSES-ET-BALEYSSAC,MAIRIE 1,,,,44.5345,-0.343195
33,,GIRONDE-SUR-DROPT,MAIRIE 1,,,,44.5345,-0.343195
33,,HURE,SALLE COMMUNALE 1,,,,,
33,,LAMOTHE-LANDERRON,MAIRIE 1,,,,44.5345,-0.343195
33,,LOUBENS,MAIRIE 1,,,,44.5345,-0.343195
33,,LOUPIAC-DE-LA-REOLE,MAIRIE 1,,,,44.5345,-0.343195
33,,MONGAUZY,MAIRIE 1,,,,44.5345,-0.343195
33,,MONTAGOUDIN,MAIRIE 1,,,,44.5345,-0.343195
33,,MORIZES,MAIRIE 1,,,,44.5345,-0.343195
33,,NOAILLAC ,MAIRIE 1,,,,44.5345,-0.343195
33,,LA REOLE,MAIRIE 1,,,,44.5345,-0.343195
33,,LA REOLE,MAIRIE 2,,,,,
33,,LA REOLE,MAIRIE 3,,,,,
33,,SAINT-EXUPERY,MAIRIE 1,,,,44.5345,-0.343195
33,,SAINT-HILAIRE-DE-LA-NOAILLE,MAIRIE 1,,,,44.5345,-0.343195
33,,SAINT-MICHEL-DE-LAPUJADE,MAIRIE 1,,,,44.5345,-0.343195
33,,SAINT-SEVE,MAIRIE 1,,,,44.5345,-0.343195
