REF,ETUD,LOCA,REG,DPT,COM,INSEE,TICO,ADRS,STAT,AFFE,PPRO,DPRO,AUTR,SCLE,,,,,,,,,,,,,,,,,,,,,
PA47000053,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Tonneins,Aquitaine,47,Tonneins,47310,"Ancienne manufacture de tabac Laperche, dite Domaine de Saint-Germain",,propriété privée,,Ancienne manufacture en totalité (cad. YD 5) : inscription par arrêté du 19 avril 2001,2001/04/19 : inscrit MH,,18e siècle , 19e siècle,,,,,,,,,,,,,,,,,,
PA47000052,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Roquefort,Aquitaine,47,Roquefort,47225,Château de Roquefort,,propriété privée,,La tour-salle (cad. C 645) , le logis (cad. C 644) , les communs (cad. C 646) ," l'enceinte située sur les parcelles C 644 à 647, 649, 650 ", le sous-sol archéologique de la totalité de ces parcelles : inscription par arrêté du 18 septembre 2001,2001/09/18 : inscrit MH,,"13e siècle, 1ère moitié 14e siècle",,,,,,,,,,,,,,,
PA47000051,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Pompiey,Aquitaine,47,Pompiey,47207,Château de Guillery,,propriété privée,,Le logis avec ses deux ailes basses (cad. C 30) , les communs (cad. C 30) ," la pièce d'eau (cad. C 36) , sa fontaine (cad. C 35) et les parcelles qui les entourent (cad. C 33, 37) "," la serre, le jardin et le potager (cad. C 31) "," l'emplacement de l'ancienne allée centrale (cad. C 26) et les espaces arborés qui la longent (cad. C 21, 22, 25, 27) : inscription par arrêté du 15 novembre 2001",2001/11/15 : inscrit MH,,1er quart 19e siècle,,,,,,,,,,,,,,,
PA47000050,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Le Passage,Aquitaine,47,Passage (Le),47201,Eglise Sainte-Jehanne de France,Sainte-Jehanne (place),propriété de la commune,,Eglise en totalité avec son clocher isolé et son patio (cad. AD 41) : inscription par arrêté du 1er février 2001,2001/02/01 : inscrit MH,Pompey Jacques (architecte),3e quart 20e siècle,,,,,,,,,,,,,,,,,,,
PA47000049,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Lacaussade,Aquitaine,47,Lacaussade,47124,Château de Canabazès,,propriété privée,,"Les façades et toitures du logis et des communs ainsi que la totalité de l'enceinte avec ses tours (cad. A 605, 791, 792) : inscription par arrêté du 12 avril 2001",2001/04/12 : inscrit MH,,16e siècle , 1ère moitié 19e siècle,,,,,,,,,,,,,,,,,,
PA40000038,recensement immeubles MH,Aquitaine , Landes , Montégut,Aquitaine,40,Montégut,40193,Maison La Salle dite maison du Gouverneur,,propriété privée,,"La maison et les dépendances qui lui sont attenantes à l'ouest, en totalité (cad. A 188) : inscription par arrêté du 15 novembre 2001",2001/11/15 : inscrit MH,,17e siècle,,,,,,,,,,,,,,,,,,,
PA40000037,recensement immeubles MH,Aquitaine , Landes , Montégut,Aquitaine,40,Montégut,40193,Eglise Saint-Laurent,,propriété de la commune,,Eglise en totalité (cad. A 171) : inscription par arrêté du 5 novembre 2001,2001/11/05 : inscrit MH,,15e siècle,,,,,,,,,,,,,,,,,,,
PA40000036,recensement immeubles MH,Aquitaine , Landes , Tarnos,Aquitaine,40,Tarnos,40312,Eglise Notre-Dame des Forges,Cité (rue de la),propriété d'une association diocésaine,,Eglise en totalité (cad. AM 90) : inscription par arrêté du 12 avril 2001,2001/04/12 : inscrit MH,,4e quart 19e siècle,,,,,,,,,,,,,,,,,,,
PA40000035,recensement immeubles MH,Aquitaine , Landes , Beyries,Aquitaine,40,Beyries,40041,Château de Beyries,,propriété privée,,Château en totalité (cad. A 442) : inscription par arrêté du 12 avril 2001,2001/04/12 : inscrit MH,,17e siècle,,,,,,,,,,,,,,,,,,,
PA40000034,recensement immeubles MH,Aquitaine , Landes , Belhade,Aquitaine,40,Belhade,40032,Château de Rochefort-Lavie,,propriété privée,,"Le château (cad. A 159) et le sol d'assiette de l'ancienne motte féodale, en totalité (cad. A 156, 157, 155, 160) : inscription par arrêté du 16 janvier 2001",2001/01/16 : inscrit MH,,Moyen Age , 18e siècle , 19e siècle,,,,,,,,,,,,,,,,,
PA33000053,recensement immeubles MH,Aquitaine , Gironde , Le Pian-sur-Garonne,Aquitaine,33,Pian-sur-Garonne (Le),33323,Domaine de Bellecroix,,propriété privée,,Le logis en totalité (cad. C 343) : inscription par arrêté du 12 octobre 2001,2001/10/12 : inscrit MH,,17e siècle,,,,,,,,,,,,,,,,,,,
PA33000052,recensement immeubles MH,Aquitaine , Gironde , Camblanes-et-Meynac,Aquitaine,33,Camblanes-et-Meynac,33085,Château de Lagarette,,propriété privée,,Le pavillon du 15e siècle et l'aile ouest du 18e siècle en totalité (l'aile est du rez-de-chaussée étant exclue de la protection) (cad. AL 374) : inscription par arrêté du 11 septembre 2001,2001/09/11 : inscrit MH,,4e quart 15e siècle , 1er quart 16e siècle,,,,,,,,,,,,,,,,,,
PA33000051,recensement immeubles MH,Aquitaine , Gironde , La Teste-de-Buch,Aquitaine,33,Teste-de-Buch (La),33529,Villa Téthys,Plage (avenue de la) 14,propriété privée,,Villa et son jardin en totalité (cad. BP 403) : inscription par arrêté du 16 janvier 2001,2001/01/16 : inscrit MH,Expert Roger Henri (architecte),1ère moitié 20e siècle,,,,,,,,,,,,,,,,,,,
PA33000050,recensement immeubles MH,Aquitaine , Gironde , Saint-Jean-de-Blaignac,Aquitaine,33,Saint-Jean-de-Blaignac,33421,Croix de cimetière,,propriété de la commune,,La croix (cad. ZE 174) : inscription par arrêté du 5 avril 2001,2001/04/05 : inscrit MH,,19e siècle,,,,,,,,,,,,,,,,,,,
PA33000049,recensement immeubles MH,Aquitaine , Gironde , Rauzan,Aquitaine,33,Rauzan,33350,Eglise Saint-Pierre,,propriété de la commune,,L'église en totalité (cad. ZE 124) : classement par arrêté du 1er septembre 2003,2003/09/01 : classé MH,,12e siècle , 13e siècle,,,,,,,,,,,,,,,,,,
PA33000048,recensement immeubles MH,Aquitaine , Gironde , Pessac,Aquitaine,33,Pessac,33318,Maison,Le-Corbusier (rue) 4,propriété de la commune,,Le logis en totalité (cad. CS 153) : inscription par arrêté du 14 juin 2001,2001/06/14 : inscrit MH,"Jeanneret Charles-Edouard, dit : Le Corbusier (architecte)",2e quart 20e siècle,,,,,,,,,,,,,,,,,,,
PA33000047,recensement immeubles MH,Aquitaine , Gironde , Naujan-et-Postiac,Aquitaine,33,Naujan-et-Postiac,33301,Eglise paroissiale Saint-Pierre,,propriété de la commune,,Eglise en totalité (cad. ZA 35) : inscription par arrêté du 13 février 2001,2001/02/13 : inscrit MH,,12e siècle , 16e siècle , 19e siècle,,,,,,,,,,,,,,,,,
PA33000046,recensement immeubles MH,Aquitaine , Gironde , Mouliets-et-Villemartin,Aquitaine,33,Mouliets-et-Villemartin,33296,Eglise Saint-Martin-de-Mouliets,,propriété de la commune,,Eglise en totalité (cad. A 124) : inscription par arrêté du 26 février 2001,2001/02/26 : inscrit MH,,11e siècle , 12e siècle,,,,,,,,,,,,,,,,,,
PA33000045,recensement immeubles MH,Aquitaine , Gironde , Gironde-sur-Dropt,Aquitaine,33,Gironde-sur-Dropt,33187,Eglise Notre-Dame,Eglise (rue de l') , André-Dupuy-Chauvin (rue),propriété de la commune,,Eglise en totalité (cad. AR 33) : inscription par arrêté du 5 avril 2001,2001/04/05 : inscrit MH,,11e siècle , 12e siècle , 16e siècle,,,,,,,,,,,,,,,,
PA33000044,recensement immeubles MH,Aquitaine , Gironde , Génissac,Aquitaine,33,Génissac,33185,Chapelle Saint-Nicolas,,propriété d'une association diocésaine,,"La chapelle (cad. AD 121) et les vestiges de l'ancien prieuré attenant en totalité (cad. domaine public, non cadastré, sous le sol du chemin rural desservant la chapelle) : inscription par arrêté du 3 mai 2001",2001/05/03 : inscrit MH,,2e moitié 12e siècle , 19e siècle,,,,,,,,,,,,,,,,,,
PA33000043,recensement immeubles MH,Aquitaine , Gironde , Fossès-et-Baleyssac,Aquitaine,33,Fossès-et-Baleyssac,33171,Eglise Saint-Pierre-ès-Liens de Fossès,,propriété de la commune,,Eglise en totalité (cad. ZD 42) : inscription par arrêté du 5 avril 2001,2001/04/05 : inscrit MH,,12e siècle ," 4e quart 15e siècle, 16e siècle",,,,,,,,,,,,,,,,,,
PA33000042,recensement immeubles MH,Aquitaine , Gironde , Floirac,Aquitaine,33,Floirac,33167,Eglise Saint-Vincent,,propriété de la commune,,Eglise en totalité (cad. AP 107) : inscription par arrêté du 26 février 2001,2001/02/26 : inscrit MH,Alaux (architecte) , Cabanne (sculpteur) , Ricaud (peintre) , Villiet (maître verrier) , Jabouin (décorateur),12e siècle , 4e quart 15e siècle , 1er quart 16e siècle , 19e siècle,,,,,,,,,,,,
PA33000041,recensement immeubles MH,Aquitaine , Gironde , Faleyras,Aquitaine,33,Faleyras,33163,Croix du cimetière,,propriété de la commune,,La croix (cad. AB 59) : inscription par arrêté du 12 avril 2001,2001/04/12 : inscrit MH,,,,,,,,,,,,,,,,,,,,,
PA33000040,recensement immeubles MH,Aquitaine , Gironde , Courpiac,Aquitaine,33,Courpiac,33135,Croix de cimetière,,propriété de la commune,,"La croix, en totalité (cad. A 333) : classement par arrêté du 23 février 2004",2004/02/23 : classé MH,,,,,,,,,,,,,,,,,,,,,
PA33000039,recensement immeubles MH,Aquitaine , Gironde , Cambes,Aquitaine,33,Cambes,33084,Eglise paroissiale Saint-Martin,,propriété de la commune,,Eglise en totalité (cad. AH 46) : inscription par arrêté du 26 février 2001,2001/02/26 : inscrit MH,,12e siècle , 15e siècle , 16e siècle,,,,,,,,,,,,,,,,,
PA33000038,recensement immeubles MH,Aquitaine , Gironde , Le Bouscat,Aquitaine,33,Bouscat (Le),33069,Maison dite Villa Jeanne,Libération (avenue de la) 41,propriété d'une société privée,,"La villa en totalité, avec son parc et ses portails d'entrée (cad. AM 813) : inscription par arrêté du 26 février 2001",2001/02/26 : inscrit MH,Duprat Bertrand-Alfred (architecte) , Duprat Cyprien-Alfred (architecte),4e quart 19e siècle,,,,,,,,,,,,,,,,,,
PA33000037,recensement immeubles MH,Aquitaine , Gironde , Blésignac,Aquitaine,33,Blésignac,33059,Eglise paroissiale Saint-Roch,,propriété de la commune,,Eglise en totalité (cad. B 479) : inscription par arrêté du 5 avril 2001,2001/04/05 : inscrit MH,,12e siècle , 15e siècle , 16e siècle , 19e siècle,,,,,,,,,,,,,,,,
PA24000033,recensement immeubles MH,Aquitaine , Dordogne , Le Buisson-de-Cadouin,Aquitaine,24,Buisson-de-Cadouin (Le),24068,Grotte ornée souterraine de Cussac,,propriété de la commune , propriété d'une société privée , propriété privée,,"La grotte en totalité (cad. D 405, 406, 506 à 508, 510, 512 à 515, 519, 534, 539 à 542, 786, 812 "," D partie de chemin rural, lieudit Genestal, domaine public, non cadastré "," D partie de la voie communale n° 211, lieudit Pecpugné ouest, domaine public, non cadastré "," D partie de la voie communale n° 212, lieudit Pecpugné est, domaine public, non cadastré "," E 278, 298 à 300, 318, 319, 899, 900, 975) : classement par arrêté du 3 juillet 2002",2002/07/03 : classé MH,,Paléolithique,,,,,,,,,,,,,
PA24000032,recensement immeubles MH,Aquitaine , Dordogne , Grand-Brassac,Aquitaine,24,Grand-Brassac,24200,Château de Montardy,,propriété privée,,"Les château en totalité, ses dépendances et la terrasse (cad. AK 39, 38) : inscription par arrêté du 11 septembre 2001",2001/09/11 : inscrit MH,,Moyen Age , 18e siècle , 19e siècle,,,,,,,,,,,,,,,,,
PA24000031,recensement immeubles MH,Aquitaine , Dordogne , Terrasson-Lavilledieu,Aquitaine,24,Terrasson-Lavilledieu,24547,Château du Fraysse,se trouve à l'est du bourg de Terrasson.,propriété privée,,"Le château, la terrasse au nord du château, le jardin (cad. AN 12 à 18) : inscription par arrêté du 25 mai 2001",2001/05/25 : inscrit MH,,Moyen Age , 17e siècle , 18e siècle,,,,,,,,,,,,,,,,,
PA24000030,recensement immeubles MH,Aquitaine , Dordogne , Terrasson-Lavilledieu,Aquitaine,24,Terrasson-Lavilledieu,24547,Chapelle Notre-Dame du Mouret,,propriété de la commune,,Chapelle en totalité (cad. AW 108) : inscription par arrêté du 3 mai 2001,2001/05/03 : inscrit MH,,4e quart 12e siècle , 1er quart 13e siècle , 14e siècle , 15e siècle , 16e siècle,,,,,,,,,,,,,,,
PA24000029,recensement immeubles MH,Aquitaine , Dordogne , Bergerac,Aquitaine,24,Bergerac,24037,Eglise Notre-Dame,Sainte-Catherine (rue),propriété de la commune,,L'église en totalité (cad. DI 627) : classement par arrêté du 17 octobre 2002,2002/10/17 : classé MH,Abadie Paul (architecte) , Baleyre Léon (sculpteur) , Pascal Michel (sculpteur) , Didron Edouard (maître verrier),3e quart 19e siècle,,,,,,,,,,,,,,,,
PA64000038,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Pau,Aquitaine,64,Pau,64445,Eglise Saint-Joseph,Eglise-Saint-Joseph (avenue de l'),propriété d'une association diocésaine,,Eglise (cad. CN 356) : inscription par arrêté du 14 décembre 2000,2000/12/14 : inscrit MH,LAFFILLEE Jacques (architecte) , GABARD Ernest (sculpteur) , ROUX-COLAS Anne-Marie (sculpteur),2e quart 20e siècle,,,,,,,,,,,,,,,,,
PA64000037,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Ascain,Aquitaine,64,Ascain,64065,Maison de Ferdinand Pinney Earle,,propriété d'une société privée,,Maison (cad. AE 20 ) : inscription par arrêté du 13 janvier 2000,2000/01/13 : inscrit MH,,2e quart 20e siècle,,,,,,,,,,,,,,,,,,,
PA64000036,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Angaïs,Aquitaine,64,Angaïs,64023,Château d'Angaïs,,propriété privée,,"Château (cad. B 19) , écuries (cad. B 1295) et parc (cad. B 20 à 22, 1298) : inscription par arrêté du 30 juin 2000",2000/06/30 : inscrit MH,Gabarret Pierre (architecte) , Noutary Jules-Antoine (architecte) , Decorges L. (architecte paysagiste),1er quart 20e siècle,,,,,,,,,,,,,,,,,
PA47000048,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Villeneuve-sur-Lot,Aquitaine,47,Villeneuve-sur-Lot,47323,Château de la Sylvestrie,,propriété privée,,Château (cad. DL 95 ) : inscription par arrêté du 30 juin 2000,2000/06/30 : inscrit MH,,13e siècle,,,,,,,,,,,,,,,,,,,
PA47000047,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Saint-Martin-de-Beauville,Aquitaine,47,Saint-Martin-de-Beauville,47255,Eglise Saint-Sixte,,propriété de la commune,,Eglise (cad. ZD 28) : inscription par arrêté du 13 janvier 2000,2000/01/13 : inscrit MH,,11e siècle , 12e siècle,,,,,,,,,,,,,,,,,,
PA47000046,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Lafitte-sur-Lot,Aquitaine,47,Lafitte-sur-Lot,47127,Château Saint-Sauveur,,propriété privée,,Logis Renaissance avec sa tour d'escalier (et donc à l'exclusion du pigeonnier qui lui est adossé au sud et du logis 17e siècle qui lui adossé au nord) (cad. E 315) : inscription par arrêté du 13 janvier 2000,2000/01/13 : inscrit MH,,1ère moitié 16e siècle,,,,,,,,,,,,,,,,,,,
PA47000045,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Cauzac,Aquitaine,47,Cauzac,47062,Eglise Sainte-Eulalie,,propriété de la commune,,Eglise (cad. D 294) : inscription par arrêté du 30 juin 2000,2000/06/30 : inscrit MH,,12e siècle , 16e siècle , 19e siècle,,,,,,,,,,,,,,,,,
PA47000044,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Cauzac,Aquitaine,47,Cauzac,47062,Eglise Saint-Clair,,propriété de la commune,,Eglise (cad. E 342) : inscription par arrêté du 30 juin 2000,2000/06/30 : inscrit MH,,12e siècle,,,,,,,,,,,,,,,,,,,
PA47000043,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Agen,Aquitaine,47,Agen,47001,Maison Art Nouveau,Carnot (boulevard) 56,propriété privée,,Façades et toitures (cad. BE 771) : inscription par arrêté du 7 décembre 2000,2000/12/07 : inscrit MH,Payen Edouard (architecte) , Pinètre (architecte),4e quart 19e siècle , 1er quart 20e siècle,,,,,,,,,,,,,,,,,
PA47000042,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Agen,Aquitaine,47,Agen,47001,Eglise du Sacré-Coeur,Toulouse (route de),propriété de la commune,,Eglise (cad. AL 748) : inscription par arrêté du 7 décembre 2000,2000/12/07 : inscrit MH,Abadie Paul (architecte) , Vidal Henri (architecte) , Dagrant (maître verrier) , Leuzy (maître verrier),3e quart 19e siècle , 2e quart 20e siècle,,,,,,,,,,,,,,,
PA40000033,recensement immeubles MH,Aquitaine , Landes , Cazères-sur-l'Adour,Aquitaine,40,Cazères-sur-l'Adour,40080,Pont métallique sur l'Adour,R.D. 65,propriété du département,,"Pont (cad. non cadastré, domaine public) : inscription par arrêté du 7 novembre 2000",2000/11/07 : inscrit MH,Eiffel (entrepreneur),4e quart 19e siècle,,,,,,,,,,,,,,,,,,,
PA40000032,recensement immeubles MH,Aquitaine , Landes , Capbreton,Aquitaine,40,Capbreton,40065,Eglise Saint-Nicolas,Saint-Nicolas (place),propriété de la commune,,Eglise (cad. AR 36) : inscription par arrêté du 16 octobre 2000,2000/10/16 : inscrit MH,Ozanne (architecte) , Allard (architecte) , Gelibert Jules (peintre) , Gelibert Gaston (peintre) , Drouillard Claude (peintre) , Dillais Marcel (peintre),16e siècle , 2e moitié 19e siècle , 1ère moitié 20e siècle,,,,,,,,,,,,
PA40000031,recensement immeubles MH,Aquitaine , Landes , Bostens,Aquitaine,40,Bostens,40050,Moulin à eau de Barraques,,propriété d'une personne privée,,Bâtiment du moulin proprement dit (cad. B 133) , étang de retenue (cad. B 130) ," bief d'aval (cad. B 135, 132, 134) ", ponceau du bief d'aval (cad. B 134) : inscription par arrêté du 14 décembre 2000,2000/12/14 : inscrit MH,,2e moitié 18e siècle,,,,,,,,,,,,,,,,
PA33000036,recensement immeubles MH , label XXe,Aquitaine , Gironde , Lormont,Aquitaine,33,Lormont,33249,Eglise paroissiale du Saint-Esprit,Thibaut Jacques (rue),propriété d'une association cultuelle,,"Eglise en totalité (cad. BC 72, 74) : inscription par arrêté du 7 décembre 2000",2000/12/07 : inscrit MH,Salier Yves (architecte) , Courtois Adrien (architecte) , Lajus Pierre (architecte) , Sadirac Michel (architecte) , Chantiers diocésains de Bordeaux (maître d'ouvrage),3e quart 20e siècle,,,,,,,,,,,,,,
PA33000035,recensement immeubles MH,Aquitaine , Gironde , Langon,Aquitaine,33,Langon,33227,Maison du 16e siècle,Maubec (rue) 51,propriété privée,,Façades et toitures (cad. AC 371) : inscription par arrêté du 16 octobre 2000,2000/10/16 : inscrit MH,,4e quart 16e siècle , 1er quart 17e siècle,,,,,,,,,,,,,,,,,,
PA33000034,recensement immeubles MH,Aquitaine , Gironde , La Lande-de-Fronsac,Aquitaine,33,Lande-de-Fronsac (La),33219,Croix de cimetière,,propriété de la commune,,Croix (cad. BA 51) : inscription par arrêté du 16 octobre 2000,2000/10/16 : inscrit MH,,2e moitié 15e siècle , 1ère moitié 16e siècle , 18e siècle , 19e siècle,,,,,,,,,,,,,,,,
PA33000033,recensement immeubles MH,Aquitaine , Gironde , Floirac,Aquitaine,33,Floirac,33167,Domaine de Sybirol,Pierre-Sémirot (avenue),propriété privée,,"Le logis, les dépendances disposées autour d'une cour, le bassin avec sa citerne, la fontaine, le belvédère du 19e siècle, l'ermitage, les trois portails avec les murs de clôture anciens, le parc dessiné par le paysagiste Fischer (cad. AP 3, 6, 229, 230, 291, 293, 296, 297, 299, 300 ", AE 204 , AH 636) : inscription par arrêté du 26 octobre 2000,2000/10/26 : inscrit MH,Fischer (architecte paysagiste),1ère moitié 18e siècle,,,,,,,,,,,,,,,,,
PA33000032,recensement immeubles MH,Aquitaine , Gironde , Escaudes,Aquitaine,33,Escaudes,33155,Château du Boscage,,propriété privée,,"Le logis, les dépendances et la cour intérieure bordée de haies (cad. A 553) : inscription par arrêté du 16 octobre 2000",2000/10/16 : inscrit MH,,2e moitié 17e siècle,,,,,,,,,,,,,,,,,,,
PA33000031,recensement immeubles MH,Aquitaine , Gironde , Verdelais,Aquitaine,33,Verdelais,33543,Site de pèlerinage de Verdelais : Fontaine votive et groupe commémoratif en grès-céramique dits du Pas de la Mule,,propriété d'une association diocésaine,,"La fontaine votive et le groupe commémoratif du Pas-de-la-Mule, situées au lieudit le Luc (cad. B 613, 394) : classement par arrêté du 14 décembre 2010",2010/12/14 : classé MH,Clerc (sculpteur),3e quart 19e siècle,,,,,,,,,,,,,,,,,,,
PA33000030,recensement immeubles MH,Aquitaine , Gironde , Verdelais,Aquitaine,33,Verdelais,33543,Site de pèlerinage de Verdelais : Croix votive datée de 1630,,propriété de la commune,,"La croix votive de 1630, située à l'extrémité ouest de la place des Allées (cad. domaine public, non cadastré) : classement par arrêté du 14 décembre 2010",2010/12/14 : classé MH,,2e quart 17e siècle,,,,,,,,,,,,,,,,,,,
PA33000029,recensement immeubles MH,Aquitaine , Gironde , Verdelais,Aquitaine,33,Verdelais,33543,Site de pèlerinage de Verdelais : Ancien couvent des Célestins,,propriété d'une association diocésaine , propriété de la commune,,"La cour intérieure et les bâtiments qui l'entourent, formant jadis l'ancien couvent et faisant actuellement fonction de presbytère, à l'exclusion des parties classées (cad. C 409) "," le cloître et les bâtiments qui l'entourent, ainsi que les piliers du portail ouvrant sur les allées, formant jadis le nouveau couvent, abritant la mairie, l'école communale et différents services, à l'exclusion des parties classées (cad. C 672) : inscription par arrêté du 31 mars 2000 - Les façades et toitures de «l'ancien couvent» des Célestins, actuellement presbytère, à l'exclusion des intérieurs (cad. C 1144) "," les façades et toitures du «nouveau couvent», actuellement hôtel de ville, école communale et musée, à l'exclusion des intérieurs, ainsi que les piliers du portail ouvrant sur les allées (cad. C 672) : classement par arrêté du 14 décembre 2010",2000/03/31 : inscrit MH , 2010/12/14 : classé MH,Duphot Théodore (architecte),17e siècle , 18e siècle , 19e siècle,,,,,,,,,,,,,
PA33000028,recensement immeubles MH,Aquitaine , Gironde , Verdelais,Aquitaine,33,Verdelais,33543,Site de pèlerinage de Verdelais : Chemin de croix et calvaire de Verdelais,,propriété d'une association diocésaine,,"Le chemin de croix en totalité, avec ses parcelles d'assiette C 337, 1063 à 1078, constitué des éléments suivants : la chapelle de la Sainte-Agonie, la chapelle du Saint-Sépulcre, les quatorze stations avec leur autel et son décor en grès-céramique, la parcelle d'assiette du chemin de croix, les trois croix monumentales du calvaire avec leur socle et les cinq statues, l'escalier d'accès avec sa balustrade et ses deux anges en grès-céramique et la butte : classement par arrêté du 14 décembre 2010",2010/12/14 : classé MH,Duphot Théodore (architecte) , Clerc (sculpteur),3e quart 19e siècle,,,,,,,,,,,,,,,,,,
PA33000027,recensement immeubles MH,Aquitaine , Gironde , Verdelais,Aquitaine,33,Verdelais,33543,Site de pèlerinage de Verdelais : Basilique Notre-Dame,,propriété de la commune,,La basilique en totalité (cad. C 410) : classement par arrêté du 14 décembre 2010,2010/12/14 : classé MH,Duphot Théodore (architecte),17e siècle , 18e siècle , 19e siècle,,,,,,,,,,,,,,,,,
PA33000026,recensement immeubles MH,Aquitaine , Gironde , Saint-Symphorien,Aquitaine,33,Saint-Symphorien,33484,Ancienne usine de distillation des produits résineux,Mûriers (avenue des),propriété de la commune,,Ancienne usine avec l'ensemble de ses bâtiments et leurs installations (cad. AH 49) : inscription par arrêté du 16 juin 2000,2000/06/16 : inscrit MH,,1er quart 20e siècle,,,,,,,,,,,,,,,,,,,
PA33000025,recensement immeubles MH,Aquitaine , Gironde , Parempuyre,Aquitaine,33,Parempuyre,33312,Château Clément-Pichon,,propriété d'une société privée,,Façades et toitures , totalité du rez-de-chaussée (cad. AN 5) : inscription par arrêté du 16 juin 2000,2000/06/16 : inscrit MH,Garros Louis (architecte),4e quart 19e siècle,,,,,,,,,,,,,,,,,,
PA33000024,recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Fontaine Daurade,Piliers-de-Tutelle (rue des) , Pont-de-la-Mousque (rue),propriété de la commune,,"Fontaine souterraine située dans l'angle de la rue des Piliers-de-Tutelle et de la rue de la Mousque (cad. domaine public, non cadastré) : inscription par arrêté du 13 janvier 2000",2000/01/13 : inscrit MH,,1er quart 17e siècle , 1er quart 19e siècle,,,,,,,,,,,,,,,,,
PA33000023,recensement immeubles MH,Aquitaine , Gironde , Arès,Aquitaine,33,Arès,33011,Ancien aérium,,propriété d'une association,,"Bâtiments de l'ancien aérium, y compris la parcelle cadastrale AX 52 sur laquelle ils sont implantés : inscription par arrêté du 4 mai 2000",2000/05/04 : inscrit MH,Duval Charles (architecte) , Gonse Emmanuel (architecte),1er quart 20e siècle,,,,,,,,,,,,,,,,,,
PA24000028,recensement immeubles MH,Aquitaine , Dordogne , Sourzac,Aquitaine,24,Sourzac,24543,Jardins du Chaufourg,,propriété privée,,Jardins (cad. AC 338 à 342 , AW 61) : inscription par arrêté du 2 novembre 2000,2000/11/02 : inscrit MH,Dive Jean (architecte) , Loup de Vianne Tobie (architecte paysagiste),3e quart 20e siècle,,,,,,,,,,,,,,,,,
PA24000027,recensement immeubles MH,Aquitaine , Dordogne , Saint-Méard-de-Drône,Aquitaine,24,Saint-Méard-de-Drône,24460,Eglise Saint-Méard,,propriété de la commune,,Eglise (cad. AA 40) : inscription par arrêté du 2 novembre 2000,2000/11/02 : inscrit MH,,12e siècle , 19e siècle,,,,,,,,,,,,,,,,,,
PA24000026,recensement immeubles MH,Aquitaine , Dordogne , Ribérac,Aquitaine,24,Ribérac,24352,Eglise Notre-Dame de la Paix,Nouvelle-Eglise (rue de la),propriété de la commune , propriété d'une association cultuelle,,Eglise en totalité ," façades et toitures de son presbytère (cad. BO 43, 44) : inscription par arrêté du 14 décembre 2000",2000/12/14 : inscrit MH,Laffillée Jacques (architecte) , association paroissiale (maître d'ouvrage) , Chigot Francis (maître verrier),2e quart 20e siècle,,,,,,,,,,,,,,,
PA64000035,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Saint-Esteben,Aquitaine,64,Saint-Esteben,64476,Eglise Saint-Etienne,,propriété de la commune,,Eglise (cad. A 334) et l'ancien presbytère qui lui est attenant (cad. A 335) : inscription par arrêté du 29 avril 1999,1999/04/29 : inscrit MH,,4e quart 17e siècle , 18e siècle,,,,,,,,,,,,,,,,,,
PA64000034,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Saint-Esteben,Aquitaine,64,Saint-Esteben,64476,Croix de chemin située sur le bord de la R.D. n° 14,,propriété d'une personne privée,,Croix de chemin (cad. A 433) : inscription par arrêté du 29 avril 1999,1999/04/29 : inscrit MH,,4e quart 17e siècle , 4e quart 19e siècle,,,,,,,,,,,,,,,,,,
PA64000033,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Sainte-Colome,Aquitaine,64,Sainte-Colome,64473,Château de Sainte-Colome,,propriété privée,,Château (cad. C 199) , basse-cour avec les vestiges de son enceinte ainsi que le chemin d'accès au château bordé des vestiges des murs (l'enceinte et ces murs faisant fonction de murs de soutènement) (cad. C 198) : inscription par arrêté du 29 avril 1999,1999/04/29 : inscrit MH,,"13e siècle, 1er quart 14e siècle",,,,,,,,,,,,,,,,,,
PA64000032,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Cette-Eygun,Aquitaine,64,Cette-Eygun,64185,Eglise Saint-Pierre de Cette,,propriété de la commune,,Eglise (cad. A 40) : inscription par arrêté du 29 avril 1999,1999/04/29 : inscrit MH,,12e siècle , 17e siècle,,,,,,,,,,,,,,,,,,
