REF,ETUD,LOCA,REG,DPT,COM,INSEE,TICO,ADRS,STAT,AFFE,PPRO,DPRO,AUTR,SCLE,,,,,,,,,,,,,,,,,,,,,
PA33000151,recensement immeubles MH,Aquitaine , Gironde , Pessac,Aquitaine,33,Pessac,33318,"Maison "" jumelle """,Le-Corbusier (rue) 15,propriété d'une personne privée,,"La maison "" jumelle "", en totalité (cad. CS 131) : inscription par arrêté du 19 septembre 2011",2011/09/19 : inscrit MH,"Jeanneret Edouard, dit : Le Corbusier (architecte) ", Jeanneret Pierre (architecte),2e quart 20e siècle,,,,,,,,,,,,,,,,,,
PA33000150,recensement immeubles MH,Aquitaine , Gironde , Margaux,Aquitaine,33,Margaux,33268,Château Rauzan-Ségla,,propriété d'une société privée,,Le château en totalité , les murs de clôture , les façades et toitures des communs et leur cour (à l' exception des chais modernes au sud-ouest) , le reste du parc et la tour d' Albret (cad. AE 30 à 32) : inscription par arrêté du 18 octobre 2011,2011/10/18 : inscrit MH,Garros M.L. (architecte) , Le Breton G. (architecte),1ère moitié 20e siècle,,,,,,,,,,,,,,,
PA33000149,recensement immeubles MH,Aquitaine , Gironde , Ludon-Médoc,Aquitaine,33,Ludon-Médoc,33256,Château La Lagune,,propriété d'une société privée,,Le château en totalité , les façades et toitures des communs (à l' exception des bâtiments modernes) ," le jardin, les portails, les grilles et l' allée arrière (cad. BH 2, 79) : inscription par arrêté du 28 octobre 2011",2011/10/28 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,
PA33000148,recensement immeubles MH,Aquitaine , Gironde , Loupiac,Aquitaine,33,Loupiac,33253,Villa gallo-romaine,,propriété d'une personne privée,,"Les restes de la villa gallo-romaine et les restes du prieuré dépendant de la Sauve-Majeure, en totalité (cad. D 103, 106, 110, 1379, 1522) : inscription par arrêté du 10 novembre 2011",2011/11/10 : inscrit MH,,Gallo-romain , limite 11e siècle 12e siècle,,,,,,,,,,,,,,,,,,
PA33000147,recensement immeubles MH,Aquitaine , Gironde , Labarde,Aquitaine,33,Labarde,33211,Château Giscours,,propriété d'une société privée,,Le château en totalité ," les façades et toitures du cuvier, des anciennes écuries, de la dépendance - maison du gardien, de l' ancienne salle d' asile, de la maison du jardinier, de la ferme Suzanne et de la ferme Camille "," le parc avec le parcours d' eau et sa garenne (cad. B 123 à 127, 131 à 136, 161, 312, 313, 370, 371) : inscription par arrêté du 3 novembre 2011",2011/11/03 : inscrit MH,Bühler Eugène (architecte paysagiste),2e moitié 19e siècle,,,,,,,,,,,,,,,,,
PA33000146,recensement immeubles MH,Aquitaine , Gironde , La Teste-de-Buch,Aquitaine,33,Teste-de-Buch (La),33529,Villa Geneste,,propriété d'une personne privée,,"La villa, son garage, sa clôture, ainsi que son sol d' assiette, en totalité, mais à l' exclusion de la piscine (cad. CD 351) : inscription par arrêté du 18 février 2011",2011/02/18 : inscrit MH,Salier Yves (architecte),3e quart 20e siècle,,,,,,,,,,,,,,,,,,,
PA33000145,recensement immeubles MH,Aquitaine , Gironde , Pessac,Aquitaine,33,Pessac,33318,Maison de type Quinconce,Henry-Frugès (rue) 32,propriété d'une personne privée,,"La maison de type Quinconce, en totalité (cad. CS 113) : inscription par arrêté du 24 juin 2011",2011/06/24 : inscrit MH,"Jeanneret Edouard, dit : Le Corbusier (architecte) ", Jeanneret Pierre (architecte),1ère moitié 20e siècle,,,,,,,,,,,,,,,,,,
PA33000144,recensement immeubles MH,Aquitaine , Gironde , Pessac,Aquitaine,33,Pessac,33318,Maison,Le-Corbusier (rue) 18,propriété d'une personne privée,,"La maison en totalité (cad. CS 147, 463) : inscription par arrêté du 26 mai 2011",2011/05/26 : inscrit MH,"Jeanneret Edouard, dit : Le Corbusier (architecte) ", Jeanneret Pierre (architecte),1ère moitié 20e siècle,,,,,,,,,,,,,,,,,,
PA33000143,recensement immeubles MH,Aquitaine , Gironde , Pessac,Aquitaine,33,Pessac,33318,Maison de type Quinconce,Le-Corbusier (rue) 17,propriété d'une personne privée,,"La maison de type Quinconce, en totalité (cad. CS 132) : inscription par arrêté du 24 juin 2011",2011/06/24 : inscrit MH,"Jeanneret Edouard, dit : Le Corbusier (architecte) ", Jeanneret Pierre (architecte),1ère moitié 20e siècle,,,,,,,,,,,,,,,,,,
PA33000142,recensement immeubles MH,Aquitaine , Gironde , Pessac,Aquitaine,33,Pessac,33318,Maison de type gratte-ciel,Le-Corbusier (rue) 14,propriété d'une personne privée,,"La maison de type gratte-ciel, en totalité (cad. CS 150) : inscription par arrêté -du 24 juin 2011",2011/06/24 : inscrit MH,"Jeanneret Edouard, dit : Le Corbusier (architecte) ", Jeanneret Pierre (architecte),1ère moitié 20e siècle,,,,,,,,,,,,,,,,,,
PA33000141,recensement immeubles MH,Aquitaine , Gironde , Pessac,Aquitaine,33,Pessac,33318,Maison de type gratte-ciel,Le-Corbusier (rue) 12,propriété d'une personne privée,,"La maison de type gratte-ciel, en totalité (cad. CS 149) : inscription par arrêté du 24 juin 2011",2011/06/24 : inscrit MH,"Jeanneret Edouard, dit : Le Corbusier (architecte) ", Jeanneret Pierre (architecte),1ère moitié 20e siècle,,,,,,,,,,,,,,,,,,
PA33000140,recensement immeubles MH,Aquitaine , Gironde , Pessac,Aquitaine,33,Pessac,33318,Maison,Le-Corbusier (rue) 2,propriété d'une personne privée,,La maison en totalité (cad. CS 313) : inscription par arrêté du 26 mai 2011,2011/05/26 : inscrit MH,"Jeanneret Edouard, dit : Le Corbusier (architecte) ", Jeanneret Pierre (architecte),1ère moitié 20e siècle,,,,,,,,,,,,,,,,,,
PA33000139,recensement immeubles MH,Aquitaine , Gironde , Monségur,Aquitaine,33,Monségur,33289,Halle,,propriété de la commune,,"La halle, y compris son sol d' assiette, en totalité (cad. AB 474) : inscription par arrêté du 24 janvier 2011",2011/01/24 : inscrit MH,Faget Marius (architecte) , Valleton Jean-Jacques (architecte),2e moitié 19e siècle,,,,,,,,,,,,,,,,,,
