Maisons des associations;Date ;Heure de début;Heure de fin;Activité;Type de réservation;Association
GARIBALDI;27/01/2016;09H00;12H00;AFFAIRES MILITAIRES;DIVERS;ANMONM - ASS. NALE DES MEMBRES DE L'ORDRE NATIONAL DU MERITE - Section Départementale des AM 
GARIBALDI;27/01/2016;10H00;12H00;SANTE;COURS;ASSOCIATION HOSPITALIERE SAINTE MARIE
GARIBALDI;27/01/2016;13H00;16H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;27/01/2016;13H00;16H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;27/01/2016;13H00;16H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;27/01/2016;14H00;17H00;SPORT;COURS;DAME D'AZUR - DA
GARIBALDI;27/01/2016;14H00;16H00;SENIORS;ATELIER;CONSEIL DES SENIORS DE NICE 
GARIBALDI;27/01/2016;17H00;19H00;CULTURE;COURS;ACFI - ASSOCIATION CULTURELLE FRANCO ITALIENNE
GARIBALDI;27/01/2016;18H00;21H00;CULTURE;CONFERENCE;LES AMIS DE CONDORCET
GARIBALDI;27/01/2016;18H00;20H00;CULTURE;COURS;COMMUNAUTE GRECQUE DES ALPES-MARITIMES CGDAM
GARIBALDI;27/01/2016;19H00;21H00;CITOYENNETE;REUNION;LICRA - LIGUE INTERNATIONALE CONTRE LE RACISME ET L'ANTISEMITISME - SECTION DE NICE
GARIBALDI;27/01/2016;19H00;20H00;DANSE ;COURS;TIGRE TANGO
GARIBALDI;27/01/2016;19H00;21H00;CULTURE;COURS;ASSOCIATION FRANCE-JAPON - CHAIRE KAWABATA
GARIBALDI;27/01/2016;19H00;21H00;ACTIVITE BIEN ETRE;COURS;AZUR TAI CHI ASSOCIATION CULTURELLE ETHIQUE ET SOLIDAIRE EN PROVENCE ALPES COTE D'AZUR
GARIBALDI;27/01/2016;20H00;21H00;DANSE ;COURS;TIGERACT AND CO
GARIBALDI;28/01/2016;09H00;12H00;ORGANISME PUBLIC;ATELIER;METROPOLE NICE COTE D'AZUR
GARIBALDI;28/01/2016;09H00;12H00;LOISIRS;COURS;L'ESCAPADE
GARIBALDI;28/01/2016;09H00;11H00;ACTIVITE BIEN ETRE;COURS;QI GONG & SANTE
GARIBALDI;28/01/2016;10H00;13H00;CULTURE;COURS;COLOMBIE COTE D'AZUR CCA
GARIBALDI;28/01/2016;10H00;11H00;SOCIAL;PERMANENCE;AS3P - ASSOCIATION DE SUIVI PSYCHOLOGIQUE POST-PENAL  
GARIBALDI;28/01/2016;11H00;12H00;ACTIVITE BIEN ETRE;COURS;MANGALAM
GARIBALDI;28/01/2016;13H00;15H00;LOISIRS;PERMANENCE;SAVA - SPORT ACTION VOYAGES AMITIE 
GARIBALDI;28/01/2016;13H00;16H00;SOCIAL;PERMANENCE;AXENCE
GARIBALDI;28/01/2016;14H00;16H00;SOCIAL;PERMANENCE;AXENCE
GARIBALDI;28/01/2016;14H00;17H00;ENSEIGNEMENT;CONFERENCE;UNIA - UNIVERSITE DE NICE INTER AGES
GARIBALDI;28/01/2016;14H00;16H00;CULTURE;ASSEMBLEE GENERALE;NICE PARIS CULTURE 
GARIBALDI;28/01/2016;15H00;17H00;ENSEIGNEMENT;REUNION;ASSOUCIACIOUN DOU MALOUNAT
GARIBALDI;28/01/2016;16H00;18H00;SOCIAL;PERMANENCE;AS3P - ASSOCIATION DE SUIVI PSYCHOLOGIQUE POST-PENAL  
GARIBALDI;28/01/2016;16H00;18H00;SOCIAL;PERMANENCE;ALETHEIA
GARIBALDI;28/01/2016;17H00;19H00;LOISIRS;COURS;L'ESCAPADE
GARIBALDI;28/01/2016;17H00;18H00;ACTIVITE BIEN ETRE;COURS;YOGADOR
GARIBALDI;28/01/2016;18H00;21H00;THEATRE;COURS;LE QUADRANT MAGIQUE
GARIBALDI;28/01/2016;18H00;21H00;COURS DE LANGUE;COURS;MANABI
GARIBALDI;28/01/2016;18H00;21H00;CULTURE;CONFERENCE;LES AMIS DE LA LIBERTE 
GARIBALDI;28/01/2016;18H00;19H00;SPORT;COURS;DAME D'AZUR - DA
GARIBALDI;28/01/2016;19H00;21H00;THEATRE;COURS;LE PETIT THEATRE DE LAURE
GARIBALDI;28/01/2016;19H00;21H00;COURS DE LANGUE;COURS;LET'S SPEAK IN ENGLISH
GARIBALDI;29/01/2016;09H00;13H00;CITOYENNETE;ASSEMBLEE GENERALE;FO - FORCE OUVRIERE
GARIBALDI;29/01/2016;10H00;12H00;SANTE;COURS;ANPAA06 - ASSOCIATION NATIONALE DE PREVENTION EN ALCOOLOGIE ET ADDICTOLOGIE -COMITE DES A M   
GARIBALDI;29/01/2016;14H00;17H00;SENIORS;REUNION;ACRAM - AMICALE DES CADRES ET RETRAITES DES ALPES MARITIMES
GARIBALDI;29/01/2016;15H00;17H00;CULTURE;CONFERENCE;DANTE ALIGHIERI
GARIBALDI;29/01/2016;18H00;21H00;SPECTACLE VIVANT;COURS;LA COMPAGNIE DE L'INVENT'ERE
GARIBALDI;29/01/2016;19H00;21H00;ACTIVITE BIEN ETRE;COURS;DE L'ETOILE O SAMA
GARIBALDI;30/01/2016;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;30/01/2016;10H00;13H00;ENSEIGNEMENT;CONFERENCE;GMSPP - GROUPE MEDITERRANEEN DE LA SOCIETE PSYCHANALYTIQUE DE PARIS
GARIBALDI;30/01/2016;10H00;13H00;CULTURE;REUNION;AEFL - ASSOCIATION D'ETUDES DE FREUD ET LACAN
GARIBALDI;30/01/2016;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;30/01/2016;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;30/01/2016;10H00;13H00;DANSE ;COURS;TIGERACT AND CO
GARIBALDI;30/01/2016;10H00;12H00;HANDICAP;ASSEMBLEE GENERALE;LE CHEMIN DES REVES
GARIBALDI;30/01/2016;14H00;15H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;30/01/2016;14H00;18H00;ACTIVITE BIEN ETRE;COURS;LES COULEURS DU CIEL ART THERAPIE ET YOGA
GARIBALDI;30/01/2016;14H00;15H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;30/01/2016;14H00;16H00;SANTE;COURS;COMITE DES ALPES MARITIMES DE LA LIGUE CONTRE LE CANCER
GARIBALDI;30/01/2016;15H00;17H00;SPECTACLE VIVANT;LOGE;LA COMPAGNIE DE L'INVENT'ERE
GARIBALDI;30/01/2016;15H00;16H00;SPECTACLE VIVANT;SPECTACLE;LA COMPAGNIE DE L'INVENT'ERE
GARIBALDI;30/01/2016;15H00;17H00;CULTURE;REUNION;ASSOCIATION LITTERAIRE PAGES DU SUD
GARIBALDI;30/01/2016;15H00;18H00;CULTURE;REUNION;COMMUNAUTE GRECQUE DES ALPES-MARITIMES CGDAM
GARIBALDI;30/01/2016;18H00;21H00;CULTURE;SPECTACLE;COMMUNAUTE GRECQUE DES ALPES-MARITIMES CGDAM
LIBERATION;30/01/2016;10H00;12H00;LOISIRS;COURS;ASM - ARTS SACRES DU MONDE
LIBERATION;30/01/2016;13H00;15H00;LOISIRS;COURS;ASM - ARTS SACRES DU MONDE
LIBERATION;30/01/2016;16H00;18H00;ACTIVITE BIEN ETRE;ATELIER;LA VOIE ZEN GESTION DU STRESS
NICE-CENTRE;25/01/2016;15H00;18H00;COURS DE LANGUE;COURS;FRANCE GRANDE BRETAGNE
NICE-CENTRE;25/01/2016;18H00;21H00;ENSEIGNEMENT;COURS;AMICALE DES POLONAIS NICE - COTE D'AZUR
NICE-CENTRE;25/01/2016;18H00;20H00;CITOYENNETE;;ENGAGEMENT CITOYEN POUR LA FRANCE
NICE-CENTRE;26/01/2016;10H00;17H00;COURS DE LANGUE;COURS;FRANCE GRANDE BRETAGNE
NICE-CENTRE;26/01/2016;18H00;21H00;EMPLOI;FORMATION;APPASCAM ASS. PROMOTION ET PROFESSIONALISATION DE L'ANIMATION SPORTIVE ET CULTURELLE DANS LES A.M.
NICE-CENTRE;26/01/2016;18H00;21H00;THEATRE;REPETITION;COMPAGNIE AU BALCON
NICE-CENTRE;26/01/2016;19H00;21H00;CULTURE;REUNION;AEFL - ASSOCIATION D'ETUDES DE FREUD ET LACAN
NICE-CENTRE;27/01/2016;10H00;13H00;SOCIAL;REUNION;CHRYSALIDES
NICE-CENTRE;27/01/2016;10H00;11H00;EMPLOI;REUNION;SNC - SOLIDARITES NOUVELLES FACE AU CHOMAGE
NICE-CENTRE;27/01/2016;13H00;19H00;SOCIAL;PERMANENCE;CHRYSALIDES
NICE-CENTRE;27/01/2016;13H00;19H00;SOCIAL;REUNION;CHRYSALIDES
NICE-CENTRE;27/01/2016;13H00;17H00;SOCIAL;REUNION;CHRYSALIDES
NICE-CENTRE;27/01/2016;13H00;16H00;HANDICAP;REUNION;SESSAD LES NOISETIERS
NICE-CENTRE;27/01/2016;17H00;19H00;ACTIVITE BIEN ETRE;COURS;SHANTI-YOGA
NICE-CENTRE;27/01/2016;18H00;20H00;SANTE;REUNION;OA - OUTRE-MANGEURS ANONYMES
NICE-CENTRE;28/01/2016;09H00;17H00;EMPLOI;REUNION;CLAIE - COORDINATION LOCALE ET APPUI AUX INITIATIVES DANS L'ECONOMIE SOCIALE ET SOLIDAIRE
NICE-CENTRE;28/01/2016;09H00;12H00;ORGANISME PUBLIC;REUNION;SVA SERVICE DE LA VIE ASSOCIATIVE
NICE-CENTRE;28/01/2016;13H00;14H00;SOCIAL;PERMANENCE;AS3P - ASSOCIATION DE SUIVI PSYCHOLOGIQUE POST-PENAL  
NICE-CENTRE;28/01/2016;15H00;18H00;CULTURE;COURS;AFA - FRANCE ALLEMAGNE COTE D'AZUR
NICE-CENTRE;28/01/2016;17H00;21H00;CULTURE;COURS;"ASSOCIATION NICOISE ""CHINE HORIZON"""
NICE-CENTRE;28/01/2016;18H00;19H00;CULTURE;COURS;ACADEMIA NISSARDA
NICE-CENTRE;28/01/2016;18H00;19H00;CULTURE;COURS;ACADEMIA NISSARDA
