X,Y,objectid,ident,flux,operateur,commune,code_postale,adresse,complement_d_information,date,nb_pav,num,pav_proxi,emplacement_pav,arret_minute,etat,rouille,tag,sale,ecriture,etat_trappe,facile_ouvrir,depot_sauvage,obs,globalid
2.14306961173768,48.7623807995206,208,LOGES_001,,Le Relais Eure et Loire,Les-Loges-En-Josas,78350,Allée du Chateau,Près du PAV Verre,1970/01/01 00:00:00+00,1,,,,,,,,,,,,,,{469C1370-1249-4558-841F-7B2CEA5BF1AD}
2.061673967666,48.8059975050821,209,STC001,Textile,Le Relais Eure et Loire,Saint-Cyr-L'Ecole,,1 avenue du Colonel Fabien,,1970/01/01 00:00:00+00,2,,,,,,,,,,,,,,{45D29A42-42EC-43E8-896A-CC14FC670CA6}
2.06297533208412,48.8039651766109,210,,Textile,Le Relais Eure et Loire,Saint-Cyr-L'Ecole,78210,1 rue Raymond Lefebvre,,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,{845015F8-A6E7-471E-84C0-36AD2E901171}
2.07237636581356,48.802923541293,211,,Textile,Le Relais Eure et Loire,Saint-Cyr-L'Ecole,78210,46 rue du Docteur Vaillant,,1970/01/01 00:00:00+00,1,,,,,,,,,,,,,,{7CBE5783-18C2-417F-926C-FBBBC7F69262}
2.07216885721491,48.7989484722595,213,,Textile,Le Relais Eure et Loire,Saint Cyr L'Ecole,78210,Place Pierre Sémard,,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,{D14A3317-1928-4B9D-A1F8-3FCFBC9888B0}
2.1726524590677,48.8028865405882,215,VIR_001,Textile,La Croix Rouge,Viroflay,,16 Avenue des combattants,"le mardi en dehors des périodes de vacances scolaires, de 14 heures à 16 heures",1970/01/01 00:00:00+00,,01 30 24 12 17,,,,,,,,,,,,,{33176E90-E531-4E53-A211-9E913AE44CD0}
2.14988506061172,48.7882122177946,216,,Textile,Le Relais Eure et Loire,Versailles,78000,Angle Rue du Pont Colbert - Voie Micis,Face à l'impasse du Pont Colbert,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,{513692DF-CED7-4B18-98D5-5F7E3D2BB788}
2.15839373816617,48.7941688072469,217,,Textile,Le Relais Eure et Loire,Versailles,78000,49 Rue Rémont,Proche de l'entrée du parking,1970/01/01 00:00:00+00,,,Verre,,,,,,,,,,,,{D60C4414-7A5A-4F3C-B995-7D8F7DBC3BC1}
2.15471233589826,48.7945708016427,218,,Textile,Le Relais Eure et Loire,Versailles,78000,Impasse Pocher,Proche de la maison de quartier,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,{5E3BCD07-3EE5-4CDF-9B16-FC2D178F5550}
2.17594049388312,48.7831924931085,219,,Textile,Le Relais Eure et Loire,VELIZY-VILLACOUBLAY,78140,23 avenue Robert Wagner,a gauche de l'entrée du Centre Technique Municipal,1970/01/01 00:00:00+00,1,,,,,,,,,,,,,,{FDABB3EB-6E2C-4394-ABF8-7B3A6B43A430}
2.1164568068847,48.827811549847,220,,Textile,OKAIDI,LE CHESNAY,,"C. Commercial Parly, boutique OKAIDI",10h-21h,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,{F24DE6BF-481B-4CB6-AF71-1DFF1D3BF1A0}
2.1161584053128,48.8278993235269,222,,Textile,Cyrillus,LE CHESNAY,,"C. Commercial Parly, boutique CYRILLUS",10h-21h,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,{33CBFF4E-DBCC-440E-80FE-DC73B0E93118}
2.22034906399713,48.7812736967096,223,VEL_007,Textile,H&M,VÉLIZY-VILLACOUBLAY,78140,C. Commercial Velizy 2 - Boutique H&M,10h-21h,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,{52E94291-7D1B-49C0-B825-76507560A237}
2.21133042245294,48.7869507850382,224,,Textile,Le Relais,Vélizy Villacoublay,,Rue Marcel Dassault,Dans l'enceinte de l'entreprise DASSAULT,1970/01/01 00:00:00+00,1,,,,,,,,,,,,,,{1A2266BC-55BC-4ED2-8A7A-73C141C808BC}
2.13933499636456,48.7954420192522,225,,TEXTILE,Le Relais Eure et Loir,VERSAILLES,78000,2 place du 8 mai 1945,côté parking sous le pont,2018/01/16 23:00:00+00,,,,,,,,,,,,,,,{D07D0F24-5F12-452C-8192-F71B60D8827E}
2.14692640062912,48.7921248360224,226,,TEXTILE,Le Relais Eure et Loir,VERSAILLES,78000,77 rue Albert sarraut,A côté du PAV Verre,2018/01/16 23:00:00+00,,,,,,,,,,,,,,,{B8C1E791-1405-4C6D-9C7D-92B14ABF864A}
2.12839150017322,48.7927837475056,227,,TEXTILE,Le Relais Eure et Loir,VERSAILLES,78000,40 rue Henri de Régnier,A côté des PAV Verre et DR,2018/01/16 23:00:00+00,,,,,,,,,,,,,,,{8C0E73BB-1799-46E1-9703-C4A1B79D6E8F}
2.13861102540016,48.8015750582696,228,,TEXTILE,Le Relais Eure et Loir,VERSAILLES,78000,Rue Pierre de Coubertin,Près de l'entrée du stade Montbauron - Dans l'angle du Parking,2018/01/16 23:00:00+00,1,,,,,,,,,,,,,,{65935A70-9790-4D44-8BAE-1D5AD91CEAC1}
2.14624015162449,48.8010957280075,229,,TEXTILE,Le Relais Eure et Loir,VERSAILLES,78000,32 rue Champ Lagarde,,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,{FB00ED7C-A140-47A0-B115-30EDF4A8FB20}
2.1372510383868,48.7961011378051,230,,Textile,Le Relais Eure et Loir,VERSAILLES,78000,Rue Abbé Rousseaux,,2018/02/18 23:00:00+00,,,"DR, Verre",,,,,,,,,,,,{B5C06CE2-7CEC-4CC1-9F71-AF27457F6FA6}
2.18603873561667,48.7839542298986,232,,TEXTILE,Vesti boutique,Vélizy-Villacoublay,78140,Place de l'Aviation,"lundi, mercredi et vendredi 14h-17h, jeudi 14h-19h, fermé pendant les vacances scolaires",1970/01/01 00:00:00+00,,,,,,,,,,,,,,,{AA12D20E-FDD3-4565-9898-290A98A3A029}
2.12642121200508,48.7984043921423,235,,,,,,,,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,{40E25C5B-352D-4E0E-B226-D25D881247C3}
2.12856795843526,48.8072775813601,238,,TEXTILE,CYRILLUS,VERSAILLES,78000,25 rue Hoche,Magasin CYRILLUS,1970/01/01 00:00:00+00,,,,,,,,,,,,,,,{A85C9773-4F7D-4F54-8345-A71A63094623}
2.18355501248145,48.7609451576153,242,Route de Bièvre,TEXTILE,Le Relais Eure et Loir,JOUY EN JOSAS,78350,Route de Bièvres,,1970/01/01 00:00:00+00,1,,,,,,,,,,,,,,{609C9FDC-EAA1-4C61-A9D0-5D39A496C5E4}
2.16851345148169,48.7648492576969,243,JOU_002,TEXTILE,LE RELAIS EURE ET LOIRE,JOUY EN JOSAS,78350,AVENUE JEAN JAURES,PARKING DE LA MAIRIE,2020/08/19 22:00:00+00,2,,DEEE,,OUI,BON,,,,,,,,,{B48BA320-C293-4BAC-B701-0245C1AF46CD}
