X,Y,OBJECTID,ID_STATION,STA_NOM,STA_ETIQUETTE,STA_COMMUNE_D,STA_LIGNE1_D,STA_LIGNE2_D,STA_LIGNE3_D,STA_LIGNE4_D,STA_LIGNE5_D,STA_LIGNE6_D,STA_LIGNE7_D,STA_LIGNE8_D,STA_LIGNEA_D,STA_LIGNEB_D,STA_LIGNEC_D,STA_LIGNED_D,STA_LIGNEE_D,STA_RESEAU_D
800287.242700003,6872801.7169,85,S105,L. LAFOREST,L. Laforest,Châlons-en-Champagne,1,0,0,0,0,0,0,0,0,0,0,0,0,SITAC
800554.618699998,6872815.7731,86,S106,BAGATELLE,Bagatelle,Châlons-en-Champagne,0,1,0,0,1,0,0,0,0,0,0,0,0,SITAC
800407.853,6872582.1814,87,S107,GAL GIRAUD,Gal Giraud,Châlons-en-Champagne,1,0,0,0,0,0,0,0,0,0,0,0,0,SITAC
800275.6307,6872301.6957,88,S108,VERBEAU,Verbeau,Châlons-en-Champagne,1,0,0,0,0,0,0,0,0,0,0,0,0,SITAC
800500.3693,6872156.6357,89,S109,J.F. KENNEDY,J.F. Kennedy,Châlons-en-Champagne,1,0,0,0,0,0,0,0,0,0,0,0,0,SITAC
801334.878200002,6874087.1709,90,S110,LE CORBUSIER,Le Corbusier,St-Memmie,0,1,0,0,0,0,0,0,0,0,0,0,0,SITAC
801481.348200001,6873975.2458,91,S111,C. BAUDELAIRE,C. Baudelaire,St-Memmie,0,1,0,0,0,0,0,0,0,0,0,0,0,SITAC
801089.788000003,6873945.1671,92,S112,LORRAINE,Lorraine,Châlons-en-Champagne,0,1,0,0,0,0,0,0,0,0,0,0,0,SITAC
800836.990199998,6873747.035,93,S113,ST-JEAN,St-Jean,Châlons-en-Champagne,0,1,0,0,0,0,0,0,0,0,0,0,0,SITAC
800734.0858,6873376.2727,94,S114,RESIDENCE BICHAT,Résidence Bichat,St-Memmie,0,0,0,0,0,0,0,1,0,0,0,0,0,SITAC
801266.144100003,6873499.4097,95,S115,SAINT-MEMMIE MAIRIE,Saint-Memmie Mairie,St-Memmie,0,1,0,0,0,0,0,0,0,0,0,0,0,SITAC
801723.011600003,6873781.4435,96,S116,ST-MEMMIE VAUBAN,St-Memmie Vauban,St-Memmie,0,1,0,0,0,0,0,0,0,0,0,0,0,SITAC
801461.976300001,6873494.3569,97,S117,POIX,Poix,St-Memmie,0,1,0,0,0,0,0,0,0,0,0,0,0,SITAC
801491.650899999,6873033.8333,98,S118,SIMON,Simon,St-Memmie,0,1,0,0,0,0,0,0,0,0,0,0,0,SITAC
801707.755400002,6872754.2821,99,S119,JEAN MOULIN,Jean Moulin,St-Memmie,0,1,0,0,1,0,0,0,1,0,0,0,0,SITAC
800835.565700002,6873076.5578,100,S120,PONT ALIPS,Pont Alips,St-Memmie,0,0,0,0,0,0,0,1,0,0,0,0,0,SITAC
800957.965599999,6872879.0173,101,S121,T. DE BANVILLE,T. de Banville,St-Memmie,0,0,0,0,0,0,0,1,0,0,0,0,0,SITAC
801218.100500003,6872968.0483,102,S122,CARPION,Carpion,St-Memmie,0,0,0,0,0,0,0,1,0,0,0,0,0,SITAC
801506.843099996,6872498.9005,103,S124,PORTE DU CENTRE,Porte du Centre,Châlons-en-Champagne,1,0,0,0,0,0,0,0,0,0,0,0,0,SITAC
802448.770199999,6872521.4831,104,S126,MONT MICHAUD,Mont Michaud,St-Memmie,1,0,0,0,0,0,0,0,0,0,0,0,0,SITAC
802625.9749,6872172.8031,105,S128,MENARD,Ménard,Châlons-en-Champagne,1,0,0,0,0,0,0,0,0,0,0,0,0,SITAC
800876.583400004,6872398.0919,106,S131,LAVALETTE,Lavalette,Châlons-en-Champagne,0,0,0,0,1,0,0,0,0,0,0,0,0,SITAC
801109.884099998,6872330.5321,107,S132,P. DAC,P. Dac,Châlons-en-Champagne,0,0,0,0,1,0,0,1,0,0,0,0,0,SITAC
801304.064099997,6872156.7963,108,S133,CAPITOLE EN CHAMPAGNE,Capitole en Champagne,Châlons-en-Champagne,0,0,0,0,1,0,0,1,0,0,0,0,0,SITAC
801645.054200001,6872100.8165,109,S134,CROIX DAMPIERRE,Croix Dampierre,Châlons-en-Champagne,0,1,0,0,1,0,0,1,0,0,0,0,0,SITAC
801431.003799997,6871953.9685,110,S135,W. CHURCHILL,W. Churchill,Châlons-en-Champagne,0,0,0,0,1,0,0,0,0,0,0,0,0,SITAC
801261.292900003,6871838.4725,111,S136,ALLIES,Alliés,Châlons-en-Champagne,0,1,0,0,0,0,0,0,0,0,0,0,0,SITAC
801067.992899999,6871694.138,112,S137,LIBERATION NORD,Libération Nord,Châlons-en-Champagne,0,1,0,0,0,0,0,0,0,0,0,0,0,SITAC
800787.784299999,6871937.8356,113,S138,A. MALRAUX,A. Malraux,Châlons-en-Champagne,0,1,0,0,0,0,0,0,0,0,0,0,0,SITAC
801460.602899998,6871656.709,114,S139,E. DELACROIX,E. Delacroix,Châlons-en-Champagne,0,1,0,0,1,0,0,0,0,0,0,0,0,SITAC
801551.809799999,6871556.3347,115,S140,ST THIEBAULT,St Thiebault,Châlons-en-Champagne,0,0,0,0,1,0,0,0,0,0,0,0,0,SITAC
801809.272699997,6872011.8202,116,S141,T. GAUTIER,T. Gautier,Châlons-en-Champagne,0,1,0,0,0,0,0,0,0,0,0,0,0,SITAC
801942.393200003,6871876.4695,117,S142,P. VERLAINE,P. Verlaine,Châlons-en-Champagne,0,1,0,0,0,0,0,0,0,0,0,0,0,SITAC
802104.609999999,6871552.4577,118,S143,CROIX JEAN ROBERT,Croix Jean Robert,Châlons-en-Champagne,0,1,0,0,0,0,0,0,0,0,0,0,0,SITAC
801715.526199996,6871376.3929,119,S144,S. MALLARME,S. Mallarmé,Châlons-en-Champagne,0,1,0,0,1,0,0,0,0,0,0,0,0,SITAC
802658.710500002,6870072.8819,120,S148,J. BREL,J. Brel,Sarry,0,0,0,0,1,0,0,0,0,0,0,0,0,SITAC
803161.635399997,6869670.4081,121,S153,PLACE DU COMMERCE,Place du Commerce,Sarry,0,0,0,0,1,0,0,0,0,0,0,0,0,SITAC
802944.142899998,6869826.2718,122,S154,LES JARDINS,Les Jardins,Sarry,0,0,0,0,1,0,0,0,0,0,0,0,0,SITAC
795141.634000003,6875581.9722,123,S162,SAINT-GIBRIEN,St-Gibrien,St-Gibrien,0,0,0,1,0,0,0,0,0,0,0,0,0,SITAC
796201.1373,6874914.2767,124,S019,BEAUX REGARDS,Beaux Regards,Fagnieres,0,0,0,1,0,0,0,0,0,0,0,0,0,SITAC
796425.584399998,6874717.8185,125,S021,GAL LECLERC,Gal Leclerc,Fagnieres,0,0,0,1,0,0,0,0,0,0,0,0,0,SITAC
796344.699000001,6874657.3085,126,S020,GAL DAUTELLE,Gal Dautelle,Fagnieres,0,0,0,1,0,0,0,0,0,0,0,0,0,SITAC
796516.199000001,6874498.4585,127,S022,FAGNIERES MAIRIE,Fagnières Mairie,Fagnieres,0,0,0,1,0,0,0,0,0,0,0,0,0,SITAC
796610.5471,6874454.3665,128,S023,PETITE CHAUSSEE,Petite Chaussée,Fagnieres,0,0,0,1,0,0,0,0,0,0,0,0,0,SITAC
796342.924199998,6873957.0787,129,S024,CENTRE OUEST,Centre Ouest,Fagnieres,1,0,0,1,0,0,0,0,0,0,0,0,0,SITAC
798285.009000003,6872322.3085,130,S038,MONT SAINT-MICHEL,Mont Saint-Michel,Châlons-en-Champagne,1,0,0,0,0,0,0,0,0,0,0,0,0,SITAC
798589.528700002,6872595.7647,131,S041,COTE DE TROYES,Côte de Troyes,Châlons-en-Champagne,0,0,0,0,0,0,1,0,0,0,0,0,0,SITAC
798561.949000001,6872433.1685,132,S155,BROSSOLETTE,Brossolette,Châlons-en-Champagne,0,0,0,0,0,0,1,0,0,0,0,0,0,SITAC
799259.468999997,6870184.6285,133,S156,COOLUS,Coolus,Coolus,0,0,0,0,0,0,1,0,0,0,0,0,0,SITAC
798756.129000001,6873631.9984,134,S157,PARVIS GARE,Parvis Gare,Châlons-en-Champagne,0,0,1,0,0,0,0,0,0,0,0,0,0,SITAC
799188.0744,6874533.6284,136,S159,DR. MAILLOT,Dr. Maillot,Châlons-en-Champagne,0,0,1,0,0,0,0,0,0,0,0,0,0,SITAC
798621.7368,6875181.4128,137,S160,CITES EN CHAMPAGNE,Cités en Champagne,Châlons-en-Champagne,0,0,1,0,0,0,0,0,0,0,0,0,0,SITAC
797599.939000003,6877856.4685,138,S161,LES MADINES,Les Madines,Recy,0,0,0,0,0,1,0,0,0,0,0,0,0,SITAC
798739.649300002,6876426.3984,139,S015,GRANDS CHAMPS,Grands Champs,St-Martin-sur-le-Pré,0,0,0,0,0,1,0,0,0,0,0,0,0,SITAC
799371.917900003,6876269.3791,140,S059,ZONE COMMERCIALE MONT HERY,Zone Commerciale Mont Héry,Châlons-en-Champagne,0,1,0,0,0,0,0,0,0,0,0,0,0,SITAC
799539.439000003,6876062.9585,141,S063,MONT HERY,Mont Héry,Châlons-en-Champagne,0,1,0,0,1,0,0,0,0,1,1,1,1,SITAC
799242.412799999,6875786.7239,142,S164,AMPERE,Ampère,Châlons-en-Champagne,0,0,0,0,0,0,1,0,0,0,0,0,0,SITAC
798858.281099997,6875437.2979,143,S165,BERTOT,Bertot,Châlons-en-Champagne,0,0,0,0,0,0,1,0,0,0,0,0,0,SITAC
799230.334899999,6875370.2811,144,S166,106EME R.I.,106ème R.I.,Châlons-en-Champagne,0,0,0,0,0,1,0,0,0,0,0,0,0,SITAC
801231.439000003,6874827.6685,145,S084,VALLEE ST-PIERRE,Vallée St-Pierre,Châlons-en-Champagne,0,1,0,0,0,0,0,0,0,0,0,0,0,SITAC
800285.089000002,6873306.3184,146,S167,HOTEL DE REGION,Hôtel de Région,Châlons-en-Champagne,0,0,1,0,0,0,0,0,0,0,0,0,0,SITAC
802556.575199999,6871926.3397,147,S129,PATINOIRE,Patinoire,Châlons-en-Champagne,1,0,0,0,0,0,0,0,0,0,0,0,0,SITAC
802253.148999996,6872515.9885,148,S125,VOITRELLE,Voitrelle,St-Memmie,1,0,0,0,0,0,0,0,0,0,0,0,0,SITAC
803631.016099997,6869225.9974,149,S153,JARDIN DES VIGNES,Jardin des Vignes,Sarry,0,0,0,0,1,0,0,0,0,0,0,0,0,SITAC
804701.248999998,6868590.0684,150,S171,MONCETZ-LONGEVAS,Moncetz-Longevas,Moncetz-Longevas,0,0,0,0,1,0,0,0,0,0,0,0,0,SITAC
801473.699000001,6871371.8585,151,S145,E. MANET,E. Manet,Châlons-en-Champagne,0,1,0,0,0,0,0,0,0,0,0,0,0,SITAC
