S_ID,S_NOM,S_CAP_EH,TYP_EPUR_LIB,S_DATE_M_E_S,S_C_INSEE,X,Y,Situ,latitude,longitude
0533051V002,BIGANOS 2,135000,Biofiltre,1/6/2007 00:00:00,33051,384114,6400281,2017,44.643766,-0.978962
0533052V001,LES BILLAUX,1300,Boues activées,1/6/1981 00:00:00,33052,444890,6433053,2017,44.951792,-0.237995
0533057V001,BLASIMON,1000,Boues activées,1/3/1982 00:00:00,33057,456581,6410633,2017,44.748299,-0.074554
0533058V003,BLAYE,7000,Boues activées,1/10/2001 00:00:00,33058,412360,6453001,2017,45.126971,-0.663195
0533060V002,BOMMES,460,Filtres plantés de roseaux,1/1/2013 00:00:00,33060,434019,6388535,2017,44.54636,-0.357109
0533067V001,BOURG SUR GIRONDE,4000,Boues activées,1/3/1985 00:00:00,33067,420392,6443819,2017,45.039336,-0.558298
0533071V002,BRANNE ,1900,Boues activées,1/4/2001 00:00:00,33071,448630,6419913,2017,44.829829,-0.186645
0533072V001,BRANNENS,60,Filtre à sable,14/11/2003 00:00:00,33072,449494,6385321,2017,44.519953,-0.152786
0533073V001,BRAUD ET SAINT LOUIS,1500,Boues activées,1/6/1976 00:00:00,33073,415392,6467383,2017,45.247153,-0.626433
0533073V002,BRAUD ET SAINT LOUIS - AZAC,350,Boues activées,1/8/2007 00:00:00,33073,418923,6466426,2017,45.241687,-0.58346
0533073V003,BRAUD ET SAINT LOUIS - Les nouvelles possessions,120,Filtres plantés de roseaux,29/1/2009 00:00:00,33073,410182,6471790,2017,45.282809,-0.689319
0533076V001,BUDOS,325,Filtres plantés de roseaux,1/9/2006 00:00:00,33076,431852,6387650,2017,44.532846,-0.386538
0533076V002,BUDOS 2,400,Filtres plantés de roseaux,15/10/2010 00:00:00,33076,431107,6386824,2017,44.532846,-0.386538
0533077V002,CABANAC ET VILLAGRAINS,2200,Lit bactérien,15/10/2012 00:00:00,33077,419569,6397381,2017,44.60599,-0.553653
0533080V005,CADAUJAC,6500,Boues activées,1/7/2010 00:00:00,33080,420768,6413049,2017,44.755436,-0.530214
0533081V004,CADILLAC 2,4500,Boues activées,12/2/2014 00:00:00,33081,437672,6400191,2017,44.6358,-0.319531
0533083V001,CAMARSAC,500,Lagunage naturel,1/6/1991 00:00:00,33083,434317,6421189,2017,44.83176,-0.365308
0533084V002,CAMBES,7000,Boues activées,1/9/2011 00:00:00,33084,426977,6410372,2017,44.731386,-0.464229
0533085V002,CAMBLANES ET MEYNAC,2500,Boues activées,20/7/2006 00:00:00,33085,423922,6414431,2017,44.764891,-0.487798
0533089V001,CAMPUGNAN,150,Lagunage naturel,31/12/1978 00:00:00,33089,420395,6459188,2017,45.177039,-0.564529
0533090V001,CANEJAN LA HOUSE,4500,Boues activées,1/1/1973 00:00:00,33090,412058,6413329,2017,44.750772,-0.641781
0533090V003,CANEJAN BOURG,4250,Boues activées,1/2/1981 00:00:00,33090,411283,6413364,2017,44.762175,-0.655871
0533093V001,CAPIAN,700,Filtres plantés de roseaux,1/11/2011 00:00:00,33093,436238,6406574,2017,44.710229,-0.331503
0533095V002,CAPTIEUX BOURG,2500,Boues activées,1/1/2002 00:00:00,33095,439685,6360406,2017,44.291119,-0.260713
0533097V003,CARCANS  BOMBANNES,12000,Boues activées,1/2/1982 00:00:00,33097,372536,6450730,2017,45.094147,-1.143313
0533098V001,CARDAN,600,Filtres plantés de roseaux,1/12/2012 00:00:00,33098,435342,6403965,2017,44.678937,-0.323337
0533099V003,CARIGNAN DE BORDEAUX,3000,Boues activées,1/3/1994 00:00:00,33099,424453,6418950,2017,44.814837,-0.475706
0533101V002,CARTELEGUE,900,Filtres plantés de roseaux,1/6/2009 00:00:00,33101,418513,6460138,2017,45.184645,-0.58031
0533103V001,CASTELMORON D'ALBRET,130,Boues activées,1/9/1998 00:00:00,33103,461478,6402294,2017,44.678824,-0.012675
0533104V002,CASTELNAU DE MEDOC ,8000,Boues activées,1/12/1975 00:00:00,33104,401947,6444113,2017,45.026829,-0.800271
0533106V001,CASTETS EN DORTHE ,1100,Boues activées,1/1/1983 00:00:00,33106,448772,6389622,2017,44.559021,-0.158808
0533111V002,CAUDROT,1200,Boues activées,6/1/2004 00:00:00,33111,450187,6390891,2017,44.576046,-0.144577
0533112V001,CAUMONT,160,Filtres plantés de roseaux,22/4/2016 00:00:00,33112,461457,6402538,2017,44.694324,-0.005926
0533114V002,CAVIGNAC ,1500,Boues activées,1/5/1991 00:00:00,33114,434223,6451570,2017,45.100453,-0.390394
0533120V001,CERONS,2000,Boues activées,1/2/1981 00:00:00,33120,435907,6398147,2017,44.630771,-0.336901
0533122V004,CESTAS ,21000,Boues activées,1/11/1979 00:00:00,33122,408907,6413066,2017,44.744167,-0.682523
0533125V001,CISSAC MEDOC,3600,Boues activées,1/9/1996 00:00:00,33125,399128,6464675,2017,45.226776,-0.831759
0533126V001,CIVRAC-DE-BLAYE,200,Filtre à sable,1/4/2002 00:00:00,33126,429410,6451200,2017,45.11145,-0.443245
0533130V001,COIMERES ,1000,Boues activées,1/6/1996 00:00:00,33130,444374,6384270,2017,44.495761,-0.210597
0533138V003,COUTRAS,9200,Boues activées,1/5/2012 00:00:00,33138,452730,6442621,2017,45.040488,-0.130009
0533140V002,CREON (Hameau de Baudin),60,Filtre à sable,7/3/2003 00:00:00,33140,436448,6412008,2017,44.757994,-0.330461
0533140V003,CREON (GENESTAT),45,Filtre à sable,3/1/2005 00:00:00,33140,437271,6414913,2017,44.783307,-0.322731
0533140V004,CREON 2,5500,Réacteur biologique à membrane,13/5/2014 00:00:00,33140,434825,6412252,2017,44.773675,-0.349179
0533141V001,CROIGNON,450,Filtres plantés de roseaux,3/4/2006 00:00:00,33141,435319,6419401,2017,44.818841,-0.345542
0533145V002,CURSAN,850,Filtres plantés de roseaux,12/12/2010 00:00:00,33145,435814,6417321,2017,44.80284,-0.338261
0533146V002,CUSSAC FORT MEDOC ,3800,Filtres plantés de roseaux,1/1/1993 00:00:00,33146,407592,6452540,2017,45.113902,-0.731082
0533150V001,DIEULIVOL,60,Filtre à sable,7/10/2005 00:00:00,33150,471144,6401277,2017,44.673091,0.110101
0533154V002,EGLISOTTES ET CHALAURES,1400,Boues activées,1/1/1987 00:00:00,33154,459978,6448688,2017,45.098907,-0.037861
0533159V001,ETAULIERS,1800,Boues activées,1/6/1976 00:00:00,33159,419841,6464794,2017,45.223609,-0.573883
0533160V001,EYNESSE,500,Filtres plantés de roseaux,1/1/2009 00:00:00,33160,475292,6417724,2017,44.824683,0.154204
0533161V002,EYRANS,800,Boues activées,1/6/1979 00:00:00,33161,417213,6460499,2017,45.187953,-0.617487
0533165V004,FARGUES SAINT HILAIRE,5000,Boues activées,2/11/2011 00:00:00,33165,428831,6419074,2017,44.822979,-0.44582
0533170V001,FONTET,1000,Filtres plantés de roseaux,1/7/2011 00:00:00,33170,460552,6388721,2017,44.558489,-0.031451
0533174V001,FRONSAC,600,Boues activées,1/1/1997 00:00:00,33174,441352,6430015,2017,44.922829,-0.273106
0533174V002,FRONSAC 2,1200,Boues activées,24/9/2017 00:00:00,33174,441373,6430029,2017,44.922829,-0.273106
0533175V001,FRONTENAC,420,Filtres plantés de roseaux,1/1/2014 00:00:00,33175,449081,6409524,2017,44.737714,-0.162464
0533179V001,GALGON,2000,Boues activées,1/1/1990 00:00:00,33179,442604,6438065,2017,44.99041,-0.273246
0533185V001,GENISSAC,1800,Lagunage naturel,1/7/2009 00:00:00,33185,442922,6424158,2017,44.858394,-0.257946
0533186V002,GENSAC-PESSAC,1000,Filtres plantés de roseaux,20/11/2012 00:00:00,33186,468659,6416688,2017,44.808231,0.074612
0533189V001,GORNAC,300,Lagunage naturel,6/4/2000 00:00:00,33189,447497,6401086,2017,44.662363,-0.18222
0533193V001,GRAYAN ET L HOPITAL,14000,Lagunage aéré,1/6/1975 00:00:00,33193,376298,6489211,2017,45.442979,-1.091303
0533198V002,GUITRES,2000,Boues activées,1/7/2005 00:00:00,33198,449660,6443281,2017,45.040668,-0.187214
0533201V001,HAUX,400,Lagunage aéré,5/1/2004 00:00:00,33201,433782,6409433,2017,44.734576,-0.360758
0533201V002,HAUX 2,195,Filtres plantés de roseaux,1/12/2014 00:00:00,33201,432652,6409788,2017,43.40861,3.723249
0533202V002,HOSTENS 2,2000,Filtres plantés de roseaux,1/7/2010 00:00:00,33202,410403,6383333,2017,44.492343,-0.639665
0533203V002,HOURTIN,20000,Boues activées,1/1/1976 00:00:00,33203,376428,6465702,2017,45.185407,-1.058391
0533205V001,ILLATS (LE MERLE),1500,Boues activées,1/1/1996 00:00:00,33205,434655,6395656,2017,44.611,-0.341399
0533205V002,ILLATS BARROUIL,300,Filtres plantés de roseaux,1/1/2005 00:00:00,33205,432200,6397413,2017,44.620382,-0.371683
0533206V002,ISLE ST GEORGES,1995,Boues activées,1/1/2007 00:00:00,33206,425318,6409212,2017,44.724774,-0.473934
0533207V001,IZON,5000,Boues activées,1/6/2001 00:00:00,33207,435033,6431089,2017,44.920143,-0.363002
0533207V002,IZON-VAYRES,1750,Disque biologique,1/1/2014 00:00:00,33207,436923,6429764,2017,44.906505,-0.329127
0533209V001,JUGAZAN (Bourg),75,Filtres plantés de roseaux,10/2/2012 00:00:00,33209,450248,6414135,2017,44.781608,-0.154914
0533209V002,JUGAZAN (Labrie),60,Filtres plantés de roseaux,10/2/2012 00:00:00,33209,451132,6414540,2017,44.783119,-0.143942
0533211V001,LABARDE ,600,Lagunage naturel,1/10/1982 00:00:00,33211,413590,6443148,2017,45.014142,-0.640562
0533213V003,LA BREDE,3500,Boues activées,1/1/1999 00:00:00,33213,421096,6404818,2017,44.680666,-0.529315
0533214V008,LACANAU,51600,Boues activées,1/7/2011 00:00:00,33214,372720,6440259,2017,44.979045,-1.080272
0533218V001,LAGORCE,650,Filtres plantés de roseaux,1/12/2014 00:00:00,33218,452148,6447204,2017,45.080941,-0.165343
0533221V002,LAMOTHE LANDERRON ,900,Lagunage aéré,1/12/1996 00:00:00,33221,465662,6389011,2017,44.557374,0.060589
0533225V002,LANDIRAS 2,1800,Filtres plantés de roseaux,1/7/2008 00:00:00,33225,429603,6390446,2017,44.56707,-0.416323
0533226V003,LE TOURNE,2000,Boues activées,1/1/1981 00:00:00,33534,430007,6407167,2017,44.709918,-0.400986
0533228V001,LANSAC,130,Filtre à sable,2/1/2006 00:00:00,33228,422901,6447763,2017,45.06055,-0.543116
0533230V001,LAPOUYADE,400,Filtres plantés de roseaux,1/4/2008 00:00:00,33230,441243,6447783,2017,45.015743,-0.075313
0533233V001,LARUSCADE,800,Lagunage naturel,1/2/1993 00:00:00,33233,437134,6451738,2017,45.107347,-0.34118
0533234V002,LATRESNE 2,6000,Boues activées,1/12/2013 00:00:00,33234,422594,6415667,2017,44.78444,-0.496604
0533237V001,LEOGEATS,750,Filtres plantés de roseaux,1/11/2010 00:00:00,33237,433705,6384840,2017,44.5118,-0.367647
0533238V001,LEOGNAN,12000,Boues activées,1/10/1971 00:00:00,33238,416802,6411748,2017,44.727896,-0.601809
0533240V008,LESPARRE MEDOC,8000,Boues activées,1/4/2001 00:00:00,33240,390903,6476505,2017,45.306916,-0.938203
0533241V001,LESTIAC SUR GARONNE,2000,Boues activées,1/1/1995 00:00:00,33241,432674,6404717,2017,44.692701,-0.37468
0533242V001,LES LEVES ET THOUMEYRAGUES,216,Filtres plantés de roseaux,7/3/2008 00:00:00,33242,476785,6414095,2017,44.792777,0.174798
0533243V001,LIBOURNE,30000,Boues activées,1/11/1980 00:00:00,33243,443978,6426924,2017,44.91465,-0.244728
0533245V001,LIGNAN DE BORDEAUX,300,Filtres plantés de roseaux,1/3/2005 00:00:00,33245,428421,6417344,2017,44.795566,-0.428951
0533248V003,LISTRAC MEDOC,2300,Réacteur biologique à membrane,1/1/2017 00:00:00,33248,402596,6448550,2017,45.073085,-0.791965
0533252V001,LOUPES,400,Lagunage naturel,1/10/1994 00:00:00,33252,432598,6417510,2017,44.80475,-0.394069
0533253V001,LOUPIAC,600,Boues activées,1/6/1995 00:00:00,33253,437957,6397082,2017,44.626509,-0.298796
0533256V002,LUDON MEDOC,7000,Bioréacteur séquencé,1/8/2012 00:00:00,33256,416189,6438346,2017,44.981978,-0.604182
0533257V001,LUGAIGNAC,300,Filtres plantés de roseaux,1/1/2010 00:00:00,33257,447467,6417787,2017,44.814281,-0.194624
0533259V001,LUGON 1,2000,Boues activées,1/6/1995 00:00:00,33259,435102,6435033,2017,44.959235,-0.341876
0533259V002,LUGON 2,4500,Boues activées,1/4/2016 00:00:00,33259,435139,6434997,2017,44.952107,-0.340196
0533260V001,LUGOS,160,Filtres plantés de roseaux,,33260,391472,6383790,2017,44.48214,-0.885743
0533261V001,LUSSAC,800,Boues activées,1/2/2002 00:00:00,33261,456028,6432058,2017,44.949503,-0.097012
0533262V001,MACAU,4000,Boues activées,1/3/1976 00:00:00,33262,415600,6441063,2017,45.007774,-0.614737
0533267V001,MARCILLAC,400,Filtres plantés de roseaux,1/1/2014 00:00:00,33267,424098,6468687,2017,45.268485,-0.523151
0533268V001,MARGAUX,8000,Boues activées,1/5/1976 00:00:00,33268,411330,6445484,2017,45.035206,-0.676479
0533269V001,MARGUERON,300,Lagunage naturel,1/10/1986 00:00:00,33269,483294,6410710,2017,44.761298,0.248453
0533270V001,MARIMBAULT,90,Filtres plantés de roseaux,1/9/2005 00:00:00,33270,439577,6373104,2017,44.41023,-0.269844
0533274V002,MARTILLAC,1000,Lagunage naturel,1/1/1990 00:00:00,33213,416477,6405348,2017,44.712641,-0.543959
0533274V004,MARTILLAC,3700,Boues activées,1/9/2009 00:00:00,33274,420530,6408632,2017,44.712641,-0.543959
0533284V002,MIOS,10000,Boues activées,1/6/1977 00:00:00,33284,386404,6398144,2017,44.604704,-0.93709
0533285V001,MOMBRIER,140,Filtre à sable,1/12/2000 00:00:00,33285,420278,6447943,2017,45.078216,-0.554412
0533289V003,MONSEGUR,1900,Boues activées,4/5/2010 00:00:00,33289,467612,6398814,2017,44.649771,0.079747
0533290V002,MONTAGNE,5900,Lagunage aéré,1/1/2000 00:00:00,33290,453722,6428480,2017,44.929651,-0.130164
0533293V002,MONTUSSAN 2,3500,Réacteur biologique à membrane,1/1/2014 00:00:00,33293,430561,6426178,2017,44.881173,-0.429113
0533297V001,MOULIS EN MEDOC,800,Lagunage naturel,1/1/1994 00:00:00,33297,404230,6446691,2017,45.058486,-0.770626
0533298V001,MOULON,700,Lagunage naturel,1/6/2008 00:00:00,33298,444892,6422186,2017,44.846834,-0.221809
0533301V001,NAUJAN ET POSTIAC,350,Autre traitement,11/6/2007 00:00:00,33301,448910,6415427,2017,44.78852,-0.181772
0533302V001,NEAC,250,Filtres plantés de roseaux,8/4/2013 00:00:00,33302,448564,6432775,2017,44.939944,-0.180218
0533307V001,NOAILLAN,1500,Boues activées,17/1/2012 00:00:00,33307,431623,6382686,2017,44.479383,-0.366973
0533314V001,PAUILLAC,21000,Boues activées,1/6/1976 00:00:00,33314,405641,6463205,2017,45.199818,-0.749578
0533316V002,PELLEGRUE,940,Lit bactérien,18/10/2013 00:00:00,33316,467792,6409408,2017,44.742437,0.074936
0533317V001,PERISSAC,320,Filtres plantés de roseaux,1/1/2005 00:00:00,33317,440232,6441255,2017,45.01863,-0.324449
0533320V001,Petit Palais et Cornemps,100,Autre traitement,1/8/2007 00:00:00,33320,458859,6435853,2017,44.98104,-0.064477
0533321V001,PEUJARD,2500,Boues activées,1/1/2002 00:00:00,33321,429811,6444003,2017,45.046058,-0.430321
0533322V004,LE PIAN MEDOC N°2,5000,Boues activées,1/3/2007 00:00:00,33322,414050,6434403,2017,44.954556,-0.670963
0533324V003,PINEUILH,15000,Boues activées,1/2/1984 00:00:00,33324,478841,6418143,2017,44.830139,0.227356
0533325V001,PLASSAC,1000,Lagunage naturel,1/6/1981 00:00:00,33325,413401,6450766,2017,45.103144,-0.647633
0533326V001,PLEINE SELVE,80,Filtre à sable,1/10/2006 00:00:00,33326,419930,6476006,2017,45.327175,-0.5767
0533327V004,PODENSAC,4000,Boues activées,1/11/1983 00:00:00,33327,433694,6401202,2017,44.650925,-0.355767
0533330V003,POMPIGNAC,1800,Boues activées,1/6/1979 00:00:00,33330,429376,6423168,2017,44.850277,-0.437361
0533333V003,LE PORGE,6000,Boues activées,1/2/1992 00:00:00,33333,370855,6429714,2017,44.8722,-1.092786
0533334V002,PORTETS ,7500,Boues activées,1/5/2012 00:00:00,33334,429029,6405763,2017,44.696547,-0.425446
0533335V001,LE POUT,300,Filtres plantés de roseaux,13/6/2002 00:00:00,33335,434221,6416911,2017,44.802153,-0.361003
0533336V001,PRECHAC,850,Boues activées,1/7/2006 00:00:00,33336,433474,6373511,2017,44.399607,-0.353428
0533337V001,PREIGNAC,2500,Boues activées,1/11/1983 00:00:00,33337,438898,6392567,2017,44.584234,-0.296323
0533339V001,PRIGNAC ET MARCAMPS,1500,Lagunage naturel,1/12/2008 00:00:00,33339,424083,6442407,2017,45.032351,-0.494302
0533341V003,PUGNAC,1600,Boues activées,1/5/2012 00:00:00,33341,426822,6448483,2017,45.080925,-0.497338
0533342V001,PUISSEGUIN,350,Filtre à sable,3/10/2005 00:00:00,33342,458100,6430033,2017,44.92311,-0.073994
0533343V002,PUJOLS SUR CIRON Bourg ,300,Filtres plantés de roseaux,1/2/2013 00:00:00,33343,433031,6390889,2017,44.561765,-0.354245
0533343V003,PUJOLS SUR CIRON Hameau de Mareuil,150,Filtre à sable,1/2/2013 00:00:00,33343,433658,6392379,2017,44.571847,-0.3562
0533347V001,PUYNORMAND,250,Filtres plantés de roseaux,10/4/2009 00:00:00,33347,464072,6435708,2017,44.981869,-0.001044
0533348V001,QUEYRAC,1200,Filtres plantés de roseaux,13/2/2009 00:00:00,33348,388417,6482689,2017,45.361365,-0.979147
0533349V002,QUINSAC,2000,Boues activées,23/6/2006 00:00:00,33349,423810,6412882,2017,44.754958,-0.488447
0533350V003,RAUZAN,1500,Boues activées,1/8/2011 00:00:00,33350,452604,6413663,2017,44.778407,-0.125537
0533351V001,REIGNAC 1- Les Roux,800,Boues activées,1/9/1992 00:00:00,33351,425358,6464188,2017,45.22396,-0.502169
0533351V002,REIGNAC 2- Hameau Maison Neuve,165,Disque biologique,25/6/2001 00:00:00,33351,421802,6466077,2017,46.286027,5.399305
0533351V003,REIGNAC 3- Les Martinettes,200,Disque biologique,1/6/2008 00:00:00,33351,421239,6463423,2017,45.214637,-0.551009
0533351V004,REIGNAC 4- COINDRIAS,260,Disque biologique,,33351,421784,6466089,2017,45.23715,-0.545535
0533352V004,LA REOLE,12000,Boues activées,1/10/2009 00:00:00,33352,456419,6391425,2017,44.582604,-0.03905
0533355V003,RIONS 2,1500,Boues activées,1/12/2005 00:00:00,33355,434177,6402372,2017,44.662733,-0.352683
0533360V002,LA ROQUILLE,130,Filtres plantés de roseaux,1/5/2012 00:00:00,33360,480902,6413829,2017,44.790581,0.230573
0533363V003,SADIRAC,4000,Boues activées,14/1/2009 00:00:00,33363,430072,6415515,2017,44.78082,-0.410338
0533366V005,CUBZAC LES PONTS,14000,Boues activées,1/5/2007 00:00:00,33143,427153,6437244,2017,44.969595,-0.454839
0533373V001,SAINT ANTOINE SUR L'ISLE,1500,Boues activées,1/1/2003 00:00:00,33373,465283,6440772,2017,45.026144,0.037239
0533374V001,SAINT AUBIN DE BLAYE,500,Lagunage naturel,1/6/2005 00:00:00,33374,421077,6468508,2017,45.267274,-0.561367
0533379V001,SAINT BRICE,500,Filtres plantés de roseaux,1/7/2010 00:00:00,33379,450845,6405195,2017,44.696621,-0.15005
0533380V002,SAINT CAPRAIS DE BLAYE,550,Filtres plantés de roseaux,1/2/2009 00:00:00,33380,420479,6471755,2017,45.285223,-0.563791
0533382V002,SAINT CHRISTOLY DE BLAYE,750,Boues activées,1/6/1989 00:00:00,33382,424942,6453665,2017,45.130158,-0.50806
0533385V001,SAINT CHRISTOPHE DE DOUBLE,300,Lagunage naturel,1/1/1991 00:00:00,33385,464585,6446080,2017,45.07962,0.015329
0533387V001,SAINT CIERS D'ABZAC,215,Filtre à sable,1/4/2013 00:00:00,33387,442372,6442271,2017,45.030817,-0.278151
0533389V002,SAINT CIERS SUR GIRONDE,3800,Boues activées,1/6/1992 00:00:00,33389,416148,6471341,2017,45.290007,-0.611345
0533392V001,SAINTE CROIX DU MONT,600,Boues activées,1/1/1986 00:00:00,33392,439438,6393902,2017,44.592779,-0.281691
0533393V002,SAINT DENIS DE PILE,5000,Boues activées,1/8/1993 00:00:00,33393,447607,6438272,2017,44.991431,-0.20727
0533395V002,SAINT ESTEPHE,2500,Boues activées,1/5/1979 00:00:00,33395,405217,6470462,2017,45.258536,-0.772675
0533400V001,SAINT FERME,170,Filtres plantés de roseaux,1/7/2009 00:00:00,33400,466556,6403806,2017,44.69332,0.05728
0533413V002,SAINT GERMAIN DU PUCH - Hameau de Sales,70,Filtre à sable,1/1/2004 00:00:00,33413,435021,6422238,2017,44.863262,-0.335373
0533413V003,SAINT GERMAIN DU PUCH,2200,Boues activées,15/11/2011 00:00:00,33413,438154,6423070,2017,44.855582,-0.322394
0533417V002,SAINTE HELENE,3000,Boues activées,1/1/2008 00:00:00,33417,392501,6436792,2017,44.965308,-0.88498
0533421V001,SAINT JEAN DE BLAIGNAC,230,Filtre à sable,1/9/2001 00:00:00,33421,451564,6417714,2017,44.812235,-0.140077
0533422V004,SAINT JEAN D'ILLAC - MARTIGNAS,25000,Réacteur biologique à membrane,1/6/2016 00:00:00,33422,401483,6421182,2017,44.814483,-0.779697
0533423V001,SAINT JULIEN BEYCHEVELLE,9100,Boues activées,1/10/2000 00:00:00,33423,406762,6457964,2017,45.164055,-0.740805
0533424V001,SAINT LAURENT MEDOC ,4500,Boues activées,1/8/1969 00:00:00,33424,400324,6457183,2017,45.149562,-0.822638
0533433V006,SAINT LOUBES (Z.I.),5000,Boues activées,1/6/2005 00:00:00,33433,427240,6431546,2017,44.916331,-0.428727
0533433V007,BEYCHAC ET CAILLAU 2,9750,Réacteur biologique à membrane,1/10/2013 00:00:00,33049,433825,6425796,2017,44.869424,-0.371368
0533433V008,SAINT LOUBES BOURG 2,13000,Boues activées,1/2/2014 00:00:00,33433,429711,6430929,2017,44.916331,-0.428727
0533436V004,SAINT MAGNE 2,1200,Filtres plantés de roseaux,1/7/2011 00:00:00,33436,409571,6387989,2017,44.526873,-0.658269
0533437V001,SAINT MAGNE DE CASTILLON,9650,Boues activées,8/10/2013 00:00:00,33437,457219,6420607,2017,44.863872,-0.065682
0533441V002,SAINT MARTIN LACAUSSADE,2700,Boues activées,1/5/2010 00:00:00,33441,413425,6456193,2017,45.146567,-0.642827
0533445V001,SAINT MARTIN DU BOIS ,250,Filtre à sable,1/5/2013 00:00:00,33445,442690,6441454,2017,45.025718,-0.267687
0533447V002,SAINT MEDARD DE GUIZIERES,2000,Boues activées,1/2/1988 00:00:00,33447,458582,6440113,2017,45.014503,-0.059958
0533448V001,SAINT MEDARD D'EYRANS,3700,Boues activées,1/12/1982 00:00:00,33448,422819,6408892,2017,44.718223,-0.510184
0533448V002,SAINT MEDARD D'EYRANS INTERCOMMUNALE,5750,Boues activées,18/10/2013 00:00:00,33448,422836,6408863,2017,44.718223,-0.510184
0533452V002,SAINT MICHEL DE RIEUFRET,500,Boues activées,1/10/2002 00:00:00,33452,427946,6398094,2017,44.621544,-0.432243
0533454V001,SAINT MORILLON,1500,Boues activées,11/1/2003 00:00:00,33454,422573,6401460,2017,44.64905,-0.503349
0533458V001,SAINT PAUL,700,Boues activées,1/9/1995 00:00:00,33458,417404,6456332,2017,45.147765,-0.605967
0533461V001,SAINT PHILIPPE D'AIGUILLE,250,Filtre à sable,3/12/2007 00:00:00,33461,460458,6427654,2017,44.912563,-0.031571
0533463V003,SAINT PIERRE D'AURILLAC,1500,Boues activées,1/11/2009 00:00:00,33463,447252,6391704,2017,44.571075,-0.192196
0533466V002,SAINT QUENTIN DE BARON,1000,Boues activées,1/1/1999 00:00:00,33466,440011,6418589,2017,44.816982,-0.287194
0533466V003,SAINT QUENTIN DE BARON 2,6000,Réacteur biologique à membrane,1/6/2015 00:00:00,33466,439351,6418229,2017,44.816982,-0.287194
0533470V001,SAINT ROMAIN LA VIRVEE,500,Filtres plantés de roseaux,1/5/2008 00:00:00,33470,432476,6434515,2017,44.964979,-0.399968
0533471V001,SAINT SAUVEUR,1400,Boues activées,1/1/2006 00:00:00,33471,399353,6464006,2017,45.201419,-0.835117
0533473V003,SAINT SAVIN,2400,Boues activées,15/12/2009 00:00:00,33473,428551,6454533,2017,45.138319,-0.448722
0533474V002,SAINT SELVE,3000,Boues activées,1/3/2017 00:00:00,33474,424250,6403553,2017,44.670492,-0.480688
0533476V001,SAINT SEURIN DE CADOURNE,1100,Boues activées,1/6/2007 00:00:00,33476,403844,6473121,2017,45.2859,-0.789853
