idENT_NCA;NOM;SOUS_TYPE;DIFFUSION;CODE_INSEE;CODE_EQUIP;TYPE;ADR_NCA;geometry
06065AA0050185BISA;CRECHE ESPACE CREATIF LE NID VERT;CRECHE FAMILIALE;1;06065;A;PETITE ENFANCE;06065AA0050185BIS;{"type": "Point", "coordinates": [7.16579829, 43.72237852]}
06027AA015899B;CRECHE LOU NISTOUN;CRECHE FAMILIALE;1;06027;B;PETITE ENFANCE;06027AA015899;{"type": "Point", "coordinates": [7.16524624, 43.66929758]}
06123AA018929A;CRECHE FAMILIALE LEI PITCHOUN;CRECHE FAMILIALE;1;06123;A;PETITE ENFANCE;06123AA018929;{"type": "Point", "coordinates": [7.18862392, 43.67472856]}
06059AA0018690BISA;MULTI ACCUEIL INTERCOMMUNALE CRECHE HALTE GARDERIE;CRECHE FAMILIALE;1;06059;A;PETITE ENFANCE;06059AA0018690BIS;{"type": "Point", "coordinates": [7.35555903, 43.7334144]}
06011AA01180A;BOULODROME;CLOS BOULISTE / BOULODROME;1;06011;A;SPORTS ET LOISIRS;06011AA01180;{"type": "Point", "coordinates": [7.3365342, 43.71109026]}
06114AA0043121A;BOULODROME;CLOS BOULISTE / BOULODROME;1;06114;A;SPORTS ET LOISIRS;06114AA0043121;{"type": "Point", "coordinates": [7.28782932, 43.74290901]}
06011AA00075A;GYMNASE DE BEAULIEU SUR MER;CENTRE ET SALLE DE SPORT;1;06011;A;SPORTS ET LOISIRS;06011AA00075;{"type": "Point", "coordinates": [7.32921483, 43.70401301]}
06033AA04350A;GYMNASE DE CARROS;CENTRE ET SALLE DE SPORT;1;06033;A;SPORTS ET LOISIRS;06033AA04350;{"type": "Point", "coordinates": [7.19252229, 43.76927815]}
06088AL051731B;ESPACE MAGNAN;CENTRE ET SALLE DE SPORT;1;06088;B;SPORTS ET LOISIRS;06088AL051731;{"type": "Point", "coordinates": [7.24563839, 43.69282173]}
06088AF060520A;GYMNASE GIAMARCHI;CENTRE ET SALLE DE SPORT;1;06088;A;SPORTS ET LOISIRS;06088AF060520;{"type": "Point", "coordinates": [7.25544242, 43.70093764]}
06088AG03191A;PETITES SOEURS DES PAUVRES - MA MAISON;EHPAD;1;06088;A;SOCIAL;06088AG03191;{"type": "Point", "coordinates": [7.28191736, 43.71081997]}
06027AA01290A;CANTAZUR;EHPAD;1;06027;A;SOCIAL;06027AA01290;{"type": "Point", "coordinates": [7.16521029, 43.66445657]}
06027AA012824A;LE VILLAGE D'OR;EHPAD;1;06027;A;SOCIAL;06027AA012824;{"type": "Point", "coordinates": [7.1733245, 43.66646444]}
06159AA0036711A;GARE SNCF;GARE FERROVIAIRE;1;06159;A;TRANSPORT;06159AA0036711;{"type": "Point", "coordinates": [7.31414625, 43.70702973]}
06059AA01450A;GARE SNCF;GARE FERROVIAIRE;1;06059;A;TRANSPORT;06059AA01450;{"type": "Point", "coordinates": [7.35697617, 43.72235887]}
06027AA003248A;GENDARMERIE NATIONALE;GENDARMERIE;1;06027;A;SECURITE;06027AA003248;{"type": "Point", "coordinates": [7.14031477, 43.65889903]}
06088AT033547A0;GROUPE SCOLAIRE SAINT ROMAN DE BELLET;ECOLE PRIMAIRE;1;06088;A0;EDUCATION;06088AT033547;{"type": "Point", "coordinates": [7.21468224, 43.74292452]}
06088AL051726A0;GROUPE SCOLAIRE SAINT PIERRE D'ARENE;ECOLE PRIMAIRE;1;06088;A0;EDUCATION;06088AL051726;{"type": "Point", "coordinates": [7.2457235, 43.69308687]}
06088AM008811A0;GROUPE SCOLAIRE MADONETTE TERRON;ECOLE PRIMAIRE;1;06088;A0;EDUCATION;06088AM008811;{"type": "Point", "coordinates": [7.2263269, 43.69121444]}
06088AP08808A0;GROUPE SCOLAIRE ROTHSCHILD;ECOLE PRIMAIRE;1;06088;A0;EDUCATION;06088AP08808;{"type": "Point", "coordinates": [7.27358882, 43.70282482]}
06123AA019973A;LE GRAND MAS;EHPAD;1;06123;A;SOCIAL;06123AA019973;{"type": "Point", "coordinates": [7.18886799, 43.66245906]}
