FID,ID,CODE_06,CODE_12,CHANGE,AREA_HA,LIBCODE12,GlobalID,SHAPE_Length,SHAPE_Area
29,FR-5604,211,133,211-133,45.0735439376,Terres arables hors périmètres d'irrigation,{532883F3-3478-4105-959E-74194CE34CF0},3402.81108971867,450735.437229996
30,FR-4778,211,122,211-122,104.069706255,Terres arables hors périmètres d'irrigation,{4342DC83-6258-40A9-9CAD-97B77B30ACBE},9602.56725973606,1040697.06255875
31,FR-3295,211,112,211-112,6.88488083985,Terres arables hors périmètres d'irrigation,{56D0BE28-E58E-4028-8F3C-6C32715791DE},1148.69355351926,68848.8138025064
32,FR-2473,133,122,133-122,25.3048769362,Chantiers,{78767996-1C20-4165-B7E5-6E6EE72D6D9F},3608.33146035351,253048.770045742
33,FR-2472,133,122,133-122,10.9319960594,Chantiers,{86485AA0-6D05-47D1-9111-7737D8210B1F},1608.74293620654,109319.960593914
34,FR-2233,133,121,133-121,26.7499047498,Chantiers,{AE4272F0-68BC-4D8A-8A8B-BD12E5FDCFE5},2130.9269539442,267499.050158805
35,FR-5019,211,131,211-131,10.1744054971,Terres arables hors périmètres d'irrigation,{B7F6AF2D-383C-48CF-8167-17652BBCA763},1484.06222582299,101744.054970248
36,FR-577,131,211,131-211,6.24885922954,Extraction de matériaux,{BC8EFFEA-65FA-4CBA-B106-90E16FA30F8E},1192.95654026883,62488.5922941451
37,FR-2561,133,211,133-211,22.2585464364,Chantiers,{DD43C93E-6481-4277-A802-22595EF78098},2097.91610535303,222585.464363922
38,FR-5018,211,131,211-131,6.62291642258,Terres arables hors périmètres d'irrigation,{BB7CC3D2-1A51-4345-B7E4-00234F37D44C},1046.88196499999,66229.1642259811
39,FR-5598,211,133,211-133,7.33241189472,Terres arables hors périmètres d'irrigation,{F040AF01-1983-4764-A6F0-89E3019A445B},1059.32450735984,73324.1202389285
40,FR-24955,324,311,324-311,26.7563956335,Forêt et végétation arbustive en mutation,{0F927B47-A836-4CB4-BFA2-5FF08A0B3B76},3097.90734311367,267564.011381981
41,FR-2231,133,121,133-121,8.53413665695,Chantiers,{D3CE410D-E265-4305-A1BF-C9DA44FEF3AB},1148.44728154258,85341.3514642453
42,FR-30166,324,313,324-313,20.251295727,Forêt et végétation arbustive en mutation,{941F86A4-020E-4037-B94F-E2DA93A82C87},1908.66840617918,202512.958583301
43,FR-2471,133,122,133-122,58.6228413284,Chantiers,{FBC404ED-22C3-4AE2-B996-733A1C3C5547},3938.06196013808,586228.420860061
44,FR-23361,313,324,313-324,12.1186873194,Forêts mélangées,{7C853C3F-D11B-4660-81C1-3309BBDC3639},1794.89474932893,121186.874753321
45,FR-2470,133,122,133-122,12.4877266329,Chantiers,{D3938C56-7545-4876-9B2B-B36E9736B78E},1447.69312381848,124877.265553108
46,FR-4777,211,122,211-122,110.80038354,Terres arables hors périmètres d'irrigation,{CA5E1CD5-22F0-4970-9F78-1CC1640CDD22},8921.09250572762,1108003.85152166
47,FR-4776,211,122,211-122,19.496285651,Terres arables hors périmètres d'irrigation,{2C7AD358-DD58-4656-9FAC-C98B55FC0FBE},2411.56877486488,194962.856509743
48,FR-5594,211,133,211-133,9.06097361348,Terres arables hors périmètres d'irrigation,{05F300D0-CFA3-4342-A291-F5C4E87B20A3},1238.42310013012,90609.7301220036
49,FR-14448,311,324,311-324,19.965016649,Forêts de feuillus,{0BD989A3-9B05-48DF-A073-A18D76DDEE34},2245.41647322831,199650.1897274
50,FR-21804,312,324,312-324,7.4504970291,Forêts de conifères,{EABDAF31-7826-42C5-817B-EF53625CD4F7},1156.69923282806,74504.9702900003
51,FR-24952,324,311,324-311,41.304133793,Forêt et végétation arbustive en mutation,{9FD056FB-571B-40E9-9324-DDF6AAE445D1},3053.52677360023,413041.348842002
52,FR-23360,313,324,313-324,13.9784166521,Forêts mélangées,{25541A16-A60A-4F3E-8390-EDFE495A7FB4},1813.36802038116,139784.165204565
53,FR-4775,211,122,211-122,45.2229832291,Terres arables hors périmètres d'irrigation,{54759D60-3ACE-4906-AABE-1D5989529295},4086.83583600452,452229.832290301
54,FR-21802,312,324,312-324,5.90226186514,Forêts de conifères,{C6415AA0-1BE7-4BDD-9FC6-5BF08906BB15},980.406912515116,59022.6212684651
55,FR-24950,324,311,324-311,49.7692914892,Forêt et végétation arbustive en mutation,{B1C1FA15-121B-41B2-A632-ED4E0DE3B73F},2869.2463832564,497692.904831384
56,FR-14444,311,324,311-324,13.8121943124,Forêts de feuillus,{6B2357AA-C4D8-4EF5-B0B1-816D7F37C343},1850.51030882254,138121.937663633
57,FR-23359,313,324,313-324,23.1731445749,Forêts mélangées,{70EC8474-312B-4E9A-A664-48563E625DCF},1941.54655643568,231731.45493897
58,FR-24948,324,311,324-311,17.1335866881,Forêt et végétation arbustive en mutation,{C441AC39-E7AF-4112-A430-7D66B8D2A4EF},1823.59060631618,171335.875144043
59,FR-14443,311,324,311-324,15.2956666924,Forêts de feuillus,{8BCD47D4-320D-40B1-937D-E5F441C7BF4B},1762.89160452727,152956.666956809
60,FR-23358,313,324,313-324,8.53641287397,Forêts mélangées,{B7179C7D-9F0D-44CF-997C-AE2AC64F64EE},1179.38053905103,85364.1309250735
61,FR-14442,311,324,311-324,9.46369389328,Forêts de feuillus,{086E591B-E5E3-43EB-969C-FEBA945EE061},1599.61451392162,94636.9418511583
62,FR-24944,324,311,324-311,26.9622661985,Forêt et végétation arbustive en mutation,{3F8EE1FC-2059-453A-AB36-965B3CE17BF8},2936.4664618319,269622.655105875
63,FR-14440,311,324,311-324,16.4146823194,Forêts de feuillus,{50927BD0-2702-4B5F-933D-721B70FEBF41},1847.41119821085,164146.823196368
64,FR-4774,211,122,211-122,60.2734876184,Terres arables hors périmètres d'irrigation,{9F50D0AB-D1AB-4F7C-B0EC-940AE4B28F54},6275.64561057953,602734.874965915
65,FR-23357,313,324,313-324,20.2874311335,Forêts mélangées,{1CA9225F-0431-4092-8883-91A0808DFCEC},2075.22199253304,202874.31052138
66,FR-24943,324,311,324-311,25.7374140961,Forêt et végétation arbustive en mutation,{2D6C73B4-E12C-4681-9221-727B050389ED},2198.46010672142,257374.138977976
67,FR-4773,211,122,211-122,13.4124847659,Terres arables hors périmètres d'irrigation,{0B74E454-39F1-4EA1-8E19-036296750800},1606.15398762597,134124.848663973
68,FR-14439,311,324,311-324,16.3494447854,Forêts de feuillus,{832E8FE2-5706-43AE-8E5C-D8BE27548A7B},1953.42814658838,163494.441487578
69,FR-14438,311,324,311-324,17.733328003,Forêts de feuillus,{DA189188-A97C-41F9-9C94-D284C352ECCE},1870.42221473085,177333.273879563
70,FR-1546,133,112,133-112,6.30069554608,Chantiers,{FB7A2C99-B669-48D9-9B70-66EE107F162F},1084.69943802489,63006.9457754172
71,FR-7645,231,131,231-131,6.99172360895,Prairies et autres surfaces toujours en herbe à usage agricole,{9B0F9520-AFB6-4FA1-94AB-F437A0FEAE05},1152.47897607704,69917.2396588078
72,FR-3279,211,112,211-112,5.54704474836,Terres arables hors périmètres d'irrigation,{9B0437AD-2B78-4231-8CF5-96F645B58E88},927.867392723504,55470.4462632615
73,FR-24941,324,311,324-311,16.4908633001,Forêt et végétation arbustive en mutation,{B04AF967-BC3A-4762-9B9B-181EB65EDC27},1706.76855603965,164908.616987624
74,FR-24940,324,311,324-311,31.7328747253,Forêt et végétation arbustive en mutation,{543396C3-3775-4E9A-9DAB-4DE5944225DC},2620.45261077525,317328.723781473
75,FR-21798,312,324,312-324,22.2552533012,Forêts de conifères,{74160590-B8E1-4FE7-9E33-D6242A98397C},2042.26711618319,222552.538226069
76,FR-14437,311,324,311-324,12.1696850375,Forêts de feuillus,{2C4E6156-166D-4D5C-9014-0196F239301B},1464.86893151343,121696.850374749
77,FR-1545,133,112,133-112,10.7499115863,Chantiers,{D0796B25-B993-4761-ABE7-8D232FA396CB},1396.29079370073,107499.113057851
78,FR-23356,313,324,313-324,11.9729790464,Forêts mélangées,{4C7643A5-A0F3-4FD4-AD66-7556AE8E4F7D},1593.17342082825,119729.790465664
79,FR-5590,211,133,211-133,12.9224116768,Terres arables hors périmètres d'irrigation,{AE94ADFA-D2F7-4B0B-8712-1BA5E79AE57E},1534.61770381796,129224.116770915
80,FR-24939,324,311,324-311,32.9094913046,Forêt et végétation arbustive en mutation,{A9611027-6D37-4B1E-821F-CAD2316912C4},2266.8217050354,329094.900209713
81,FR-14436,311,324,311-324,8.01789370164,Forêts de feuillus,{E68BED40-A586-4F5F-B6AA-BBC6897FF547},1211.93632190316,80178.9370166052
82,FR-24938,324,311,324-311,37.506194106,Forêt et végétation arbustive en mutation,{57C83FD5-896A-45E0-A06C-AC93B9674EAE},2545.0648642978,375061.945331273
83,FR-24937,324,311,324-311,25.306152815,Forêt et végétation arbustive en mutation,{938674D0-50E0-444B-AFC0-07A7227E4A93},2910.60284251762,253061.573317565
84,FR-24935,324,311,324-311,18.4510139315,Forêt et végétation arbustive en mutation,{D1DBB252-70A4-4AC5-AEDE-A113FB98F124},1864.28060950183,184510.139288856
85,FR-14434,311,324,311-324,14.4907258621,Forêts de feuillus,{AB5830D4-36F4-43D5-8695-70FE9550FEC4},2020.92949719719,144907.258621857
86,FR-5589,211,133,211-133,5.47006943671,Terres arables hors périmètres d'irrigation,{30C1C49B-DF67-4AB8-935E-DFE204C2B8FA},924.690048444183,54700.6904102183
87,FR-24933,324,311,324-311,95.3258041615,Forêt et végétation arbustive en mutation,{5D984FE6-8DFC-4220-BABA-F43BA8C9D470},4906.47259254703,953258.04004745
88,FR-14433,311,324,311-324,8.73805631815,Forêts de feuillus,{72E04094-DACC-47A3-B5E6-E2C7B93C2C33},1260.7446001063,87380.5644432642
89,FR-23354,313,324,313-324,18.2834171966,Forêts mélangées,{43DD5FE9-AC19-4EB7-8CED-70BCB5A54855},2075.59017401982,182834.178806298
90,FR-24931,324,311,324-311,12.7369065616,Forêt et végétation arbustive en mutation,{5663FC39-4738-4DCE-8639-30D3039EF1AB},1701.53493261022,127369.065618727
91,FR-14432,311,324,311-324,19.7930503949,Forêts de feuillus,{D51FBB5C-9397-478D-993A-63BAD9D05636},2669.2126693062,197930.503950198
92,FR-23353,313,324,313-324,18.5229824949,Forêts mélangées,{BF386005-5DC4-4C8E-BF88-98EB1475DA30},1721.52409659741,185229.824839156
93,FR-14430,311,324,311-324,11.8676140675,Forêts de feuillus,{0188DCB6-54C4-48FF-83C0-CFC47B215264},1446.3494043573,118676.135278963
94,FR-24930,324,311,324-311,39.5882498999,Forêt et végétation arbustive en mutation,{E6E84A13-7614-416F-8D41-2519728E7E6D},3562.27992439016,395882.489686689
95,FR-11811,311,132,311-132,18.3005833198,Forêts de feuillus,{43787EC5-CAEA-4EA1-AEBD-CDD2EA54CD46},1896.48078022212,183005.83558907
96,FR-9783,242,112,242-112,9.33490215109,Systèmes culturaux et parcellaires complexes,{9720699A-90C4-423D-BBA4-8EA1CF9B5013},1437.38725992619,93349.0237901702
97,FR-3272,211,112,211-112,13.0205624767,Terres arables hors périmètres d'irrigation,{B6709944-5D38-4315-B50C-A790383F01D5},2369.87799756088,130205.624903326
98,FR-14427,311,324,311-324,5.4795906742,Forêts de feuillus,{1133F710-8285-4F66-BB31-234FAE2A8E0A},916.749845810055,54795.9052813382
99,FR-14426,311,324,311-324,15.7707102567,Forêts de feuillus,{88921CB9-5406-4E2F-8F3F-D80864BDE41E},2162.58760770739,157707.106345539
100,FR-14424,311,324,311-324,13.7413472236,Forêts de feuillus,{2D112102-F135-4BAC-9A3B-285332F8DAFD},1806.4447288175,137413.478470672
101,FR-14423,311,324,311-324,9.67812620511,Forêts de feuillus,{C0D1CA31-7E59-4FB2-8C23-CB2B9D3F1364},1343.09233512841,96781.2600854822
102,FR-24929,324,311,324-311,49.4565417579,Forêt et végétation arbustive en mutation,{F485150A-6466-414F-97D6-7E6DAF73FB6A},3180.95770645891,494565.426926473
103,FR-3269,211,112,211-112,6.15534957313,Terres arables hors périmètres d'irrigation,{5A3621FB-CE32-4801-95DD-55F402B01D96},1018.99696336843,61553.4976290392
104,FR-1537,133,112,133-112,5.05518225731,Chantiers,{64062E92-9B91-4905-8B8A-7761655DB690},1036.49868856125,50551.8117319425
105,FR-29632,324,312,324-312,79.1639848059,Forêt et végétation arbustive en mutation,{84919B70-4EB0-40C4-AF17-3AE8BD2FB6D3},4788.11441253883,791639.895324693
106,FR-14420,311,324,311-324,7.3120985368,Forêts de feuillus,{9E898CA7-E78B-4066-9841-11B633CB8092},1365.19064828189,73120.9853682762
107,FR-21791,312,324,312-324,12.2921636044,Forêts de conifères,{69F51C5B-D3F0-4243-B6E1-730D04C66589},1723.62180657546,122921.635521128
108,FR-14418,311,324,311-324,9.4485840101,Forêts de feuillus,{4E1D13A5-A7BF-4D6E-A981-B60083787A3A},1247.15109920031,94485.8299137734
109,FR-29631,324,312,324-312,66.2986127446,Forêt et végétation arbustive en mutation,{701A9C25-75A5-4C8F-B378-2A6DF1ADD5C8},4552.72722418036,662986.169114698
110,FR-14414,311,324,311-324,20.3705634405,Forêts de feuillus,{089AD545-2F61-4AE3-9CC4-1951C1402A8C},1845.04705857342,203705.637504495
111,FR-24925,324,311,324-311,26.5365657016,Forêt et végétation arbustive en mutation,{1B03B78F-EF41-4BC0-8D69-B56C058AE35A},2449.59694798577,265365.686593698
112,FR-7991,231,133,231-133,7.06000345401,Prairies et autres surfaces toujours en herbe à usage agricole,{70ED7694-5F38-4A62-A655-2E999705CADD},1152.34433417311,70600.0369239521
113,FR-24924,324,311,324-311,11.4526979807,Forêt et végétation arbustive en mutation,{4F89AAF9-E9EC-4ABD-87AF-A4891A442756},1463.1452890807,114526.971156755
114,FR-14412,311,324,311-324,6.89499124323,Forêts de feuillus,{A6226D71-B83F-4F66-80D9-39F0CDDF6183},1297.07614920454,68949.9124322356
115,FR-5584,211,133,211-133,29.6784610115,Terres arables hors périmètres d'irrigation,{0DEBEA50-49D1-4716-A1BA-A606504AA992},2779.96871678669,296784.608397399
116,FR-14411,311,324,311-324,18.3113369411,Forêts de feuillus,{FD714C1B-24CB-4A8E-8E71-8D8FDA87F299},2463.78844769214,183113.376431624
117,FR-23351,313,324,313-324,13.3678569761,Forêts mélangées,{1469E4F9-AD62-4CDB-B7D9-EA8542FEE171},1899.26717746474,133678.585465862
118,FR-7990,231,133,231-133,5.4759754063,Prairies et autres surfaces toujours en herbe à usage agricole,{5B9E0DFB-2C0A-4E09-A209-5C6B3D113CBA},952.519312888265,54759.7540635352
119,FR-21788,312,324,312-324,13.8017664398,Forêts de conifères,{C4C24A3C-C133-499E-A3F2-F6CC2BBD53D1},1562.16156252231,138017.634897286
120,FR-24922,324,311,324-311,51.5590845799,Forêt et végétation arbustive en mutation,{5D5BA64D-2F15-46AF-830E-DCCC28135ED0},2844.47209380764,515590.845797412
121,FR-24921,324,311,324-311,18.9439885606,Forêt et végétation arbustive en mutation,{89C950B7-2D10-4A86-9DC4-6A928F296282},1701.70936936058,189439.893214356
122,FR-5583,211,133,211-133,5.7729842685,Terres arables hors périmètres d'irrigation,{91030528-AAF7-4550-BFE1-AB1FC2AA2C56},1031.88367266856,57729.8429847291
123,FR-3264,211,112,211-112,5.0881899933,Terres arables hors périmètres d'irrigation,{8860E5C9-0CBF-4869-BAB5-98A9093C923F},888.645963412545,50881.898821697
124,FR-2227,133,121,133-121,11.0972845061,Chantiers,{C990117B-FEEA-4B06-8883-1FF8CD3E56E0},1338.31316611528,110972.84432619
125,FR-24919,324,311,324-311,11.1316727617,Forêt et végétation arbustive en mutation,{A481004D-71A6-4B6F-83E0-1AA308BB4E26},1442.60612977242,111316.723149921
126,FR-3263,211,112,211-112,5.94436073746,Terres arables hors périmètres d'irrigation,{6B865D8A-A3B2-493D-9778-ED315A67A858},1044.88561474365,59443.6070904272
127,FR-21786,312,324,312-324,18.5356531472,Forêts de conifères,{301DBF4F-5749-4A58-95CF-254D9CB903BC},2042.38397077854,185356.537731152
128,FR-21785,312,324,312-324,16.0063379698,Forêts de conifères,{60956D38-2C5C-43BF-B431-2810AE3CD2E3},1605.40646900216,160063.385822462
129,FR-14407,311,324,311-324,17.5594005047,Forêts de feuillus,{290F7812-D062-4AE6-A0E0-69E99A4F16ED},1734.19522811469,175593.995708194
130,FR-21783,312,324,312-324,6.653239223,Forêts de conifères,{EE0F7419-B2C3-4727-9671-D2EFFE284ACD},1083.09188865016,66532.392229464
131,FR-14406,311,324,311-324,9.09722495294,Forêts de feuillus,{3B7A20AD-09B5-4CFB-B48C-B39EC3A5AAFC},1243.50224219413,90972.237707617
132,FR-14405,311,324,311-324,25.4094744531,Forêts de feuillus,{C63DB8F6-8621-4792-B660-FB02700CDC11},3244.08231009907,254094.753711718
133,FR-24916,324,311,324-311,25.8966177125,Forêt et végétation arbustive en mutation,{314CED4F-7EB0-4F14-BB2D-E1119FC04086},2470.84578165107,258966.246058688
134,FR-24915,324,311,324-311,31.459724217,Forêt et végétation arbustive en mutation,{91CD4C6E-B2EA-48CD-A834-C24E3D2C2BEB},2289.27191989447,314597.212588013
135,FR-21780,312,324,312-324,13.6946835307,Forêts de conifères,{8C14C479-D623-4A4A-81D3-0151192EF4FD},1754.27869121074,136946.827180185
136,FR-14402,311,324,311-324,8.81188331438,Forêts de feuillus,{E78914CE-DA40-4197-8AA2-02485BB73ED4},1361.14947128966,88118.8329372646
137,FR-2226,133,121,133-121,6.76201029662,Chantiers,{2B776942-0179-4276-9611-B1C900730476},1087.00518043272,67620.102966703
138,FR-24911,324,311,324-311,41.2425724417,Forêt et végétation arbustive en mutation,{7CEAF01E-747D-460A-851D-FF02397D6D89},3998.65361744796,412425.688902727
139,FR-24910,324,311,324-311,13.8367950726,Forêt et végétation arbustive en mutation,{287D2CF7-A14F-47C0-B5B9-ED282AB0C06A},1651.45593745766,138367.94883862
140,FR-3257,211,112,211-112,10.1437648784,Terres arables hors périmètres d'irrigation,{A0FD54F4-CDD0-496C-95F1-4EC868E0FA34},1421.94634874092,101437.661890051
141,FR-24908,324,311,324-311,24.756871984,Forêt et végétation arbustive en mutation,{12843067-9A21-4EE6-A6D8-6AD18BEB5EFB},2475.83086805526,247568.723198174
142,FR-23349,313,324,313-324,11.559744309,Forêts mélangées,{10E701DE-E2E6-4A57-9707-C5E34AD6DBB5},1854.95338356529,115597.443717176
143,FR-21774,312,324,312-324,9.88269150701,Forêts de conifères,{A0224039-4E25-419D-8E5F-4CAC2EC56A27},1392.76295554586,98826.9172607542
144,FR-5581,211,133,211-133,11.5833972079,Terres arables hors périmètres d'irrigation,{6E2A2346-98AB-4467-80DE-A66E1FC0FB37},1390.77792956892,115833.980544755
145,FR-6571,222,121,222-121,24.971472879,Vergers et petits fruits,{9C999D70-E55E-4049-8743-6B669FD23387},2533.60925554202,249714.740654719
146,FR-21772,312,324,312-324,57.7775043675,Forêts de conifères,{8C42174C-08BE-4617-B31F-6F7E10DC70A5},5075.78233938167,577775.042297925
147,FR-7028,231,112,231-112,5.6700347733,Prairies et autres surfaces toujours en herbe à usage agricole,{8FD71A1C-AE42-4896-B97B-6316D16298FB},1114.81165366543,56700.3392763765
148,FR-4265,211,121,211-121,35.6955641238,Terres arables hors périmètres d'irrigation,{E3ED0968-1783-4A28-AE1F-C8F482EAF124},2690.05546864264,356955.6416175
149,FR-29630,324,312,324-312,20.8807483125,Forêt et végétation arbustive en mutation,{721ED800-82AE-48A8-A6FA-4A7FA4B74199},1936.31444135451,208807.504211092
150,FR-21767,312,324,312-324,16.1774318102,Forêts de conifères,{A3C83BB1-4C44-46F8-9BFF-4AC6BC929B3B},1792.60808723758,161774.323336017
151,FR-24900,324,311,324-311,25.9957078508,Forêt et végétation arbustive en mutation,{DCF25D58-A2E3-4BD4-8F70-049827A3887B},2225.27989893502,259957.07318814
152,FR-14389,311,324,311-324,13.5837253434,Forêts de feuillus,{090C2EF1-6058-4341-A63E-0E54B5FFBE28},1524.87219361183,135837.253434449
153,FR-10305,242,121,242-121,21.267949787,Systèmes culturaux et parcellaires complexes,{FA9A7C41-764C-4106-B896-EDF1572E00A3},1924.74691916569,212679.493495823
154,FR-11516,243,133,243-133,59.8416311724,"Surfaces essentiellement agricoles, interrompues par des espaces naturels importants",{01E20B93-AAFE-43BE-B504-52D154B05DC5},3492.96981858936,598416.302360305
155,FR-11043,242,133,242-133,13.865089097,Systèmes culturaux et parcellaires complexes,{E343C88A-071D-45EC-AE15-2FE23079C159},1847.18821736666,138650.893835026
