COLL_NOM,COLL_SIRET,DELIB_ID,DELIB_DATE,DELIB_MATIERE_CODE,DELIB_MATIERE_NOM,DELIB_OBJET,BUDGET_ANNEE,BUDGET_NOM,PREF_ID,PREF_DATE,VOTE_EFFECTIF,VOTE_REEL,VOTE_POUR,VOTE_CONTRE,VOTE_ABSTENTION,DELIB_URL,ObjectId
COURTRY,21770139000015,2018-00005,2018/02/12,8.1.4,Domaines de compétences par thème,Rythmes scolaires proposition de retour a la semaine de quatre jours,,,PREF077,2018/02/13,29,29,24,,5,,11
COURTRY,21770139000015,2019-00045,2019/07/01,2.2.2,Urbanisme,Autorisation donnee a Monsieur le Maire de signer une demande de permis de construire pour la construction d un preau exterieur a l ecole elementaire Michel Lefevre,,,PREF077,2019/07/02,29,27,27,,,,12
COURTRY,21770139000015,2018-00006,2018/02/12,1.4.1,Commande publique,Convention de partenariat dans le cadre de la mini ferme,2018,,PREF077,2018/02/13,29,29,24,,5,,13
COURTRY,21770139000015,2018-00007,2018/02/12,4.2.2.2,Fonction publique,Contrat d Engagement Educatif modification du montant a allouer,2018,,PREF077,2018/02/13,29,29,29,,,,14
COURTRY,21770139000015,2019-00046,2019/07/01,1.1.2.1,Commande publique,Attribution du marche numero ST19 06 relatif aux travaux de refection de l etancheite et de l isolation des murs et de la couverture de l ensemble du groupe scolaire Georges Brassens Lot numero 1 Couverture et Lot numero 2 Ravalement ,2019,,PREF077,2019/07/02,29,27,27,,,,15
COURTRY,21770139000015,2019-00047,2019/07/01,3.5.6,Domaine et patrimoine,Transfert dans le Domaine Public Communal de la Voirie des Trottoirs de ses accessoires et reseaux divers de la Zone d Activite de la Regale,,,PREF077,2019/07/02,29,27,27,,,,16
COURTRY,21770139000015,2018-00008,2018/02/12,5.6.1,Institutions et vie politique,Modification des indemnites de fonctions du Maire des Adjoints et des Conseillers Municipaux delegues,2018,,PREF077,2018/02/13,29,29,24,,5,,17
COURTRY,21770139000015,2018-00009,2018/03/26,7.1.2.4,Finances locales,Compte de Gestion du Budget de la Ville Exercice 2017 adoption,,,PREF077,2018/03/28,29,28,28,,,,18
COURTRY,21770139000015,2019-00048,2019/07/01,7.5.1.3,Finances locales,Travaux de refection des parements interieurs et exterieurs de l Eglise Saint Medard approbation du projet et demande de subventions aupres de la Region Ile de France et de la Direction Regionale des Affaires Culturelles d Ile de France,2019,,PREF077,2019/07/02,29,27,27,,,,19
COURTRY,21770139000015,2019-00049,2019/07/01,7.8,Finances locales,Travaux de voirie Fonds de concours a solliciter aupres de la Communaute d Agglomeration Paris Vallee de la Marne,2019,,PREF077,2019/07/02,29,27,27,,,,20
COURTRY,21770139000015,2018-00010,2018/03/26,7.1.2.3,Finances locales,Compte Administratif du Budget de la Ville Exercice 2017 adoption,,,PREF077,2018/03/28,29,28,27,,,,21
COURTRY,21770139000015,2019-00050,2019/07/01,4.1.1,Fonction publique/Personnels titulaires et stagiaires de la FPT,Modification du tableau des effectifs,2019,,PREF077,2019/07/02,29,27,27,,,,22
COURTRY,21770139000015,2018-00011,2018/03/26,7.1.2.4,Finances locales,Affectation du resultat du Compte Administratif 2017 au Budget Communal,,,PREF077,2018/03/28,29,28,28,,,,23
COURTRY,21770139000015,2019-00051,2019/09/30,9.4,Autres domaines de compétences,Voeu de soutien a la proposition de loi presentee en application de l article 11 de la Constitution visant a affirmer le caractere de service public national de l exploitation des aerodromes de Paris,,,PREF077,2019/07/02,29,27,27,,,,24
COURTRY,21770139000015,2018-00012,2018/03/26,7.1.2.1,Finances locales,Budget Primitif Communal Exercice 2018 adoption,,,PREF077,2018/03/28,29,28,,,,,25
COURTRY,21770139000015,2019-00052,2019/09/30,9.1 ,Autres domaines de compétences,Multi accueil municipal La Barbotte modification du reglement de fonctionnement,,,PREF077,2019/07/02,29,27,27,,,,26
COURTRY,21770139000015,2018-00013,2018/03/26,7.2.2,Finances locales,Vote des taxes pour l Exercice 2018,2018,,PREF077,2018/03/28,29,28,28,,,,27
COURTRY,21770139000015,2019-00053,2019/09/30,7.5.1.3,Interventions économiques-subventions,Travaux de rehabilitation de l hotel de ville approbation du projet en vue d une demande de subvention dans le cadre de la DETR 2020,2020,,PREF077,2019/07/02,29,27,27,,,,28
COURTRY,21770139000015,2018-00014,2018/03/26,7.5.2,Finances locales,Versement de subventions aux associations et divers organismes locaux Exercice 2018,2018,,PREF077,2018/03/28,29,28,28,,,,29
COURTRY,21770139000015,2019-00054,2019/09/30,7.5.1.3,Interventions économiques-subventions,Travaux de rehabilitation de l hotel de ville approbation du projet en vue d une demande de subvention dans le cadre de la DETR 2020,2020,,PREF077,2019/07/02,29,27,24,,3,,30
COURTRY,21770139000015,2018-00015,2018/03/26,7.10.2,Finances locales,Aide financiere exceptionnelle a accorder a un Courtrysien sportif de haut niveau,2018,,PREF077,2018/03/28,29,28,28,,,,31
COURTRY,21770139000015,2019-00055,2019/09/30,9.1,Autres domaines de compétences,Approbation de la convention constitutive du groupement de leves topographiques et de geodetection de reseaux,2020,,PREF077,2019/07/02,29,27,27,,,,32
COURTRY,21770139000015,2018-00016,2018/03/26,8.5,Politique de la ville/habitat/logement,Bilan de la politique fonciere annee 2017,2018,,PREF077,2018/03/28,29,28,23,5,,,33
COURTRY,21770139000015,2019-00056,2019/09/30,9.1,Autres domaines de compétences, Adhesion au SIGEIF de la commune de Linas ,,,PREF077,2019/07/02,29,27,27,,,,34
COURTRY,21770139000015,2019-00057,2019/09/30,3.5.2,Domaine et patrimoine,Desaffectation et declassement du parking de la rue de la Regale,,,PREF077,2019/07/02,29,27,27,,,,35
COURTRY,21770139000015,2019-00058,2019/09/30,8.5,Domaine de compétence par thèmes,Restructuration de l ancienne ecole du bourg en Maison des Seniors ses abords et de logements sociaux transfert de maitrise d ouvrage a la societe Immobiliere 3F Seine et Marne avenant numero 1 a la convention de transfert,2019,,PREF077,2019/07/02,29,27,24,3,,,36
COURTRY,21770139000015,2019-00059,2019/12/16,7.1.2.2,Finances locales,Budget communal 2019: décision modificative n°3,2019,,PREF077,2019/12/18,29,27,27,,,,37
COURTRY,21770139000015,2019-00060,2019/12/16,7.1.2.4,Finances locales,Depenses d Investissements Exercice 2020 Autorisation pour l engagement la liquidation et le mandatement avant le vote du budget 2020,2019,,PREF077,2019/12/18,29,27,27,,,,38
COURTRY,21770139000015,2019-00061,2019/12/16,7.10.2,Finances locales,Convention de partenariat avec la Tresorerie de Chelles portant sur les conditions de recouvrement des produits locaux hors fiscalite et dotations,,,PREF077,2019/12/18,29,27,27,,,,39
COURTRY,21770139000015,2019-00062,2019/12/16,5.7.7,Institutions et vie politique/Intercommunalité,Convention de partenariat entre la Communaute d Agglomeration Paris Vallee de la Marne et la commune de Courtry concernant la mise en oeuvre d un observatoire fiscal,2019,,PREF077,2019/12/18,29,27,27,,,,40
COURTRY,21770139000015,2019-00063,2019/12/16,7.5.2,Finances locales,Don verse a l association AFM Telethon,2019,,PREF077,2019/12/18,29,27,27,,,,41
COURTRY,21770139000015,2019-00064,2019/12/16,7.10.2 ,Finances locales,Aide financiere exceptionnelle en faveur d une athlete pratiquant le badminton,2019,,PREF077,2019/12/18,29,27,27,,,,42
COURTRY,21770139000015,2019-00065,2019/12/16,8.8.5,Domaine de compétence par thème/environnement,Avis emis par la commune de Courtry dans le cadre de l enquete publique environnementale unique concernant la demande deposee par la societe Suez RR IWS Minerals France pour etre autorisee a modifier les conditions d exploitation de l Installation de Stockage de déchets dangereux (ISDD) existante et pour instituer une servitude d'utilité publique (SUP) d'isolement autour de la zone de stockage de déchets dangereux modifiée situées sur le territoire des communes de Vileparisis et Courtry et avis sur l'étude d'impact,,,PREF077,2019/12/18,29,27,27,,,,43
COURTRY,21770139000015,2019-00066,2019/12/16,3.2.1,Domaine et patrimoine/aliénation,Cession de la parcelle BI305 a la societe Bouygues Immobilier pour la realisation d une residence intergenerationnelle d une creche et d une maison de sante Prorogation de la promesse de vente,,,PREF077,2019/12/18,29,27,24,3,,,44
COURTRY,21770139000015,2019-00067,2019/12/16,3.5.4,Domaine et patrimoine/autres actes de gestion du domaine public,Travaux de refection des parements interieurs et exterieurs de l Eglise Saint Medard approbation du projet et demande de subventions aupres du Conseil Departemental de Seine et Marne,,,PREF077,2019/12/18,29,27,27,,,,45
COURTRY,21770139000015,2019-00068,2019/12/16,3.2.1 ,Domaine et patrimoine/aliénation ,Cession d une partie des parcelles referencees section BD numeros 106 et108 a M2CA dans le cadre du projet d amenagement de la ZAC de la Regale,2019,,PREF077,2019/12/18,29,27,27,,,,46
COURTRY,21770139000015,2019-00069,2019/12/16,9.1 ,Autres domaines de compétences,Transfert au SIGEIF de la competence Infrastructures de recharge pour vehicules electriques IRVE ,,,PREF077,2019/12/18,29,27,27,,,,47
COURTRY,21770139000015,2019-00070,2019/12/16,8.3,Domaine de compétence par thème/voirie,Denomination de la rue Louis Osteng,,,PREF077,2019/12/18,29,27,27,,,,48
COURTRY,21770139000015,2019-00071,2019/12/16,9.1,Autres domaines de compétences,SIGEIF Rapport d Activite du Syndicat au titre de l annee 2018,,,PREF077,2019/12/18,29,27,27,,,,49
COURTRY,21770139000015,2019-00072,2019/12/16,9.1 ,Autres domaines de compétences,SIPPEREC Rapport d activite 2018,,,PREF077,2019/12/18,29,27,27,,,,50
COURTRY,21770139000015,2019-00073,2019/12/16,1.4.1 ,Commande publique/autres contrats,Assurance des risques statutaires Habilitation du Centre de Gestion pour la souscription du contrat pour le compte de la commune,,,PREF077,2019/12/18,29,27,27,,,,51
COURTRY,21770139000015,2019-00074,2019/12/16,9.1,Autres domaines de compétences,Convention unique relative aux missions facultatives du Centre de gestion de Seine et Marne,,,PREF077,2019/12/18,29,27,27,,,,52
COURTRY,21770139000015,2019-00075,2019/12/16,4.1.1,Fonction publique/Personnels titulaires et stagiaires de la FPT,Modification du tableau des effectifs,,,PREF077,2019/12/18,29,27,27,,,,53
COURTRY,21770139000015,2020-00001,2020/02/24,7.1.1,Finances locales/Décisions budgétaires,Débat d'Orientation Budgétaire 2020,2020,,PREF077,2020/02/26,29,28,24,4,,,54
COURTRY,21770139000015,2020-00002,2020/02/24,7.8 ,Finances locales/Fonds de concours,Candidature au titre du dispositif departemental de Fonds d Amenagement Communal FAC ,2020,,PREF077,2020/02/26,29,28,28,,,,55
COURTRY,21770139000015,2020-00003,2020/02/24,7.10.2,Finances locales,CCAS Prise en charge des frais de gestion de fonctionnement 2019,2020,,PREF077,2020/02/26,29,28,28,,,,56
COURTRY,21770139000015,2020-00004,2020/02/24,5.7.7,Institutions et vie politique/Intercommunalité,Permis de louer mise en place de la declaration de mise en location sur le territoire de la Commune,,,PREF077,2020/02/26,29,28,28,,,,57
COURTRY,21770139000015,2020-00005,2020/02/24,6.4,Libertés publiques et pouvoirs de police,Projet de video verbalisation,,,PREF077,2020/02/26,29,28,24,,4,,58
COURTRY,21770139000015,2020-00006,2020/02/24,1.4.1,Commande publique/autres contrats,Convention de partenariat dans le cadre du parc animalier et approbation du règlement intérieur,2020,,PREF077,2020/02/26,29,28,24,,4,,59
COURTRY,21770139000015,2020-00007,2020/02/24,8.9,Culture,Salon du livre convention a passer avec les intervenants en vue de leur defraiement,2020,,PREF077,2020/02/26,29,28,24,,4,,60
COURTRY,21770139000015,2020-00008,2020/02/24,3.1.2,Domaine et patrimoine/Acquisition,Acquisition du lot B1 sis rue Louis Osteng,2020,,PREF077,2020/02/26,29,28,28,,,,61
COURTRY,21770139000015,2020-00009,2020/02/24,1.4.1,Commande publique/ autres contrats,Convention financiere administrative et technique avec le SIGEIF pour l enfouissement des reseaux de la Route du Chat,2020,,PREF077,2020/02/26,29,28,28,,,,62
COURTRY,21770139000015,2020-00010,2020/03/09,7.1.2.4,Finances locales/décisions budgétaires,Compte de Gestion du Budget de la Ville Exercice 2019 adoption,,,PREF077,2020/03/10,29,28,28,,,,63
COURTRY,21770139000015,2020-00011,2020/03/09,7.1.2.3,Finances locales/décisions budgétaires,Compte Administratif du Budget de la Ville Exercice 2019 adoption,,,PREF077,2020/03/10,29,27,23,,4,,64
COURTRY,21770139000015,2020-00012,2020/03/09,7.1.2.4,Finances locales/décisions budgétaires,Affectation du resultat du Compte Administratif 2019 au Budget Communal,2020,,PREF077,2020/03/10,29,28,24,,4,,65
COURTRY,21770139000015,2020-00013,2020/03/09,7.1.2.4,Finances locales/décisions budgétaires,Bilan politique fonciere sur 2019,2019,,PREF077,2020/03/10,29,28,28,,,,66
COURTRY,21770139000015,2020-00014,2020/03/09,7.1.2.4,Finances locales/décisions budgétaires,Dissolution du syndicat du college de Courtry Le Pin et Villevaude integration des resultats au budget communal 2020,2020,,PREF077,2020/03/10,29,28,28,,,,67
COURTRY,21770139000015,2020-00015,2020/03/09,7.1.2.1,Finances locales/décisions budgétaires,Budget Primitif Communal Exercice 2020 adoption,2020,,PREF077,2020/03/10,29,28,24,4,,,68
COURTRY,21770139000015,2020-00016,2020/03/09,7.2.2 ,Finances locales/subventions,Vote des taxes pour l Exercice 2020,2020,,PREF077,2020/03/10,29,28,28,,,,69
COURTRY,21770139000015,2020-00017,2020/03/09,7.5.2,Finances locales/fiscalité,Versement de subventions aux associations et divers organismes locaux Exercice 2020,2020,,PREF077,2020/03/10,29,28,28,,,,70
COURTRY,21770139000015,2020-00018,2020/03/09,5.7.7,Institutions et vie politique/Intercommunalité,Programme Local de l Habitat de Paris Vallee de la Marne 2020 2025 avis de la commune,2020,,PREF077,2020/03/10,29,28,24,4,,,71
COURTRY,21770139000015,2020-00019,2020/03/09,9.1,Autres domaines de compétences des communes,Signature d une Convention d objectifs et de financement 2020 2023 avec la Caisse d Allocations Familiales pour les etablissements d accueil du jeune enfant,2020,,PREF077,2020/03/10,29,28,28,,,,72
COURTRY,21770139000015,2020-00020,2020/03/09,2.2.6,Urbanisme,Autorisation donnee au Maire de signer une demande de declaration prealable et d autorisation de travaux sur un etablissement recevant du public pour les travaux de rehabilitation de l hotel de ville,,,PREF077,2020/03/10,29,28,28,,,,73
COURTRY,21770139000015,2020-00021,2020/05/23,5.1.1 ,Institutions et vie politique/élection exécutif,Election du maire,,,PREF077,2020/05/25,29,29,25,,4,,74
COURTRY,21770139000015,2018-00017,2018/03/26,7.8,Finances locales,Acceptation d une offre de concours pour le raccordement au reseau public de distribution electrique du 2 chemin de l Arange,2018,,PREF077,2018/03/28,29,28,28,,,,75
COURTRY,21770139000015,2018-00018,2018/03/26,2.2.6,Urbanisme,Autorisation donnee au Maire de signer une demande de declaration prealable ainsi qu une demande de modification d un Etablissement Recevant du Public pour la creation d une maison des seniors,,,PREF077,2018/03/28,29,28,23,5,,,76
COURTRY,21770139000015,2018-00019,2018/03/26,8.1.2,Domaine de compétence par thème,Conventions de reciprocite scolaire et periscolaire a signer avec lacommune de Brou sur Chantereine,,,PREF077,2018/03/28,29,28,28,,,,77
COURTRY,21770139000015,2018-00020,2018/03/26,8.1.4,Domaine de compétence par thème,Modification des reglements interieurs des accueils de loisirs,,,PREF077,2018/03/28,29,28,23,5,,,78
COURTRY,21770139000015,2018-00021,2018/03/26,4.1.1,Fonction publique,Modifications du tableau des effectifs,2018,,PREF077,2018/03/28,29,28,28,,,,79
COURTRY,21770139000015,2018-00022,2018/05/28,5.6.2 ,Institutions et vie politique,Installation d un Conseiller delegue liste Courtry a Coeur en remplacement de Madame Josette DIAZ,,,PREF077,2018/05/30,29,28,,,,,80
COURTRY,21770139000015,2018-00023,2018/05/28,5.6.2,Institutions et vie politique,Remplacement de Madame Josette DIAZ au sein de differentes commissions municipales et du conseil municipal d enfants,,,PREF077,2018/05/30,29,29,29,,,,81
COURTRY,21770139000015,2018-00024,2018/05/28,9.1,Autres domaines de compétence,Mise a disposition de personnel Convention a passer avec le CCAS de COURTRY,,,PREF077,2018/05/30,29,29,29,,,,82
COURTRY,21770139000015,2018-00025,2018/05/28,3.5.6,Domaine et patrimoine,Conventionnement d un logement communal en logement social,2018,,PREF077,2018/05/30,29,29,29,,,,83
COURTRY,21770139000015,2018-00026,2018/05/28,9.1,Autres domaines de compétence,Transmission par voie dematerialisee des marches publics contrat de concessions et accords cadre avenant a la convention initiale,,,PREF077,2018/05/30,29,29,29,,,,84
COURTRY,21770139000015,2018-00027,2018/05/28,5.8,Institutions et vie politique,Contentieux K E cdegres commune de Courtry Protocole d accord valant transaction,,,PREF077,2018/05/30,29,29,29,,,,85
COURTRY,21770139000015,2018-00028,2018/05/28,2.3.2,Urbanisme,Exercice du Droit de Preemption Urbain au sein de la Zone d Activite Economique de la Regale,,,PREF077,2018/05/30,29,29,24,5,,,86
COURTRY,21770139000015,2018-00029,2018/05/28,3.1.1,Domaine et patrimoine,Cession de la parcelle referencee section B numero 3737 sise lieudit La Barbotte a Marne et Chantereine Chelles Amenagement,,,PREF077,2018/05/30,29,29,29,,,,87
COURTRY,21770139000015,2018-00030,2018/05/28,3.1.1,Domaine et patrimoine,Acquisition des parcelles BC73 sise lieudit Les Buttes ZD56 sise lieudit La Basse Arange ZE14 sise lieudit La Poulaillere ,,,PREF077,2018/05/30,29,29,29,,,,88
COURTRY,21770139000015,2018-00031,2018/05/28,3.1.1,Domaine et patrimoine,Designation d un elu habilite a comparaitre a l acte d acquisition des parcelles cadastrees BC73 ZD56 et ZE14 et a passer en la forme administrative,,,PREF077,2018/05/30,29,29,29,,,,89
COURTRY,21770139000015,2018-00032,2018/05/28,7.1.2.2,Finances locales/décisions budgétaires,Subventions exceptionnelles en faveur des sections Gym agres et Ultimate frisbee Decision Modificative numero 1,,,PREF077,2018/05/30,29,29,29,,,,90
COURTRY,21770139000015,2018-00033,2018/05/28,7.1.2.2,Finances locales/décisions budgétaires,Budget Communal 2018 Decision modificative numero 2,,,PREF077,2018/05/30,29,29,29,,,,91
COURTRY,21770139000015,2018-00034,2018/05/28,5.6.2,Institutions et vie politique,Mandat a accorder au Maire pour sa participation au sejour en Angleterre,2018,,PREF077,2018/05/30,29,29,24,,5,,92
COURTRY,21770139000015,2018-00035,2018/05/28,9.1,Autres domaines de compétence,Convention avec la commune de Le Pin pour l acces des enfants au sejour organise par Courtry,2018,,PREF077,2018/05/30,29,29,29,,,,93
COURTRY,21770139000015,2018-00036,2018/05/28,9.1 ,Autres domaines de compétence,Elections professionnelles 2018 modalites de fonctionnement du Comite Technique CT et du Comite d Hygiene et de Securite au Travail CHSCT ,,,PREF077,2018/05/30,29,29,29,,,,94
COURTRY,21770139000015,2018-00037,2018/05/28,4.1.3,Fonction publique,Modification du tableau des effectifs,,,PREF077,2018/05/30,29,29,29,,,,95
COURTRY,21770139000015,2018-00038,2018/05/28,9.1,Autres domaines de compétence,Modification du reglement interieur du multi accueil La Barbotte,,,PREF077,2018/05/30,29,29,29,,,,96
COURTRY,21770139000015,2018-00039,2018/07/02,9.1,Autres domaines de compétence,Plan Communal de Sauvegarde PCS ,,,PREF077,2018/07/03,29,28,,,,,97
COURTRY,21770139000015,2018-00040,2018/07/02,8.7,Domaines de compétences par thème,Mise a disposition d un service public de velos a assistance electrique,,,PREF077,2018/07/03,29,28,28,,,,98
COURTRY,21770139000015,2018-00041,2018/07/02,8.1.4,Domaines de compétences par thème,Carte Imagin R aide financiere a accorder aux lyceens apprentis et etudiants,2018,,PREF077,2018/07/03,29,28,28,,,,99
COURTRY,21770139000015,2018-00042,2018/07/02,9.1,Autres domaines de compétence,Convention avec la commune de Le Pin pour l acces des enfants aux accueils de loisirs de Courtry,2018,,PREF077,2018/07/03,29,28,28,,,,100
COURTRY,21770139000015,2018-00043,2018/07/02,9.1,Autres domaines de compétence,Modification des reglements des ALSH dans le cadre du retour a la semaine de 4 jours,,,PREF077,2018/07/03,29,28,24,4,,,101
COURTRY,21770139000015,2018-00044,2018/07/02,8.1.2,Domaines de compétences par thème,Prise en charge des frais de fonctionnement des ecoles publiques maternelles et elementaires pour l annee scolaire 2018 2019,,,PREF077,2018/07/03,29,28,28,,,,102
COURTRY,21770139000015,2018-00045,2018/07/02,2.2.2,Urbanisme,Autorisation donnee a Monsieur le Maire de signer une demande de permis de construire pour la realisation de travaux au sein de l Eglise Saint Medard,,,PREF077,2018/07/03,29,28,28,,,,103
COURTRY,21770139000015,2018-00046,2018/07/02,8.1.4,Domaines de compétences par thème,S I C C P V Syndicat Intercommunal du College de Courtry Le Pin Villevaude dissolution du syndicat,,,PREF077,2018/07/03,29,28,28,,,,104
COURTRY,21770139000015,2018-00047,2018/07/02,4.1.1,Fonction publique,Modification du tableau des effectifs,,,PREF077,2018/07/03,29,28,28,,,,105
COURTRY,21770139000015,2018-00048,2018/07/02,8.9,Domaines de compétences par thème,Marches nocturnes modification du reglement interieur,,,PREF077,2018/07/03,29,28,28,,,,106
COURTRY,21770139000015,2018-00049,2018/09/24,7.1.2.2,Finances locales/Décisions budgétaires,Budget Communal 2018 Decision modificative numero 3,2018,,PREF077,2018/09/26,29,29,29,,,,107
COURTRY,21770139000015,2018-00050,2018/09/24,5.7.7 ,Institutions et vie politique,Contrat Intercommunal de Developpement modification du programme d actions,,,PREF077,2018/09/26,29,29,29,,,,108
COURTRY,21770139000015,2018-00051,2018/09/24,9.1,Autres domaines de compétence,Reglement General relatif a la Protection des Donnees RGPD approbation de la politique generale et de la charte pour la protection des donnees personnelles,,,PREF077,2018/09/26,29,29,29,,,,109
COURTRY,21770139000015,2018-00052,2018/09/24,5.7.7,Institutions et vie politique,Convention de participation financiere pour l entretien des espaces verts attenants a l espace culturel Simone VEIL,2018,,PREF077,2018/09/26,29,29,29,,,,110
COURTRY,21770139000015,2018-00053,2018/09/24,7.8,Finances locales,Travaux de voirie Fonds de concours a solliciter aupres de la communaute d agglomeration Paris Vallee de la Marne,2018,,PREF077,2018/09/26,29,29,29,,,,111
COURTRY,21770139000015,2018-00054,2018/09/24,3.1.1,Domaine et patrimoine,Acquisition des parcelles ZD13 sise lieudit Le Frecu et ZE50 sise lieudit Les Bonnes Vignes ,2018,,PREF077,2018/09/26,29,29,29,,,,112
COURTRY,21770139000015,2018-00055,2018/09/24,3.1.1,Domaine et patrimoine,Designation d un elu habilite a comparaitre a l acte d acquisition des parcelles cadastrees ZD13 et ZE50 a passer en la forme administrative,,,PREF077,2018/09/26,29,29,29,,,,113
COURTRY,21770139000015,2018-00056,2018/09/24,7.10.2,Finances locales,Stagiaire allocation d une prime eventuelle,2018,,PREF077,2018/09/26,29,29,29,,,,114
COURTRY,21770139000015,2018-00057,2018/09/24,4.4,Fonction publique,Contrat d engagement educatif modification du montant a allouer,2018,,PREF077,2018/09/26,29,29,29,,,,115
COURTRY,21770139000015,2018-00058,2018/09/24,4.1.1,Fonction publique,Modification du tableau des effectifs,,,PREF077,2018/09/26,29,29,29,,,,116
COURTRY,21770139000015,2018-00059,2018/09/24,5.7.7,institutions et vie politique,MOUS Chemin de l Arange convention a passer avec l Etat et Paris Vallee de la Marne,2018,,PREF077,2018/09/26,29,29,29,,,,117
COURTRY,21770139000015,2018-00060,2018/12/10,5.7.7,Institutions et vie politique,Convention a signer avec la Communaute d Agglomeration Paris Vallee de la Marne dans le cadre de la mise en oeuvre de l Open data,2018,,PREF077,2018/12/12,29,28,28,,,,118
COURTRY,21770139000015,2018-00061,2018/12/10,8.5,Domaines de compétences par thème,Convention d adhesion au Fonds de Solidarite Logement FSL annee 2018 convention a passer avec le Departement de Seine et Marne,2018,,PREF077,2018/12/12,29,28,28,,,,119
COURTRY,21770139000015,2018-00062,2018/12/10,7.1.2.4,Finances locales/Décisions budgétaires, Depenses d Investissements Exercice 2019 Autorisation pour l engagement la liquidation et le mandatement avant leur vote ,2018,,PREF077,2018/12/12,29,28,28,,,,120
COURTRY,21770139000015,2018-00063,2018/12/10,7.1.2.2,Finances locales/Décisions budgétaires,Budget Communal 2018 Decision modificative numero 4,2018,,PREF077,2018/12/12,29,28,28,,,,121
COURTRY,21770139000015,2018-00064,2018/12/10,7.3.5.1,Finances locales,: Garantie d emprunt a accorder a la societe HLM Les Foyers de Seine et Marne dans le cadre de l allongement de leurs prets ,2018,,PREF077,2018/12/12,29,28,28,,,,122
COURTRY,21770139000015,2018-00065,2018/12/10,3.3.2,Finances locales,Dedommagements financiers dans le cadre de la location d une salle festive,2018,,PREF077,2018/12/12,29,28,28,,,,123
COURTRY,21770139000015,2018-00066,2018/12/10,1.1.2.2,Commande publique,Attribution du marche public de fourniture de denrees alimentaires pour les restaurants scolaires de la commune,2018,,PREF077,2018/12/12,29,28,28,,,,124
COURTRY,21770139000015,2018-00067,2018/12/10,8.8.2,domaines de compétences par thème,Renouvellement de la CSS SUEZ Villeparisis designation des representants de la commune de Courtry,,,PREF077,2018/12/12,29,28,28,,,,125
COURTRY,21770139000015,2018-00068,2018/12/10,9.1,Autres domaines de compétence,Projet Educatif Local PEL 2018 2021,,,PREF077,2018/12/12,29,28,28,,,,126
COURTRY,21770139000015,2018-00069,2018/12/10,1.4.1,Commande publique,Approbation de la convention constitutive du groupement de commandes de diagnostics amiante et HAP dans les enrobes voirie,2018,,PREF077,2018/12/12,29,28,28,,,,127
