FID,nature,index_,nb_logmt,export,source,SHAPE_Length,SHAPE_Area
1593,Résidence,LA ROSERAIE,12,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,100.117230456704,536.374600017238
1594,SIDR,PETITE-ILE 1,6 LES,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,123.974102827634,913.8932999948
1595,SEDRE,LES EMERAUDES,43,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,563.688183119723,6159.71400000792
1596,Résidence,L' ESPLANADE,85,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,305.78091106353,3404.08470001518
1597,Résidence,FAR 2000,BUREAUX,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,133.287927928563,891.306900006053
1598,Résidence,GALLIENI, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,498.024523211396,15030.5491500526
1599,Résidence,LE FLAMBOYANT I,36,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,148.949328012655,1184.58394998392
1600,SHLMR,SALINEA,77 LLS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,506.674598155973,10206.0085999918
1601,Résidence,FLEUR DE CANNE,16,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,284.641248560378,2736.88029996628
1602,Promoteur BATIPRO,AMARANTES,141,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,230.369252692347,2887.48454998657
1603,Promoteur BATIPRO,AUBELINE,40,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,258.849304698943,4029.09775000815
1604,Résidence,LES HAUTS DE MONTGAILLARD,32,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,211.009299523014,2666.26500000418
1605,Résidence,VILLENEUVE, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,155.147330986337,1007.51244997913
1606,Promoteur SPAG,LE DIAMANT VERT,62,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,356.236339251838,5919.64960001709
1607,SIDR,CAMELIAS 034, 8,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,397.857644229326,9762.0624000054
1608,SIDR,PORQUEROLLES,35 LLTS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,162.563109749194,1535.16695002938
1609,Promoteur SCCV,MANOAH (RESIDENCE L' ALBATROS),40,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,158.561048347409,1597.07435001648
1610,Promoteur SCI,LAURENT GRANDPRE,3,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,235.394801978809,3512.72175000493
1611,Résidence,OLIVINE,29,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,123.966621570117,814.38389999732
1612,SIDR,ARMOR, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,408.384848487519,7431.96820000067
1613,SIDR,CHAUDRON 001,164,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,646.538564746393,17371.7397500417
1614,SIDR,CHAUDRON 002,164,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,460.642444369046,10000.2619999889
1615,SIDR,CHAUDRON 005,420 LLS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,484.942110749522,9956.84380004311
1616,SIDR,LA COMETE 1/2,48 LLS + 24 LLS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,520.903897841963,13428.3318499927
1617,Résidence,MACADAMIA,58,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,179.396731349369,1246.57945001221
1618,Promoteur SCCV,CAP MONTGAILLARD,27,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,107.122201776027,714.576749999084
1619,Promoteur SCI,GOLDEN TURTLE, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,75.6339116701035,318.982949993433
1620,Promoteur SCI,MAKBOULE, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,158.880509770592,1284.62435000798
1621,Promoteur SCI,AUBER, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,82.569389219596,391.136550001998
1622,Promoteur SCI,TSILAOSA,4,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,111.851323265788,623.840249990941
1623,Résidence,VALENTIN,14,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,117.562391877617,728.331650013309
1624,Résidence,PASTEUR, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,164.211118417659,1489.56690001209
1625,SHLMR,LOUIS PASTEUR,12 LLS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,127.460390425744,853.817599999656
1626,Résidence,MOGALIA, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,117.535449758637,874.003849995823
1627,Résidence,CHATEL, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,220.121923442982,1691.98419999374
1628,Résidence,MYOSOTIS,12 LOGTS + 2 COMMERCES,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,91.8339843994029,478.392599994002
1629,Résidence,LES TERRASSES DE MARIE,15,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,91.2808050263474,421.14304998602
1630,Résidence,SAINTE MARIE,29,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,238.369965024976,2493.44630000609
1631,Résidence,LA COMPAGNIE DES INDES, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,177.62091271387,1795.77744998416
1632,Résidence,DEFRESNE,12,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,102.711290045311,505.322850026075
1633,Résidence,DU BARACHOIS,48,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,208.27786753995,2235.60114996969
1634,Résidence,LA CORNICHE, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,119.14069052835,741.15389999956
1635,Résidence,FLEURIE, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,157.576498162512,1401.65464999473
1636,Résidence,DES ECOLES, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,128.580927639344,911.121000015043
1637,Résidence,LE PARC DE SAINTE MARIE,24,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,196.050626229013,1732.83119996609
1638,Résidence,LE MUSEE,52,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,225.49708065493,2176.6220999802
1639,Résidence,ROSE DES BOIS,23,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,141.071768864984,972.552699991814
1640,Résidence,ANGO,12,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,99.7295849402445,534.932900005249
1641,Résidence,LACAUSSADE, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,87.6225687806709,486.960099998817
1642,Résidence,MARGUERITES, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,97.4838880760813,529.257500014417
1643,Résidence,OZOUX, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,180.168491696644,1976.37220000768
1644,Résidence,LA RIVIERE,150,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,396.066913279981,8262.01670003714
1645,Résidence,LA CITE DES FLEURS,49,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,237.723463301831,3414.93959997088
1646,Résidence,TOURETTE 1,25,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,192.642696644777,2126.33025000891
1647,Résidence,VETYVER,40,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,156.013061556175,1502.91229999357
1648,Résidence,LES PLUIES D' OR,9,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,73.611865305494,314.844499998379
1649,Résidence,LA BRAYAUDE, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,117.212699029687,746.975600005049
1650,Résidence,LES MANGOUSTANS,9,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,81.2053132719022,387.486900003203
1651,Résidence,L' ART DE VIVRE,18,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,111.720168585598,637.02640000465
1652,Résidence,DAUPHINE,25,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,118.210644445897,841.355099999693
1653,Résidence,VERT PRES, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,126.893858664405,900.169149984112
1654,Résidence,OLYMPE 1,34,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,235.633535014562,3306.45819997276
1655,Résidence,MONTPLAISIR, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,98.9920583771107,524.117999996597
1656,Résidence,TANAGRA,9,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,78.2806151344731,362.210800000607
1657,Résidence,OLEINE,42,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,177.179933348758,1109.40025001338
1658,Résidence,LES TERRASSES DE LA PROVIDENCE,20,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,122.721089132284,921.377350012859
1659,Résidence,DE LA DELIVRANCE,10,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,89.6148703110041,401.15009999037
1660,Résidence,PAILLE EN QUEUE,36,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,236.639694935832,3143.70650001245
1661,Résidence,LE JARDIN DES SENS,34,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,201.032830123554,1930.34424998751
1662,Résidence,ANTOINE ROUSSIN,24 logts + 1 bureau,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,155.506592667766,1387.01425002729
1663,Promoteur SCI,MV,12,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,237.323291896466,1540.82844999212
1664,Promoteur SCI,ZAYOUBAYOU,BUREAUX,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,205.177899444903,2631.86559999721
