X,Y,FID,categori,nom,type,capacite,etat,adresse,gestionn,tranche_ag,hjrs_ouver,source,export
339189.85,7688878.91,40,Crèche collective,Les Petits Anges,Etablissement Associatif,40,Actuel,33 Ruelle Ave Maria - 97400 Saint-Denis,Association Notre Dame des Enfants,3 mois à 4 ans,Du lundi au vendredi de 7h00 à 17h30,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
344108.3762,7688085.75,41,Crèche collective,Les Hortensias,Etablissement Associatif,53,Actuel,17B Route de la Rivière des Pluies Résidence La Tonnelle - 97490 Sainte-Clotilde,association babyland,10 semaines à 6 ans,Du lundi au vendredi de 7h00 à 17h30,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
341936.7712,7687611.1907,42,Lieu d'Accueil,Relais Assistante Maternelle (RAM),Etablissement municipal, ,Actuel,11 Rue Pierre de Coubertin - 97490 Sainte-Clotilde,C.C.A.S. de Saint Denis, , ,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
341550.8295,7688520.8908,43,Centre multi accueil,Poucelina II - Jardin d'enfants,Etablissement Associatif,30,Actuel,51 Rue du Muscadier - 97490 Sainte-Clotilde,Ass de Poucélina,2 mois à 6 ans,Du lundi au vendredi de 7h00 à 18h15,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
341539.62,7688529.38,44,Centre multi accueil,Poucelina II,Etablissement Associatif,60,Actuel,51 Rue du Muscadier - 97490 Sainte-Clotilde,Ass de Poucélina,2 mois à 6 ans,Du lundi au vendredi de 7h00 à 18h15,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
342655.45,7686957.08,45,Micro crèche,Les Doudous,Etablissement Associatif,10,Actuel,11 Rue de la Chapelle - 97490 Sainte-Clotilde,Asso le Manège Encha,2 mois et demi à 3 ans,Du lundi au vendredi de 7h00 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
341878.86,7686131.56,46,Micro crèche,Pazapas,Etablissement Associatif,10,Actuel,112 route des Ananas - 97490 Sainte-Clotilde,Asso Pazapas,2 mois à 6 ans,Du lundi au vendredi de 7h30 à 17h30,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
338244.6,7689786.75,47,Micro crèche,Ylang ylang,Etablissement Associatif,10,Actuel,1 Rampes Ozoux - 97400 Saint-Denis,Asso Ogestras,2 mois à 4 ans,Du lundi au vendredi de 7h15 à 17h30,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
344567.2577,7686992.0545,48,Micro crèche,Le Coin des Bout Choux,Etablissement Associatif,10,Actuel,1 Impasse Paille en Queue - 97490 Sainte-Clotilde,Ass les Bout'choux,3 mois à 3 ans,Du lundi au vendredi de 7h00 à 17h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
336023.63,7689454.77,49,Crèche collective,La Montagne,Etablissement Municipal,44,Actuel,12 Chemin Bailly - 97417 La Montagne,C.C.A.S. de Saint Denis,2 mois à 4 ans,Du lundi au vendredi de 7h30 à 16h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
