OBJECTID_12,IDMC,JOUR,HEURE,SOURCE,RD,PR,INSEE,COMMUNE,COM1,COM2,COM3,COM4,ACTION,INONDES,INTERVENTI,ROUVERTE,TOTAL,INSEETXT,NUMRD,PR1,ABS,B_geodb_oi,B_OBJECTID,B_ROUTE,B_PR,B_ABS,B_CUMUL,B_CLASSEME,B_RD,B_RD_PR,geodb_oid,OBJECTID,ROUTE,CUMUL,CLASSEMENT,RD_PR,OBJECTID_1,IDROUTE,GESTION,F_overlaps,F_predicate,DATETRAVAU,JOURTRAV,DATECOMPLE,IDMC2,DATEFIN
321,513,20160602000000.000,12h03,ATO,2701,2,45302,Saran,"	oui	",fermée de l’ancienne RD 2020 Saran jusqu’au péage Nord, , ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45302,2701,"	2",0, ,7759,45 D2701,2,0,2046,Catégorie 1,2701,D2701 PR2+0,2622, ,D2701,2046,Catégorie 1,D2701 PR2+0,2622,45_D2701,45 D2701,3,20160602120300,1203,20160602,1464861780000,513,1464899940000
322,513,20160602000000.000,12h03,ATO,2701,2,45302,Saran,"	oui	",fermée de l’ancienne RD 2020 Saran jusqu’au péage Nord, , ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45302,2701,"	2",0, ,7759,45 D2701,2,0,2046,Catégorie 1,2701,D2701 PR2+0,2622, ,D2701,2046,Catégorie 1,D2701 PR2+0,2622,45_D2701,45 D2701,3,20160602120300,1203,20160602,1464861780000,513,1464899940000
323,494,20160602000000.000,12h03,ATO,2152,89,45098,Cléry et Jouy le potier,"						entre Cléry et Jouy le potier circulation rétablie", , , , , , ,CIRCULATION RETABLIE,/   /   / CIRCULATION RETABLIE,45098,18,0,0, ,5561,45 D0018,0,0,0,Catégorie 3,18,D18 PR0+0,2612, ,D2152,77779,Catégorie 1,D2152 PR89+0,2612,45_D2152,45 D2152,23,20160602120300,1203,20160602,1464861780000,494,1464899940000
324,494,20160602000000.000,12h03,ATO,2152,89,45098,Cléry et Jouy le potier,"						entre Cléry et Jouy le potier circulation rétablie", , , , , , ,CIRCULATION RETABLIE,/   /   / CIRCULATION RETABLIE,45098,18,0,0, ,5561,45 D0018,0,0,0,Catégorie 3,18,D18 PR0+0,2612, ,D2152,77779,Catégorie 1,D2152 PR89+0,2612,45_D2152,45 D2152,23,20160602120300,1203,20160602,1464861780000,494,1464899940000
325,595,20160602000000.000,15h08,ATP,2152,52,0, ,"	sec", , , , ,SEC, , ,/ SEC /   /,0,166,0,0, ,4545,45 D0166,0,0,0,Catégorie 4,166,D166 PR0+0,2612, ,D2152,48613,Catégorie 1,D2152 PR52+0,2612,45_D2152,45 D2152,36,20160602150800,1508,20160602,1464872880000,595,1464899940000
326,595,20160602000000.000,15h08,ATP,2152,52,0, ,"	sec", , , , ,SEC, , ,/ SEC /   /,0,166,0,0, ,4545,45 D0166,0,0,0,Catégorie 4,166,D166 PR0+0,2612, ,D2152,48613,Catégorie 1,D2152 PR52+0,2612,45_D2152,45 D2152,36,20160602150800,1508,20160602,1464872880000,595,1464899940000
327,620,20160602000000.000,15h08,ATP,2152,52,0, ,"	sec", , , , ,SEC, , ,/ SEC /   /,0,2152,29,0, ,7424,45 D2152,29,0,25567,Catégorie 1,2152,D2152 PR29+0,2612, ,D2152,48613,Catégorie 1,D2152 PR52+0,2612,45_D2152,45 D2152,36,20160602150800,1508,20160602,1464872880000,620,1464899940000
328,620,20160602000000.000,15h08,ATP,2152,52,0, ,"	sec", , , , ,SEC, , ,/ SEC /   /,0,2152,29,0, ,7424,45 D2152,29,0,25567,Catégorie 1,2152,D2152 PR29+0,2612, ,D2152,48613,Catégorie 1,D2152 PR52+0,2612,45_D2152,45 D2152,36,20160602150800,1508,20160602,1464872880000,620,1464899940000
329,619,20160602000000.000,15h08,ATP,2152,52,0, ,"	sec", , , , ,SEC, , ,/ SEC /   /,0,2152,27,0, ,7201,45 D2152,27,0,23546,Catégorie 1,2152,D2152 PR27+0,2612, ,D2152,48613,Catégorie 1,D2152 PR52+0,2612,45_D2152,45 D2152,36,20160602150800,1508,20160602,1464872880000,619,1464899940000
330,619,20160602000000.000,15h08,ATP,2152,52,0, ,"	sec", , , , ,SEC, , ,/ SEC /   /,0,2152,27,0, ,7201,45 D2152,27,0,23546,Catégorie 1,2152,D2152 PR27+0,2612, ,D2152,48613,Catégorie 1,D2152 PR52+0,2612,45_D2152,45 D2152,36,20160602150800,1508,20160602,1464872880000,619,1464899940000
331,617,20160602000000.000,15h08,ATP,2152,52,0, ,"	sec", , , , ,SEC, , ,/ SEC /   /,0,2152,41,0, ,6926,45 D2152,41,0,37585,Catégorie 1,2152,D2152 PR41+0,2612, ,D2152,48613,Catégorie 1,D2152 PR52+0,2612,45_D2152,45 D2152,36,20160602150800,1508,20160602,1464872880000,617,1464899940000
332,617,20160602000000.000,15h08,ATP,2152,52,0, ,"	sec", , , , ,SEC, , ,/ SEC /   /,0,2152,41,0, ,6926,45 D2152,41,0,37585,Catégorie 1,2152,D2152 PR41+0,2612, ,D2152,48613,Catégorie 1,D2152 PR52+0,2612,45_D2152,45 D2152,36,20160602150800,1508,20160602,1464872880000,617,1464899940000
333,140,20160531000000.000,15h55,ATS,2060G,91,0, ,la circulation devient également difficile sur la entre les  et 94+000,sens Montargis –Orléans. L’eau arrive sur la voie rapide après neutralisation de la voie lente., , , ,INONDES, , ,/ INONDES /   /,0,2060,93,0, ,6915,45 D2060,93,0,88814,Catégorie 1,2060,D2060 PR93+0,2611, ,D2060G,36612,Catégorie 1,D2060G PR91+0,2611,45_D2060G,45 D2060  G,28,20160531155500,1555,20160531,1464702900000,140,1464899940000
334,643,20160602000000.000,15h34,ATM,2060G,32,45338,"	Villemandeur",- Circulation rétablie sur la voie lente (sens Courtenay-Orléans), , , , , , ,CIRCULATION RETABLIE,/   /   / CIRCULATION RETABLIE,45338,2060,"	28	",0, ,7017,45 D2060,28,0,23510,Catégorie 1,2060,D2060 PR28+0,2611, ,D2060G,7551,Catégorie 1,D2060G PR32+0,2611,45_D2060G,45 D2060  G,11,20160602153400,1534,20160602,1464874440000,643,1464899940000
335,152,20160531000000.000,19h10,CER,2060,86,45273,Saint-Denis-de-l'Hôtel,: blocage prévue de la chaussée au,. Barriérage à disposer sur les échageurs de Saint-Denis-de-l'Hôtel et de Chécy (terminé à 20h50), , , ,INONDES, , ,/ INONDES /   /,45273,2060,82,0, ,7782,45 D2060,82,0,77798,Catégorie 1,2060,D2060 PR82+0,2610, ,D2060,81806,Catégorie 1,D2060 PR86+0,2610,45_D2060,45 D2060,81,20160531191000,1910,20160531,1464714600000,152,1464899940000
336,643,20160602000000.000,15h34,ATM,2060,86,45338,"	Villemandeur",- Circulation rétablie sur la voie lente (sens Courtenay-Orléans), , , , , , ,CIRCULATION RETABLIE,/   /   / CIRCULATION RETABLIE,45338,2060,"	28	",0, ,7017,45 D2060,28,0,23510,Catégorie 1,2060,D2060 PR28+0,2610, ,D2060,81806,Catégorie 1,D2060 PR86+0,2610,45_D2060,45 D2060,81,20160602153400,1534,20160602,1464874440000,643,1464899940000
337,140,20160531000000.000,15h55,ATS,2060,86,0, ,la circulation devient également difficile sur la entre les  et 94+000,sens Montargis –Orléans. L’eau arrive sur la voie rapide après neutralisation de la voie lente., , , ,INONDES, , ,/ INONDES /   /,0,2060,93,0, ,6915,45 D2060,93,0,88814,Catégorie 1,2060,D2060 PR93+0,2610, ,D2060,81806,Catégorie 1,D2060 PR86+0,2610,45_D2060,45 D2060,81,20160531155500,1555,20160531,1464702900000,140,1464899940000
338,140,20160531000000.000,15h55,ATS,2060,86,0, ,la circulation devient également difficile sur la entre les  et 94+000,sens Montargis –Orléans. L’eau arrive sur la voie rapide après neutralisation de la voie lente., , , ,INONDES, , ,/ INONDES /   /,0,2060,93,0, ,6915,45 D2060,93,0,88814,Catégorie 1,2060,D2060 PR93+0,2610, ,D2060,81806,Catégorie 1,D2060 PR86+0,2610,45_D2060,45 D2060,81,20160531155500,1555,20160531,1464702900000,140,1464899940000
339,152,20160531000000.000,19h10,CER,2060,86,45273,Saint-Denis-de-l'Hôtel,: blocage prévue de la chaussée au,. Barriérage à disposer sur les échageurs de Saint-Denis-de-l'Hôtel et de Chécy (terminé à 20h50), , , ,INONDES, , ,/ INONDES /   /,45273,2060,82,0, ,7782,45 D2060,82,0,77798,Catégorie 1,2060,D2060 PR82+0,2610, ,D2060,81806,Catégorie 1,D2060 PR86+0,2610,45_D2060,45 D2060,81,20160531191000,1910,20160531,1464714600000,152,1464899940000
340,644,20160602000000.000,15h34,ATM,2060,86,45247,"	Pannes",- Route barrée et déviée au niveau de l'échangeur A77 (sens Orléans-Courtenay), , , ,ROUTES BARREES, ,DEVIATION, ,ROUTES BARREES /   / DEVIATION /,45247,2060,"	36	",0, ,6848,45 D2060,36,0,32602,Catégorie 1,2060,D2060 PR36+0,2610, ,D2060,81806,Catégorie 1,D2060 PR86+0,2610,45_D2060,45 D2060,81,20160602153400,1534,20160602,1464874440000,644,1464899940000
341,644,20160602000000.000,15h34,ATM,2060,86,45247,"	Pannes",- Route barrée et déviée au niveau de l'échangeur A77 (sens Orléans-Courtenay), , , ,ROUTES BARREES, ,DEVIATION, ,ROUTES BARREES /   / DEVIATION /,45247,2060,"	36	",0, ,6848,45 D2060,36,0,32602,Catégorie 1,2060,D2060 PR36+0,2610, ,D2060,81806,Catégorie 1,D2060 PR86+0,2610,45_D2060,45 D2060,81,20160602153400,1534,20160602,1464874440000,644,1464899940000
342,486,20160602000000.000,11h48,ATM,2060,86,45247,Pannes,- Route barrée et déviée au niveau de l'échangeur A77 (sens Orléans-Courtenay), , , ,ROUTES BARREES, ,DEVIATION, ,ROUTES BARREES /   / DEVIATION /,45247,2060,32,0, ,7217,45 D2060,32,0,28592,Catégorie 1,2060,D2060 PR32+0,2610, ,D2060,81806,Catégorie 1,D2060 PR86+0,2610,45_D2060,45 D2060,81,20160602114800,1148,20160602,1464860880000,486,1464899940000
343,154,20160531000000.000,1h15,COG,2060,86,0, ,(radar automatique) 10 cm d'eau sur la chaussée sur 50 m de long, , , , ,INONDES, , ,/ INONDES /   /,0,2060,66,0, ,7330,45 D2060,66,0,61783,Catégorie 1,2060,D2060 PR66+0,2610, ,D2060,81806,Catégorie 1,D2060 PR86+0,2610,45_D2060,45 D2060,81,2016053111500,115,20160531,1464688200000,154,1464899940000
344,163,20160531000000.000,23h30,ATM,2060,86,45338,Villemandeur,à Villemandeur : débordement du Solin au PR 31 dans le sens Orléans-Montargis, , , , ,EAU SUR CHAUSSEE, , ,/ EAU SUR CHAUSSEE /   /,45338,2060,31,0, ,7916,45 D2060,31,0,27242,Catégorie 1,2060,D2060 PR31+0,2610, ,D2060,81806,Catégorie 1,D2060 PR86+0,2610,45_D2060,45 D2060,81,20160531233000,2330,20160531,1464730200000,163,1464899940000
345,154,20160531000000.000,1h15,COG,2060,86,0, ,(radar automatique) 10 cm d'eau sur la chaussée sur 50 m de long, , , , ,INONDES, , ,/ INONDES /   /,0,2060,66,0, ,7330,45 D2060,66,0,61783,Catégorie 1,2060,D2060 PR66+0,2610, ,D2060,81806,Catégorie 1,D2060 PR86+0,2610,45_D2060,45 D2060,81,2016053111500,115,20160531,1464688200000,154,1464899940000
346,486,20160602000000.000,11h48,ATM,2060,86,45247,Pannes,- Route barrée et déviée au niveau de l'échangeur A77 (sens Orléans-Courtenay), , , ,ROUTES BARREES, ,DEVIATION, ,ROUTES BARREES /   / DEVIATION /,45247,2060,32,0, ,7217,45 D2060,32,0,28592,Catégorie 1,2060,D2060 PR32+0,2610, ,D2060,81806,Catégorie 1,D2060 PR86+0,2610,45_D2060,45 D2060,81,20160602114800,1148,20160602,1464860880000,486,1464899940000
347,487,20160602000000.000,11h48,ATM,2060,12,45004,Amilly,- Circulation rétablie avec dévoiement dans les 2 sens, , , , , , ,CIRCULATION RETABLIE,/   /   / CIRCULATION RETABLIE,45004,2060,24,0, ,7595,45 D2060,24,0,18372,Catégorie 1,2060,D2060 PR24+0,2610, ,D2060,6568,Catégorie 1,D2060 PR12+0,2610,45_D2060,45 D2060,26,20160602114800,1148,20160602,1464860880000,487,1464899940000
348,646,20160602000000.000,15h34,ATM,2060,12,45004,Amilly,"- Echangeur Maltaverne réouvert,  pompes en marche forcée jusqu’à nouvel ordre,", ,"- Echangeur Maltaverne réouvert,  pompes en marche forcée jusqu’à nouvel ordre,", , , , ,ROUTES OUVERTES,/   /   / ROUTES OUVERTES,45004,2060,"	22",0, ,7438,45 D2060,22,0,16369,Catégorie 1,2060,D2060 PR22+0,2610, ,D2060,6568,Catégorie 1,D2060 PR12+0,2610,45_D2060,45 D2060,26,20160602153400,1534,20160602,1464874440000,646,1464899940000
349,487,20160602000000.000,11h48,ATM,2060,12,45004,Amilly,- Circulation rétablie avec dévoiement dans les 2 sens, , , , , , ,CIRCULATION RETABLIE,/   /   / CIRCULATION RETABLIE,45004,2060,24,0, ,7595,45 D2060,24,0,18372,Catégorie 1,2060,D2060 PR24+0,2610, ,D2060,6568,Catégorie 1,D2060 PR12+0,2610,45_D2060,45 D2060,26,20160602114800,1148,20160602,1464860880000,487,1464899940000
350,646,20160602000000.000,15h34,ATM,2060,12,45004,Amilly,"- Echangeur Maltaverne réouvert,  pompes en marche forcée jusqu’à nouvel ordre,", ,"- Echangeur Maltaverne réouvert,  pompes en marche forcée jusqu’à nouvel ordre,", , , , ,ROUTES OUVERTES,/   /   / ROUTES OUVERTES,45004,2060,"	22",0, ,7438,45 D2060,22,0,16369,Catégorie 1,2060,D2060 PR22+0,2610, ,D2060,6568,Catégorie 1,D2060 PR12+0,2610,45_D2060,45 D2060,26,20160602153400,1534,20160602,1464874440000,646,1464899940000
351,24,20160531000000.000,10h30, ,2060,12,45073,Chantecoq:,Lieu dit les Haricots commune de  Route fermée dans le, , , ,ROUTES BARREES, , , ,ROUTES BARREES /   /   /,45073,2060,10,0, ,6996,45 D2060,10,0,4566,Catégorie 1,2060,D2060 PR10+0,2610, ,D2060,6568,Catégorie 1,D2060 PR12+0,2610,45_D2060,45 D2060,26,20160531103000,1030,20160531,1464683400000,24,1464899940000
352,484,20160602000000.000,11h48,ATM,2060,12,45073,Chantecoq,"à proximité du lieu dit les Haricots, l'eau remonte  sur la voirie","	Commune de", , , ,INONDES, , ,/ INONDES /   /,45073,2060,11,0, ,7564,45 D2060,11,0,5566,Catégorie 1,2060,D2060 PR11+0,2610, ,D2060,6568,Catégorie 1,D2060 PR12+0,2610,45_D2060,45 D2060,26,20160602114800,1148,20160602,1464860880000,484,1464899940000
353,484,20160602000000.000,11h48,ATM,2060,12,45073,Chantecoq,"à proximité du lieu dit les Haricots, l'eau remonte  sur la voirie","	Commune de", , , ,INONDES, , ,/ INONDES /   /,45073,2060,11,0, ,7564,45 D2060,11,0,5566,Catégorie 1,2060,D2060 PR11+0,2610, ,D2060,6568,Catégorie 1,D2060 PR12+0,2610,45_D2060,45 D2060,26,20160602114800,1148,20160602,1464860880000,484,1464899940000
354,512,20160602000000.000,12h03,ATO,902037,1,45146,La Ferté Saint Aubin,"	PL	",traverse de La Ferté Saint Aubin chaussée inondée Circulation ouverte au VL uniquement, , , ,INONDES, ,ROUTES OUVERTES,/ INONDES /   / ROUTES OUVERTES,45146,2020,"	52",0, ,7968,45 D2020,52,0,41020,Catégorie 1,2020,D2020 PR52+0,2608, ,D2020,0,Catégorie 1,D902037 PR1+0,2608,45_D2020,45 D2020,18,20160602120300,1203,20160602,1464861780000,512,1464899940000
355,512,20160602000000.000,12h03,ATO,902037,1,45146,La Ferté Saint Aubin,"	PL	",traverse de La Ferté Saint Aubin chaussée inondée Circulation ouverte au VL uniquement, , , ,INONDES, ,ROUTES OUVERTES,/ INONDES /   / ROUTES OUVERTES,45146,2020,"	52",0, ,7968,45 D2020,52,0,41020,Catégorie 1,2020,D2020 PR52+0,2608, ,D2020,0,Catégorie 1,D902037 PR1+0,2608,45_D2020,45 D2020,18,20160602120300,1203,20160602,1464861780000,512,1464899940000
356,511,20160602000000.000,12h03,ATO,2020,12,45062,Cercottes,"	PL	",entre Chevilly et Cercottes chaussée  inondée circulation difficile, , , ,INONDES, , ,/ INONDES /   /,45062,2020,"	19",0, ,6883,45 D2020,19,0,19231,Catégorie 1,2020,D2020 PR19+0,2608, ,D2020,12220,Catégorie 1,D2020 PR12+0,2608,45_D2020,45 D2020,25,20160602120300,1203,20160602,1464861780000,511,1464899940000
357,642,20160602000000.000,15h34,ATM,2007,31,45127,Dordives,"	Traversée de Dordives", , , , ,INONDES, , ,/ INONDES /   /,45127,2007,"	3",0, ,7369,45 D2007,3,0,3010,Catégorie 1,2007,D2007 PR3+0,2607, ,D2007,32153,Catégorie 1,D2007 PR31+0,2607,45_D2007,45 D2007,80,20160602153400,1534,20160602,1464874440000,642,1464899940000
358,77,20160531000000.000,12h54, ,2007,31,45229,Nogent sur Vernisson,Nogent sur Vernisson au carrefour avec RD 627 route barrée, , , ,ROUTES BARREES, , , ,ROUTES BARREES /   /   /,45229,617,0,0, ,6426,45 D0617,0,0,0,Catégorie 4,617,D617 PR0+0,2607, ,D2007,32153,Catégorie 1,D2007 PR31+0,2607,45_D2007,45 D2007,80,20160531125400,1254,20160531,1464692040000,77,1464899940000
359,94,20160531000000.000,12h54, ,2007,31,0, ,PR 0+700 Inondée pas de panneaux, , , , ,INONDES,PAS DE PANNEAUX, ,/ INONDES / PAS DE PANNEAUX /,0,835,0,0, ,7898,45 D0835,0,0,0,Catégorie 4,835,D835 PR0+0,2607, ,D2007,32153,Catégorie 1,D2007 PR31+0,2607,45_D2007,45 D2007,80,20160531125400,1254,20160531,1464692040000,94,1464899940000
360,77,20160531000000.000,12h54, ,2007,31,45229,Nogent sur Vernisson,Nogent sur Vernisson au carrefour avec RD 627 route barrée, , , ,ROUTES BARREES, , , ,ROUTES BARREES /   /   /,45229,617,0,0, ,6426,45 D0617,0,0,0,Catégorie 4,617,D617 PR0+0,2607, ,D2007,32153,Catégorie 1,D2007 PR31+0,2607,45_D2007,45 D2007,80,20160531125400,1254,20160531,1464692040000,77,1464899940000
361,94,20160531000000.000,12h54, ,2007,31,0, ,PR 0+700 Inondée pas de panneaux, , , , ,INONDES,PAS DE PANNEAUX, ,/ INONDES / PAS DE PANNEAUX /,0,835,0,0, ,7898,45 D0835,0,0,0,Catégorie 4,835,D835 PR0+0,2607, ,D2007,32153,Catégorie 1,D2007 PR31+0,2607,45_D2007,45 D2007,80,20160531125400,1254,20160531,1464692040000,94,1464899940000
362,266,20160602000000.000,6h08,ATP,975,8,45031,Bellegarde,inondée sur une 1/2 chaussée entre « Le Pavé de  Mézière » et Bellegarde, , , , ,INONDES, , ,/ INONDES /   /,45031,975,3,0, ,8000,45 D0975,3,0,2965,Catégorie 2,975,D975 PR3+0,2606, ,D975,8008,Catégorie 2,D975 PR8+0,2606,45_D975,45 D0975,15,20160602060800,0608,20160602,1464840480000,266,1464899940000
363,266,20160602000000.000,6h08,ATP,975,8,45031,Bellegarde,inondée sur une 1/2 chaussée entre « Le Pavé de  Mézière » et Bellegarde, , , , ,INONDES, , ,/ INONDES /   /,45031,975,3,0, ,8000,45 D0975,3,0,2965,Catégorie 2,975,D975 PR3+0,2606, ,D975,8008,Catégorie 2,D975 PR8+0,2606,45_D975,45 D0975,15,20160602060800,0608,20160602,1464840480000,266,1464899940000
364,641,20160602000000.000,15h34,ATM,961,1,45338,Villemandeur,- route barré dans les 2 sens non circulable déviée par RD39, , , ,ROUTES BARREES,NON CIRCULABLE,DEVIATION, ,ROUTES BARREES / NON CIRCULABLE / DEVIATION /,45338,961,"	1",0, ,7689,45 D0961,1,0,4731,Catégorie 2,961,D961 PR1+0,2602, ,D961,4731,Catégorie 2,D961 PR1+0,2602,45_D961,45 D0961,37,20160602153400,1534,20160602,1464874440000,641,1464899940000
365,641,20160602000000.000,15h34,ATM,961,1,45338,Villemandeur,- route barré dans les 2 sens non circulable déviée par RD39, , , ,ROUTES BARREES,NON CIRCULABLE,DEVIATION, ,ROUTES BARREES / NON CIRCULABLE / DEVIATION /,45338,961,"	1",0, ,7689,45 D0961,1,0,4731,Catégorie 2,961,D961 PR1+0,2602, ,D961,4731,Catégorie 2,D961 PR1+0,2602,45_D961,45 D0961,37,20160602153400,1534,20160602,1464874440000,641,1464899940000
366,640,20160602000000.000,15h34,ATM,943,20,45004,Amilly,- Circulation rétablie avec un alternat B15 C18, , , ,ALTERNAT, , ,CIRCULATION RETABLIE,ALTERNAT /   /   / CIRCULATION RETABLIE,45004,943,"	2",0, ,7078,45 D0943,2,0,2000,Catégorie 1,943,D943 PR2+0,2595, ,D943,20005,Catégorie 1,D943 PR20+0,2595,45_D943,45 D0943,34,20160602153400,1534,20160602,1464874440000,640,1464899940000
367,640,20160602000000.000,15h34,ATM,943,20,45004,Amilly,- Circulation rétablie avec un alternat B15 C18, , , ,ALTERNAT, , ,CIRCULATION RETABLIE,ALTERNAT /   /   / CIRCULATION RETABLIE,45004,943,"	2",0, ,7078,45 D0943,2,0,2000,Catégorie 1,943,D943 PR2+0,2595, ,D943,20005,Catégorie 1,D943 PR20+0,2595,45_D943,45 D0943,34,20160602153400,1534,20160602,1464874440000,640,1464899940000
368,407,20160602000000.000,10h55,ATO,922,2,0, ,route barrée  circulation normale, , , ,ROUTES BARREES, , ,CIRCULATION NORMALE,ROUTES BARREES /   /   / CIRCULATION NORMALE,0,922,3,0, ,7327,45 D0922,3,0,2674,Catégorie 3,922,D922 PR3+0,2585, ,D922,1671,Catégorie 3,D922 PR2+0,2585,45_D922,45 D0922,5,20160602105500,1055,20160602,1464857700000,407,1464899940000
369,407,20160602000000.000,10h55,ATO,922,2,0, ,route barrée  circulation normale, , , ,ROUTES BARREES, , ,CIRCULATION NORMALE,ROUTES BARREES /   /   / CIRCULATION NORMALE,0,922,3,0, ,7327,45 D0922,3,0,2674,Catégorie 3,922,D922 PR3+0,2585, ,D922,1671,Catégorie 3,D922 PR2+0,2585,45_D922,45 D0922,5,20160602105500,1055,20160602,1464857700000,407,1464899940000
370,95,20160531000000.000,12h54, ,835,7,0, ,Inondée pas de panneaux, , , , ,INONDES,PAS DE PANNEAUX, ,/ INONDES / PAS DE PANNEAUX /,0,835,6,0, ,7076,45 D0835,6,0,5997,Catégorie 4,835,D835 PR6+0,2570, ,D835,6997,Catégorie 4,D835 PR7+0,2570,45_D835,45 D0835,10,20160531125400,1254,20160531,1464692040000,95,1464899940000
371,95,20160531000000.000,12h54, ,835,7,0, ,Inondée pas de panneaux, , , , ,INONDES,PAS DE PANNEAUX, ,/ INONDES / PAS DE PANNEAUX /,0,835,6,0, ,7076,45 D0835,6,0,5997,Catégorie 4,835,D835 PR6+0,2570, ,D835,6997,Catégorie 4,D835 PR7+0,2570,45_D835,45 D0835,10,20160531125400,1254,20160531,1464692040000,95,1464899940000
372,94,20160531000000.000,12h54, ,835,7,0, ,PR 0+700 Inondée pas de panneaux, , , , ,INONDES,PAS DE PANNEAUX, ,/ INONDES / PAS DE PANNEAUX /,0,835,0,0, ,7898,45 D0835,0,0,0,Catégorie 4,835,D835 PR0+0,2570, ,D835,6997,Catégorie 4,D835 PR7+0,2570,45_D835,45 D0835,10,20160531125400,1254,20160531,1464692040000,94,1464899940000
373,604,20160602000000.000,15h08,ATP,833,3,0, ,sec, , , , ,SEC, , ,/ SEC /   /,0,833,2,0, ,7632,45 D0833,2,0,1943,Catégorie 4,833,D833 PR2+0,2568, ,D833,2941,Catégorie 4,D833 PR3+0,2568,45_D833,45 D0833,6,20160602150800,1508,20160602,1464872880000,604,1464899940000
374,604,20160602000000.000,15h08,ATP,833,3,0, ,sec, , , , ,SEC, , ,/ SEC /   /,0,833,2,0, ,7632,45 D0833,2,0,1943,Catégorie 4,833,D833 PR2+0,2568, ,D833,2941,Catégorie 4,D833 PR3+0,2568,45_D833,45 D0833,6,20160602150800,1508,20160602,1464872880000,604,1464899940000
375,603,20160602000000.000,15h08,ATP,831,0,0, ,"	route barrée", , , ,ROUTES BARREES, , , ,ROUTES BARREES /   /   /,0,831,0,0, ,7785,45 D0831,0,0,0,Catégorie 4,831,D831 PR0+0,2567, ,D831,0,Catégorie 4,D831 PR0+0,2567,45_D831,45 D0831,4,20160602150800,1508,20160602,1464872880000,603,1464899940000
376,265,20160602000000.000,6h08,ATP,831,0,45191,Malesherbes,balisage en cours pour prévenir du débordement de l'Essonne à Butier (77). Contacter CD 77 pour info situation, , , , , ,BALISAGE, ,/   / BALISAGE /,45191,948,2,0, ,6999,45 D0948,2,0,2102,Catégorie 2,948,D948 PR2+0,2567, ,D831,0,Catégorie 4,D831 PR0+0,2567,45_D831,45 D0831,4,20160602060800,0608,20160602,1464840480000,265,1464899940000
377,93,20160531000000.000,12h54, ,816,5,0, ,Route barrée, , , ,ROUTES BARREES, , , ,ROUTES BARREES /   /   /,0,816,3,0, ,6650,45 D0816,3,0,3021,Catégorie 4,816,D816 PR3+0,2558, ,D816,5021,Catégorie 4,D816 PR5+0,2558,45_D816,45 D0816,6,20160531125400,1254,20160531,1464692040000,93,1464899940000
378,93,20160531000000.000,12h54, ,816,5,0, ,Route barrée, , , ,ROUTES BARREES, , , ,ROUTES BARREES /   /   /,0,816,3,0, ,6650,45 D0816,3,0,3021,Catégorie 4,816,D816 PR3+0,2558, ,D816,5021,Catégorie 4,D816 PR5+0,2558,45_D816,45 D0816,6,20160531125400,1254,20160531,1464692040000,93,1464899940000
379,506,20160602000000.000,12h03,ATO,809,0,0, ,"	oui	",chaussée inondée route barrée, , ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,0,809,"	2",0, ,6251,45 D0809,2,0,2000,Catégorie 4,809,D809 PR2+0,2555, ,D809,0,Catégorie 4,D809 PR0+0,2555,45_D809,45 D0809,3,20160602120300,1203,20160602,1464861780000,506,1464899940000
380,506,20160602000000.000,12h03,ATO,809,0,0, ,"	oui	",chaussée inondée route barrée, , ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,0,809,"	2",0, ,6251,45 D0809,2,0,2000,Catégorie 4,809,D809 PR2+0,2555, ,D809,0,Catégorie 4,D809 PR0+0,2555,45_D809,45 D0809,3,20160602120300,1203,20160602,1464861780000,506,1464899940000
381,638,20160602000000.000,15h34,ATM,840,0,45061,"	Cepoy", , , , , ,INONDES, , ,/ INONDES /   /,45061,740,"	1",0, ,5148,45 D0740,1,0,997,Catégorie 4,740,D740 PR1+0,2544, ,D740,0,Catégorie 4,D840 PR0+0,2544,45_D740,45 D0740,6,20160602153400,1534,20160602,1464874440000,638,1464899940000
382,638,20160602000000.000,15h34,ATM,840,0,45061,"	Cepoy", , , , , ,INONDES, , ,/ INONDES /   /,45061,740,"	1",0, ,5148,45 D0740,1,0,997,Catégorie 4,740,D740 PR1+0,2544, ,D740,0,Catégorie 4,D840 PR0+0,2544,45_D740,45 D0740,6,20160602153400,1534,20160602,1464874440000,638,1464899940000
383,505,20160602000000.000,12h03,ATO,702,1,45154,Gidy,"	oui	",entre Gidy et Centre pénitencier chaussée inondée route barrée., , ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45154,702,"	7",0, ,6096,45 D0702,7,0,7008,Catégorie 3,702,D702 PR7+0,2532, ,D702,980,Catégorie 3,D702 PR1+0,2532,45_D702,45 D0702,7,20160602120300,1203,20160602,1464861780000,505,1464899940000
