Maison des Associations;Date ;Heure de début;Heure de fin;Activité;Type de réservation;Association
GARIBALDI;22/02/2016;16H00;18H00;ENSEIGNEMENT;COURS;ASSOUCIACIOUN DOU MALOUNAT
GARIBALDI;22/02/2016;17H00;19H00;DANSE ;COURS;OKINAWA
GARIBALDI;22/02/2016;17H00;20H00;ORGANISME PUBLIC;CONFERENCE;MAIRIE DE NICE
GARIBALDI;22/02/2016;18H00;20H00;SANTE;ATELIER;L'ECOLE DE LA VIE
GARIBALDI;22/02/2016;18H00;20H00;SOCIAL;PERMANENCE;ASSOCIATION PAIZO
GARIBALDI;22/02/2016;19H00;21H00;CULTURE;COURS;ASSOCIATION FRANCE-JAPON - CHAIRE KAWABATA
GARIBALDI;22/02/2016;19H00;20H00;ACTIVITE BIEN ETRE;COURS;MANGALAM
GARIBALDI;22/02/2016;20H00;21H00;SPORT;ANIMATION;LA GYM SUEDOISE NICE 
GARIBALDI;23/02/2016;09H00;12H00;SOCIAL;REUNION;AS3P - ASSOCIATION DE SUIVI PSYCHOLOGIQUE POST-PENAL  
GARIBALDI;23/02/2016;10H00;11H00;SOCIAL;DIVERS;SOS AMITIE NICE COTE D'AZUR
GARIBALDI;23/02/2016;11H00;13H00;CULTURE;REUNION;ASCA - AMICALE DES SAVOYARDS DE LA COTE D'AZUR 
GARIBALDI;23/02/2016;12H00;14H00;LOISIRS;COURS;PLUMALIRE
GARIBALDI;23/02/2016;12H00;14H00;ACTIVITE BIEN ETRE;COURS;AZUR TAI CHI ASSOCIATION CULTURELLE ETHIQUE ET SOLIDAIRE EN PROVENCE ALPES COTE D'AZUR
GARIBALDI;23/02/2016;14H00;16H00;CULTURE;ATELIER;ASSOCIATION FRANCE-JAPON - CHAIRE KAWABATA
GARIBALDI;23/02/2016;14H00;17H00;CULTURE;REUNION;ACFI - ASSOCIATION CULTURELLE FRANCO ITALIENNE
GARIBALDI;23/02/2016;14H00;18H00;SOCIAL;REUNION;AS3P - ASSOCIATION DE SUIVI PSYCHOLOGIQUE POST-PENAL  
GARIBALDI;23/02/2016;14H00;17H00;SANTE;ATELIER;GROUPEMENT DE PARKINSONIENS DES ALPES-MARITIMES ET PACA - GPAM PACA
GARIBALDI;23/02/2016;17H00;19H00;CULTURE;COURS;ACFI - ASSOCIATION CULTURELLE FRANCO ITALIENNE
