objectid,inseecom,commune,date_maj,nom,st_areashape,st_lengthshape
1036,90072,MORVILLARS,2020/01/29 00:00:00+00, ,215.575306225,64.4079294922589
1037,90010,BELFORT,2020/01/29 00:00:00+00, ,5393.08828293,1401.87957195681
1038,90010,BELFORT,2020/01/29 00:00:00+00, ,29946.481201605,6674.47827601117
1039,90087,ROPPE,2020/01/29 00:00:00+00, ,311.25467535,145.818464048028
1040,90010,BELFORT,2020/01/29 00:00:00+00, ,3584.32763698,724.203757175955
1041,90010,BELFORT,2020/01/29 00:00:00+00, ,17089.26174152,3225.03817142956
1042,90008,BAVILLIERS,2020/01/29 00:00:00+00, ,8467.9329016,1693.33850931094
1043,90037,ELOIE,2020/01/29 00:00:00+00,Pont,37.622349755,27.1745921281323
1044,90010,BELFORT,2020/01/29 00:00:00+00, ,1573.37829038,203.533660030893
1045,90010,BELFORT,2020/01/29 00:00:00+00, ,2752.8227059,585.517027440472
1046,90010,BELFORT,2020/01/29 00:00:00+00, ,5369.904495835,1084.8395874352
1048,90010,BELFORT,2020/01/29 00:00:00+00, ,2043.740237125,447.16805485106
1049,90037,ELOIE,2020/01/29 00:00:00+00, ,29044.553585735,6965.87814598357
1050,90010,BELFORT,2020/01/29 00:00:00+00, ,2401.03746268,371.23964748111
1051,90010,BELFORT,2020/01/29 00:00:00+00, ,17565.044157005,2444.94712447189
1052,90026,CHEVREMONT,2020/01/29 00:00:00+00, ,1456.44794533,656.064319377938
1054,90010,BELFORT,2020/01/29 00:00:00+00, ,1956.139678105,413.589860542205
1055,90087,ROPPE,2020/01/29 00:00:00+00, ,671.87533014,204.646021035714
1056,90010,BELFORT,2020/01/29 00:00:00+00, ,2680.792434205,577.837021668893
1057,90008,BAVILLIERS,2020/01/29 00:00:00+00, ,5035.15613191,718.47549872209
1058,90010,BELFORT,2020/01/29 00:00:00+00, ,1028.046167905,231.266159754622
1060,90010,BELFORT,2020/01/29 00:00:00+00, ,3959.52714363,730.567201230841
1061,90010,BELFORT,2020/01/29 00:00:00+00, ,11209.756460555,1845.62399812431
1063,90026,CHEVREMONT,2020/01/29 00:00:00+00, ,12417.264016905,3455.27053053315
1064,90010,BELFORT,2020/01/29 00:00:00+00, ,3333.02533,937.203452898262
1065,90010,BELFORT,2020/01/29 00:00:00+00, ,6971.25622968,983.470384666334
1066,90010,BELFORT,2020/01/29 00:00:00+00, ,988.77023947,291.697306073165
1067,90037,ELOIE,2020/01/29 00:00:00+00,Pont,152.721766885,50.8268173992315
1068,90010,BELFORT,2020/01/29 00:00:00+00, ,14568.04471555,2274.95981631666
1069,90010,BELFORT,2020/01/29 00:00:00+00, ,22953.935323725,2535.2295259472
1070,90008,BAVILLIERS,2020/01/29 00:00:00+00, ,3909.79873191,884.932879231454
1071,90010,BELFORT,2020/01/29 00:00:00+00, ,1265.59127541,220.40990562437
1072,90010,BELFORT,2020/01/29 00:00:00+00, ,2860.711461805,495.334361621239
1074,90010,BELFORT,2020/01/29 00:00:00+00, ,4849.62372489,867.432512217565
1075,90010,BELFORT,2020/01/29 00:00:00+00, ,5469.47302379,1015.67630282091
1076,90010,BELFORT,2020/01/29 00:00:00+00, ,6043.048990565,957.531548746819
1077,90010,BELFORT,2020/01/29 00:00:00+00, ,9702.570453985,1976.95379037871
1078,90087,ROPPE,2020/01/29 00:00:00+00, ,17676.83592443,4382.77244448585
1079,90008,BAVILLIERS,2020/01/29 00:00:00+00, ,1447.746930745,569.082865589407
1080,90010,BELFORT,2020/01/29 00:00:00+00, ,520.597172275,157.940045904855
