X,Y,objectid,commune,inseecom,date_maj,quartier,date_install,periodicite_ramassage,equipe,adresse,globalid
1989004.4955,7166541.2684,5083,,,1970/01/01 00:00:00+00,Résidences Bellevue,1970/01/01 00:00:00+00,,,,{BB1DF0D3-CC6B-4A8F-BA03-A03AFB8EB3D3}
1989124.0874,7166648.1602,5084,,,1970/01/01 00:00:00+00,Résidences Bellevue,1970/01/01 00:00:00+00,,,,{F510CDED-FAE9-4A30-92C1-81E2BEAF8A45}
1988399.3549,7166782.6695,5085,,,1970/01/01 00:00:00+00,Résidences Bellevue,1970/01/01 00:00:00+00,,,,{8414014A-CD9B-4751-8C9B-2C9D7D7BFAD7}
1989621.6154,7166695.0074,5086,Belfort,90010,2011/07/13 00:00:00+00,Centre Ville Fbg de Montbéliard,1970/01/01 00:00:00+00,, , ,{3FD78AC9-34CA-403E-B02D-138FCC2AEB8E}
1989538.2206,7166763.7353,5087,Belfort,90010,2011/07/13 00:00:00+00,Centre Ville Fbg de Montbéliard,1970/01/01 00:00:00+00,, , ,{C5628AEE-8E29-4040-B858-8896AE6CEB74}
1989465.0963,7166863.3284,5089,Belfort,90010,2011/07/13 00:00:00+00,Centre Ville Fbg de Montbéliard,1970/01/01 00:00:00+00,, , ,{3883A2AF-E431-4BEC-96E6-FC40188A8621}
1989462.5503,7167031.9757,5090,Belfort,90010,2011/07/13 00:00:00+00,Centre Ville Fbg de Montbéliard,1970/01/01 00:00:00+00,, , ,{677B01B8-CEBF-4A2A-8995-DCAE7AD437B4}
1989368.4978,7167100.7417,5091,Belfort,90010,2011/07/13 00:00:00+00,Centre Ville Fbg de Montbéliard,1970/01/01 00:00:00+00,, , ,{BA643E1B-F295-4201-878D-C3024895491B}
1989282.7914,7166099.1909,5492,,,1970/01/01 00:00:00+00,La Pépinière,1970/01/01 00:00:00+00,,,,{5B8F43BF-1533-4E25-B225-1B7F8C0D5065}
1989593.5397,7168431.1606,5493,,,1970/01/01 00:00:00+00,Miotte - Forges,1970/01/01 00:00:00+00,,,,{E5D2AA54-806A-4B33-A92A-DDCD4E7248BE}
1989881.9433,7166144.1303,5892,,,2019/12/13 00:00:00+00,Centre Ville Fbg de Montbéliard,1970/01/01 00:00:00+00,,,"17, rue Dauphin",{2DCCCA90-1F5B-49C0-8894-F9315885BA88}
1989583.1249,7168631.9724,6292,,,1970/01/01 00:00:00+00,Miotte - Forges,1970/01/01 00:00:00+00,,,,{EF725631-CBF8-4F74-97AE-26F958BDF00B}
1989683.3665,7168784.81,6295,,,1970/01/01 00:00:00+00,Miotte - Forges,1970/01/01 00:00:00+00,,,,{5D1DB0D8-A342-4BD5-A3C6-A80985719A45}
1988236.2037,7168996.7478,6693,BELFORT,,1970/01/01 00:00:00+00,Belfort Nord,1970/01/01 00:00:00+00,,,"7, rue Winston Churchill",{5297E1A8-447B-4968-B914-0BC6A0A53DD6}
1988470.9756,7167231.9318,8292,BELFORT,,1970/01/01 00:00:00+00,Le Mont Les Barres,1970/01/01 00:00:00+00,,,Place saget,{BB9F27DC-A878-43B7-9302-A38E2837A1F3}
1987758.1866,7167155.2024,8293,BELFORT,,1970/01/01 00:00:00+00,Le Mont Les Barres,1970/01/01 00:00:00+00,,,Face au 31 a Rue de la Fraternité,{FD463BAE-E811-48B6-AE8D-2EA94313BFCA}
1988688.3466,7168785.8107,8294,BELFORT,,1970/01/01 00:00:00+00,Belfort Nord,1970/01/01 00:00:00+00,,,25 rue de la Première Armée,{E2D804D9-1EAA-4FF7-B7CA-D68426D13652}
1987716.8639,7167283.5787,8692,,,1970/01/01 00:00:00+00,Le Mont Les Barres,1970/01/01 00:00:00+00,,,,{28F24FC0-2F69-4A9E-B2C7-6491DF547B52}
1989038.2676,7166608.9764,9092,BELFORT,,1970/01/01 00:00:00+00,Résidences Bellevue,1970/01/01 00:00:00+00,,,,{B1660112-00E4-442A-8042-A902FE317FC4}
