% Requête :select s.senmat as "Matricule", s.quacod as "Qualité", s.sennomuse as "Nom usuel", s.senprenomuse as "Prénom usuel", s.etasencod as "État Sénateur",
% c.COMLIBAMELI as "Nom commission", typ.TYPORGLIB as "Type commission", mc.MEMCOMID as "Id d'appartenance",  mc.MEMCOMDATDEB as "Début d'appartenance", mc.memcomdatfin as "Fin d'appartenance",
% fmc.FONMEMCOMID as "Id de fonction",
% fmc.FONMEMCOMDATDEB as "Début de fonction", fmc.FONMEMCOMDATFIN as "Fin de fonction",
% fc.FONCOMLIB as "Fonction"
% from senateurs.sen s
% inner join senateurs.memcom mc ON s.senmat = mc.senmat
% inner join senateurs.com c on mc.ORGCOD = c.ORGCOD
% inner join senateurs.fonmemcom fmc on mc.MEMCOMID = fmc.memcomid
% inner join senateurs.foncom fc on fmc.FONCOMCOD = fc.FONCOMCOD
% inner join senateurs.typorg typ on c.TYPORGCOD = typ.TYPORGCOD
% where s.etasencod in ('ACTIF', 'ANCIEN') 
% and c.EVETEMPUB = 'OUI'
% and mc.EVETEMPUB = 'OUI'
% and fmc.EVETEMPUB = 'OUI'
% order by s.sennomuse, s.senprenomuse, s.senmat, mc.MEMCOMDATDEB, fmc.fonmemcomdatdeb
% Aucun paramètre
% 14723 ligne(s) de résultat
Matricule,Qualité,Nom usuel,Prénom usuel,État Sénateur,Nom commission,Type commission,Id d'appartenance,Début d'appartenance,Fin d'appartenance,Id de fonction,Début de fonction,Fin de fonction,Fonction
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,6474,2008-10-29 00:00:00.0,2008-11-04 00:00:00.0,7904,2008-10-29 00:00:00.0,2008-11-04 00:00:00.0,Vice-Président
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,6488,2008-11-20 00:00:00.0,2008-11-25 00:00:00.0,7918,2008-11-20 00:00:00.0,2008-11-25 00:00:00.0,Vice-Président
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,6772,2009-06-10 00:00:00.0,2011-01-23 00:00:00.0,8197,2009-06-10 00:00:00.0,2011-01-23 00:00:00.0,Président
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,6919,2009-09-29 00:00:00.0,2011-01-23 00:00:00.0,8364,2009-09-29 00:00:00.0,2011-01-23 00:00:00.0," "
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,7193,2010-02-18 00:00:00.0,2011-01-23 00:00:00.0,8664,2010-02-18 00:00:00.0,2011-01-23 00:00:00.0," "
95004Y,M.,About,Nicolas,ANCIEN,commission des affaires étrangères,Commission permanente,288,,1998-10-05 00:00:00.0,288,,1998-10-05 00:00:00.0," "
000346,M.,Achour,Youssef,ANCIEN,,Commission du Sénat de la Communauté,11186,,,13263,,,Secrétaire
000346,M.,Achour,Youssef,ANCIEN,commission des lois,Commission permanente,1061,,1962-07-04 00:00:00.0,1608,,1962-07-04 00:00:00.0," "
000346,M.,Achour,Youssef,ANCIEN,,Commission du Sénat de la Communauté,11250,,,13267,,," "
08008S,M.,Ackermann,Yves,ANCIEN,Aucune (Président du Sénat),Commission permanente,4122,2008-09-08 00:00:00.0,2008-09-30 00:00:00.0,5038,2008-09-08 00:00:00.0,2008-09-30 00:00:00.0," "
