Code du département,Libellé du département,Code du canton,Libellé du canton,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp
33,Gironde,21,Le Nord-Libournais,35102,18152,"51,71",16950,"48,29",323,"0,92","1,91",165,"0,47","0,97",16462,"46,9","97,12",EXG,109,"0,31","0,66",COM,466,"1,33","2,83",FI,1697,"4,83","10,31",SOC,1555,"4,43","9,45",DVG,43,"0,12","0,26",ECO,602,"1,72","3,66",DIV,171,"0,49","1,04",REM,4960,"14,13","30,13",UDI,133,"0,38","0,81",LR,1791,"5,1","10,88",DVD,983,"2,8","5,97",DLF,206,"0,59","1,25",FN,3670,"10,46","22,29",EXD,76,"0,22","0,46",,,,,,,,,,,,
33,Gironde,22,Le Nord-Médoc,30961,15339,"49,54",15622,"50,46",183,"0,59","1,17",83,"0,27","0,53",15356,"49,6","98,3",EXG,91,"0,29","0,59",COM,219,"0,71","1,43",FI,1362,"4,4","8,87",SOC,2697,"8,71","17,56",ECO,312,"1,01","2,03",DIV,216,"0,7","1,41",REM,4238,"13,69","27,6",LR,1602,"5,17","10,43",DVD,464,"1,5","3,02",DLF,664,"2,14","4,32",FN,3412,"11,02","22,22",EXD,79,"0,26","0,51",,,,,,,,,,,,,,,,,,,,
33,Gironde,23,Pessac-1,41035,18371,"44,77",22664,"55,23",239,"0,58","1,05",106,"0,26","0,47",22319,"54,39","98,48",EXG,215,"0,52","0,96",COM,349,"0,85","1,56",FI,2897,"7,06","12,98",SOC,3995,"9,74","17,9",DVG,104,"0,25","0,47",ECO,924,"2,25","4,14",DIV,451,"1,1","2,02",REM,8462,"20,62","37,91",LR,2547,"6,21","11,41",DVD,454,"1,11","2,03",DLF,254,"0,62","1,14",FN,1667,"4,06","7,47",,,,,,,,,,,,,,,,,,,,
33,Gironde,24,Pessac-2,35899,16889,"47,05",19010,"52,95",158,"0,44","0,83",76,"0,21","0,4",18776,"52,3","98,77",EXG,160,"0,45","0,85",COM,249,"0,69","1,33",FI,2679,"7,46","14,27",SOC,2202,"6,13","11,73",DVG,102,"0,28","0,54",ECO,1116,"3,11","5,94",DIV,393,"1,09","2,09",REM,7570,"21,09","40,32",LR,2547,"7,09","13,57",DVD,391,"1,09","2,08",DLF,216,"0,6","1,15",FN,1151,"3,21","6,13",,,,,,,,,,,,,,,,,,,,
33,Gironde,25,Les Portes du Médoc,40571,20061,"49,45",20510,"50,55",221,"0,54","1,08",79,"0,19","0,39",20210,"49,81","98,54",EXG,112,"0,28","0,55",COM,356,"0,88","1,76",FI,2521,"6,21","12,47",SOC,3588,"8,84","17,75",ECO,911,"2,25","4,51",DIV,149,"0,37","0,74",REM,7882,"19,43",39,LR,1903,"4,69","9,42",DVD,138,"0,34","0,68",DLF,291,"0,72","1,44",FN,2238,"5,52","11,07",EXD,121,"0,3","0,6",,,,,,,,,,,,,,,,,,,,
33,Gironde,26,La Presqu'île,35289,18519,"52,48",16770,"47,52",231,"0,65","1,38",93,"0,26","0,55",16446,"46,6","98,07",EXG,202,"0,57","1,23",COM,330,"0,94","2,01",FI,2354,"6,67","14,31",SOC,1983,"5,62","12,06",ECO,574,"1,63","3,49",DIV,289,"0,82","1,76",REM,5115,"14,49","31,1",UDI,3013,"8,54","18,32",DLF,277,"0,78","1,68",FN,2309,"6,54","14,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Gironde,27,Le Réolais et Les Bastides,32425,14296,"44,09",18129,"55,91",271,"0,84","1,49",176,"0,54","0,97",17682,"54,53","97,53",EXG,128,"0,39","0,72",FI,2324,"7,17","13,14",SOC,1520,"4,69","8,6",DVG,50,"0,15","0,28",ECO,680,"2,1","3,85",DIV,104,"0,32","0,59",REM,5732,"17,68","32,42",UDI,60,"0,19","0,34",LR,4008,"12,36","22,67",DVD,192,"0,59","1,09",DLF,221,"0,68","1,25",FN,2663,"8,21","15,06",,,,,,,,,,,,,,,,,,,,
33,Gironde,28,Saint-Médard-en-Jalles,36179,16137,"44,6",20042,"55,4",251,"0,69","1,25",70,"0,19","0,35",19721,"54,51","98,4",EXG,90,"0,25","0,46",COM,204,"0,56","1,03",FI,2544,"7,03","12,9",SOC,2190,"6,05","11,1",ECO,876,"2,42","4,44",DIV,383,"1,06","1,94",REM,9184,"25,38","46,57",UDI,2435,"6,73","12,35",DLF,156,"0,43","0,79",FN,1659,"4,59","8,41",,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Gironde,29,Le Sud-Gironde,28607,12804,"44,76",15803,"55,24",296,"1,03","1,87",140,"0,49","0,89",15367,"53,72","97,24",EXG,151,"0,53","0,98",COM,353,"1,23","2,3",FI,2134,"7,46","13,89",SOC,3010,"10,52","19,59",DVG,102,"0,36","0,66",ECO,584,"2,04","3,8",DIV,211,"0,74","1,37",MDM,4841,"16,92","31,5",LR,1709,"5,97","11,12",DLF,342,"1,2","2,23",FN,1930,"6,75","12,56",,,,,,,,,,,,,,,,,,,,,,,,
33,Gironde,30,Le Sud-Médoc,38987,19125,"49,05",19862,"50,95",227,"0,58","1,14",126,"0,32","0,63",19509,"50,04","98,22",EXG,98,"0,25","0,5",COM,346,"0,89","1,77",FI,2346,"6,02","12,03",SOC,3935,"10,09","20,17",ECO,639,"1,64","3,28",DIV,140,"0,36","0,72",REM,6279,"16,11","32,19",LR,1737,"4,46","8,9",DVD,370,"0,95","1,9",DLF,347,"0,89","1,78",FN,3144,"8,06","16,12",EXD,128,"0,33","0,66",,,,,,,,,,,,,,,,,,,,
33,Gironde,31,Talence,28637,13891,"48,51",14746,"51,49",157,"0,55","1,06",62,"0,22","0,42",14527,"50,73","98,51",EXG,56,"0,2","0,39",COM,266,"0,93","1,83",FI,2491,"8,7","17,15",SOC,2577,9,"17,74",DVG,99,"0,35","0,68",ECO,607,"2,12","4,18",DIV,456,"1,59","3,14",REM,5407,"18,88","37,22",LR,1336,"4,67","9,2",DVD,155,"0,54","1,07",DLF,143,"0,5","0,98",FN,775,"2,71","5,33",EXD,159,"0,56","1,09",,,,,,,,,,,,,,,,
33,Gironde,32,La Teste-de-Buch,31597,14835,"46,95",16762,"53,05",133,"0,42","0,79",75,"0,24","0,45",16554,"52,39","98,76",EXG,44,"0,14","0,27",COM,84,"0,27","0,51",FI,1150,"3,64","6,95",SOC,902,"2,85","5,45",ECO,458,"1,45","2,77",DIV,67,"0,21","0,4",REM,6300,"19,94","38,06",LR,5383,"17,04","32,52",DVD,439,"1,39","2,65",DLF,237,"0,75","1,43",FN,1490,"4,72",9,,,,,,,,,,,,,,,,,,,,,,,,
33,Gironde,33,Villenave-d'Ornon,36336,18845,"51,86",17491,"48,14",248,"0,68","1,42",117,"0,32","0,67",17126,"47,13","97,91",EXG,111,"0,31","0,65",COM,626,"1,72","3,66",FI,3320,"9,14","19,39",SOC,2754,"7,58","16,08",DVG,112,"0,31","0,65",ECO,784,"2,16","4,58",DIV,521,"1,43","3,04",REM,5439,"14,97","31,76",LR,1370,"3,77",8,DVD,166,"0,46","0,97",DLF,203,"0,56","1,19",FN,1553,"4,27","9,07",EXD,167,"0,46","0,98",,,,,,,,,,,,,,,,
