Code,Communes,taux com. - taxe fonc. / prop. bâties - 2014 (%),taux com. - taxe fonc. / prop. non bâties - 2014 (%),produit com. - taxe fonc. / prop. non bâties - 2014 (euros)
33179,Galgon,"21,7","49,8",31374
33180,Gans,"9,5","38,3",5109
33181,Gardegan-et-Tourtirac,"11,4",44,17981
33182,Gauriac,25,"48,3",16996
33183,Gauriaguet,14,42,7263
33184,Générac,19,"62,4",14339
33185,Génissac,"20,2","48,3",41864
33186,Gensac,"17,5","45,9",19911
33187,Gironde-sur-Dropt,"22,1","70,7",18889
33188,Giscos,"20,4","52,5",15737
33189,Gornac,"15,1","41,6",16898
33190,Goualade,"11,7","31,1",4823
33191,Gours,"23,4",67,12760
33192,Gradignan,"30,5",91,87888
33193,Grayan-et-l'Hôpital,"5,8","13,9",14858
33194,Grézillac,"17,1","53,9",22726
33195,Grignols,"18,9","49,9",22051
33196,Guillac,14,45,7984
33197,Guillos,32,"50,2",14654
33198,Guîtres,"22,8","58,4",9685
33199,Gujan-Mestras,"25,1",39,69471
33200,Le Haillan,31,"62,4",28943
33201,Haux,"14,8","50,4",24636
33202,Hostens,"13,7","25,7",11001
33203,Hourtin,"19,9","33,4",44812
33204,Hure,"16,3","61,2",15350
33205,Illats,"20,6","39,2",32191
33206,Isle-Saint-Georges,"19,2","46,6",10229
33207,Izon,"21,7","47,6",28557
33208,Jau-Dignac-et-Loirac,"17,6","48,7",80394
33209,Jugazan,13,"42,7",9457
33210,Juillac,"12,9",42,12023
33211,Labarde,"12,5",50,38032
33212,Labescau,"13,2","42,2",4350
33213,La Brède,"21,3",63,37024
33214,Lacanau,"18,2","27,6",91458
33215,Ladaux,"8,8","32,7",7479
33216,Lados,"13,3",33,4099
33218,Lagorce,"15,1","51,5",25093
33219,La Lande-de-Fronsac,"18,5","67,5",25147
33220,Lamarque,"15,6","44,1",30315
33221,Lamothe-Landerron,"12,2","66,6",21156
33222,Lalande-de-Pomerol,"12,3","26,7",46818
33223,Landerrouat,"11,9","32,1",8428
33224,Landerrouet-sur-Ségur,"9,7","42,2",3626
33225,Landiras,"15,7","48,2",45786
33226,Langoiran,"19,1","53,4",33337
33227,Langon,"22,7","53,3",35640
33228,Lansac,"25,4","58,4",24942
33229,Lanton,"18,9","23,1",47811
33230,Lapouyade,"3,2",4,1040
33231,Laroque,"10,1","37,8",6171
33232,Lartigue,"10,7","24,1",3020
33233,Laruscade,"18,8","54,8",30782
33234,Latresne,17,"45,2",15960
33235,Lavazan,"9,8","39,8",5130
33236,Lège-Cap-Ferret,"14,7",16,76557
33237,Léogeats,"18,3","45,6",17583
33238,Léognan,"17,8","121,3",315640
33239,Lerm-et-Musset,"18,5","46,7",21401
33240,Lesparre-Médoc,"21,5","60,6",53871
33241,Lestiac-sur-Garonne,"18,7","68,3",10766
33242,Les Lèves-et-Thoumeyragues,15,"51,5",40606
33243,Libourne,"25,7","49,2",150337
33244,Lignan-de-Bazas,"14,8","53,8",8823
33245,Lignan-de-Bordeaux,"17,3",49,18217
33246,Ligueux,"11,8","38,1",8613
33247,Listrac-de-Durèze,13,"50,9",7228
33248,Listrac-Médoc,"15,5","41,9",112775
33249,Lormont,"31,1","76,5",28667
33250,Loubens,"16,4","51,8",13545
33251,Louchats,"16,1","27,1",8907
33252,Loupes,"9,9","24,7",4507
33253,Loupiac,"12,4","46,2",28522
33254,Loupiac-de-la-Réole,"17,6","54,7",10103
33255,Lucmau,"11,8","36,5",16516
33256,Ludon-Médoc,"14,9","39,6",60285
33257,Lugaignac,"15,6","51,4",9878
33258,Lugasson,"15,7","32,6",11937
33259,Lugon-et-l'Île-du-Carnay,24,"60,5",34790
33260,Lugos,"23,2",28,17831
33261,Lussac,"17,5",45,149642
33262,Macau,"17,2","40,1",51072
33263,Madirac,"17,4","48,9",2596
33264,Maransin,"13,1","36,6",21639
33266,Marcenais,"23,5","55,3",11181
33267,Marcillac,"22,8",54,31596
33268,Margaux,"15,9","43,8",109201
33269,Margueron,"13,5","52,3",25773
33270,Marimbault,"12,1","47,3",3630
33271,Marions,"8,8","33,2",7615
33272,Marsas,"16,8","42,9",10526
33273,Martignas-sur-Jalle,"27,2","47,8",29228
33274,Martillac,"17,9","59,6",73508
33275,Martres,"19,6","46,2",4403
33276,Masseilles,"9,1","53,1",6984
33277,Massugas,"7,5","24,3",15460
33278,Mauriac,"17,2",41,19786
33279,Mazères,"15,5","48,8",25426
33280,Mazion,"15,7",38,8783
33281,Mérignac,"28,7","60,7",268803
33282,Mérignas,"15,4","35,3",13364
33283,Mesterrieux,"11,4","44,8",5875
33284,Mios,"22,9","53,2",100325
33285,Mombrier,"23,6","47,4",14514
33287,Mongauzy,"15,9","75,1",15396
33288,Monprimblanc,14,"40,1",11182
33289,Monségur,"14,2","60,8",18631
33290,Montagne,"17,7","43,6",176222
33291,Montagoudin,"13,7","56,3",5596
33292,Montignac,"12,5","42,1",13791
33293,Montussan,"22,3","55,4",25430
33294,Morizès,"14,7","47,3",12684
33295,Mouillac,12,"32,4",2428
33296,Mouliets-et-Villemartin,"15,5","49,5",32867
33297,Moulis-en-Médoc,"13,5","48,4",111005
33298,Moulon,"20,8","57,8",36343
33299,Mourens,17,47,29239
33300,Naujac-sur-Mer,"11,5","26,4",15055
33301,Naujan-et-Postiac,16,"55,4",26557
33302,Néac,"20,5","45,2",68581
33303,Nérigean,"30,2","92,5",42332
33304,Neuffons,"13,1","44,3",5916
33305,Le Nizan,"19,2","48,1",9221
33306,Noaillac,"18,4","61,8",14335
33307,Noaillan,"11,9","42,2",23825
33308,Omet,16,"48,9",9014
33309,Ordonnac,"15,6","39,1",32690
33310,Origne,"21,5","35,6",6392
33311,Paillet,"19,5","103,3",14718
33312,Parempuyre,"24,3","67,5",54543
33314,Pauillac,"22,9","55,8",783142
33315,Les Peintures,"21,4","68,3",25053
33316,Pellegrue,"14,7","59,3",96570
33317,Périssac,"13,7","52,4",20629
33318,Pessac,"29,9","53,2",206748
