resource_id,dataset_id,url,content_type,content_length,filename,magic_mime,real_size
131c6b39-51b5-40a7-beaa-0eafc4b88466,6010206e7aa742eb447930f7,https://static.data.gouv.fr/resources/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/20210205-201507/vacsi-tot-fra-2021-02-05-20h15.csv,text/csv,62,./data/6010206e7aa742eb447930f7_131c6b39-51b5-40a7-beaa-0eafc4b88466.csv,text/plain,62
f1f34447-9064-41a7-9137-1c504c08de73,5c94fd54634f417149ad86ef,https://static.data.gouv.fr/resources/declaration-profil-acheteur-6/20190322-162103/decp-publication-profil-acheteur-ville-de-besancon.csv,text/csv,188,./data/5c94fd54634f417149ad86ef_f1f34447-9064-41a7-9137-1c504c08de73.csv,text/plain,188
97d3125e-0c21-457f-8975-1b2045b47248,5b7ffc618b4c4169d30727e0,https://static.data.gouv.fr/resources/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret/20190402-081928/dessinstocketablissementlienssuccession.csv,text/csv,528,./data/5b7ffc618b4c4169d30727e0_97d3125e-0c21-457f-8975-1b2045b47248.csv,application/csv,528
2fa88d67-b808-4dab-88a4-f66efbe2025c,5bb1d40a634f41604d58cffb,https://static.data.gouv.fr/resources/declaration-du-profil-dacheteur/20190328-152655/decp.csv,text/csv,245,./data/5bb1d40a634f41604d58cffb_2fa88d67-b808-4dab-88a4-f66efbe2025c.csv,text/plain,245
0bd4b604-4a23-49d5-935c-4185c1808e1a,5d19df116f444145852612c5,https://static.data.gouv.fr/resources/ecrans-dynamiques/20190701-062326/ecrans-dynamiques-levallois.csv,text/csv,650,./data/5d19df116f444145852612c5_0bd4b604-4a23-49d5-935c-4185c1808e1a.csv,text/plain,650
3c489876-7105-41c1-a0b6-868229053f11,542074b588ee380f8fea222b,https://static.data.gouv.fr/resources/audiences-mensuelles-gouvernement-fr/20141103-104134/Stats_Octobre_2014.csv,text/csv,157,./data/542074b588ee380f8fea222b_3c489876-7105-41c1-a0b6-868229053f11.csv,text/plain,157
8fad8b9c-6f53-46f1-87f8-926e756782b9,601121e2d86d4d6f2c43c76a,https://static.data.gouv.fr/resources/donnees-des-rendez-vous-pris-dans-des-centres-de-vaccination-contre-la-covid-19/20210127-141046/metadonnees-prise-rdv-par-dep.csv,text/csv,676,./data/601121e2d86d4d6f2c43c76a_8fad8b9c-6f53-46f1-87f8-926e756782b9.csv,text/plain,676
77150308-c18a-486c-b221-f09e6def0b5f,54d4c982c751df0196467389,https://static.data.gouv.fr/resources/administration-1/20150206-150254/administrations.csv,text/csv,267,./data/54d4c982c751df0196467389_77150308-c18a-486c-b221-f09e6def0b5f.csv,text/plain,267
4587afb2-ad8c-4af4-a026-4a706b5e94a7,5c0fbbc78b4c4126b7eb9f7a,https://static.data.gouv.fr/resources/profil-acheteur-6/20181211-143001/declaration-data.gouv-profil-acheteur.csv,text/csv,231,./data/5c0fbbc78b4c4126b7eb9f7a_4587afb2-ad8c-4af4-a026-4a706b5e94a7.csv,text/plain,231
d32e4d22-18e5-4d8d-805a-da1137832487,5b598be088ee387c0c353714,https://static.data.gouv.fr/resources/datatourisme-la-base-nationale-des-donnees-du-tourisme-en-open-data/20201217-041244/datatourisme.reg-reu.20201217.csv,text/csv,318,./data/5b598be088ee387c0c353714_d32e4d22-18e5-4d8d-805a-da1137832487.csv,text/plain,318
cb16878e-d36d-4ace-a1fd-f44a5a55755b,5ece230bfe46a49a747d775a,https://static.data.gouv.fr/resources/budget-primitif-2020-du-sivu-de-la-communaute-dagglomeration-bar-le-duc-sud-meuse/20200527-102914/bp-sivu-2020-machine.csv,text/csv,233,./data/5ece230bfe46a49a747d775a_cb16878e-d36d-4ace-a1fd-f44a5a55755b.csv,text/plain,233
e453729c-6802-484c-a67c-f8658cb44523,5d2ee5bb634f411359522916,https://static.data.gouv.fr/resources/donnees-direction-action-sociale-et-prevention/20190717-110919/donnees-pole-social-insertion-2017.csv,text/csv,652,./data/5d2ee5bb634f411359522916_e453729c-6802-484c-a67c-f8658cb44523.csv,text/plain,652
3ad8b04b-593e-4a0a-8939-d3d308ae5639,55094f07c751df653a882844,https://static.data.gouv.fr/resources/cimetiere-et-lieux-de-cultes-1/20150318-111045/cimetiere_lieuxdecultes.csv,text/csv,372,./data/55094f07c751df653a882844_3ad8b04b-593e-4a0a-8939-d3d308ae5639.csv,text/plain,372
606593cf-f483-4a5d-9fe9-8df8bf0e808d,5b598be088ee387c0c353714,https://static.data.gouv.fr/resources/datatourisme-la-base-nationale-des-donnees-du-tourisme-en-open-data/20201223-042019/datatourisme.reg-reu.20201223.csv,text/csv,318,./data/5b598be088ee387c0c353714_606593cf-f483-4a5d-9fe9-8df8bf0e808d.csv,text/plain,318
4610eded-f4b5-4d10-8454-7eb1f318e65a,5eccbdd40e58a41086837455,https://static.data.gouv.fr/resources/compte-administratif-2019-de-la-communaute-dagglomeration-bar-le-duc-sud-meuse/20200526-162644/ca-agglo-transport-2019-machine.csv,text/csv,710,./data/5eccbdd40e58a41086837455_4610eded-f4b5-4d10-8454-7eb1f318e65a.csv,text/plain,710
4f8a0480-b8fc-43e2-8526-9fd46ce46d91,53ae8215a3a729709f56d500,https://static.data.gouv.fr/resources/finances-locales/20150619-160439/Attributionsubvention2015.csv,text/csv,273,./data/53ae8215a3a729709f56d500_4f8a0480-b8fc-43e2-8526-9fd46ce46d91.csv,application/csv,273
38947c93-9264-4994-820d-bd14e1769599,5b598be088ee387c0c353714,https://static.data.gouv.fr/resources/datatourisme-la-base-nationale-des-donnees-du-tourisme-en-open-data/20210111-040818/datatourisme.reg-glp.20210111.csv,text/csv,318,./data/5b598be088ee387c0c353714_38947c93-9264-4994-820d-bd14e1769599.csv,text/plain,318
f477d180-5854-4b36-bf17-4dcbf7c9689c,5addcdb588ee3861086f892e,https://static.data.gouv.fr/resources/compte-administratif-2017-du-cias-de-la-communaute-d-agglomeration-bar-le-duc-sud-meuse/20180427-141748/CA_CIAS_SSIAD_BAR_LE_DUC_SANTE_2017_MACHINE.csv,text/csv,417,./data/5addcdb588ee3861086f892e_f477d180-5854-4b36-bf17-4dcbf7c9689c.csv,text/plain,417
06d929eb-6718-4d38-8e07-bb557b431212,5bcd8f928b4c4103edf0bdc4,https://static.data.gouv.fr/resources/decp-profil-dacheteur/20181022-105413/declaration-profil-acheteur.csv,text/csv,185,./data/5bcd8f928b4c4103edf0bdc4_06d929eb-6718-4d38-8e07-bb557b431212.csv,text/plain,185
c2682dbb-e324-49a9-9466-3f0e7b299222,5912dd9488ee382457509b60,https://static.data.gouv.fr/resources/budgets-primitifs-2017-de-la-communaute-dagglomeration-bar-le-duc-sud-meuse/20170510-113111/BP_AGGLO_LES_ANNONCIADES_2017_MACHINE.csv,text/csv,298,./data/5912dd9488ee382457509b60_c2682dbb-e324-49a9-9466-3f0e7b299222.csv,text/plain,298
2c40a4f2-2b64-436c-87e6-96309df5ec3f,5b598be088ee387c0c353714,https://static.data.gouv.fr/resources/datatourisme-la-base-nationale-des-donnees-du-tourisme-en-open-data/20201218-040216/datatourisme.reg-glp.20201218.csv,text/csv,318,./data/5b598be088ee387c0c353714_2c40a4f2-2b64-436c-87e6-96309df5ec3f.csv,text/plain,318
