OBJECTID,ROUTE,PRD,ABD,PRF,ABF,CUMULD,CUMULF,AGENCE,CIRCUIT,VOIE,POSITION,COMMUNE,COND_CIRC_HIV,SHAPE__LENGTH,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,Shape__Length2
456,45 D0952,4,990,9,900,5042,9499,Sully,S2,D952,PR 4+990 à 9+900,De Briare à Gien,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,7657.49971436554
478,45 D0002,0,0,4,243,0,4103,Orléans,2152-3,D2,PR 0+0 à 4+243,De Baule à Le Bardon,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,8404.66865859916
482,45 D0928,6,445,7,963,5827,7348,Pithiviers,D1A,D928,PR 6+445 à 7+963,Pithiviers,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,2575.19423925087
483,45 D0961,0,3118,32,635,3048,36181,Montargis,961-2160,D961,PR 0+3118 à 32+635,De Villemandeur à Bonnée,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,50057.5116123554
486,45 D952005,1,0,3,146,0,567,Orléans,2701-520,D952005,PR 1+0 à 3+146,Saint-Jean-de-la-Ruelle,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,847.005649568394
516,45 D906024,1,0,4,130,0,945,Montargis,2060-1 Est,D906024,PR 1+0 à 4+130,Amilly,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,651.511731149176
536,45 D0928,0,0,6,400,0,5827,Pithiviers,D1B,D928,PR 0+0 à 6+400,De Dadonville à Pithiviers,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,9863.04650576839
404,45 D0112,9,750,10,795,9838,10869,Pithiviers,D1C,D112,PR 9+750 à 10+795,Puiseaux,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1576.01494375642
409,45 D0965,0,0,2,600,0,2599,Sully,CD89,D965,PR 0+0 à 2+600,De Faverelles à Thou,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,3847.05633474934
410,45 D2060,35,350,57,286,31901,53024,Montargis,2060-2 Ouest,D2060,PR 35+350 à 57+286,De Chevillon-sur-Huillard à Sury-aux-Bois,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,38390.8381394574
412,45 D0926,0,0,1,300,0,1300,Sully,2007-3,D926,PR 0+0 à 1+300,De Bonny-sur-Loire à Beaulieu-sur-Loire,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1900.27107900643
519,45 D906079,1,0,4,560,0,1948,Sully,2060-3,D906079,PR 1+0 à 4+560,Donnery,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,2600.61294286253
527,45 D906035,2,0,4,0,260,805,Montargis,2060-2 Ouest,D906035,PR 2+0 à 4+0,Chevillon-sur-Huillard,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,809.706256996966
533,45 D0941,0,0,1,412,0,1380,Sully,S2,D941,PR 0+0 à 1+412,De Poilly-lez-Gien à Gien,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,2153.64805556464
427,45 D2160,35,0,49,992,0,14756,Montargis,961-2160,D2160,PR 35+0 à 49+992,De Chevillon-sur-Huillard à Bellegarde,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,22549.8459130121
430,45 D0949,3,628,4,805,3561,4803,Pithiviers,D1A,D949,PR 3+628 à 4+805,Le Malesherbois,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,2095.19190846351
434,45 D900721,1,0,1,178,0,178,Montargis,2007-1 Nord,D900721,PR 1+0 à 1+178,Amilly,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,276.732210595422
436,45 D0520,0,0,5,990,0,5990,Orléans,2701-520,D520,PR 0+0 à 5+990,De Saran à Saint-Jean-de-la-Ruelle,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,18153.4919257724
417,45 D906026,1,0,4,445,0,1527,Montargis,2007-2 Sud,D906026,PR 1+0 à 4+445,Amilly,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,2189.98863885991
418,45 D0032,27,305,27,2444,27680,29819,Montargis,2060-1 Est,D32,PR 27+305 à 27+2444,Courtenay,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,3151.75421107023
419,45 D970101,1,0,4,362,0,1022,Orléans,2701-520,D970101,PR 1+0 à 4+362,Saran,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1520.06454879271
425,45 D2020,7,820,22,748,7937,22881,Orléans,2020-1,D2020,PR 7+820 à 22+748,De Artenay à Saran,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,24913.2023114735
429,45 D0953,5,190,10,660,5313,10777,Sully,S1,D953,PR 5+190 à 10+660,De Dampierre-en-Burly à Ouzouer-sur-Loire,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,8162.48258811384
440,45 D2060,70,490,79,450,66172,75125,Sully,2060-3,D2060,PR 70+490 à 79+450,De Châteauneuf-sur-Loire à Fay-aux-Loges,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,27705.0605122966
443,45 D906096,4,0,4,298,892,1190,Orléans,2060-4,D906096,PR 4+0 à 4+298,Fleury-les-Aubrais,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,444.579171328489
