sexe;nom_de_famille;prénom;groupe_politique;parti_de_rattachement
M.;FISCHER;Guy;CRC;Parti communiste français
M.;FLEMING;Louis-Constant;UMP;Union pour un mouvement populaire
M.;FLOSSE;Gaston;NI;Tahoeraa Huiraatira
M.;FONTAINE;Michel;UMP;Union pour un mouvement populaire
M.;FORTASSIN;François;RDSE;Parti radical de gauche
M.;FOUCAUD;Thierry;CRC;Parti communiste français
M.;FOUCHÉ;Alain;UMP;Union pour un mouvement populaire
M.;FOURNIER;Bernard;UMP;Union pour un mouvement populaire
M.;FOURNIER;Jean-Paul;UMP;Union pour un mouvement populaire
M.;FRASSA;Christophe-André;UMP;Union pour un mouvement populaire
M.;FRÉCON;Jean-Claude;SOC;Parti socialiste
M.;FROGIER;Pierre;UMP;Le Rassemblement
M.;GAILLARD;Yann;UMP;Union pour un mouvement populaire
M.;GARREC;René;UMP;Union pour un mouvement populaire
Mme;GARRIAUD-MAYLAM;Joëlle;UMP;Union pour un mouvement populaire
M.;GATTOLIN;André;ÉCOL.;Europe Écologie Les Verts
M.;GAUDIN;Jean-Claude;UMP;Union pour un mouvement populaire
M.;GAUTIER;Jacques;UMP;Union pour un mouvement populaire
M.;GÉLARD;Patrice;UMP;Union pour un mouvement populaire
Mme;GÉNISSON;Catherine;SOC;Parti socialiste
M.;GERMAIN;Jean;SOC;Parti socialiste
Mme;GHALI;Samia;SOC;Parti socialiste
M.;GILLES;Bruno;UMP;Union pour un mouvement populaire
M.;GILLOT;Jacques;SOC;Guadeloupe unie socialisme et réalités
Mme;GILLOT;Dominique;SOC;Parti socialiste
Mme;GIUDICELLI;Colette;UMP;Union pour un mouvement populaire
M.;GODEFROY;Jean-Pierre;SOC;Parti socialiste
Mme;GONTHIER-MAURIN;Brigitte;CRC;Parti communiste français
M.;GORCE;Gaëtan;SOC;Parti socialiste
Mme;GOULET;Nathalie;UDI-UC;Le Centre pour la France
Mme;GOURAULT;Jacqueline;UDI-UC;Le Centre pour la France
