"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","NB_CHB","SDP_A2","SDP_B2","SDP_D2","SDP_E2","SDP_F2","SDP_A3","SDP_B3","SDP_D3","SDP_E3","SDP_F3","SDP_A4","SDP_B4","SDP_D4","SDP_E4","SDP_F4","SDP_A5","SDP_B5","SDP_D5","SDP_E5","SDP_F5","SDP_A6","SDP_B6","SDP_D6","SDP_E6","SDP_F6","SDP_A7","SDP_B7","SDP_D7","SDP_E7","SDP_F7","SDP_A8","SDP_B8","SDP_D8","SDP_E8","SDP_F8","SDP_A9","SDP_B9","SDP_D9","SDP_E9","SDP_F9","I_TRANSPORT","I_ENSETRECH","I_SANTE","I_ACTSOCIAL","I_OUVRAGESPEC","I_CULTURE","TYPE_OPERATION_CONSTR","DPC","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"84","01","01063","2018","00106318H0004","9","2",,"SCI CYCOL","78987867500014","138","Rue","de la Croix Chalon",,,"01460","BRION",,"100",,,"Rue des Pins",,,"01460","BRION",,"0624ZB","0736ZB","0738ZB",1,17659,,,,,,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2328,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-05-31,,
"84","01","01069","2018","00106918D0009","9","2",,"MOREL",,"624","Route","des Rippes",,,"01240","CERTINES",,"100",,"Chemi","des Aubepines",,,"01240","Certines",,"0266ZE",,,1,1507,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,0,0,482,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-05-31,,
"84","01","01071","2017","00107117B0038","8","2",,"ARTIS SAS",,,,"ROUTE DE LA BOUVARDE L'ART",,,"74370","METZ TESSY",,"100","183",,"ROUTE DES VIGNES",,,"01170","CESSY",,"0021AI",,,2,5762,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,0,0,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-05-31,"2018-05-11",
"84","01","01091","2018","00109118B0009","9","2",,"Maison DROST","49902157400045",,,"Lieu-dit Longelia",,,"01200","VILLES",,"100",,,"Zone d'activite des Etour",,,"01200","CHATILLON-EN-MICHAILLE",,"0265AI","0274AI","0229AI",2,1725,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-05-31,"2018-05-04",
"84","01","01105","2017","00110517V0021","9","2",,"DE LA RONZIERE","39462264100014","17","rue","de la Liberation",,,"69270","FONTAINES SUR SAONE",,"100",,,"ZAC TECHNOPARC EST lot n_",,,"01390","CIVRIEUX",,"0031ZW",,,3,0,,,,,"1",0,0,0,0,0,0,0,0,0,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-05-31,"2017-09-15","2017-12-04"
"84","01","01109","2018","00110918B0010","9","2",,"JACQUET",,,,"55 place DU CHATEAU",,,"01550","COLLONGES",,"100","55","Place","du Chateau",,,"01550","COLLONGES",,"03770B",,,1,9977,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-05-31,,
"84","01","01109","2018","00110918B0011","9","2",,"DAMK","79754880700016",,,"ZA Technoparc","Sur La Vie",,"01550","COLLONGES",,"100",,,"SUR LA VIE",,,"01550","COLLONGES",,"0135ZD","0128ZD",,1,5000,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-05-31,,
"84","01","01125","2018","00112518D0002","9","2",,"SCI DMC representee par Monsieur CORNU David","48208835800015","1287","Route","de Grand corent",,,"01250","SIMANDRE SUR SURAN",,"100",,"Chemi","des Sports",,,"01250","CORVEISSIAT",,"0206ZI",,,1,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-05-31,,
"84","01","01127","2018","00112718D0003","9","2",,"Association Bouliste du Revermont representee par",,"2","Rue","des Vignes",,,"01370","COURMANGOUX",,"100",,,"Vieux chemin V","Roissiat",,"01370","COURMANGOUX",,"0013ZE","0012ZE",,1,2880,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,"8",2018-05-31,,
"84","01","01128","2018","00112818D0001","9","2",,"GAEC TROMPILLE represente par Monsieur TROMPILLE","81764863700012","828","Route","des piffauds",,,"01560","COURTES",,"100",,,"La Chanee",,,"01560","COURTES",,"00750C","04820C","0061ZB",2,27336,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2439,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-05-31,"2018-05-22",
