Année;Tiers;Domaine;Sous-domaine;Type d avantage;Description avantage;Montant des avantages en nature
2015;JALMALV-GRENOBLE (JUSQU'A LA MORT,  ACCOMPAGNER LA VIE);Santé et médical;Maladies, malades et familles;Avantage en nature (locaux / équipements sportifs);4 BIS RUE HECTOR BERLIOZ - 65 m_;3 693
2015;JEUNES ET NATURE ASS;Loisirs et vie sociale;Enfance et jeunesse;Avantage en nature (locaux / équipements sportifs);33 rue Joseph Chanrion;854
2015;JEUNES MISTRAL;-;-;Avantage en nature (locaux / équipements sportifs);41 rue Albert Thomas;4 005
2015;JEUNES MISTRAL;-;-;Avantages en nature (gratuité des fluides);41 rue Albert Thomas;2 433
2015;KIAP ASS TAEKWONDO VILLENEUVE;Sports;Taekwondo;Avantage en nature (locaux / équipements sportifs);4 allée le Verderet;6 476
2015;L'OREILLE EN FETE - MUSEE EN MUSIQUE;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition locaux;5 791
2015;LA CIMADE;-;-;Avantage en nature (locaux / équipements sportifs);MDA, 2 rue Berthe de Boissieux (12m2);794
2015;LA CIMADE;-;-;Avantages en nature (gratuité des fluides);MDA, 6 rue Berthe de Boissieux (gratuité);157
2015;LA CORDEE;Action Sociale;Enfance jeunesse;Avantage en nature (locaux / équipements sportifs);47 galerie de l'arlequin;146 327
2015;LA CORDEE;Action Sociale;Enfance jeunesse;Avantages en nature (gratuité des fluides);47 galerie de l'arlequin;29 578
2015;LA CORDEE;Action Sociale;Famille;Avantage en nature (locaux / équipements sportifs);47 galerie de l'arlequin;146 327
2015;LA CORDEE;Action Sociale;Famille;Avantages en nature (gratuité des fluides);47 galerie de l'arlequin;29 578
2015;LA DELPHINALE;Art et culture;Patrimoine;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux;4 789
2015;LA MAISON DE L'IMAGE;Art et culture;Arts plastiques;Avantage en nature (locaux / équipements sportifs);Mise à disposition de l'ancien musée de peinture;3 900
2015;LA MAISON DE L'IMAGE;Art et culture;Arts plastiques;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux;44 596
2015;LA MAISON DE L'IMAGE;Art et culture;Arts plastiques;Avantages en nature (gratuité des fluides);Fluides;9 159
2015;LA MARELLE;-;-;Avantage en nature (locaux / équipements sportifs);21 rue Charles Rivail;20 230
2015;LA MARMITE;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux Arlequin;23 963
2015;LA MARMITE;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux Claude Kogan;4 500
2015;LA MARMITE;-;-;Avantages en nature (gratuité des fluides);Fluides 4 rue Claude Kogan;331
2015;LA MARMITE;-;-;Avantages en nature (gratuité des fluides);Fluides 17 galerie de l'Arlequin;3 292
2015;LA TROTTINETTE DE L'ESPACE ENFANTS;-;-;Avantage en nature (locaux / équipements sportifs);22 avenue Jean Perrot;25 158
2015;LAPS;-;-;Avantage en nature (locaux / équipements sportifs);Mise à disposition de locaux à Peldis;3 866
2015;LAPS;-;-;Avantages en nature (gratuité des fluides);Fluides;710
2015;LE CINE CLUB DE GRENOBLE;Art et culture;Audiovisuel et cinéma;Avantage en nature (Autre);Fluides;537
2015;LE CINE CLUB DE GRENOBLE;Art et culture;Audiovisuel et cinéma;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux;3 441
2015;LE COPEAU ANIME;-;-;Avantage en nature (locaux / équipements sportifs);23 rue des Trembles;13 497
2015;LE COPEAU ANIME;-;-;Avantages en nature (gratuité des fluides);23 rue des Trembles;3 471
2015;LE JARDIN AQUATIQUE;Action Sociale;Enfance jeunesse;Avantage en nature (locaux / équipements sportifs);62-64 rue Ampère (parking relais Catane) - 13,66 m2 - Secteur 1;904
2015;LE PLATEAU;Loisirs et vie sociale;-;Avantage en nature (locaux / équipements sportifs);32 rue des Eaux Claires (garage);406
2015;LE PLATEAU;Loisirs et vie sociale;-;Avantage en nature (locaux / équipements sportifs);74 rue Anatole France;32 760
2015;LE PLATEAU;Loisirs et vie sociale;-;Avantages en nature (gratuité des fluides);15 rue Albert Thomas;433
2015;LE PLATEAU;Loisirs et vie sociale;-;Avantages en nature (gratuité des fluides);74 rue Anatole France;6 605
2015;LE SENTIER DU SAVOIR;-;-;Avantage en nature (locaux / équipements sportifs);15 albert Thomas;2 452
2015;LE STUD;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux;2 954
2015;LE TRICYCLE;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition locaux;60 495
2015;LE TRICYCLE;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition locaux Berriat (Théâtre de Poche);50 261
2015;LE TRICYCLE;-;-;Avantages en nature (gratuité des fluides);Fluides;22 816
2015;LES COMPAGNIES REUNIES;Art et culture;Théâtre;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux général mangin;2 300
2015;LES COMPAGNIES REUNIES;Art et culture;Théâtre;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux Trembles;41 412
2015;LES COMPAGNIES REUNIES;Art et culture;Théâtre;Avantages en nature (gratuité des fluides);Fluides;5 397
2015;LES P'TITS PLATS DANS LES GRANDS;-;-;Avantage en nature (Autre);05 rue albert thomas;3 527
2015;LIGUE DES DROITS DE L'HOMME - SECTION DE GRENOBLE;Opinion Expression Défense des droits et des intérêts;Droits de l'homme;Avantage en nature (locaux / équipements sportifs);MDA, 6 rue Berthe de Boissieux (12,5 m2);827
2015;LIGUE DES DROITS DE L'HOMME - SECTION DE GRENOBLE;Opinion Expression Défense des droits et des intérêts;Droits de l'homme;Avantages en nature (gratuité des fluides);MDA, 6 rue Berthe de Boissieux (gratuité);164
2015;LOCOMOTIVE ASS;-;-;Avantage en nature (locaux / équipements sportifs);2 RUE SAINTE URSULE - 30m_;1 886
2015;LOCOMOTIVE ASS;-;-;Avantages en nature (gratuité des fluides);2 RUE SAINTE URSULE - GRATUIT;371
2015;LYCEE EMMANUEL MOUNIER;-;-;Avantage en nature (locaux / équipements sportifs);84 galerie de l'Arlequin;34 304
2015;MADAME RUETABAGA;-;-;Avantage en nature (Autre);80 place des géants;2 291
2015;MAISON DE LA CULTURE (MC2) COOP CULTUREL;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux;18 354
2015;MAISON DE LA CULTURE (MC2) COOP CULTUREL;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux Trembles;20 860
2015;MAISON DE LA CULTURE (MC2) COOP CULTUREL;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition locaux Louis Lachenal;3 444
2015;MAISON DE LA CULTURE (MC2) COOP CULTUREL;-;-;Avantages en nature (gratuité des fluides);Fluides;6 422
2015;MAISON DE LA CULTURE ARMENIENNE DE GRENOBLE ET DU DAUPHINE (MCAGD);International;Culture étrangère;Avantage en nature (locaux / équipements sportifs);11, rue Belledonne (54 m2);3 991
2015;MAISON DE LA CULTURE ARMENIENNE DE GRENOBLE ET DU DAUPHINE (MCAGD);International;Culture étrangère;Avantage en nature (locaux / équipements sportifs);15, cours de la Libération (460 m2);43 636
2015;MAISON DE LA NATURE ET DE L'ENVIRONNEMENT DE L'ISERE - MNEI;Opinion Expression Défense des droits et des intérêts;Environnement et développement durable;Avantage en nature (locaux / équipements sportifs);5 place bir hakeim+ 16 rue jospeh chanrion;114 195
2015;MAISON DES INITIATIVES;-;-;Avantage en nature (locaux / équipements sportifs);1 avenue Léon Blum;35 547
2015;MAISON DES INITIATIVES;-;-;Avantages en nature (gratuité des fluides);1 avenue léon blum;4 265
2015;MAISON DES JEUX ASS;Loisirs et vie sociale;-;Avantage en nature (locaux / équipements sportifs);48 quai de France;23 803
2015;MAISON POUR TOUS MPT SAINT LAURENT;-;-;Avantage en nature (locaux / équipements sportifs);1 place St Laurent;13 691
2015;MAISON POUR TOUS MPT SAINT LAURENT;-;-;Avantage en nature (locaux / équipements sportifs);1 porte st laurent;3 814
2015;MAISON POUR TOUS MPT SAINT LAURENT;-;-;Avantage en nature (locaux / équipements sportifs);2 place st laurent;15 583
2015;MAISON POUR TOUS MPT SAINT LAURENT;-;-;Avantage en nature (locaux / équipements sportifs);8 rue St Ferjus;1 538
2015;MAISON POUR TOUS MPT SAINT LAURENT;-;-;Avantage en nature (locaux / équipements sportifs);9 place st laurent;2 829
2015;MAISON POUR TOUS MPT SAINT LAURENT;-;-;Avantage en nature (locaux / équipements sportifs);57 place st laurent (cave);426
2015;MAISON POUR TOUS MPT SAINT LAURENT;-;-;Avantages en nature (gratuité des fluides);1 place st laurent;13 699
2015;MAISON POUR TOUS MPT SAINT LAURENT;-;-;Avantages en nature (gratuité des fluides);1 place st laurent (porte);326
2015;MAISON POUR TOUS MPT SAINT LAURENT;-;-;Avantages en nature (gratuité des fluides);8 rue st ferjus;356
2015;MAISON POUR TOUS MPT SAINT LAURENT;-;-;Avantages en nature (gratuité des fluides);9 rue st laurent;216
2015;MAISON POUR TOUS MPT SAINT LAURENT;-;-;Avantages en nature (gratuité des fluides);CASEMATES 2 place st laurent;2 724
2015;MANN'ART(E);-;-;Avantage en nature (locaux / équipements sportifs);mise à dispo de locaux;27 051
2015;MAQUETTISME ET MODELISME;-;-;Avantage en nature (locaux / équipements sportifs);7 bis rue Aristide Bergès (71 m2);3 837
2015;MAQUETTISME ET MODELISME;-;-;Avantages en nature (gratuité des fluides);7 bis rue Aristide Bergès (gratuit);877
2015;MARCHE-PIEDS;-;-;Avantage en nature (locaux / équipements sportifs);5 Christophe turc;4 436
2015;ME BACHELARD;-;-;Avantage en nature (locaux / équipements sportifs);24 rue Commandant Nal;35 917
2015;ME BACHELARD;-;-;Avantage en nature (locaux / équipements sportifs);32 impasse des Eaux Claires (garage);406
2015;ME BACHELARD;-;-;Avantages en nature (gratuité des fluides);24 rue Commandant Nal;6 437
2015;ME CLOS D'OR;Loisirs et vie sociale;Enfance et jeunesse;Avantage en nature (locaux / équipements sportifs);64 rue de stalingrad (entrepôt);5 449
2015;ME CLOS D'OR;Loisirs et vie sociale;Enfance et jeunesse;Avantage en nature (locaux / équipements sportifs);111 rue de Stalingrad;44 341
2015;ME CLOS D'OR;Loisirs et vie sociale;Enfance et jeunesse;Avantages en nature (gratuité des fluides);64 rue de stalingrad (partagé avec MJC Lucie Aubrac);59
2015;ME CLOS D'OR;Loisirs et vie sociale;Enfance et jeunesse;Avantages en nature (gratuité des fluides);111 rue des stalingrad;11 580
2015;ME PREMOL;Loisirs et vie sociale;Enfance et jeunesse;Avantage en nature (locaux / équipements sportifs);9 rue Henri Duhamel;38 393
2015;ME PREMOL;Loisirs et vie sociale;Enfance et jeunesse;Avantage en nature (locaux / équipements sportifs);22 rue Henri Duhamel;1 941
2015;ME PREMOL;Loisirs et vie sociale;Enfance et jeunesse;Avantage en nature (locaux / équipements sportifs);28 rue Christophe Turc;1 688
2015;ME PREMOL;Loisirs et vie sociale;Enfance et jeunesse;Avantage en nature (locaux / équipements sportifs);30 rue Christophe Turc;1 688
2015;ME PREMOL;Loisirs et vie sociale;Enfance et jeunesse;Avantages en nature (gratuité des fluides);9 rue Henri Duhamel;15 290
2015;ME PREMOL;Loisirs et vie sociale;Enfance et jeunesse;Avantages en nature (gratuité des fluides);28 rue Christophe Turc (stockage);180
2015;ME TEISSEIRE  A.H.A.E.A.T.;Loisirs et vie sociale;-;Avantage en nature (locaux / équipements sportifs);4 rue Gaston le Tonnelier;29 315
2015;ME TEISSEIRE  A.H.A.E.A.T.;Loisirs et vie sociale;-;Avantages en nature (gratuité des fluides);4 rue Gaston le Tonnelier;5 734
2015;ME TEISSEIRE  A.H.A.E.A.T.;Loisirs et vie sociale;-;Avantages en nature (gratuité des fluides);12 rue Malherbe;15 101
2015;MISTRAL FOOTBALL CLUB;Sports;Football;Avantage en nature (locaux / équipements sportifs);73 avenue Rhin et Danube, Résidence KAPS - 71,67m2 - Secteur 3;5 929
2015;MISTRAL FOOTBALL CLUB;Sports;Football;Avantages en nature (gratuité des fluides);73 avenue Rhin et Danube, Résidence KAPS - gratuité - Secteur 3;885
2015;MIXLAB;-;-;Avantage en nature (locaux / équipements sportifs);locaux;331 000
2015;MJC ALLOBROGES;Loisirs et vie sociale;Enfance et jeunesse;Avantage en nature (locaux / équipements sportifs);1 rue Hauquelin;96 539
2015;MJC ALLOBROGES;Loisirs et vie sociale;Enfance et jeunesse;Avantage en nature (locaux / équipements sportifs);14 rue de la Magnanerie;7 052
2015;MJC ALLOBROGES;Loisirs et vie sociale;Enfance et jeunesse;Avantages en nature (gratuité des fluides);1 rue Hauquelin;33 727
2015;MJC ALLOBROGES;Loisirs et vie sociale;Enfance et jeunesse;Avantages en nature (gratuité des fluides);14 rue de la Magnanerie;2 950
2015;MJC ALLOBROGES;Loisirs et vie sociale;Enfance et jeunesse;Avantages en nature (gratuité des fluides);37 rue Blanche Monier;3 071
2015;MJC ALLOBROGES;Loisirs et vie sociale;Famille;Avantage en nature (locaux / équipements sportifs);1 rue Hauquelin;96 539
2015;MJC ALLOBROGES;Loisirs et vie sociale;Famille;Avantage en nature (locaux / équipements sportifs);14 rue de la Magnanerie;7 052
2015;MJC ALLOBROGES;Loisirs et vie sociale;Famille;Avantages en nature (gratuité des fluides);1 rue Hauquelin;33 727
2015;MJC ALLOBROGES;Loisirs et vie sociale;Famille;Avantages en nature (gratuité des fluides);14 rue de la Magnanerie;2 950
2015;MJC ALLOBROGES;Loisirs et vie sociale;Famille;Avantages en nature (gratuité des fluides);37 rue Blanche Monier;3 071
2015;MJC ALLOBROGES;Loisirs et vie sociale;Quartier;Avantage en nature (locaux / équipements sportifs);1 rue Hauquelin;96 539
2015;MJC ALLOBROGES;Loisirs et vie sociale;Quartier;Avantage en nature (locaux / équipements sportifs);14 rue de la Magnanerie;7 052
2015;MJC ALLOBROGES;Loisirs et vie sociale;Quartier;Avantages en nature (gratuité des fluides);1 rue Hauquelin;33 727
2015;MJC ALLOBROGES;Loisirs et vie sociale;Quartier;Avantages en nature (gratuité des fluides);14 rue de la Magnanerie;2 950
2015;MJC ALLOBROGES;Loisirs et vie sociale;Quartier;Avantages en nature (gratuité des fluides);37 rue Blanche Monier;3 071
2015;MJC ANATOLE FRANCE;Art et culture;-;Avantage en nature (locaux / équipements sportifs);2 rue Anatole France;59 364
2015;MJC ANATOLE FRANCE;Art et culture;-;Avantage en nature (locaux / équipements sportifs);6 rue André Abry (droite);2 829
2015;MJC ANATOLE FRANCE;Art et culture;-;Avantage en nature (locaux / équipements sportifs);6 rue André Abry (gauche);2 829
2015;MJC ANATOLE FRANCE;Art et culture;-;Avantage en nature (locaux / équipements sportifs);8 rue Anatole France;24 524
2015;MJC ANATOLE FRANCE;Art et culture;-;Avantages en nature (gratuité des fluides);2 et 8 rue Anatole France;13 615
2015;MJC ANATOLE FRANCE;Art et culture;-;Avantages en nature (gratuité des fluides);6 rue André Abry (droite);241
2015;MJC ANATOLE FRANCE;Loisirs et vie sociale;-;Avantage en nature (locaux / équipements sportifs);2 rue Anatole France;59 364
2015;MJC ANATOLE FRANCE;Loisirs et vie sociale;-;Avantage en nature (locaux / équipements sportifs);6 rue André Abry (droite);2 829
2015;MJC ANATOLE FRANCE;Loisirs et vie sociale;-;Avantage en nature (locaux / équipements sportifs);6 rue André Abry (gauche);2 829
2015;MJC ANATOLE FRANCE;Loisirs et vie sociale;-;Avantage en nature (locaux / équipements sportifs);8 rue Anatole France;24 524
2015;MJC ANATOLE FRANCE;Loisirs et vie sociale;-;Avantages en nature (gratuité des fluides);2 et 8 rue Anatole France;13 615
2015;MJC ANATOLE FRANCE;Loisirs et vie sociale;-;Avantages en nature (gratuité des fluides);6 rue André Abry (droite);241
2015;MJC EAUX CLAIRES;Loisirs et vie sociale;-;Avantage en nature (locaux / équipements sportifs);33 rue Joseph Bouchayer;63 663
2015;MJC EAUX CLAIRES;Loisirs et vie sociale;-;Avantages en nature (gratuité des fluides);33 rue Joseph Bouchayer;14 758
2015;MJC LUCIE AUBRAC;Loisirs et vie sociale;Enfance et jeunesse;Avantage en nature (locaux / équipements sportifs);56 rue Général Ferrié;78 968
2015;MJC LUCIE AUBRAC;Loisirs et vie sociale;Enfance et jeunesse;Avantage en nature (locaux / équipements sportifs);64 rue de stalingrad (entrepot);4 150
2015;MJC LUCIE AUBRAC;Loisirs et vie sociale;Enfance et jeunesse;Avantages en nature (gratuité des fluides);56 rue Général Ferrié;9 722
2015;MJC LUCIE AUBRAC;Loisirs et vie sociale;Enfance et jeunesse;Avantages en nature (gratuité des fluides);64 rue de Stalingrad (partagé avec ME Clos d'Or);115
2015;MJC MAISON POUR TOUS ABBAYE;Loisirs et vie sociale;-;Avantage en nature (locaux / équipements sportifs);1 place de la Commune;51 609
2015;MJC MAISON POUR TOUS ABBAYE;Loisirs et vie sociale;-;Avantages en nature (gratuité des fluides);1 place de la Commune;9 432
2015;MJC MUTUALITE;-;-;Avantage en nature (locaux / équipements sportifs);5  rue des adieux (atelier bois);6 863
2015;MJC MUTUALITE;-;-;Avantage en nature (locaux / équipements sportifs);10 rue Joseph Chanrion;23 163
2015;MJC MUTUALITE;-;-;Avantage en nature (locaux / équipements sportifs);35 rue Joseph Chanrion;16 214
2015;MJC MUTUALITE;-;-;Avantages en nature (gratuité des fluides);5 rue des Adieux;1 772
2015;MJC MUTUALITE;-;-;Avantages en nature (gratuité des fluides);10 rue Joseph Chanrion;849
2015;MJC PARMENTIER;Loisirs et vie sociale;-;Avantage en nature (locaux / équipements sportifs);3 rue Parmentier;22 932
2015;MJC PARMENTIER;Loisirs et vie sociale;-;Avantage en nature (locaux / équipements sportifs);4 bis rue Mozart;2 932
2015;MJC PARMENTIER;Loisirs et vie sociale;-;Avantage en nature (locaux / équipements sportifs);17 W Rousseau (Daguerre et Niepce);46 368
2015;MJC PARMENTIER;Loisirs et vie sociale;-;Avantage en nature (locaux / équipements sportifs);73 ter rue Nicolas Chorier;1 710
2015;MJC PARMENTIER;Loisirs et vie sociale;-;Avantages en nature (gratuité des fluides);3 rue Parmentier;3 625
2015;MJC PARMENTIER;Loisirs et vie sociale;-;Avantages en nature (gratuité des fluides);17 square W Rousseau (Daguerre et Niepce);12 347
2015;MJC PARMENTIER;Loisirs et vie sociale;-;Avantages en nature (gratuité des fluides);41 rue Max Dormoy;620
2015;MJC PREMOL;-;-;Avantage en nature (locaux / équipements sportifs);7 rue Henri Duhamel;152 509
2015;MJC PREMOL;-;-;Avantage en nature (locaux / équipements sportifs);23 rue des Trembles;18 526
2015;MJC PREMOL;-;-;Avantages en nature (gratuité des fluides);7 rue Henri Duhamel;21 588
2015;MJC PREMOL;-;-;Avantages en nature (gratuité des fluides);23 rue des Trembles (salle festive);3 476
2015;MONTAGNE AMITIE SOLEIL CLUB GRENOBLOIS;-;-;Avantage en nature (locaux / équipements sportifs);2 ter rue Berthe de Boissieux (centre sportif) - 30 m2 - Secteur 2;1 720
2015;MUSIQUES CREATIVES DU SUD - ALMA MUSIQUES;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux;2 328
2015;MUSIQUES CREATIVES DU SUD - ALMA MUSIQUES;-;-;Avantages en nature (gratuité des fluides);Fluides;438
2015;OBSERVATOIRE INTERNATIONAL DES PRISONS - OIP GROUPE LOCAL;-;-;Avantage en nature (locaux / équipements sportifs);2, allée du Lys Rouge 50.45 m_;3 172
2015;OBSERVATOIRE NATIONAL DES POLITIQUES CULTURELLES;Art et culture;-;Avantage en nature (Autre);FLUIDES;5 311
2015;OBSERVATOIRE NATIONAL DES POLITIQUES CULTURELLES;Art et culture;-;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux;33 201
2015;OCTOBRE;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux à Peld'is;3 866
2015;OCTOBRE;-;-;Avantages en nature (gratuité des fluides);Fluides;710
2015;OFFICE MUNICIPAL DES SPORTS ASSOCIATION - OMS;Sports;Associations diverses;Avantage en nature (locaux / équipements sportifs);3 Passage du Palais de Justice - Immeuble Gavin 3è étage - 92m2 - Secteur 2;5 778
2015;ORCHESTRE DE CHAMBRE DE GRENOBLE - LES MUSICIENS DU LOUVRE;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux;69 411
2015;ORCHESTRE DE CHAMBRE DE GRENOBLE - LES MUSICIENS DU LOUVRE;-;-;Avantages en nature (gratuité des fluides);Fluides;10 226
2015;OSMOSE ASSOCIATION;-;-;Avantage en nature (locaux / équipements sportifs);85 galerie des Baladins;12 552
2015;PASSAGE;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux à Peld'is;3 866
2015;PASSAGE;-;-;Avantages en nature (gratuité des fluides);Fluides;710
2015;PATRIMOINE ET DEVELOPPEMENT COMITE SAUVEGARDE VIEUX GRENOBLE;Art et culture;Patrimoine;Avantage en nature (locaux / équipements sportifs);Mise à disposition de locaux;5 157
2015;PAYS'ÂGES, LA MAISON DES SAGES;-;-;Avantage en nature (locaux / équipements sportifs);57, avenue du Maréchal Randon - (164.84 m2);11 818
2015;PAYS'ÂGES, LA MAISON DES SAGES;-;-;Avantages en nature (gratuité des fluides);57, avenue du Maréchal Randon (Plafond);2 036
2015;PETANQUE ILE VERTE ASS;-;-;Avantage en nature (locaux / équipements sportifs);13 chemin de Ronde - 84,80 M2 - Secteur 2;4 116
2015;POLE MUSICAL D'INNOVATION (EX-ROCKTAMBULE);-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux;15 089
2015;POLE MUSICAL D'INNOVATION (EX-ROCKTAMBULE);-;-;Avantages en nature (gratuité des fluides);Fluides;6 668
2015;REGIE DE QUARTIER VILLENEUVE-VILLAGE OLYMPIQUE;-;-;Avantage en nature (Autre);17 galerie de l'arlequin;45 836
2015;RENCONTRE AMITIE MISTRAL;-;-;Avantage en nature (Autre);14 rue albert thomas;1 912
2015;RENCONTRES DES CULTURES FRANCO IRANIENNE;-;-;Avantage en nature (locaux / équipements sportifs);9 ALLEE DU JARDIN HOCHE;2 647
2015;RENCONTRES DES CULTURES FRANCO IRANIENNE;-;-;Avantages en nature (gratuité des fluides);9 ALLEE DU JARDIN HOCHE;494
2015;RETRAITES ET INVALIDES ALGERIENS DE L'ISERE (ARAI);-;-;Avantage en nature (locaux / équipements sportifs);57, avenue du Maréchal Randon (135.18 m2);9 692
2015;RETRAITES ET INVALIDES ALGERIENS DE L'ISERE (ARAI);-;-;Avantages en nature (gratuité des fluides);57, avenue du Maréchal Randon (gratuit);1 669
2015;SANTE DIABETE;-;-;Avantage en nature (locaux / équipements sportifs);Maison Gavin 3 passage du Palais de Justice;2 509
2015;SANTE ENVIRONNEMENT EN RHONE ALPES (SERA);-;-;Avantage en nature (locaux / équipements sportifs);6 BIS RUE BERTHE DE BOISSIEUX - MDA - 11.10m_;734
2015;SASFE;Art et culture;-;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux;4 274
2015;SASFE;Art et culture;-;Avantages en nature (gratuité des fluides);Fluides;972
2015;SAVANE PETANQUE;-;-;Avantage en nature (locaux / équipements sportifs);31 avenue Rhin et Danube - Parc de la Savane (côté 24 rue Roger Ronserail) - 53 m2 - Secteur 3;3 098
2015;SENTINELLE DES ALPES;Sports;Gym volontaire;Avantage en nature (locaux / équipements sportifs);8 rue Léo Lagrange (CS Reyniès Bayard) Rdc - 22m2 - Secteur 4;1 164
2015;SENTINELLE DES ALPES;Sports;Gym volontaire;Avantage en nature (locaux / équipements sportifs);10, rue Berthe de Boissieux (CS Berthe de Boissieux) 3ème ét - 35,82m2 - Secteur 2;2 055
2015;SOCIETE DES AMIS DES ARTS DE GRENOBLE (SADAG);-;-;Avantage en nature (locaux / équipements sportifs);Mise à disposition de l'ancien musée de peinture;2 900
2015;SOCIETE DES AMIS DU MUSEE DE GRENOBLE;Art et culture;Arts plastiques;Avantage en nature (Autre);Mise à disposition de l'auditorium du Musée;13 215
2015;SOCIETE DES AMIS DU MUSEE DE GRENOBLE;Art et culture;Arts plastiques;Avantage en nature (locaux / équipements sportifs);Mise à disposition d'un bureau au Musée;3 938
2015;SOCIETE DES TOURISTES DU DAUPHINE;-;-;Avantage en nature (locaux / équipements sportifs);3 passage du Palais de Justice - 46,30 m2 - Secteur 2;2 911
2015;SOCIETE MYCOLOGIQUE DU DAUPHINE (SMD38);Loisirs et vie sociale;Sciences et techniques;Avantage en nature (locaux / équipements sportifs);24 QUAI DE FRANCE - 80m_;5 295
2015;SOCIETE MYCOLOGIQUE DU DAUPHINE (SMD38);Loisirs et vie sociale;Sciences et techniques;Avantages en nature (gratuité des fluides);24 QUAI DE FRANCE - GRATUIT;948
2015;SOLIDARITE FEMMES;Action Sociale;Emploi Insertion;Avantage en nature (locaux / équipements sportifs);80 galerie de l'Arlequin;13 272
2015;SOLIDARITE FEMMES;Action Sociale;Emploi Insertion;Avantages en nature (gratuité des fluides);10 galerie de l'Arlequin;115
2015;SOURCE DE VIE;-;-;Avantage en nature (locaux / équipements sportifs);6 RUE CLAUDE KOGAN - 72m_;5 354
2015;SPACEJUNK GRENOBLE;Art et culture;-;Avantage en nature (locaux / équipements sportifs);Mise à disposition de l'ancien musée de peinture;3 900
2015;SPELEO CLUB DE GRENOBLE;-;-;Avantage en nature (locaux / équipements sportifs);3 passage du Palais de Justice - 25,58 m2 - Secteur 2;1 608
2015;SPORTIVE BEAUVERT GRENOBLE;-;-;Avantage en nature (locaux / équipements sportifs);Stade Lesdiguières, 126 cours Libération - 84,3m2 - Secteur 3;3 533
2015;SYNDICAT DES FAMILLES MONOPARENTALES DE L'ISERE;Action Sociale;Famille;Avantage en nature (locaux / équipements sportifs);MDA, 6 rue Berthe de Boissieux (2x11 m2);1 456
2015;TEAM LES GALAPIATS;Art et culture;Culture scientifique, technique et industrielle;Avantage en nature (locaux / équipements sportifs);11 rue des Tournelles;45 487
2015;TEAM LES GALAPIATS;Art et culture;Culture scientifique, technique et industrielle;Avantages en nature (gratuité des fluides);11 rue des Tournelles;14 105
2015;TENNIS CLUB VILLENEUVE;Sports;Tennis;Avantage en nature (locaux / équipements sportifs);52 rue la Bruyère, Porte Villeneuve - Peuplier - 37m2 - Secteur 6;1 958
2015;TENNIS CLUB VILLENEUVE;Sports;Tennis;Avantages en nature (gratuité des fluides);66 avenue la Bruyère, Porte Villeneuve - Peuplier - gratuité - Secteur 6;1 849
2015;TETRAKTYS - COOPERATION DVPT LOCAL DES ESPACES NATURELS;-;-;Avantage en nature (locaux / équipements sportifs);Maison Gavin 112 m_;7 073
2015;THEATRE DE FORTUNE;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux;2 955
2015;THEATRE DE FORTUNE;-;-;Avantages en nature (gratuité des fluides);Fluides;1 338
2015;TUNISIENS DE L'ISERE CITOYENS DES DEUX RIVES (ATI-CDR);Art et culture;Danse;Avantage en nature (locaux / équipements sportifs);9, allée des Frènes (37 m2);2 326
2015;TUNISIENS DE L'ISERE CITOYENS DES DEUX RIVES (ATI-CDR);Art et culture;Danse;Avantages en nature (gratuité des fluides);9, allée des Frènes (plafond);557
2015;TUNISIENS DE L'ISERE CITOYENS DES DEUX RIVES (ATI-CDR);International;Cours de langue;Avantage en nature (locaux / équipements sportifs);9, allée des Frènes (37 m2);2 326
2015;TUNISIENS DE L'ISERE CITOYENS DES DEUX RIVES (ATI-CDR);International;Cours de langue;Avantages en nature (gratuité des fluides);9, allée des Frènes (plafond);557
2015;TUNISIENS DE L'ISERE CITOYENS DES DEUX RIVES (ATI-CDR);Loisirs et vie sociale;Divers;Avantage en nature (locaux / équipements sportifs);9, allée des Frènes (37 m2);2 326
2015;TUNISIENS DE L'ISERE CITOYENS DES DEUX RIVES (ATI-CDR);Loisirs et vie sociale;Divers;Avantages en nature (gratuité des fluides);9, allée des Frènes (plafond);557
