Provenance;CODEZA;NOMZA;Dernière Mise à jour;Code Insee Commune Principale;Commune Principale;Propriétaire;Aménageur;Gestionnaire;Id_Intercommunalite;Intercommunalite;ANNEECREAT;Surface occupee Ha;Surface libre equipee Ha;Surface libre non equipee Ha;Surface des infrastructures Ha;Surface zone verte Ha;Surface Totale Ha;TxOccup;SurfaceDispo;SurfaceCommercialisable
OPENDATA41 - www.pilote41.fr;166;ZA de Tournebride;3/4/2015 00:00:00;41003;Areines;CC du Vendômois Rural;CC du Vendômois Rural;CC du Vendômois Rural;244100269;Communauté de communes du Vendômois Rural;2000;1,45;0,49;0,00;0,00;0,00;1,94;74,53;0,49;1,94
OPENDATA41 - www.pilote41.fr;167;ZA de Chassenay;27/3/2015 00:00:00;41002;Angé;;CC Val-de-Cher - Controis;CC Val-de-Cher - Controis;200040863;Communauté de communes Val-de-Cher - Controis;1989;1,93;0,00;0,00;0,23;0,00;2,17;100,00;0,00;1,93
OPENDATA41 - www.pilote41.fr;168;Parc "Cher Sologne";7/4/2015 00:00:00;41242;Selles-sur-Cher;;CC Val-de-Cher - Controis;CC Val-de-Cher - Controis;200040863;Communauté de communes Val-de-Cher - Controis;2000;10,67;23,63;0,00;4,26;2,06;40,63;31,12;23,63;34,31
OPENDATA41 - www.pilote41.fr;169;Parc d'Activités du Bout des Hayes;26/3/2015 00:00:00;41018;Blois;3 Vals Aménagement;3 Vals Aménagement;Agglopolys;200030385;Agglopolys - Communauté de l'agglomération de Blois;2000;9,87;0,00;0,00;1,01;0,92;11,82;100,00;0,00;9,87
OPENDATA41 - www.pilote41.fr;170;Parc d'Activités Les Guignières;20/3/2015 00:00:00;41018;Blois;3 Vals Aménagement;3 Vals Aménagement;Agglopolys;200030385;Agglopolys - Communauté de l'agglomération de Blois;2000;11,06;7,05;0,00;1,95;6,95;27,03;61,06;7,05;18,12
OPENDATA41 - www.pilote41.fr;171;Parc d'Activités Les Sorbiers;25/3/2015 00:00:00;41295;Vineuil;3 Vals Aménagement;3 Vals Aménagement;Agglopolys;200030385;Agglopolys - Communauté de l'agglomération de Blois;1998;15,76;0,00;0,00;0,08;0,00;15,84;100,00;0,00;15,76
OPENDATA41 - www.pilote41.fr;172;ZA Les Poizas;27/3/2015 00:00:00;41043;Châtillon-sur-Cher;CC Val-de-Cher - Controis;CC Val-de-Cher - Controis;CC Val-de-Cher - Controis;200040863;Communauté de communes Val-de-Cher - Controis;2000;4,15;0,00;2,28;0,08;0,00;6,52;64,57;2,28;6,44
OPENDATA41 - www.pilote41.fr;173;Zone d'Activités de Sargé-sur-Braye;17/7/2015 00:00:00;41235;Sargé-sur-Braye;CC des Collines du Perche;CC des Collines du Perche;CC des Collines du Perche;244100293;Communauté de communes des Collines du Perche;2000;2,88;2,33;0,00;0,33;1,81;7,36;55,20;2,33;5,22
OPENDATA41 - www.pilote41.fr;174;Parc d'Activités de la Patte d'Oie;20/3/2015 00:00:00;41212;Saint-Gervais-la-Forêt;Privé;Privé;Privé;200030385;Agglopolys - Communauté de l'agglomération de Blois;1999;2,46;0,00;0,00;0,54;0,72;3,73;100,00;0,00;2,46
OPENDATA41 - www.pilote41.fr;177;Zone d'Activités des Tournesols;20/3/2015 00:00:00;41173;Ouzouer-le-Marché;CC de la Beauce oratorienne;CC de la Beauce oratorienne;CC de la Beauce oratorienne;244100707;Communauté de communes de la Beauce Oratorienne;2000;2,58;2,70;4,37;1,07;0,53;11,27;26,78;7,07;9,66
OPENDATA41 - www.pilote41.fr;178;Zone de la Grange II;26/3/2015 00:00:00;41194;Romorantin-Lanthenay;3 Vals Aménagement;3 Vals Aménagement;CC Romorantinais et  Monestois;200018406;Communauté de communes du Romorantinais et du Monestois;1999;15,13;0,00;12,95;2,07;0,00;30,16;53,88;12,95;28,08
OPENDATA41 - www.pilote41.fr;179;Parc d'Activités Euro Val de Loire-Parc A10 Sud;20/3/2015 00:00:00;41047;Chaussée-Saint-Victor;C.C.I.;C.C.I.;C.C.I.;200030385;Agglopolys - Communauté de l'agglomération de Blois;2002;23,65;4,47;0,00;4,11;2,66;34,91;84,08;4,47;28,13
OPENDATA41 - www.pilote41.fr;184;Zone Artisanale;20/3/2015 00:00:00;41080;Faverolles-sur-Cher;;CC du Cher à La Loire;CC du Cher à La Loire;244100764;Communauté de communes du Cher à la Loire;1990;1,30;0,00;0,00;0,07;0,00;1,38;100,00;0,00;1,30
