objectid,inseecom,commune,date_maj,nom,st_areashape,st_lengthshape
9486,90098,URCEREY,1970/01/01 00:00:00+00,ilot parcellaire,300275.61766619,2907.61838816145
9487,90098,URCEREY,1970/01/01 00:00:00+00,ilot parcellaire,40483.77335,1169.1530979376
9488,90098,URCEREY,1970/01/01 00:00:00+00,ilot parcellaire,43476.15875,861.357123555428
9489,90098,URCEREY,1970/01/01 00:00:00+00,ilot parcellaire,964661.115411405,7767.04703695493
9490,90098,URCEREY,1970/01/01 00:00:00+00,ilot parcellaire,174712.506002715,2211.14607479712
9491,90098,URCEREY,1970/01/01 00:00:00+00,ilot parcellaire,90750.643423335,1339.36532594883
9492,90098,URCEREY,1970/01/01 00:00:00+00,ilot parcellaire,3360.5404,321.8484360895
9493,90098,URCEREY,1970/01/01 00:00:00+00,ilot parcellaire,3127.07136034,301.313557322762
9494,90004,ARGIESANS,2020/08/17 00:00:00+00,ilot parcellaire,41.499468425,62.4773309796174
9495,90015,BOTANT,2020/08/17 00:00:00+00,ilot parcellaire,1191.751650925,331.241832309806
9496,90015,BOTANT,2020/08/17 00:00:00+00,ilot parcellaire,30586.771575835,1068.48358228358
9497,90015,BOTANT,2020/08/17 00:00:00+00,ilot parcellaire,339302.04635037,4815.93589872979
9498,90004,ARGIESANS,2020/08/17 00:00:00+00,ilot parcellaire,30553.802981845,944.831342584231
9882,90068,MEROUX-MOVAL,2020/08/17 00:00:00+00,ilot parcellaire,66534.555111235,1357.89747738495
