PLUVIO;CORDE;COMMUNE;DEBIMETRE;DOPPLER;LIGNE;VOLJOUR;CAP_HAUTEUR;ACQUI;CAP_VITESSE;OBJECTIF;DEBMOY;OBSERVAT;PIEZ;NOM;FACILITYID;RESEAU;TYPEMES;US;RADAR;geometry
;;NIC;;;;;;;;DIAG;;;;Halevy;PNIC01 Q;EU;DEBIT;;;{"type": "Point", "coordinates": [7.26565413, 43.69481819]}
;;NIC;;;;;;;;DIAG;;;;Aqueduc Gambetta;PNIC13 A;EU;DEBIT;;;{"type": "Point", "coordinates": [7.25627864, 43.69365609]}
;;NIC;;;;;;;;DIAG;;;;Aqueduc Rivoli;PNIC12 A;EU;DEBIT;;;{"type": "Point", "coordinates": [7.25853629, 43.69415463]}
;;NIC;;;;;;;;DIAG;;;;Gambetta Ouest;PNIC47Q;EU;DEBIT;;;{"type": "Point", "coordinates": [7.25617661, 43.69505278]}
;;NIC;;;;;;;;DIAG;;;;Aqueduc Magnan;PNIC14 A;EU;DEBIT;;;{"type": "Point", "coordinates": [7.24554465, 43.69051559]}
;;NIC;;;;;;;;DIAG;;;;Daudet;PNIC57Q;EU;DEBIT;;;{"type": "Point", "coordinates": [7.24678525, 43.69238]}
;;NIC;;;;;;;;DIAG;;;;Square Magnan;PNIC58Q;EU;DEBIT;;;{"type": "Point", "coordinates": [7.24470351, 43.69145497]}
;;NIC;;;;;;;;DIAG;;;;Magnan;PNIC02 Q;EU;DEBIT;;;{"type": "Point", "coordinates": [7.24376251, 43.68991677]}
;;NIC;;;;;;;;DIAG;;;;Verani;PNIC06 Q;EU;DEBIT;;;{"type": "Point", "coordinates": [7.28358544, 43.70855621]}
;;NIC;;;;;;;;DIAG;;;;St Isidore;PNIC59Q;EU;DEBIT;;;{"type": "Point", "coordinates": [7.19257673, 43.70851661]}
;;NIC;;;;;;;;DIAG;;;;Ste Marie;PNIC50Q;EU;DEBIT;;;{"type": "Point", "coordinates": [7.28353756, 43.73098882]}
;;NIC;;;;;;;;DIAG;;;;Aqueduc Jean Médecin;PNIC10 A;EU;DEBIT;;;{"type": "Point", "coordinates": [7.26948706, 43.69811922]}
;;NIC;;;;;;;;AUTO;;;;DO Païole;PNIC18 A;EU;DEBIT;;;{"type": "Point", "coordinates": [7.28380421, 43.69809624]}
;;NIC;;;;;;;;AUTO;;;;DO Ponchettes;PNIC17 A;EU;DEBIT;;;{"type": "Point", "coordinates": [7.27364481, 43.69477272]}
;;NIC;;;;;;;;DIAG;;;;Cassin;PNIC08 Q;EU;DEBIT;;;{"type": "Point", "coordinates": [7.21922943, 43.66967495]}
;;CAG;;;;;;;;DIAG;;;;SIA Villeneuve;PCAG12 Q;EU;DEBIT;;;{"type": "Point", "coordinates": [7.15456237, 43.65359389]}
;;CAG;;;;;;;;DIAG;;Qualité;;SIA La Colle;PCAG11 Q;EU;DEBIT;;;{"type": "Point", "coordinates": [7.12449239, 43.67132148]}
;;SLV;;;;;;;;AUTO;;;;DO Napoléon III;PSLV 07A;EU;DEBIT;;;{"type": "Point", "coordinates": [7.19776902, 43.66316272]}
;;CAG;;;;;;;;;;;;STEP CAGNES;PL CAG 01;;PLUVIO;;;{"type": "Point", "coordinates": [7.15530546, 43.653815]}
;;LAT;;;;;;;;AUTO;;;;DO Oli;PNIC20 A;EU;DEBIT;;;{"type": "Point", "coordinates": [7.30559349, 43.73491306]}
;;NIC;;;;;;;;DIAG;;;;Crémat St Isidore;PNIC41Q;EP;DEBIT;;;{"type": "Point", "coordinates": [7.18897506, 43.71055351]}
;;NIC;;;;;;;;DIAG;;;;Magnan 2;PNIC07 US;EU;DEBIT;;;{"type": "Point", "coordinates": [7.24696102, 43.69099503]}
