INSEE;TYPEINF;CARACT;LIBELLE;URLFIC;IDURBA;ID_NCA;TXT;NOMFIC;geometry
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;98;16,95;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18445542, 43.65729973], [7.18438842, 43.65744428]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;99;2,11;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18084339, 43.65539045], [7.18085176, 43.65537243]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;100;5,08;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.1795954, 43.65551529], [7.17962043, 43.65555724]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;101;6,76;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.1840293, 43.65753862], [7.18410955, 43.65755595]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;152;30,77;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.17958138, 43.65543885], [7.17993019, 43.65532705]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;153;20,52;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18024262, 43.65621974], [7.18032464, 43.65604493]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;154;19,65;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.17986701, 43.65617548], [7.18009756, 43.6562325]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;155;203,52;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18328386, 43.65712927], [7.18089363, 43.65654446]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;156;6,56;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18414665, 43.65750381], [7.18415818, 43.65744537]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;157;11,37;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18430732, 43.65760422], [7.18444073, 43.65763702]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;158;17,84;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18542623, 43.65702177], [7.18545675, 43.65686282]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;159;3,2;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18074609, 43.65542673], [7.18078364, 43.65543592]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;160;12,79;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18043173, 43.65528974], [7.18048236, 43.65518069]]}
