CANDIDATS,REMPLACANTS,PARTIS,VOIX OBTENUES 1er tour,VOIX OBTENUES 2d tour,% DE VOIX OBTENUES 1er tour,% DE VOIX OBTENUES 2d tour,canton,participation
,,,,,,,,
Mikaël MILLAC Elena SPIRIN,William FAVRE Michèle MILLAC,Divers droite,171,, 1.13%,,Villenave-d'Ornon,46.39 % 
,,,,,,,,
Martine JARDINÉ Jacques RAYNAUD,Pauline VERT Narcisse KAMAYENWODE,Union de la Gauche,5978,8236, 39.62%,60.59% ,Villenave-d'Ornon,46.39 % 
,,,,,,,,
M. Jacques CHAUVET Carole VEILLARD,Christophe BURTIN Michèle TUILLIER,Union de la Droite,5953,6672, 40.38%,43.47% ,Gujan-Mestras,51.10 %
,,,,,,,,
Pierre CLEAZ Danielle TRANNOY,Gérard CUSOL Michèle GOUAUX-BOURSEAU,Front de Gauche,668,, 4.53%,,Gujan-Mestras,51.10 %
,,,,,,,,
Daniel MARCHADIER Annie ZAPATA,Laurent KAUCIC Nicole OGEZ,Front National,3775,3452, 25.61%,22.49% ,Gujan-Mestras,51.10 %
,,,,,,,,
Serge BAUDY Karine DESMOULIN,Didier BAGNERES Sylviane STOME,Union de la Gauche,4347,5224, 29.49%,34.04% ,Gujan-Mestras,51.10 %
,,,,,,,,
Marie LARRUE Jean-Guy PERRIERE,Manuela MATHONNEAU Philippe DE GONNEVILLE,Union de la Droite,8957,11945, 43.87%,63.95% ,Andernos-les-Bains,50.98 %
,,,,,,,,
Christian DARRIET Francine LOUBES,Bruce BUISSON Sylvie MIOT,Front de Gauche,1253,, 6.14%,,Andernos-les-Bains,50.98 %
,,,,,,,,
Jacques BORDENAVE-GASSEDAT Marie-Alix RENAULD,Alain BOUDY-EXTRAT Odette MOREAU,Front National,5036,, 24.66%,,Andernos-les-Bains,50.98 %
,,,,,,,,
Marc LUSIGNAN Claire SOMBRUN,Adrien DUFOURG Jacqueline DOSSET,Union de la Gauche,5172,6735, 25.33%,36.05% ,Andernos-les-Bains,50.98 %
,,,,,,,,
Anne-Laure BEDU Philippe GARRIGUE,Josiane ZAMBON Jean-marc PETRISSANS,Union de la Gauche,5046,6951, 32.18%,48.46% ,Presqu'île,48.49 %
,,,,,,,,
Jean CHAZEAU Chantal PUECH,Nicolas MUZOTTE Chantal URRUTIA,Front de Gauche,1285,, 8.20%,,Presqu'île,48.49 %
,,,,,,,,
Valérie DROUHAUT Hubert LAPORTE,Carine DORIGNAC Kévin SUBRENAT,Divers droite,4730,7393, 30.17%,51.54% ,Presqu'île,48.49 %
,,,,,,,,
Francis FRATRÉ Rose-Marie SCHWOB,Jean-Martial FLORES Nathalie TEULE,Front National,4104,, 26.18%,,Presqu'île,48.49 %
,,,,,,,,
Maryse BRUN Jean Louis LAHOUDERE,Annick VERT Jean-Marc LAGNIER,Debout la France,514,,3.28%,,Presqu'île,48.49 %
,,,,,,,,
Célia MONSEIGNE Alain RENARD,Nadia BRIDOUX Jean-Luc DESPERIEZ,Parti Socialiste,5500,8371, 34.79%,55.03% ,Nord-Gironde, 50.53 % 
,,,,,,,,
Olivier GUIBERT Elisabeth PETIT,Serge LESTANG Agnès BLONDY,Front National,5144,6841, 32.54%,44.97% ,Nord-Gironde, 50.53 % 
,,,,,,,,
Dominique CHAUPARD Véronique LAVAUD,Dominique BESSON Angèlique LUSSEAU,Front de Gauche,1249,, 7.90%,,Nord-Gironde, 50.53 % 
,,,,,,,,
Muriel CALLENDREAU DE PORTBAIL Dominique PIONAT,Christelle VILLIER Jean-Pierre BARRET,Union de la Droite,3916,, 24.77%,,Nord-Gironde, 50.53 % 
,,,,,,,,
Arnaud DELLU Denise GRESLARD NÉDÉLEC,Jean-Pierre LABARTHE Khadidja SAHOULBA,Parti Socialiste,3314,6169, 26.44%,53.90% ,Talence,49.30 %
,,,,,,,,
Yamina KRARIA Arthur LEDARD,Sylvie DELHAYE Vincent BOIVINET,Front de Gauche,976,, 7.79%,,Talence,49.30 %
,,,,,,,,
Françoise CAMELLI Bruno PALUTEAU,Claudine GALLEE Jacques PERCHAT,Front National,1608,, 12.83%,,Talence,49.30 %
,,,,,,,,
Stéphane DELGADO Morgane RIDOIN,Philippe RIEU Yvette JAYLE,Divers gauche,524,, 4.18%,,Talence,49.30 %
,,,,,,,,
Alain CAZABONNE Dominique IRIART,Laurent PRADES Madeleine HITON,Union de la Droite,4045,5277, 32.27%,46.10% ,Talence,49.30 %
,,,,,,,,
Bruno BÉZIADE Monique DE MARCO,Pierre OUALLET Isabelle RAMI,Europe-Ecologie-Les Verts,1621,, 12.93%,,Talence,49.30 %
,,,,,,,,
Paul AGIUS Rosa OULD AMEZIANE,Alain PERRIER Anne POULAIN-ROMANET,Divers gauche,446,, 3.56%,,Talence,49.30 %
,,,,,,,,
Isabelle DEXPERT Jean-Luc GLEYZE,Danielle BARBEYRE Christian DAIRE,Parti Socialiste,5454,8417, 35.26%,60.10% ,Sud-Gironde,58.80 %
,,,,,,,,
Jean-Pierre BAILLE Marie-Angélique LATOURNERIE,François GARIN Sophie METTE,Union de la Droite,3836,5587,24.80%,39.90% ,Sud-Gironde,58.80 %
,,,,,,,,
Sophie AMBARD Guillaume JAMBARD,Marine GENESTIN Pascal RUEL,Extrême droite,0,, 0.00%,,Sud-Gironde,58.80 %
,,,,,,,,
Michel APPLINCOURT Françoise MANET,Jean-Bernard CALVINHAC Liliane MARTIN,Front National,3083,, 19.93%,,Sud-Gironde,58.80 %
,,,,,,,,
