NB_PRESTATATION,ANNEE,COMMUNE,latitude,longitude,code postal,code insee
,2010,Cabara,44.826090,-0.159844,33420,33078
,2010,Cadarsac,44.860235,-0.287193,33750,33079
47,2010,Cadaujac,44.755436,-0.530214,33140,33080
69,2010,Cadillac,44.635800,-0.319531,33410,33081
12,2010,Cadillac en Fronsadais,44.966651,-0.374680,33240,33082
,2010,Camarsac,44.831760,-0.365308,33750,33083
13,2010,Cambes,45.042615,-0.572019,33710,33067
18,2010,Camblanes et Meynac,44.764891,-0.487798,33360,33085
,2010,Camiac et St Denis,44.794792,-0.275772,33420,33086
10,2010,Camiran,44.628582,-0.070547,33190,33087
6,2010,Camps sur l Isle,45.015267,-0.032052,33660,33088
10,2010,Campugnan,45.177039,-0.564529,33390,33089
12,2010,Cantenac,45.028117,-0.654182,33460,33091
,2010,Cantois,44.692458,-0.231921,33760,33092
50,2010,Canéjan,44.762175,-0.655871,33610,33090
8,2010,Capian,44.710229,-0.331503,33550,33093
,2010,Caplong,44.851266,2.297978,15220,15196
25,2010,Captieux,44.291585,-0.260492,33840,33095
87,2010,Carbon Blanc,44.894052,-0.507241,33560,33096
35,2010,Carcans,45.078631,-1.044276,33121,33097
,2010,Cardan,44.678937,-0.323337,33410,33098
20,2010,Carignan de Bordeaux,44.814837,-0.475706,33360,33099
13,2010,Cars,45.128341,-0.621266,33390,33100
31,2010,Cartelègue,45.184645,-0.580310,33390,33101
9,2010,Casseuil,44.544552,-0.231524,33210,33227
,2010,Castelmoron d Albret,44.678824,-0.012675,33540,33103
58,2010,Castelnau du Médoc,45.026829,-0.800271,33480,33104
,2010,Castelviel,44.666792,-0.153431,33540,33105
22,2010,Castets en Dorthe,44.561366,-0.153840,33210,33106
,2010,Castillon de Castets,44.548945,-0.115349,33210,33107
214,2010,Castillon la Bataille,44.852734,-0.044807,33350,33108
30,2010,Castres Gironde,44.695921,-0.445622,33640,33109
33,2010,Caudrot,44.576046,-0.144577,33490,33111
,2010,Caumont,44.275814,1.091011,82110,82094
,2010,Cauvignac,44.417493,-0.080457,33690,33113
60,2010,Cavignac,45.100453,-0.390394,33620,33114
,2010,Cazalis,15.922961,-61.290771,97112,97112
,2010,Cazats,44.471512,-0.207961,33430,33116
,2010,Cazaugitat,44.713558,0.005682,33790,33117
1004,2010,Cenon,44.856252,-0.534021,33150,33119
,2010,Cessac,45.888248,0.001751,16140,16005
93,2010,Cestas,44.744167,-0.682523,33610,33122
16,2010,Chamadelle,45.103225,-0.077538,33230,33124
24,2010,Cissac Médoc,45.226776,-0.831759,33250,33125
13,2010,Civrac de Blaye,45.111450,-0.443245,33920,33126
,2010,Civrac de Dordogne,44.829195,-0.081515,33350,33127
