Maison des Associations;Date ;Heure de début;Heure de fin;Activité;Type de réservation;Associations
GARIBALDI;24/06/2016;18H00;21H00;THEATRE;LOGE;LE QUADRANT MAGIQUE
GARIBALDI;24/06/2016;18H00;21H00;ENSEIGNEMENT;REUNION;AGJR2D ASSOCIATION DES GESTIONNAIRES JURIDIQUES DES RISQUES ET DU DEVELOPPEMENT DURABLE
GARIBALDI;24/06/2016;18H00;21H00;THEATRE;LOGE;LE QUADRANT MAGIQUE
GARIBALDI;25/06/2016;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;25/06/2016;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;25/06/2016;10H00;13H00;MUSIQUE;ASSEMBLEE GENERALE;DIFART
GARIBALDI;25/06/2016;10H00;12H00;SPORT;COURS;DAME D'AZUR - DA
GARIBALDI;25/06/2016;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;25/06/2016;11H00;13H00;DANSE ;COURS;TIGERACT AND CO
GARIBALDI;25/06/2016;14H00;18H00;LOISIRS;COURS;LE CLAN DES BOULEGANS
GARIBALDI;25/06/2016;14H00;16H00;SANTE;COURS;COMITE DES ALPES MARITIMES DE LA LIGUE CONTRE LE CANCER
GARIBALDI;25/06/2016;14H00;16H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;25/06/2016;14H00;17H00;ACTIVITE BIEN ETRE;COURS;LES COULEURS DU CIEL ART THERAPIE ET YOGA
LIBERATION;25/06/2016;10H00;12H00;LOISIRS;COURS;ASM - ARTS SACRES DU MONDE
LIBERATION;25/06/2016;16H00;22H00;ORGANISME PUBLIC;REUNION;MAIRIE DE NICE
NICE-CENTRE;20/06/2016;17H00;19H00;CITOYENNETE;REUNION;ENGAGEMENT CITOYEN POUR LA FRANCE
NICE-CENTRE;20/06/2016;17H00;21H00;CULTURE;COURS;"ASSOCIATION NICOISE ""CHINE HORIZON"""
NICE-CENTRE;20/06/2016;19H00;21H00;SANTE;REUNION;FFPP PACA - FEDERATION FRANCAISE DES PSYCHOLOGUES ET DE PSYCHOLOGIE
NICE-CENTRE;20/06/2016;19H00;21H00;COURS DE LANGUE;COURS;AMICALE DES POLONAIS NICE - COTE D'AZUR
NICE-CENTRE;21/06/2016;14H00;17H00;SOCIAL;COURS;AS3P - ASSOCIATION DE SUIVI PSYCHOLOGIQUE POST-PENAL  
NICE-CENTRE;21/06/2016;14H00;17H00;CULTURE;COURS;ARTE FRANCE RUSSIE
NICE-CENTRE;21/06/2016;18H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;SVA SERVICE DE LA VIE ASSOCIATIVE
NICE-CENTRE;21/06/2016;18H00;21H00;SANTE;REUNION;SOS NOLWENN CONTRE LA DIFFERENCE - COMBATTRE LE SYNDROME DE JOUBERT
NICE-CENTRE;22/06/2016;09H00;12H00;LOISIRS;COURS;L'ESCAPADE
NICE-CENTRE;22/06/2016;10H00;17H00;SOCIAL;PERMANENCE;CHRYSALIDES
NICE-CENTRE;22/06/2016;10H00;13H00;SOCIAL;PERMANENCE;CHRYSALIDES
NICE-CENTRE;22/06/2016;13H00;17H00;SOCIAL;PERMANENCE;CHRYSALIDES
NICE-CENTRE;22/06/2016;13H00;19H00;SOCIAL;REUNION;CHRYSALIDES
NICE-CENTRE;22/06/2016;17H00;18H00;LOISIRS;COURS;PLUMALIRE
NICE-CENTRE;22/06/2016;17H00;19H00;ACTIVITE BIEN ETRE;COURS;SHANTI-YOGA
NICE-CENTRE;22/06/2016;18H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;SVA SERVICE DE LA VIE ASSOCIATIVE
NICE-CENTRE;22/06/2016;18H00;20H00;SANTE;REUNION;OA - OUTRE-MANGEURS ANONYMES
NICE-CENTRE;23/06/2016;09H00;11H00;COURS DE LANGUE;COURS;PLANETE ASIE 
NICE-CENTRE;23/06/2016;15H00;17H00;CULTURE;COURS;COLOMBIE COTE D'AZUR CCA
NICE-CENTRE;23/06/2016;15H00;17H00;COURS DE LANGUE;COURS;SUNCHINE 
NICE-CENTRE;23/06/2016;18H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;SVA SERVICE DE LA VIE ASSOCIATIVE
NICE-CENTRE;23/06/2016;18H00;19H00;CULTURE;COURS;ACADEMIA NISSARDA
NICE-CENTRE;23/06/2016;18H00;19H00;CULTURE;COURS;ACADEMIA NISSARDA
NICE-CENTRE;24/06/2016;13H00;16H00;CULTURE;COURS;ARTE FRANCE RUSSIE
NICE-CENTRE;24/06/2016;17H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;SVA SERVICE DE LA VIE ASSOCIATIVE
NICE-CENTRE;24/06/2016;17H00;19H00;MUSIQUE;COURS;CMM - CENTRE MUSICAL MEDITERRANEEN
NICE-CENTRE;24/06/2016;18H00;20H00;CULTURE;COURS;OKINAWA
NICE-CENTRE;24/06/2016;19H00;21H00;ENSEIGNEMENT;REUNION;AMICALE DES POLONAIS NICE - COTE D'AZUR
NICE-CENTRE;25/06/2016;11H00;13H00;ACTIVITE BIEN ETRE;COURS;SHANTI-YOGA
NICE-EST SAINT ROCH;20/06/2016;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;20/06/2016;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;20/06/2016;09H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;20/06/2016;09H00;12H00;SENIORS;COURS;CONSEIL DES SENIORS DE NICE 
