"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_LGT_1P","NB_LGT_2P","NB_LGT_3P","NB_LGT_4P","NB_LGT_5P","NB_LGT_6P","NB_LGT_DEMOLIS","NB_LGT_IND_CREES","NB_LGT_COL_CREES","NB_LGT_TOT_CREES","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","I_PISCINE","I_GARAGE","I_VERANDA","I_ABRIJARDIN","I_AUTREANNEXE","I_RESIDPRINC","I_RESIDSEC","I_PERSONNELLE","I_VENTE","I_LOCATION","I_LGTR_SENIORS","I_LGTR_ETUDIANTS","I_LGTR_TOURISME","I_LGTR_HOTELIERESOC","I_LGTR_SOCIAL","I_LGTR_HANDICAPES","I_LGTR_AUTRE","I_LGTR_AUTRE_LIBELLE","SDP_A1","SDP_B1","SDP_D1","SDP_ E1","SDP_F1","TYPE_OPERATION_CONSTR","PERIODE_DEVRT","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"84","38","38034","2019","0380341910015","10","2",,,,"8",,"allee des Amandiers",,,"38670","CHASSE SUR RHONE",,"100",,,"RUE DE LA DEMOCRATIE",,,"38270","BEAUREPAIRE",,"192AI","193AI",,2,596,,,,0,0,0,1,0,0,0,1,0,1,"3","1",0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,0,113,0,0,0,"5",2019-08-31,"2019-08-07",
"84","38","38045","2017","0380451710001","32","2",,"SCCV Les Balcons de Belledonne",,,,"3 chemin du Vieux Chene",,,"38240","Meylan",,"100",,,"Route de Meylan Chemin des",,,"38330","Biviers",,"8AH","9AH","10AH",2,4036,,,,0,0,0,0,0,0,0,0,22,22,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1822,0,0,,"7",2019-08-31,"2017-07-06",
"84","38","38045","2017","0380451710002","32","2",,"SCCV Les Balcons de Belledonne",,,,"3 chemin du Vieux Chene",,,"38240","Meylan",,"100",,,"Route de Meylan Chemin des",,,"38330","Biviers",,"10AH",,,2,0,,,,0,0,0,0,0,0,0,0,6,6,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,437,0,0,,"7",2019-08-31,"2017-07-06",
"84","38","38051","2019","0380511910003","32","2",,,,"55",,"rue du Tinal",,,"38150","AGNIN",,"100",,,"109-111-113 RUE DES LILAS",,,"38150","BOUGE-CHAMBALUD",,"21AI",,,2,461,,,,0,0,0,1,0,0,0,1,0,1,"2","2",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,64,82,0,0,0,"7",2019-08-31,"2019-08-02",
"84","38","38051","2019","0380511910008","90","2",,,,"16",,"Lotissement Le Coteau",,,"38150","LA CHAPELLE DE SURIEU",,"100",,,"LA THIVOLETTE",,,"38150","BOUGE-CHAMBALUD",,"103ZC","124ZC",,1,2301,,,,0,3,6,1,0,0,0,4,6,10,"2",,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,328,73,150,0,0,"14",2019-08-31,,
"84","38","38052","2019","0380521920025","90","2","SCI REBETEZ","SCI REBETEZ","844446203",,"Rue","de Falipou","La Paute",,"38520","LE BOURG D'OISANS",,"100",,"Rue","de Falipou","La Paute",,"38520","LE BOURG D OISANS",,"0460AK","0462AK",,1,0,,,,0,0,0,1,0,0,0,1,0,1,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,103,0,0,0,"5",2019-08-31,,
"84","38","38053","2019","03805319B1051","90","2",,"CLEOME","82798885800029","1",,"Rue Marc Antoine Brillier",,,"38300","HEYRIEUX",,"100","3",,"RUE DU DOS DE L'ANE",,,"38300","BOURGOIN-JALLIEU",,"0503AM",,,1,534,,,,0,8,16,0,0,0,0,0,24,24,"6",,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,,0,1463,0,0,0,"14",2019-08-31,,
"84","38","38064","2019","0380641910013","90","2",,,,"27",,"rue Landousse",,,"38300","BOURGOIN JALLIEU",,"100",,,"Chemin des Mouttes",,,"38110","CESSIEU",,"576A","577A","586A",1,5820,,,,0,0,0,0,2,0,0,2,0,2,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,220,0,0,0,"7",2019-08-31,,
"84","38","38067","2019","0380671910009","90","2",,,,,"Rue","du Vellein",,,"38090","VILLEFONTAINE",,"100",,"Route","de Vienne",,,"38460","CHAMAGNIEU",,"11170D","14980D",,1,16357,,,,0,0,20,14,2,0,0,0,36,36,,,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,2096,0,0,0,"14",2019-08-31,,
"84","38","38082","2019","0380821920019","90","2",,,,"402b",,"rue du Calvaire",,,"38850","CHARAVINES",,"100",,,"EN BESSEY","chemin du Fayard",,"38850","Charavines",,"521AS","522AS",,1,1208,,,,0,0,0,0,0,0,0,1,0,1,"2",,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,0,260,0,0,0,"5",2019-08-31,,
"84","38","38085","2019","0380851910036","90","2",,"GANOVA CONSTRUCTION SAS  M. Pascal BERT","43475911400011",,,"44  Route de la Lechere",,,"38230","CHARVIEU CHAVAGNEUX",,"100",,,"Route du Reveil 'Le Belv ",,,"38230","CHARVIEU-CHAVAGNEUX",,"0115AC","0121AC","0123AC",1,42563,,,,0,0,0,0,10,0,0,0,10,10,,,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,1165,0,0,0,"7",2019-08-31,,
"84","38","38111","2019","0381111910024","90","2",,"Gilles TRIGNAT RESIDENCES","39794743300025","29",,"avenue de l'Obiou",,,"38700","LA TRONCHE",,"100",,,"LES PERROUSES",,,"38640","CLAIX",,"95BO",,,1,8693,,,,0,8,13,17,7,0,0,10,35,45,"3",,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,,0,3754,0,0,0,"7",2019-08-31,,
"84","38","38115","2019","0381151920003","90","2",,"LA CASE JEANNE","84100035900015",,"Rue","DES GANTIERS",,,"38650","SAINT MARTIN DE LA CLUZE",,"100",,"Rue","DES GANTIERS",,,"38650","SAINT MARTIN DE LA CLUZE",,"0001AD",,,1,3648,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,74,27,0,0,101,"12",2019-08-31,,
"84","38","38126","2019","0381261920025","90","2","Les maisons de l'atelier Groll","Les maisons de l'atelier Groll","81292786100011","4",,"Chemin du petit Bois",,,"38360","SASSENAGE",,"100",,,"LE MOLLARD",,,"38700","CORENC",,"778AD",,,1,1475,,,,0,0,0,0,0,1,0,1,0,1,,,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,0,169,0,0,0,"5",2019-08-31,,
"84","38","38126","2019","0381261920026","90","2",,"LA VERDIERE","48226442100017",,,,,,,,,,"9",,"AV LOUIS BONNET EYMARD",,,"38700","CORENC",,"43AE","44AE",,1,6864,,,,0,0,0,0,7,0,0,7,0,7,"2",,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,,0,1394,0,0,0,"7",2019-08-31,,
"84","38","38133","2019","0381331920009","10","2",,"VOISSANT","75342032200012","502",,"route de Vouise",,,"38500","COUBLEVIE",,"100",,,"Route de Voissant - Les Ve",,,"38500","Coublevie",,,,,2,0,,,,0,0,0,0,0,1,0,1,0,1,"2","1",0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,0,157,0,0,0,"5",2019-08-31,"2019-08-05",
"84","38","38133","2019","0381331920027","90","2",,,,"204",,"CHE DU BARTHELON","LE BARTHELON",,"38500","COUBLEVIE",,"100","204",,"CHEMIN LE BARTHELON",,,"38500","Coublevie",,"473B",,,1,333,,,,0,0,0,1,0,0,0,0,0,0,"3",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,129,79,0,32,0,"12",2019-08-31,,
"84","38","38138","2019","0381381910002","80","2",,,,,,"13 Rue sous botte",,,"38460","CREMIEU",,"100","13","Rue","SOUS BOTTE",,,"38460","CREMIEU",,"0305AB",,,2,1492,,,,0,0,0,0,0,0,0,0,0,0,,"2",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,120,65,0,0,0,"4",2019-08-31,"2019-08-09",
