Site,Code,Libellé DP,adresse,Numéro interne,Politique publique,Catégorie de sites,Date création,Statut,latitude,longitude
LACANAU ENS ETANG-DE-COUSSEAU,S0577,LACANAU ENS ETANG-DE-COUSSEAU S0577,Les As 33680 Lacanau,88306,07 Protection valorisation environnement,,19/09/2000,proprietaire et bailleur,45.000428,-1.183289
LE-TEICH ENS DELTA-DE-LEYRE,S0590,LE-TEICH ENS DELTA-DE-LEYRE S0590,Nineche 33380 Biganos,88315,07 Protection valorisation environnement,,19/09/2000,proprietaire et bailleur,44.651196,-0.942567
STE-FOY-LA-GRANDE CRD-CE,S0592,STE-FOY-LA-GRANDE CRD-CE S0592,3 Avenue du Maréchal Leclerc 33220 Pineuilh,88362,05 Mobilité,,10/10/2000,propriétaire,44.840274,0.211407
BORDEAUX TGI,S0596,BORDEAUX TGI S0596,74 Cours d'Albret 33000 Bordeaux,88473,06 Performance de collectivité,,27/10/2000,propriétaire,44.835378,-0.58069
LES-SALLES-DE-CASTILLON MEMORIAL,S1553,LES-SALLES-DE-CASTILLON MEMORIAL S1553,Les Clides 33350 Les Salles-de-Castillon,756996,02 Cohésion vie sociale et épanouissement,,02/04/2003,propriétaire,44.915653,0.029814
COUTRAS ANNONCE-DES-CRUES,S1546,COUTRAS ANNONCE-DES-CRUES S1546,Rue Émile Combes 33230 Coutras,697136,05 Mobilité,,22/01/2003,propriétaire,45.041989,-0.131112
ARTIGUES-PRES-BORDEAUX FOYER,S1599,ARTIGUES-PRES-BORDEAUX FOYER S1599,9005 Avenue Descartes 33370 Artigues-près-Bordeaux,774996,08 Solidarité autonomie et santé,,17/05/2004,propriétaire,44.853779,-0.495952
CABANAC-ET-VILLAGRAINS FORET,S1800,CABANAC-ET-VILLAGRAINS FORET S1800,Allée des Mésanges 33650 Cabanac-et-Villagrains,1363946,07 Protection valorisation environnement,,05/11/2014,propriétaire,44.611033,-0.543522
FLOIRAC CLG NELSON-MANDELA,S1768,FLOIRAC CLG NELSON-MANDELA S1768,,1243528,03 Collège et éducation,,30/11/2011,propriétaire,,
CANEJAN PERM,S1816,CANEJAN PERM S1816,,1381703,06 Performance de collectivité,,21/03/2016,locataire,,
ST-CHRISTOPHE-DE-DOUBLE CRD-AIRE,S1692,ST-CHRISTOPHE-DE-DOUBLE CRD-AIRE S1692,La Croix 33230 Saint-Christophe-de-Double,988327,05 Mobilité,,01/08/2008,locataire,45.063204,0.020763
BALIZAC ENS ETANG-DE-LA-FERIERE,S1780,BALIZAC ENS ETANG-DE-LA-FERIERE S1780,La Ferrière 33730 Balizac,1330569,07 Protection valorisation environnement,,29/05/2013,propriétaire,44.472681,-0.424637
BORDEAUX CHÂTEAU-GARDERE,S1556,BORDEAUX CHÂTEAU-GARDERE S1556,8 Rue Théodore Gardère 33000 Bordeaux,771356,06 Performance de collectivité,,06/06/2003,proprietaire et bailleur,44.826915,-0.582187
GUJAN-MESTRAS PORT CANAL,S0777,GUJAN-MESTRAS PORT CANAL S0777,Rue de l'Yser 33470 Gujan-Mestras,97544,05 Mobilité,,20/04/2001,propriétaire,44.641255,-1.067397
FLOIRAC MDSI,S0247,FLOIRAC MDSI S0247,25 Avenue du Président François Mitterrand 33270 Floirac,87226,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.832693,-0.523667
