Site,Code,Libellé DP,adresse,Numéro interne,Politique publique,Catégorie de sites,Date création,Statut,latitude,longitude
LA-TESTE-DE-BUCH CDL DUNE-DU-PILAT,S0694,LA-TESTE-DE-BUCH CDL DUNE-DU-PILAT S0694,La Teste-de-Buch,97434,07 Protection valorisation environnement,,12/02/2001,locataire,44.632214,-1.146050
BIGANOS CDL ILE-DE-MALPRAT,S0700,BIGANOS CDL ILE-DE-MALPRAT S0700,Ile de Malprat 33380 Biganos,97396,07 Protection valorisation environnement,,09/02/2001,locataire,44.654377,-1.016618
VENSAC FORET LEDE-DE-MONTALIVET,S0835,VENSAC FORET LEDE-DE-MONTALIVET S0835,Gayac 33590 Vensac,97634,07 Protection valorisation environnement,,18/07/2001,propriétaire,45.408115,-1.025622
CEZAC CONDUITE-EAU-BLAYAIS,S0802,CEZAC CONDUITE-EAU-BLAYAIS S0802,Bousquet 33620 Cézac,97564,05 Mobilité,,22/05/2001,locataire,45.077783,-0.380823
SALLES DFCI,S0759,SALLES DFCI S0759,"Au Pas de Pajot, RESIDENCE BEAU SITE 33770 Salles",97519,07 Protection valorisation environnement,,10/04/2001,propriétaire,44.549144,-0.878391
BAZAS EX-MDSI,S0285,BAZAS EX-MDSI S0285,Rue Taillade 33430 Bazas,87240,06 Performance de collectivité,,16/06/2000,propriétaire,44.431941,-0.208365
ARES AS,S0558,ARES AS S0558,,87562,08 Solidarité autonomie et santé,,16/06/2000,locataire,,
ARES GIE,S0121,ARES GIE S0121,36 Avenue de la Gare 33740 Arès,88140,06 Performance de collectivité,,16/06/2000,propriétaire,44.767465,-1.135104
TARGON PERM,S1786,TARGON PERM S1786,20 Rue Grand'Rue 33760 Targon,1342765,08 Solidarité autonomie et santé,,08/10/2013,locataire,44.734117,-0.263718
MIOS GARE,S1682,MIOS GARE S1682,,978710,06 Performance de collectivité,,07/11/2007,propriétaire,,
LES-SALLES-DE-CASTILLON CRD-AIRE,S1671,LES-SALLES-DE-CASTILLON CRD-AIRE S1671,,977777,05 Mobilité,,18/09/2007,propriétaire,,
LANTON POLE TERRITORIAL,S1759,LANTON POLE TERRITORIAL S1759,1 Rue Transversale 33138 Lanton,1179927,08 Solidarité autonomie et santé,,27/10/2010,propriétaire,44.704896,-1.033857
VALEYRAC PORT GOULEE,S0770,VALEYRAC PORT GOULEE S0770,Route de Valeyrac 33340 Valeyrac,97553,05 Mobilité,,20/04/2001,propriétaire,45.387626,-0.904741
BORDEAUX DFCI SDIS,S0746,BORDEAUX DFCI SDIS S0746,22 Boulevard Pierre 1er 33000 Bordeaux,97506,07 Protection valorisation environnement,,10/04/2001,propriétaire,44.854857,-0.592535
HOURTIN DFCI,S0752,HOURTIN DFCI S0752,1 Rue du Château d'Eau 33990 Naujac-sur-Mer,97512,07 Protection valorisation environnement,,10/04/2001,propriétaire,45.251915,-1.029419
BORDEAUX CLG CHEVERUS,S0003,BORDEAUX CLG CHEVERUS S0003,62 Rue Fieffé 33800 Bordeaux,87134,03 Collège et éducation,,16/06/2000,propriétaire,44.823834,-0.561498
MERIGNAC CLG JULES-FERRY,S0077,MERIGNAC CLG JULES-FERRY S0077,,87155,03 Collège et éducation,,16/06/2000,propriétaire,,
GRADIGNAN CLG ALFRED-MAUGUIN,S0140,GRADIGNAN CLG ALFRED-MAUGUIN S0140,,87185,03 Collège et éducation,,16/06/2000,propriétaire,,
BEGLES CLG BERTHELOT,S0227,BEGLES CLG BERTHELOT S0227,25 Rue Berthelot 33130 Bègles,87220,03 Collège et éducation,,16/06/2000,propriétaire,44.807581,-0.566948
LA-REOLE CLG PAUL-ESQUINANCE,S0257,LA-REOLE CLG PAUL-ESQUINANCE S0257,,87233,03 Collège et éducation,,16/06/2000,propriétaire,,
LE-BOUSCAT CLG JEAN-MOULIN,S0471,LE-BOUSCAT CLG JEAN-MOULIN S0471,1 Rue Président Ali Chekkal 33110 Le Bouscat,87262,03 Collège et éducation,,16/06/2000,propriétaire,44.863496,-0.60489
BELIN-BELIET AS,S0130,BELIN-BELIET AS S0130,28 Route de Suzon 33830 Belin-Béliet,87515,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.501377,-0.784958
BLANQUEFORT AS LE-CLOS,S0498,BLANQUEFORT AS LE-CLOS S0498,2 Rue Tastet Girard 33290 Blanquefort,87538,08 Solidarité autonomie et santé,,16/06/2000,locataire,44.91008,-0.635182
BELLEBAT CRD-CE,S0371,BELLEBAT CRD-CE S0371,"Route de la Sauve, BASSET 33760 Bellebat",87977,05 Mobilité,,16/06/2000,propriétaire,44.745207,-0.229695
GUJAN-MESTRAS GIE,S0128,GUJAN-MESTRAS GIE S0128,9011 Avenue de Cesarée 33470 Gujan-Mestras,87984,06 Performance de collectivité,,16/06/2000,propriétaire,44.624289,-1.072693
MACAU GIE,S0047,MACAU GIE S0047,37 Avenue du Général de Gaulle 33460 Macau,87995,06 Performance de collectivité,,16/06/2000,propriétaire,45.006205,-0.619561
ST-CIERS-SUR-GIRONDE GIE,S0175,ST-CIERS-SUR-GIRONDE GIE S0175,1 Avenue de la République 33820 Saint-Ciers-sur-Gironde,88005,06 Performance de collectivité,,16/06/2000,propriétaire,45.293816,-0.616865
BLASIMON BASE-SPORTS-ET-LOISIRS,S0274,BLASIMON BASE-SPORTS-ET-LOISIRS S0274,5398 Fillenarde 33540 Blasimon,88035,02 Cohésion vie sociale et épanouissement,,16/06/2000,propriétaire,44.756984,-0.090487
MARTILLAC CENTRE-DE-RESSOURCES,S0301,MARTILLAC CENTRE-DE-RESSOURCES S0301,,88075,04 Economie solidaire,,16/06/2000,propriétaire,,
MONSEGUR CRD-CE,S0263,MONSEGUR CRD-CE S0263,34 Route des Sources 33580 Monségur,88127,05 Mobilité,,16/06/2000,propriétaire,44.642522,0.077673
BORDEAUX GIE JUDAIQUE,S0063,BORDEAUX GIE JUDAIQUE S0063,200 Rue Judaïque 33000 Bordeaux,88148,06 Performance de collectivité,,16/06/2000,propriétaire,44.840509,-0.593846
LA-TESTE-DE-BUCH CDL CAMICAS,S0573,LA-TESTE-DE-BUCH CDL CAMICAS S0573,La Teste-de-Buch,88304,07 Protection valorisation environnement,,19/09/2000,locataire,44.632214,-1.146050
LA-TESTE-DE-BUCH ENS L'EDEN,S0578,LA-TESTE-DE-BUCH ENS L'EDEN S0578,La Teste-de-Buch,88322,07 Protection valorisation environnement,,19/09/2000,proprietaire et bailleur,44.632214,-1.146050
VERDELAIS PERM,S1784,VERDELAIS PERM S1784,3 Place des Allées 33490 Verdelais,1342763,08 Solidarité autonomie et santé,,08/10/2013,locataire,44.588275,-0.249777
STE-FOY-LA-GRANDE HM,S1619,STE-FOY-LA-GRANDE HM S1619,3 Avenue Ithier Gorin 33220 Sainte-Foy-la-Grande,783087,08 Solidarité autonomie et santé,,16/09/2004,proprietaire et bailleur,44.840936,0.212339
BLAYE LOGT 4-CLOS-LAMARTINE,S1769,BLAYE LOGT 4-CLOS-LAMARTINE S1769,4 Clos Lamartine 33390 Blaye,1243584,06 Performance de collectivité,,07/12/2011,locataire,45.130681,-0.658185
SAUVETERRE-DE-GUYENNE PERM,S1797,SAUVETERRE-DE-GUYENNE PERM S1797,4 Rue des Martyrs de la Résistance et de la Déportation 33540 Sauveterre-de-Guyenne,1363825,08 Solidarité autonomie et santé,,16/10/2014,locataire,44.694117,-0.082937
ANDERNOS-LES-BAINS PERM,S1649,ANDERNOS-LES-BAINS PERM S1649,260 Boulevard de la République 33510 Andernos-les-Bains,888376,08 Solidarité autonomie et santé,,11/09/2006,locataire,44.743826,-1.101799
MERIGNAC ESPE BOURRAN,S0071,MERIGNAC ESPE BOURRAN S0071,,9148,03 Collège et éducation,,13/07/1999,propriétaire,,
PLASSAC VILLA-GALLO-ROMAINE,S1565,PLASSAC VILLA-GALLO-ROMAINE S1565,Rue de Chardonnet 33390 Plassac,772453,02 Cohésion vie sociale et épanouissement,,09/10/2003,proprietaire et bailleur,45.102826,-0.646036
VENSAC ENS MARAIS-DU-GUA,S0641,VENSAC ENS MARAIS-DU-GUA S0641,Gayac 33590 Vensac,97443,07 Protection valorisation environnement,,12/02/2001,propriétaire,45.408115,-1.025622
LACANAU CDL MAISON-DU-PONT-DU-CANAL,S0638,LACANAU CDL MAISON-DU-PONT-DU-CANAL S0638,Les As 33680 Lacanau,97410,07 Protection valorisation environnement,,09/02/2001,locataire,45.000428,-1.183289
LE-TEICH CDL DELTA-DE-LA-LEYRE,S0679,LE-TEICH CDL DELTA-DE-LA-LEYRE S0679,Le Teich,97427,07 Protection valorisation environnement,,09/02/2001,locataire,44.633088,-1.024917
BORDEAUX PERM,S0628,BORDEAUX PERM S0628,392 Rue Pasteur 33200 Bordeaux,97346,08 Solidarité autonomie et santé,,17/11/2000,locataire,44.846796,-0.629373
LEGE-CAP-FERRET ENS LE-GRAND-CROHOT,S0676,LEGE-CAP-FERRET ENS LE-GRAND-CROHOT S0676,Lège-Cap-Ferret,97386,07 Protection valorisation environnement,,09/02/2001,propriétaire,44.792671,-1.146498
LACANAU FORET BAGANNAIS-SUD,S0830,LACANAU FORET BAGANNAIS-SUD S0830,Les As 33680 Lacanau,97627,07 Protection valorisation environnement,,18/07/2001,propriétaire,45.000428,-1.183289
VENSAC ENS PRAIRIES-DE-VENSAC,S0783,VENSAC ENS PRAIRIES-DE-VENSAC S0783,Gayac 33590 Vensac,97527,07 Protection valorisation environnement,,19/04/2001,propriétaire,45.408115,-1.025622
LE-VERDON-SUR-MER CDL DUNE-DE-GRAVE,S0797,LE-VERDON-SUR-MER CDL DUNE-DE-GRAVE S0797,Le Verdon-sur-Mer,97536,07 Protection valorisation environnement,,20/04/2001,proprietaire et bailleur,45.545943,-1.061689
ARES DFCI,S0740,ARES DFCI S0740,21 Avenue de Bordeaux 33740 Arès,97492,07 Protection valorisation environnement,,09/03/2001,propriétaire,44.769008,-1.136569
ST-SAVIN-DE-BLAYE DFCI,S0756,ST-SAVIN-DE-BLAYE DFCI S0756,7 Rue du Château d'Eau 33920 Saint-Savin,97516,07 Protection valorisation environnement,,10/04/2001,propriétaire,45.139094,-0.439413
MERIGNAC CLG BOURRAN,S0078,MERIGNAC CLG BOURRAN S0078,Rue Léo Lagrange 33700 Mérignac,87156,03 Collège et éducation,,16/06/2000,propriétaire,44.836709,-0.635195
BLAYE CLG SÉBASTIEN-VAUBAN,S0156,BLAYE CLG SÉBASTIEN-VAUBAN S0156,9 Rue du Docteur Boutin 33390 Blaye,87190,03 Collège et éducation,,16/06/2000,propriétaire,45.124644,-0.658064
LORMONT CLG MICHEL-MONTAIGNE,S0223,LORMONT CLG MICHEL-MONTAIGNE S0223,1 Rue Michel de Montaigne 33310 Lormont,87218,03 Collège et éducation,,16/06/2000,propriétaire,44.871413,-0.516374
PESSAC AS MACEDO,S0503,PESSAC AS MACEDO S0503,,87543,08 Solidarité autonomie et santé,,16/06/2000,locataire,,
ST-EMILION GIE,S0204,ST-EMILION GIE S0204,Avenue de Saint-Émilion 33330 Saint-Sulpice-de-Faleyrens,88006,06 Performance de collectivité,,16/06/2000,propriétaire,44.874731,-0.182174
PESSAC LABO-VETERINAIRE,S0453,PESSAC LABO-VETERINAIRE S0453,33 Avenue du Docteur Albert Schweitzer 33600 Pessac,88086,06 Performance de collectivité,,16/06/2000,locataire,44.805754,-0.608422
CARCANS GIE,S0033,CARCANS GIE S0033,5 Route de Hourtin 33121 Carcans,88155,06 Performance de collectivité,,16/06/2000,propriétaire,45.079104,-1.046154
BORDEAUX PARKING FRONT-DU-MEDOC,S0609,BORDEAUX PARKING FRONT-DU-MEDOC S0609,Rue Robert Lateulade 33000 Bordeaux,88445,06 Performance de collectivité,,19/10/2000,locataire,44.839155,-0.586273
SAUCATS MEMORIAL FERME-RICHEMONT,S1620,SAUCATS MEMORIAL FERME-RICHEMONT S1620,GIEU 33650 Saucats,785596,02 Cohésion vie sociale et épanouissement,,14/04/2005,propriétaire,44.655878,-0.587479
LIBOURNE HM FOCH,S1637,LIBOURNE HM FOCH S1637,Avenue du Maréchal Foch 33500 Libourne,802960,08 Solidarité autonomie et santé,,11/10/2005,locataire,44.923195,-0.240987
MIOS ENS RIVES-DE-LA-LEYRE-ET-DU-LACANAU,S1804,MIOS ENS RIVES-DE-LA-LEYRE-ET-DU-LACANAU S1804,Regues du Magre 33380 Mios,1364065,07 Protection valorisation environnement,,28/11/2014,propriétaire,44.612419,-0.955468
AMBARES-ET-LAGRAVE MDSI,S1733,AMBARES-ET-LAGRAVE MDSI S1733,2 Rue Louis Massina 33440 Ambarès-et-Lagrave,1008098,08 Solidarité autonomie et santé,,04/06/2009,propriétaire,44.927327,-0.487867
BORDEAUX LOGT 40-RUE-DU-BOCAGE,S1741,BORDEAUX LOGT 40-RUE-DU-BOCAGE S1741,40 Rue du Bocage 33200 Bordeaux,1169718,06 Performance de collectivité,,18/05/2010,proprietaire et bailleur,44.852845,-0.599225
LORMONT VERCORS,S1782,LORMONT VERCORS S1782,1 Allée du Vercors 33310 Lormont,1342747,08 Solidarité autonomie et santé,,01/10/2013,locataire,44.875567,-0.51985
ST-CIERS-SUR-GIRONDE PORT CALLONGES,S0772,ST-CIERS-SUR-GIRONDE PORT CALLONGES S0772,Saint-Ciers-sur-Gironde,97556,05 Mobilité,,20/04/2001,propriétaire,45.290007,-0.611345
BELIN-BELIET DFCI,S0741,BELIN-BELIET DFCI S0741,1 Avenue Aliénor 33830 Belin-Béliet,97496,07 Protection valorisation environnement,,23/03/2001,propriétaire,44.492854,-0.791773
ST-JEAN-D'ILLAC DFCI,S0754,ST-JEAN-D'ILLAC DFCI S0754,191 Avenue de Bordeaux 33127 Saint-Jean-d'Illac,97514,07 Protection valorisation environnement,,10/04/2001,propriétaire,44.811055,-0.778277
LE-VERDON-SUR-MER ENS MARAIS-DU-CONSEILLER,S0795,LE-VERDON-SUR-MER ENS MARAIS-DU-CONSEILLER S0795,Le Verdon-sur-Mer,97523,07 Protection valorisation environnement,,19/04/2001,propriétaire,45.545943,-1.061689
BORDEAUX MDSI CAUDERAN,S0095,BORDEAUX MDSI CAUDERAN S0095,88 Rue Bellus Mareilhac 33200 Bordeaux,87163,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.855538,-0.619779
PEUJARD CLG EMILE-DURKHEIM,S0167,PEUJARD CLG EMILE-DURKHEIM S0167,6 La Michère 33240 Peujard,87194,03 Collège et éducation,,16/06/2000,propriétaire,45.043746,-0.422177
AMBARES-ET-LAGRAVE CLG CLAUDE-MASSE,S0209,AMBARES-ET-LAGRAVE CLG CLAUDE-MASSE S0209,4 Avenue Pierre Barre 33440 Ambarès-et-Lagrave,87210,03 Collège et éducation,,16/06/2000,propriétaire,44.928319,-0.483032
LANGON CLG TOULOUSE-LAUTREC,S0306,LANGON CLG TOULOUSE-LAUTREC S0306,,87246,03 Collège et éducation,,16/06/2000,propriétaire,,
BORDEAUX ARCHIVES BALGUERIE-POYENNE,S0005,BORDEAUX ARCHIVES BALGUERIE-POYENNE S0005,Impasse Poyenne 33300 Bordeaux,88017,02 Cohésion vie sociale et épanouissement,,16/06/2000,propriétaire,44.856459,-0.566728
HOSTENS BASE-SPORTS-ET-LOISIRS,S0146,HOSTENS BASE-SPORTS-ET-LOISIRS S0146,Retis 33125 Hostens,88059,02 Cohésion vie sociale et épanouissement,,16/06/2000,propriétaire,44.46255,-0.692865
CASTELNAU-DE-MEDOC POLE-TERRITORIAL,S0008,CASTELNAU-DE-MEDOC POLE-TERRITORIAL S0008,1 Rue André Audubert 33480 Castelnau-de-Médoc,88116,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,45.036559,-0.801087
BORDEAUX MDSI THIERS,S0236,BORDEAUX MDSI THIERS S0236,253 Avenue Thiers 33100 Bordeaux,88149,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.84821,-0.546662
AUDENGE CDL DOMAINE-DE-CERTES,S0574,AUDENGE CDL DOMAINE-DE-CERTES S0574,47 Avenue de Certes 33980 Audenge,88303,07 Protection valorisation environnement,,19/09/2000,proprietaire et bailleur,44.692598,-1.021606
ANDERNOS-LES-BAINS CDL LE-CIRES,S0583,ANDERNOS-LES-BAINS CDL LE-CIRES S0583,Andernos-les-Bains,88320,07 Protection valorisation environnement,,19/09/2000,proprietaire et bailleur,44.742448,-1.090931
LE-VERDON-SUR-MER BACS ATELIERS-DTM,S1551,LE-VERDON-SUR-MER BACS ATELIERS-DTM S1551,Allée Teulère 33123 Le Verdon-sur-Mer,703087,05 Mobilité,,11/03/2003,propriétaire,45.564262,-1.064713
LESPARRE-MEDOC BDP RELAIS-DE-PRÊT,S1653,LESPARRE-MEDOC BDP RELAIS-DE-PRÊT S1653,Place du Maréchal Foch 33340 Lesparre-Médoc,893463,02 Cohésion vie sociale et épanouissement,,09/10/2006,locataire,45.306272,-0.936756
BLAYE MDSI,S0155,BLAYE MDSI S0155,,10258,08 Solidarité autonomie et santé,,13/07/1999,propriétaire,,
LEOGNAN MDSI,S0363,LEOGNAN MDSI S0363,15 Cours Gambetta 33850 Léognan,87258,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.72865,-0.600966
TALAIS ENS-MARAIS DE TALAIS,S1810,TALAIS ENS-MARAIS DE TALAIS S1810,Route de Talais 33590 Grayan-et-l'Hôpital,1369434,07 Protection valorisation environnement,,31/08/2015,propriétaire,45.447306,-1.080429
GAURIAC CDL ILE-DU-NORD,S0707,GAURIAC CDL ILE-DU-NORD S0707,Bone 33710 Gauriac,97471,07 Protection valorisation environnement,,12/02/2001,locataire,45.06769,-0.616382
BORDEAUX AS BACALAN,S0560,BORDEAUX AS BACALAN S0560,211 Rue Naujac 33000 Bordeaux,87564,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.850168,-0.593581
CADILLAC GIE,S0255,CADILLAC GIE S0255,,88152,06 Performance de collectivité,,16/06/2000,propriétaire,,
MERIGNAC DIVERS BOURRAN,S0595,MERIGNAC DIVERS BOURRAN S0595,151 Avenue de la Marne 33700 Mérignac,97340,07 Protection valorisation environnement,,09/11/2000,propriétaire,44.835499,-0.633436
LIBOURNE PRUDHOMMES,S0625,LIBOURNE PRUDHOMMES S0625,L'Estey Noir 33500 Arveyres,97337,06 Performance de collectivité,,09/11/2000,propriétaire,44.916624,-0.274707
GRIGNOLS DFCI,S0751,GRIGNOLS DFCI S0751,Route de Casteljaloux 33690 Grignols,97511,07 Protection valorisation environnement,,10/04/2001,propriétaire,44.386253,-0.042718
PAUILLAC MDSI,S0337,PAUILLAC MDSI S0337,5 Place Maréchal de Lattre de Tassigny 33250 Pauillac,87252,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,45.200664,-0.747978
CESTAS FORET,S1801,CESTAS FORET S1801,Allée Combelonge 33610 Cestas,1363965,07 Protection valorisation environnement,,06/11/2014,propriétaire,44.776265,-0.69869
LA-REOLE CLIC,S1712,LA-REOLE CLIC S1712,3 Place Saint-Michel 33190 La Réole,1000675,08 Solidarité autonomie et santé,,20/02/2009,locataire,44.584557,-0.039141
CABANAC-ET-VILLAGRAINS DFCI,S0747,CABANAC-ET-VILLAGRAINS DFCI S0747,Route du Vieux Bourg 33650 Cabanac-et-Villagrains,97507,07 Protection valorisation environnement,,10/04/2001,propriétaire,44.569865,-0.591714
ANDERNOS-LES-BAINS CLG ANDRÉ-LAHAYE,S0111,ANDERNOS-LES-BAINS CLG ANDRÉ-LAHAYE S0111,1 Avenue de l'Espérance 33510 Andernos-les-Bains,87173,03 Collège et éducation,,16/06/2000,propriétaire,44.745953,-1.088021
CREON MDSI,S0372,CREON MDSI S0372,1 Chemin de la Douve 33670 Créon,87260,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.775521,-0.35404
CARBON-BLANC AS,S0482,CARBON-BLANC AS S0482,1 Passage de l'École 33560 Carbon-Blanc,87522,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.89526,-0.501644
LESPARRE-MEDOC GIE,S0023,LESPARRE-MEDOC GIE S0023,32 Cours Victor Hugo 33340 Lesparre-Médoc,87992,06 Performance de collectivité,,16/06/2000,propriétaire,45.30325,-0.930002
PAUILLAC MECS,S0470,PAUILLAC MECS S0470,Place de la République 33250 Pauillac,88022,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,45.214544,-0.763818
BELIN-BELIET GIE,S0135,BELIN-BELIET GIE S0135,27 Avenue Aliénor 33830 Belin-Béliet,88144,06 Performance de collectivité,,16/06/2000,propriétaire,44.497306,-0.790191
GIRONDE SUR DROPT-RELAIS-BDP,S1813,GIRONDE SUR DROPT-RELAIS-BDP S1813,,1378414,02 Cohésion vie sociale et épanouissement,,30/12/2015,locataire,,
LES-EGLISOTTES CRD-AIRE,S1696,LES-EGLISOTTES CRD-AIRE S1696,La Combe 33230 Les Églisottes-et-Chalaures,989059,05 Mobilité,,10/09/2008,propriétaire,45.087406,-0.05641
BORDEAUX-ST-JEAN AGI MANAGER,S0623,BORDEAUX-ST-JEAN AGI MANAGER S0623,23 Quai de Paludate 33800 Bordeaux,97352,08 Solidarité autonomie et santé,,17/11/2000,locataire,44.829426,-0.555214
BORDEAUX CLG ANNEXE-ALIENOR-AQUITAINE,S0551,BORDEAUX CLG ANNEXE-ALIENOR-AQUITAINE S0551,Place André Meunier dit Mureine 33800 Bordeaux,87315,03 Collège et éducation,,16/06/2000,propriétaire,44.829449,-0.561949
BORDEAUX PARC MATERIEL-SCHINAZI,S0054,BORDEAUX PARC MATERIEL-SCHINAZI S0054,235 Avenue du Docteur Schinazi 33300 Bordeaux,88112,05 Mobilité,,16/06/2000,propriétaire,44.881756,-0.54235
BORDEAUX CLG ALIENOR-D'AQUITAINE,S1756,BORDEAUX CLG ALIENOR-D'AQUITAINE S1756,,1179924,03 Collège et éducation,,27/10/2010,propriétaire,,
BASSENS AS,S0220,BASSENS AS S0220,20 Avenue Lamartine 33530 Bassens,87215,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.904406,-0.514696
ST-SYMPHORIEN GIE,S0148,ST-SYMPHORIEN GIE S0148,4 Avenue Jean Jaurès 33113 Saint-Symphorien,88009,06 Performance de collectivité,,16/06/2000,propriétaire,44.429107,-0.483119
ST-LAURENT-DU-MEDOC CRD-CE,S0028,ST-LAURENT-DU-MEDOC CRD-CE S0028,3 Route de Saint-Sauveur 33112 Saint-Laurent-Médoc,88130,05 Mobilité,,16/06/2000,propriétaire,45.156623,-0.816254
PESSAC AS FORMANOIR,S0610,PESSAC AS FORMANOIR S0610,3 Rue des Hortensias 33600 Pessac,97350,08 Solidarité autonomie et santé,,17/11/2000,locataire,44.792256,-0.632141
LAMARQUE PORT PASSAGE-D'EAU,S0784,LAMARQUE PORT PASSAGE-D'EAU S0784,,97552,05 Mobilité,,20/04/2001,propriétaire,,
LE-TEICH CLG,S0369,LE-TEICH CLG S0369,Avenue François Mitterrand 33470 Le Teich,87259,03 Collège et éducation,,16/06/2000,propriétaire,44.623857,-1.02669
MERIGNAC DOMAINE JEAN-SANGO,S0081,MERIGNAC DOMAINE JEAN-SANGO S0081,,88081,06 Performance de collectivité,,16/06/2000,propriétaire,,
ARES CDL RESERVOIRS-D'ARES,S0798,ARES CDL RESERVOIRS-D'ARES S0798,Rue Coste 33740 Arès,97531,07 Protection valorisation environnement,,19/04/2001,propriétaire,44.762522,-1.138294
ROYAN BACS,S1611,ROYAN BACS S1611,Quai des Sabliers 17200 Royan,226258,05 Mobilité,,28/01/2002,locataire,45.617933,-1.030293
LESPARRE-MEDOC MDSI,S0019,LESPARRE-MEDOC MDSI S0019,21 Rue du Palais de Justice 33340 Lesparre-Médoc,87138,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,45.307908,-0.938854
BORDEAUX MDAC,S0094,BORDEAUX MDAC S0094,97 Rue Saint-Gènes 33000 Bordeaux,88052,06 Performance de collectivité,,16/06/2000,propriétaire,44.827172,-0.580337
LOUCHATS FORET,S1802,LOUCHATS FORET S1802,Cournau 33125 Louchats,1364025,07 Protection valorisation environnement,,25/11/2014,propriétaire,44.523918,-0.594719
BLANQUEFORT PERM,S1705,BLANQUEFORT PERM S1705,11 Rue de la République 33290 Blanquefort,994829,08 Solidarité autonomie et santé,,12/12/2008,locataire,44.909445,-0.633923
BORDEAUX AS SON-TAY,S0512,BORDEAUX AS SON-TAY S0512,47 Rue de Son Tay 33800 Bordeaux,87551,08 Solidarité autonomie et santé,,16/06/2000,locataire,44.825055,-0.551832
CANEJAN PERM,S1785,CANEJAN PERM S1785,2 Chemin de Barbicadge 33610 Canéjan,1342764,08 Solidarité autonomie et santé,,08/10/2013,locataire,44.763196,-0.653447
PAUILLAC CLG PIERRE-DE-BELLEYME,S0025,PAUILLAC CLG PIERRE-DE-BELLEYME S0025,Rue Édouard de Pontet 33250 Pauillac,87140,03 Collège et éducation,,16/06/2000,propriétaire,45.201981,-0.749342
ETAULIERS CONDUITE-EAU-BLAYAIS,S0804,ETAULIERS CONDUITE-EAU-BLAYAIS S0804,La Comteau Nord Est 33820 Étauliers,97566,05 Mobilité,,22/05/2001,locataire,45.217874,-0.568629
ST-JEAN-D'ILLAC CLG L'ESTEY,S1581,ST-JEAN-D'ILLAC CLG L'ESTEY S1581,2200 Avenue du Las 33127 Saint-Jean-d'Illac,773719,03 Collège et éducation,,18/02/2004,propriétaire,44.805635,-0.80767
MARCHEPRIME PERM,S1799,MARCHEPRIME PERM S1799,Rue Jacques Blieck 33380 Marcheprime,1363827,08 Solidarité autonomie et santé,,16/10/2014,locataire,44.693146,-0.851316
CESTAS CLG CANTELANDE,S0139,CESTAS CLG CANTELANDE S0139,1 Chemin des Sources 33610 Cestas,87184,03 Collège et éducation,,16/06/2000,propriétaire,44.758089,-0.688267
BORDEAUX CLG MONSÉJOUR,S0097,BORDEAUX CLG MONSÉJOUR S0097,7 Rue du Chanoine André Lacaze 33200 Bordeaux,87165,03 Collège et éducation,,16/06/2000,propriétaire,44.856214,-0.630392
FLOIRAC CLG GEORGES-RAYET,S0248,FLOIRAC CLG GEORGES-RAYET S0248,,87227,03 Collège et éducation,,16/06/2000,propriétaire,,
BORDEAUX MDSI GRAND-PARC,S0048,BORDEAUX MDSI GRAND-PARC S0048,63 Rue Godard Caud 33200 Bordeaux,87146,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.855467,-0.606167
BORDEAUX MDPH RAVEZIES,S1642,BORDEAUX MDPH RAVEZIES S1642,,886397,08 Solidarité autonomie et santé,,15/06/2006,proprietaire et bailleur,,
GUJAN-MESTRAS PORT,S0776,GUJAN-MESTRAS PORT S0776,Golf de Gujan Mestras 33470 Gujan-Mestras,97542,05 Mobilité,,20/04/2001,propriétaire,44.603579,-1.092333
CADAUJAC ENS BOCAGE-DE-GARONNE,S0572,CADAUJAC ENS BOCAGE-DE-GARONNE S0572,,88316,07 Protection valorisation environnement,,19/09/2000,propriétaire,,
BRUGES ENS LES-MARAIS-DE-BRUGES,S1789,BRUGES ENS LES-MARAIS-DE-BRUGES S1789,Rue des Écoles 33520 Bruges,1348056,07 Protection valorisation environnement,,13/11/2013,propriétaire,44.880017,-0.588749
BORDEAUX CLG FRANCISCO-GOYA,S0091,BORDEAUX CLG FRANCISCO-GOYA S0091,,87161,03 Collège et éducation,,16/06/2000,propriétaire,,
STE-EULALIE CLG FRANÇOIS-MAURIAC,S0348,STE-EULALIE CLG FRANÇOIS-MAURIAC S0348,33 Rue du Professeur Georges Portmann 33560 Sainte-Eulalie,87256,03 Collège et éducation,,16/06/2000,propriétaire,44.902475,-0.472231
VILLEGOUGE GIE,S0165,VILLEGOUGE GIE S0165,Fourquet 33141 Villegouge,88015,06 Performance de collectivité,,16/06/2000,propriétaire,44.968478,-0.305788
