objectid,inseecom,commune,date_maj,nom,st_areashape,st_lengthshape
131,90004,Argiésans,1970/01/01 00:00:00+00, ,161007.71087856,3719.28130800151
132,25190, ,1970/01/01 00:00:00+00, ,1153190.67580261,4970.9614590098
133,25190, ,1970/01/01 00:00:00+00, ,291346.364103845,2831.94328275442
134,90069, ,1970/01/01 00:00:00+00, ,836908.43233936,9444.94527906493
135,25097, ,1970/01/01 00:00:00+00, ,333341.174557755,2936.65655909648
136,25188, ,1970/01/01 00:00:00+00, ,503989.622434575,3810.73127095303
137,25284, ,1970/01/01 00:00:00+00, ,546988.62623616,5497.06019255932
138,90070, ,1970/01/01 00:00:00+00, ,419087.68744315,4831.56416274616
139,70117, ,1970/01/01 00:00:00+00, ,1146656.0011106,7345.60976335841
140,70206, ,1970/01/01 00:00:00+00, ,366404.033911315,3043.51816279133
141,70312, ,1970/01/01 00:00:00+00, ,1031174.99760502,5119.11184433848
142,70248, ,1970/01/01 00:00:00+00, ,419982.47832937,5664.83941233603
143,70579, ,1970/01/01 00:00:00+00, ,318082.27218776,2470.90672165988
144,70312, ,1970/01/01 00:00:00+00, ,557131.368541885,3964.89352579508
145,70248, ,1970/01/01 00:00:00+00, ,895665.525131455,4386.73848705358
146,90008,Bavilliers,1970/01/01 00:00:00+00, ,477060.74938051,6106.27919424567
147,68214, ,1970/01/01 00:00:00+00, ,279915.42407854,4160.75307220646
148,90001,Andelnans,1970/01/01 00:00:00+00, ,32128.983300825,1521.0420082434
149,90008,Bavilliers,1970/01/01 00:00:00+00, ,10718.29587586,461.626828059979
150,90004,Argiésans,1970/01/01 00:00:00+00, ,27581.39999094,683.552055397016
151,90004,Argiésans,1970/01/01 00:00:00+00, ,3338.169941365,247.237381280881
152,90093,Sermamagny,1970/01/01 00:00:00+00, ,99582.48599716,3648.75797388031
153,90008,Bavilliers,1970/01/01 00:00:00+00, ,427078.418075665,4569.62231837068
154,90072,Morvillars,1970/01/01 00:00:00+00, ,11731.09651278,588.712114316167
155,90008,Bavilliers,1970/01/01 00:00:00+00, ,6722.08656387,382.030665461191
156,90008,Bavilliers,1970/01/01 00:00:00+00, ,122839.68764544,2018.03565822713
157,90008,Bavilliers,1970/01/01 00:00:00+00, ,4261.303335645,327.800942282144
158,90008,Bavilliers,1970/01/01 00:00:00+00, ,265544.54593335,3381.7288973251
159,90076,Perouse,1970/01/01 00:00:00+00, ,550833.649283435,8747.87484583108
160,90010,Belfort,1970/01/01 00:00:00+00, ,833.42475131,207.791472685898
161,90010,Belfort,1970/01/01 00:00:00+00, ,4648.142327125,317.408557884232
162,90021,Charmois,1970/01/01 00:00:00+00, ,259075.673080765,4549.83320954493
163,90029,Cravanche,1970/01/01 00:00:00+00, ,739026.22066088,4270.08956636292
164,90021,Charmois,1970/01/01 00:00:00+00, ,6214.51818368,319.053846158606
165,90035,Dorans,1970/01/01 00:00:00+00, ,391181.56759929,8974.07957954618
166,90015,Botans,1970/01/01 00:00:00+00, ,156198.835897195,2620.44939757031
167,90010,Belfort,1970/01/01 00:00:00+00, ,3223499.56007033,22794.8820970838
168,25539, ,1970/01/01 00:00:00+00, ,698589.074804355,8766.29385118574
169,90093,Sermamagny,1970/01/01 00:00:00+00, ,527411.669056985,11963.2485461385
170,90004,Argiésans,1970/01/01 00:00:00+00, ,325769.799415255,4659.61329802834
171,90104,VEZELOIS,1970/01/01 00:00:00+00, ,655241.75911499,14565.9681476628
172,90034,Denney,1970/01/01 00:00:00+00, ,619495.670512995,17756.7769297414
173,90022,Châtenois les Forges,1970/01/01 00:00:00+00, ,1254604.53195679,9891.0495447107
174,90051, ,1970/01/01 00:00:00+00, ,370344.48412224,8534.49686827705
175,90008,Bavilliers,1970/01/01 00:00:00+00, ,225721.20811488,4570.70833742124
176,90001,Andelnans,1970/01/01 00:00:00+00, ,199818.497676225,2651.69093415253
177,90076,Perouse,1970/01/01 00:00:00+00, ,78663.038454775,2027.61671031688
178,90015,Botans,1970/01/01 00:00:00+00, ,36636.88056224,845.672881185399
179,90015,Botans,1970/01/01 00:00:00+00, ,77748.374109145,1402.81416690881
180,70096, ,1970/01/01 00:00:00+00, ,380043.216379085,7825.49754414902
181,90026,Chevremont,1970/01/01 00:00:00+00, ,1022785.81497195,16016.4258394751
182,90036, ,1970/01/01 00:00:00+00, ,42069.854050965,933.805970533138
183,90003, ,1970/01/01 00:00:00+00, ,540651.29175499,10723.7943251676
184,90020,BUC,1970/01/01 00:00:00+00, ,259907.547266655,5888.799874064
185,90032,Danjoutin,2011/08/25 00:00:00+00, ,2195472.48151495,12458.3045799924
186,90087,Roppe,1970/01/01 00:00:00+00, ,725132.6254483,12443.264713548
187,90042,Evette Salbert,1970/01/01 00:00:00+00, ,1779450.2909683,33546.3083208034
188,90097,Trévenans,1970/01/01 00:00:00+00, ,124794.90530696,2254.4304681216
189,90073,Moval,1970/01/01 00:00:00+00, ,278623.367987905,3184.64340237408
190,90017,Bourogne,1970/01/01 00:00:00+00, ,402704.681494885,3399.16218052314
191,90093,Sermamagny,1970/01/01 00:00:00+00, ,23783.516132225,743.903390673489
192,90093,Sermamagny,1970/01/01 00:00:00+00, ,26026.242195355,1033.31180431976
193,90001,Andelnans,1970/01/01 00:00:00+00, ,225544.643168885,4125.81130809086
194,90017,Bourogne,1970/01/01 00:00:00+00, ,1516059.95020788,16693.5139909397
195,90012, ,1970/01/01 00:00:00+00, ,1115055.09897971,9132.28254956663
