"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","NB_CHB","SDP_A2","SDP_B2","SDP_D2","SDP_E2","SDP_F2","SDP_A3","SDP_B3","SDP_D3","SDP_E3","SDP_F3","SDP_A4","SDP_B4","SDP_D4","SDP_E4","SDP_F4","SDP_A5","SDP_B5","SDP_D5","SDP_E5","SDP_F5","SDP_A6","SDP_B6","SDP_D6","SDP_E6","SDP_F6","SDP_A7","SDP_B7","SDP_D7","SDP_E7","SDP_F7","SDP_A8","SDP_B8","SDP_D8","SDP_E8","SDP_F8","SDP_A9","SDP_B9","SDP_D9","SDP_E9","SDP_F9","I_TRANSPORT","I_ENSETRECH","I_SANTE","I_ACTSOCIAL","I_OUVRAGESPEC","I_CULTURE","TYPE_OPERATION_CONSTR","DPC","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"11","92","92050","2020","09205020T0045","9","2","SNC CEREP PABLO",,"49426899800023","3","BD","Gallieni",,,"92130","Issy-les-Moulineaux",,"100","167","AV","Pablo Picasso",,,"92000","Nanterre",,"243BC",,,1,0,,,,,,0,0,0,0,0,0,0,0,0,1878,12789,0,1878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13",2020-07-31,,
"11","92","92050","2020","09205020T0049","9","2",,"SCI 16 AVENUE DES GUILLERAIES",,"42","rue","Victorien Sardou",,,"92500","RUEIL MALMAISON",,"100","16","avenu","des Guilleraies",,,,"NANTERRE",,"0055F","1312F","1314F",1,9311,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2754,322,0,0,0,889,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2020-07-31,,
"11","92","92050","2020","09205020T0053","9","2",,"SCCV NANTERRE FOCD",,"10","rue","Roquepine",,,"75008","PARIS",,"100","211","rue","de la Garenne",,,,"NANTERRE",,"0594AH","0595AH","0596AH",1,0,,,,,,0,0,0,0,0,0,0,0,0,1958,744,0,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6417,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,"14",2020-07-31,,
"11","92","92050","2020","09205020T0056","9","2",,"SCCV NANTERRE LES GROUES",,"126","avenu","du General Leclerc",,,"92100","BOULOGNE BILLANCOURT",,"100","111","avenu","Francois Arago",,,,"NANTERRE",,"0242AH","0243AH","0438AH",1,4871,,,,"8",,0,0,0,0,0,0,0,0,0,0,1671,0,0,0,0,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2020-07-31,,
"11","92","92062","2020","09206220D0019","9","2","ACE PROMOTION",,"53505637800016","87","RUE","Richelieu",,,"75002","PARIS",,"100","1-3","RUE","Bellini",,,"92800","Puteaux",,"197AE",,,1,0,,,,,,0,0,0,0,0,0,0,0,0,8437,17287,0,8437,0,878,242,0,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2020-07-31,,
"11","92","92062","2020","09206220D0024","9","2","GALILEE-DEFENSE",,"42296270400033","7","PL","du Chancelier Adenauer",,,"75016","PARIS",,"100","51","ESPL","du General de Gaulle",,,"92800","Puteaux",,"201P","197P","169P",1,0,,,,,,1,0,0,0,0,0,0,0,0,34481,11762,246,11804,146,534,20,146,33,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2020-07-31,,
"11","92","92063","2020","0920632000015","2","2",,"VILLE DE SURESNES","21920073000014","2",,"rue Carnot",,,"92151","SURESNES",,"100",,,"chemin de la Grille Verte",,,"92500","RUEIL-MALMAISON",,"41BM",,,2,14770,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,1,0,0,"8",2020-07-31,"2020-07-16",
"11","92","92063","2020","0920632000044","9","2",,"Ste RUEIL STATIONNEMENT","83417841000025","1",,"place des Degres",,,"92800","PUTEAUX",,"100","22",,"rue Gallieni  (ZAC de l'Ar",,,"92500","RUEIL-MALMAISON",,,,,1,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,"8",2020-07-31,,
"11","92","92063","2020","0920632000047","9","2",,"PHYFTIM","82214959700013","4",,"rue de Bretagne",,,"92500","RUEIL-MALMAISON",,"100","4",,"rue des Bons Raisins",,,"92500","RUEIL-MALMAISON",,"540AN",,,1,1648,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2020-07-31,,
"11","92","92063","2020","0920632000054","9","2",,"SCCV RUEIL HIGH GARDEN",,"87",,"rue de Richelieu",,,"75002","PARIS-2E-ARRONDISSEMENT",,"100",,,"RUE DES BONS RAISINS",,,"92500","RUEIL-MALMAISON",,"347AK",,,1,2860,,,,"9",,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2020-07-31,,
"11","92","92063","2020","0920632000055","9","2",,"SCCV RUEIL HIGH GARDEN",,"87",,"rue de Richelieu",,,"75002","PARIS-2E-ARRONDISSEMENT",,"100",,,"RUE DES BONS RAISINS",,,"92500","RUEIL-MALMAISON",,"289AK",,,1,8438,,,,"12",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2020-07-31,,
"11","92","92063","2020","0920632000056","9","2",,"SCCV RUEIL HIGH GARDEN",,"87",,"rue de Richelieu",,,"75002","PARIS-2E-ARRONDISSEMENT",,"100",,,"RUE DES BONS RAISINS",,,"92500","RUEIL-MALMAISON",,"289AK",,,1,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2020-07-31,,
"11","92","92071","2020","0920712000020","9","2","SCCV","SCCV Sceaux Poincare",,"10",,"rue Roquepine",,,"75008","PARIS",,"100","46-60",,"rue du Lycee",,,"92330","SCEAUX",,"65R","66R",,1,2163,,,,"4",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926,0,0,131,794,0,0,0,0,0,0,"14",2020-07-31,,
"11","93","93001","2019","09300119A0079","2","2","VILLES DES MUSIQUES DU MONDE","ASSOCIATION",,"4",,"avenue de la division Lecl",,,"93300","AUBERVILLIERS",,"100","174",,"avenue Jean Jaures",,,"93300","AUBERVILLIERS",,,,,2,0,,,,,"1",0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,1,"14",2020-07-31,"2020-07-29",
