FID,OBJECTID,ID_COMMUNE,NOM_COMMUN,COMMUNE_20,COLLEGES_D,CODE_COLLE,NOM_COLLEG,LYCEES_DE_,Zones_GEO,Shape_Leng,SHAPE_Length,SHAPE_Area
228,230,37274,Villebourg,VILLEBOURG,HONORÉ RACAN - NEUVY-LE-ROI,0370023Z,COLLÈGE HONORÉ RACAN,DESCARTES - TOURS,037DESC,24.8280760382,36838.8546849992,12.3488542631
229,231,37149,Marray,MARRAY,HONORÉ RACAN - NEUVY-LE-ROI,0370023Z,COLLÈGE HONORÉ RACAN,DESCARTES - TOURS,037DESC,26.2139736799,38877.3127423695,23.8495708366
230,232,37084,Couesmes,COUESMES,JOACHIM DU BELLAY - CHÂTEAU-LA-VALLIÈRE,0370006F,COLLÈGE JOACHIM DU BELLAY,CHOISEUL - TOURS,037CHOI,24.3007392959,35994.5627244618,21.9512298948
231,233,37134,Louans,LOUANS,MAURICE GENEVOIX - LIGUEIL,0370015R,COLLÈGE MAURICE GENEVOIX,VIGNY - LOCHES,037LOCH,25.0306951336,36807.9642140949,18.1550664433
232,234,37136,Le Louroux,LE LOUROUX,MAURICE GENEVOIX - LIGUEIL,0370015R,COLLÈGE MAURICE GENEVOIX,VIGNY - LOCHES,037LOCH,29.2642395549,43020.2507786016,28.8849643902
233,236,37163,Nazelles-Négron,NAZELLES NEGRON,MALRAUX - AMBOISE,0371248F,COLLÈGE MALRAUX,VINCI - AMBOISE,037AMBO,21.9754888177,32482.655598536,22.1349689504
234,237,37211,Saint-Branchs,SAINT BRANCHS,ALCUIN - CORMERY,0370010K,COLLÈGE ALCUIN,VIGNY - LOCHES,037LOCH,43.34194673,63805.4315737113,51.9587334688
235,238,37046,Céré-la-Ronde,CERE LA RONDE,MONTRÉSOR JEAN LÉVÈQUE - MONTRÉSOR,0370051E,COLLÈGE JEAN LÉVÈQUE,VIGNY - LOCHES,037LOCH,33.3666201196,49149.5195194466,49.6037710989
236,239,37150,Mazières-de-Touraine,MAZIERES DE TOURAINE,LE CHAMP DE LA MOTTE - LANGEAIS,0370885L,COLLÈGE LE CHAMP DE LA MOTTE,RABELAIS - CHINON,037CHIN,26.7923806216,39550.0692221562,34.2847887479
237,240,37172,Notre-Dame-d'Oé,NOTRE DAME D'OE,MONTAIGNE - TOURS,0370884K,COLLÈGE MONTAIGNE,CHOISEUL - TOURS,037CHOI,14.3970487766,21290.0585637558,7.72670180916
238,241,37062,Château-la-Vallière,CHATEAU LA VALLIERE,JOACHIM DU BELLAY - CHÂTEAU-LA-VALLIÈRE,0370006F,COLLÈGE JOACHIM DU BELLAY,CHOISEUL - TOURS,037CHOI,29.2778201636,43346.4254876595,19.5799202325
239,242,37054,Chanceaux-sur-Choisille,CHANCEAUX SUR CHOISILLE,PIERRE DE RONSARD - TOURS,0370033K,COLLÈGE PIERRE DE RONSARD,VAUCANSON - TOURS,037VAUC,22.7016546764,33580.5220626633,18.5021282384
240,243,37047,Cerelles,CERELLES,SIMONE VEIL - NEUILLÉ-PONT-PIERRE,0370022Y,COLLÈGE SIMONE VEIL,DESCARTES - TOURS,037DESC,19.7453668796,29217.2774119096,12.3348409244
241,244,37185,Pocé-sur-Cisse,POCE SUR CISSE,CHOISEUL - AMBOISE,0371122U,COLLÈGE CHOISEUL,VINCI - AMBOISE,037AMBO,19.9603618553,29505.1978179675,10.8301233616
242,245,37076,Cinais,CINAIS,JEAN ZAY - CHINON,0371159J,COLLÈGE JEAN ZAY,RABELAIS - CHINON,037CHIN,14.1648613407,20829.8578907132,8.8139953443
243,246,37051,Champigny-sur-Veude,CHAMPIGNY SUR VEUDE,LE PUITS DE LA ROCHE - RICHELIEU,0371191U,COLLÈGE LE PUITS DE LA ROCHE,RABELAIS - CHINON,037CHIN,21.3026724725,31264.297220498,16.1551726401
244,247,37072,Chinon,CHINON,JEAN ZAY - CHINON,0371159J,COLLÈGE JEAN ZAY,RABELAIS - CHINON,037CHIN,31.9951538958,47059.3141503598,39.1268855597
245,248,37213,Saint-Christophe-sur-le-Nais,SAINT CHRISTOPHE SUR LE NAIS,HONORÉ RACAN - NEUVY-LE-ROI,0370023Z,COLLÈGE HONORÉ RACAN,DESCARTES - TOURS,037DESC,23.8860426302,35428.3548699687,18.2268763076
246,249,37173,Nouans-les-Fontaines,NOUANS LES FONTAINES,MONTRÉSOR JEAN LÉVÈQUE - MONTRÉSOR,0370051E,COLLÈGE JEAN LÉVÈQUE,VIGNY - LOCHES,037LOCH,40.357913568,59334.4904072884,63.3910060697
247,250,37151,La Membrolle-sur-Choisille,LA MEMBROLLE SUR CHOISILLE,LA BECHELLERIE - SAINT-CYR-SUR-LOIRE,0371126Y,COLLÈGE LA BECHELLERIE,CHOISEUL - TOURS,037CHOI,15.4152220069,22792.970803903,6.94977250208
248,251,37237,Saint-Roch,SAINT ROCH,JEAN ROUX - FONDETTES,0371397T,COLLÈGE JEAN ROUX,BALZAC - TOURS,037BALZ,12.4064984228,18345.9418229386,4.81283856592
249,252,37139,Luynes,LUYNES,LUCIE ET RAYMOND AUBRAC - LUYNES,0371378X,COLLÈGE LUCIE ET RAYMOND AUBRAC,P.L. COURIER - TOURS,037PLC,34.8204058413,51442.3076828354,34.1346277501
250,253,37194,Reugny,REUGNY,GASTON HUET - VOUVRAY,0371189S,COLLÈGE GASTON HUET,VAUCANSON - TOURS,037VAUC,31.4449450196,46514.6135664988,29.7447511562
251,254,37225,Saint-Martin-le-Beau,SAINT MARTIN LE BEAU,RAOUL REBOUT - MONTLOUIS-SUR-LOIRE,0370799T,COLLÈGE RAOUL REBOUT,VINCI - AMBOISE,037AMBO,22.2869433358,32879.9338363807,19.142630689
252,255,37270,Vernou-sur-Brenne,VERNOU SUR BRENNE,GASTON HUET - VOUVRAY,0371189S,COLLÈGE GASTON HUET,VAUCANSON - TOURS,037VAUC,30.9217497514,45725.2848319648,25.8519467204
