FID,OBJECTID,ID_COMMUNE,NOM_COMMUN,COMMUNE_20,COLLEGES_D,CODE_COLLE,NOM_COLLEG,LYCEES_DE_,Zones_GEO,Shape_Leng,SHAPE_Length,SHAPE_Area
138,139,37103,Esves-le-Moutier,ESVES LE MOUTIER,MAURICE GENEVOIX - LIGUEIL,0370015R,COLLÈGE MAURICE GENEVOIX,VIGNY - LOCHES,037LOCH,16.2444909068,23826.1609548561,10.6238538121
139,140,37113,Le Grand-Pressigny,LE GRAND PRESSIGNY,LOUIS LÉGER - LE GRAND-PRESSIGNY,0370011L,COLLÈGE LOUIS LÉGER,VIGNY - LOCHES,037LOCH,32.4585274945,47514.6997170164,40.4068638067
140,141,37038,Bréhémont,BREHEMONT,LE CHAMP DE LA MOTTE - LANGEAIS,0370885L,COLLÈGE LE CHAMP DE LA MOTTE,RABELAIS - CHINON,037CHIN,23.5846410731,34758.1742689664,12.9340060626
141,142,37104,Esvres,ESVRES,GEORGES BRASSENS - ESVRES,0371204H,COLLÈGE GEORGES BRASSENS,GRANDMONT - TOURS,037GRAN,31.2374157035,46053.7987265581,35.819967314
142,143,37097,Dolus-le-Sec,DOLUS LE SEC,GEORGES BESSE - LOCHES,0370768J,COLLÈGE GEORGES BESSE,VIGNY - LOCHES,037LOCH,27.4544551295,40387.1245116997,27.5386715403
143,144,37181,Paulmy,PAULMY,LOUIS LÉGER - LE GRAND-PRESSIGNY,0370011L,COLLÈGE LOUIS LÉGER,VIGNY - LOCHES,037LOCH,27.47557809,40263.9360605588,26.623930206
144,145,37070,Chenonceaux,CHENONCEAUX,LE REFLESSOIR - BLÉRÉ,0371124W,COLLÈGE LE RÉFLESSOIR,VINCI - AMBOISE,037AMBO,11.5859483128,17106.0759792919,4.28436423353
145,146,37010,Auzouer-en-Touraine,AUZOUER DE TOURAINE,ANDRÉ BAUCHANT - CHÂTEAU-RENAULT,0370007G,COLLÈGE ANDRÉ BAUCHANT,VINCI - AMBOISE,037AMBO,31.2879763687,46351.880069444,34.0129833576
146,147,37192,Reignac-sur-Indre,REIGNAC SUR INDRE,ALCUIN - CORMERY,0370010K,COLLÈGE ALCUIN,VIGNY - LOCHES,037LOCH,32.5520222685,47919.7295622326,22.1263364188
147,148,37055,Channay-sur-Lathan,CHANNAY SUR LATHAN,BERNARD DE FONTENELLE - SAVIGNÉ-SUR-LATHAN,0370034L,COLLÈGE BERNARD DE FONTENELLE,CHOISEUL - TOURS,037CHOI,29.0901972839,43027.5520385644,29.2017307322
148,149,37075,Cigogné,CIGOGNE,LE REFLESSOIR - BLÉRÉ,0371124W,COLLÈGE LE RÉFLESSOIR,VINCI - AMBOISE,037AMBO,22.3422110593,32916.4307900082,21.9262223511
149,150,37228,Saint-Nicolas-de-Bourgueil,SAINT NICOLAS DE BOURGUEIL,PIERRE DE RONSARD - BOURGUEIL,0370995F,COLLÈGE PIERRE DE RONSARD,RABELAIS - CHINON,037CHIN,30.2448947232,44597.3718239782,36.4235787474
150,151,37129,Ligré,LIGRE,JEAN ZAY - CHINON,0371159J,COLLÈGE JEAN ZAY,RABELAIS - CHINON,037CHIN,23.6082666265,34686.3247326221,27.7858937776
151,152,37186,Pont-de-Ruan,PONT DE RUAN,VAL DE L'INDRE - MONTS,0370993D,COLLÈGE DU VAL DE L'INDRE,MONNET - JOUÉ-LÈS-TOURS,037JLT,14.9621645151,22045.4808374358,5.72727161763
152,153,37212,Sainte-Catherine-de-Fierbois,SAINTE CATHERINE DE FIERBOIS,CÉLESTIN FREINET - SAINTE-MAURE-DE-TOURAINE,0371101W,COLLÈGE CÉLESTIN FREINET,RABELAIS - CHINON,037CHIN,19.9366561174,29317.955158848,15.6523154067
153,154,37095,Dame-Marie-les-Bois,DAME MARIE LES BOIS,ANDRÉ BAUCHANT - CHÂTEAU-RENAULT,0370007G,COLLÈGE ANDRÉ BAUCHANT,VINCI - AMBOISE,037AMBO,15.670068566,23212.3476400067,9.00568347858
154,156,37157,Montrésor,MONTRESOR,MONTRÉSOR JEAN LÉVÈQUE - MONTRÉSOR,0370051E,COLLÈGE JEAN LÉVÈQUE,VIGNY - LOCHES,037LOCH,4.7519662092,6985.28366307779,0.997456703181
155,157,37272,Villandry,VILLANDRY,LE CHAMP DE LA MOTTE - LANGEAIS,0370885L,COLLÈGE LE CHAMP DE LA MOTTE,GRANDMONT - TOURS,037GRAN,24.1766680719,35660.7947539557,17.7628435533
156,158,37053,Chanceaux-près-Loches,CHANCEAUX PRES LOCHES,GEORGES BESSE - LOCHES,0370768J,COLLÈGE GEORGES BESSE,VIGNY - LOCHES,037LOCH,19.2831147584,28339.9842457931,14.672625913
157,159,37092,Crotelles,CROTELLES,ANDRÉ BAUCHANT - CHÂTEAU-RENAULT,0370007G,COLLÈGE ANDRÉ BAUCHANT,VINCI - AMBOISE,037AMBO,18.4467978968,27324.7346116402,15.7267859594
158,160,37174,Nouâtre,NOUATRE,PATRICK BAUDRY - NOUÂTRE,0370024A,COLLÈGE PATRICK BAUDRY,RABELAIS - CHINON,037CHIN,17.935102163,26323.1259571314,9.68519297249
159,161,37187,Ports,PORTS SUR VIENNE,PATRICK BAUDRY - NOUÂTRE,0370024A,COLLÈGE PATRICK BAUDRY,RABELAIS - CHINON,037CHIN,16.332042439,23950.1262932239,11.0871758277
160,162,37060,Chargé,CHARGE,CHOISEUL - AMBOISE,0371122U,COLLÈGE CHOISEUL,VINCI - AMBOISE,037AMBO,14.6713708216,21675.653678563,8.515048446
161,163,37165,Neuil,NEUIL,CÉLESTIN FREINET - SAINTE-MAURE-DE-TOURAINE,0371101W,COLLÈGE CÉLESTIN FREINET,RABELAIS - CHINON,037CHIN,23.9880444072,35295.2984513405,18.9380396543
162,164,37093,Crouzilles,CROUZILLES,ANDRÉ DUCHESNE - L'ÎLE-BOUCHARD,0370013N,COLLÈGE ANDRÉ DUCHESNE,RABELAIS - CHINON,037CHIN,19.5659495575,28746.7464916055,14.535780047
163,165,37066,Chédigny,CHEDIGNY,GEORGES BESSE - LOCHES,0370768J,COLLÈGE GEORGES BESSE,VIGNY - LOCHES,037LOCH,24.9263230819,36696.1843127455,23.1758703936
164,166,37085,Courçay,COURCAY,ALCUIN - CORMERY,0370010K,COLLÈGE ALCUIN,VIGNY - LOCHES,037LOCH,31.3142760752,46130.2713923419,25.0669570689
165,167,37256,Theneuil,THENEUIL,ANDRÉ DUCHESNE - L'ÎLE-BOUCHARD,0370013N,COLLÈGE ANDRÉ DUCHESNE,RABELAIS - CHINON,037CHIN,17.9357353818,26349.0669042625,9.95590712891
166,168,37190,Pussigny,PUSSIGNY,PATRICK BAUDRY - NOUÂTRE,0370024A,COLLÈGE PATRICK BAUDRY,RABELAIS - CHINON,037CHIN,14.2028278392,20815.3711088199,8.56324071001
167,169,37180,Parçay-sur-Vienne,PARCAY SUR VIENNE,ANDRÉ DUCHESNE - L'ÎLE-BOUCHARD,0370013N,COLLÈGE ANDRÉ DUCHESNE,RABELAIS - CHINON,037CHIN,23.6293563795,34699.2950268063,18.7917783536
168,170,37143,Manthelan,MANTHELAN,MAURICE GENEVOIX - LIGUEIL,0370015R,COLLÈGE MAURICE GENEVOIX,VIGNY - LOCHES,037LOCH,32.3152043352,47497.8463296491,39.5407121724
169,171,37216,Saint-Épain,SAINT EPAIN,CÉLESTIN FREINET - SAINTE-MAURE-DE-TOURAINE,0371101W,COLLÈGE CÉLESTIN FREINET,RABELAIS - CHINON,037CHIN,39.5729855394,58172.1628470394,63.3256371971
170,172,37128,Lignières-de-Touraine,LIGNIERES DE TOURAINE,LE CHAMP DE LA MOTTE - LANGEAIS,0370885L,COLLÈGE LE CHAMP DE LA MOTTE,RABELAIS - CHINON,037CHIN,15.0475972035,22174.277723662,10.0430086517
171,173,37269,Verneuil-sur-Indre,VERNEUIL SUR INDRE,GEORGES BESSE - LOCHES,0370768J,COLLÈGE GEORGES BESSE,VIGNY - LOCHES,037LOCH,38.6142913272,56653.8197238766,40.6296058752
172,174,37222,Saint-Jean-Saint-Germain,SAINT JEAN SAINT GERMAIN,GEORGES BESSE - LOCHES,0370768J,COLLÈGE GEORGES BESSE,VIGNY - LOCHES,037LOCH,30.9265740997,45401.1305519652,21.4885723241
173,175,37091,La Croix-en-Touraine,LA CROIX EN TOURAINE,LE REFLESSOIR - BLÉRÉ,0371124W,COLLÈGE LE RÉFLESSOIR,VINCI - AMBOISE,037AMBO,17.2310274104,25428.9432320311,15.2468514399
174,176,37140,Luzé,LUZE,LE PUITS DE LA ROCHE - RICHELIEU,0371191U,COLLÈGE LE PUITS DE LA ROCHE,RABELAIS - CHINON,037CHIN,25.1558309092,36888.4837212554,20.3561095543
175,177,37067,Cheillé,CHEILLE,HONORÉ DE BALZAC - AZAY-LE-RIDEAU,0371210P,COLLÈGE HONORÉ DE BALZAC,RABELAIS - CHINON,037CHIN,32.7643492989,48245.9226980589,46.9987957802
176,178,37032,Bournan,BOURNAN,MAURICE GENEVOIX - LIGUEIL,0370015R,COLLÈGE MAURICE GENEVOIX,VIGNY - LOCHES,037LOCH,18.9020396264,27747.3749189272,14.770015019
177,179,37255,Tavant,TAVANT,ANDRÉ DUCHESNE - L'ÎLE-BOUCHARD,0370013N,COLLÈGE ANDRÉ DUCHESNE,RABELAIS - CHINON,037CHIN,12.1639557655,17864.0833421435,5.21550673878
178,180,37281,Vouvray,VOUVRAY,GASTON HUET - VOUVRAY,0371189S,COLLÈGE GASTON HUET,VAUCANSON - TOURS,037VAUC,25.2953588026,37392.8716153007,23.1049929405
179,181,37063,Château-Renault,CHATEAU RENAULT,ANDRÉ BAUCHANT - CHÂTEAU-RENAULT,0370007G,COLLÈGE ANDRÉ BAUCHANT,VINCI - AMBOISE,037AMBO,10.9629296673,16250.8936866502,3.52084355201
180,182,37204,Rouziers-de-Touraine,ROUZIERS DE TOURAINE,SIMONE VEIL - NEUILLÉ-PONT-PIERRE,0370022Y,COLLÈGE SIMONE VEIL,DESCARTES - TOURS,037DESC,26.9443823819,39895.9378005307,18.046161754
181,183,37167,Neuillé-Pont-Pierre,NEUILLE PONT PIERRE,SIMONE VEIL - NEUILLÉ-PONT-PIERRE,0370022Y,COLLÈGE SIMONE VEIL,DESCARTES - TOURS,037DESC,33.7248621287,49954.4676224012,39.1647944329
182,184,37021,Beaumont-Louestault,BEAUMONT LOUESTAULT,HONORÉ RACAN - NEUVY-LE-ROI,0370023Z,COLLÈGE HONORÉ RACAN,DESCARTES - TOURS,037DESC,41.5367846738,61571.6897822296,55.706929181
183,185,37229,Saint-Nicolas-des-Motets,SAINT NICOLAS DES MOTETS,ANDRÉ BAUCHANT - CHÂTEAU-RENAULT,0370007G,COLLÈGE ANDRÉ BAUCHANT,VINCI - AMBOISE,037AMBO,16.9061908194,25063.1365006582,12.7528239399
184,186,37260,La Tour-Saint-Gelin,LA TOUR SAINT GELIN,LE PUITS DE LA ROCHE - RICHELIEU,0371191U,COLLÈGE LE PUITS DE LA ROCHE,RABELAIS - CHINON,037CHIN,21.2664585547,31215.0667513603,13.4785494421
185,187,37169,Neuville-sur-Brenne,NEUVILLE SUR BRENNE,ANDRÉ BAUCHANT - CHÂTEAU-RENAULT,0370007G,COLLÈGE ANDRÉ BAUCHANT,VINCI - AMBOISE,037AMBO,14.8624192166,22044.7024014889,6.86933257349
186,188,37106,La Ferrière,LA FERRIERE,HONORÉ RACAN - NEUVY-LE-ROI,0370023Z,COLLÈGE HONORÉ RACAN,DESCARTES - TOURS,037DESC,18.6977436735,27735.2329299808,15.630932777
187,189,37249,Sonzay,SONZAY,SIMONE VEIL - NEUILLÉ-PONT-PIERRE,0370022Y,COLLÈGE SIMONE VEIL,DESCARTES - TOURS,037DESC,35.0941548691,51938.6273362312,48.2459835806
188,190,37153,Monnaie,MONNAIE,MONTAIGNE - TOURS,0370884K,COLLÈGE MONTAIGNE,VAUCANSON - TOURS,037VAUC,34.2839928405,50741.8078836675,39.4437605847
189,191,37276,Villedômer,VILLEDOMER,ANDRÉ BAUCHANT - CHÂTEAU-RENAULT,0370007G,COLLÈGE ANDRÉ BAUCHANT,VINCI - AMBOISE,037AMBO,33.8672894215,50163.7168081459,35.2391228149
190,192,37087,Courcoué,COURCOUE,LE PUITS DE LA ROCHE - RICHELIEU,0371191U,COLLÈGE LE PUITS DE LA ROCHE,RABELAIS - CHINON,037CHIN,22.0930688252,32402.1336038699,15.6371596642
191,193,37206,Saint-Antoine-du-Rocher,SAINT ANTOINE DU ROCHER,SIMONE VEIL - NEUILLÉ-PONT-PIERRE,0370022Y,COLLÈGE SIMONE VEIL,DESCARTES - TOURS,037DESC,25.4999732983,37750.3405593663,24.1682352229
