idENT_NCA;NOM;SOUS_TYPE;CODE_INSEE;TYPE;geometry
06088AP017686A;ELEMENTAIRE ORANGERS;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.29497885, 43.71536879]}
06088AB08581B;ELEMENTAIRE BORNALA;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.23792711, 43.69405059]}
06088AP126513A;MATERNELLE I BAUMETTES;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.25286048, 43.69476243]}
06088AC123232A0;GROUPE SCOLAIRE THERESE ROMEO;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.25840079, 43.70845104]}
06088AB04516A0;GROUPE SCOLAIRE CIMIEZ;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.27700662, 43.71746171]}
06088AG10341A0;GROUPE SCOLAIRE OLIVIERS;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.25184967, 43.72963444]}
06088AM008811A0;GROUPE SCOLAIRE MADONETTE TERRON;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.2263269, 43.69121444]}
06088AH0176123A0;GROUPE SCOLAIRE LES ACACIAS;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.27009073, 43.73089824]}
06088AD007724A0;GROUPE SCOLAIRE BAUMETTES;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.25237285, 43.69548557]}
06088AS0836126A0;GROUPE SCOLAIRE CAUCADE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.21168144, 43.67849649]}
06088AA116065A0;GROUPE SCOLAIRE NICE FLORE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.21880673, 43.67031335]}
06088AE036323A0;GROUPE SCOLAIRE PORT;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.28331309, 43.69764579]}
06088AO0198135A0;GROUPE SCOLAIRE MAGNOLIAS;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.2202492, 43.67958584]}
