Maison des Associations;Date;Heure de début;Heure de fin;Activité;Type de réservation;;Association
GARIBALDI;28/10/2015;20H00;21H00;DANSE ;COURS;;TIGERACT AND CO
GARIBALDI;29/10/2015;09H00;17H00;SPECTACLE VIVANT;STAGE;;COMPAGNIE LA MAIN VERTE
GARIBALDI;29/10/2015;09H00;11H00;ACTIVITE BIEN ETRE;COURS;;QI GONG & SANTE
GARIBALDI;29/10/2015;09H00;12H00;LOISIRS;COURS;;L'ESCAPADE
GARIBALDI;29/10/2015;11H00;12H00;ACTIVITE BIEN ETRE;COURS;;MANGALAM
GARIBALDI;29/10/2015;12H00;17H00;SPECTACLE VIVANT;COURS;;LA COMPAGNIE DE L'INVENT'ERE
GARIBALDI;29/10/2015;13H00;17H00;ORGANISME PUBLIC;ATELIER;;MAIRIE DE NICE
GARIBALDI;29/10/2015;13H00;15H00;LOISIRS;PERMANENCE;;SAVA - SPORT ACTION VOYAGES AMITIE 
GARIBALDI;29/10/2015;14H00;17H00;SOCIAL;REUNION;;ANVP - ASSOCIATION NATIONALE DES VISITEURS DE PRISONS
GARIBALDI;29/10/2015;14H00;17H00;LOISIRS;COURS;;L'ESCAPADE
GARIBALDI;29/10/2015;16H00;18H00;SOCIAL;PERMANENCE;;ALETHEIA
GARIBALDI;29/10/2015;17H00;19H00;LOISIRS;COURS;;L'ESCAPADE
GARIBALDI;29/10/2015;18H00;21H00;THEATRE;COURS;;LE QUADRANT MAGIQUE
GARIBALDI;29/10/2015;18H00;21H00;CULTURE;CONFERENCE;;LES AMIS DE LA LIBERTE 
GARIBALDI;29/10/2015;19H00;21H00;THEATRE;COURS;;LE PETIT THEATRE DE LAURE
GARIBALDI;29/10/2015;19H00;21H00;COURS DE LANGUE;COURS;;LET'S SPEAK IN ENGLISH
GARIBALDI;29/10/2015;19H00;21H00;SPORT;COURS;;SAGESSE ET YOGA 06 - ASY06
GARIBALDI;30/10/2015;09H00;17H00;SPECTACLE VIVANT;STAGE;;COMPAGNIE LA MAIN VERTE
GARIBALDI;30/10/2015;13H00;16H00;ORGANISME PUBLIC;CONFERENCE;;MAIRIE DE NICE
GARIBALDI;30/10/2015;13H00;16H00;THEATRE;SPECTACLE;;COMPAGNIE ALPHABET
GARIBALDI;30/10/2015;13H00;18H00;SPECTACLE VIVANT;COURS;;LA COMPAGNIE DE L'INVENT'ERE
GARIBALDI;30/10/2015;17H00;19H00;CULTURE;COURS;;OKINAWA
GARIBALDI;30/10/2015;18H00;21H00;CITOYENNETE;REUNION;;ATTAC06 - ASSOCIATION POUR UNE TAXATION DES TRANSACTIONS FINANCIERES POUR L'AIDE AUX CITOYENS 06
GARIBALDI;30/10/2015;18H00;21H00;CULTURE;CONFERENCE;;CEPPI - CENTRE D'ETUDES PARAPSYCHOLOGIQUES ET DES PHENOMENES INEXPLIQUES
GARIBALDI;31/10/2015;10H00;18H00;LOISIRS;DIVERS;;SVA CHASSE AU TRESOR
GARIBALDI;31/10/2015;10H00;13H00;DANSE ;COURS;;TIGERACT AND CO
GARIBALDI;31/10/2015;10H00;12H00;SPORT;COURS;;DAME D'AZUR - DA
GARIBALDI;31/10/2015;14H00;16H00;CULTURE;COURS;;ARJNCA - ASSOCIATION DES RESSORTISSANTS JAPONAIS DE NICE COTE D'AZUR
GARIBALDI;31/10/2015;14H00;18H00;ACTIVITE BIEN ETRE;COURS;;LES COULEURS DU CIEL ART THERAPIE ET YOGA
GARIBALDI;31/10/2015;14H00;18H00;ORGANISME PUBLIC;CONFERENCE;;MAIRIE DE NICE
GARIBALDI;31/10/2015;19H00;21H00;CULTURE;CONFERENCE;;COMMUNAUTE GRECQUE DES ALPES-MARITIMES CGDAM
LIBERATION;26/10/2015;11H00;12H00;ACTIVITE BIEN ETRE;COURS;;YOGA RELAXATION ANTI-STRESS ET BIEN ETRE
LIBERATION;27/10/2015;18H00;21H00;ACTIVITE BIEN ETRE;COURS;;ENVIE D'ENERGIE
LIBERATION;28/10/2015;13H00;18H00;ORGANISME PUBLIC;DIVERS;;MAIRIE DE NICE
LIBERATION;28/10/2015;18H00;20H50;ACTIVITE BIEN ETRE;COURS;;LES PONTS DES PIES
LIBERATION;29/10/2015;09H00;10H00;SOCIAL;COURS;;ASSOCIATION ANTHROPOSOPHIQUE DE NICE 
LIBERATION;29/10/2015;10H00;18H00;ORGANISME PUBLIC;DIVERS;;MAIRIE DE NICE
LIBERATION;29/10/2015;19H00;21H00;ACTIVITE BIEN ETRE;COURS;;DE L'ETOILE O SAMA
LIBERATION;30/10/2015;18H00;19H00;SOCIAL;COURS;;ASSOCIATION ANTHROPOSOPHIQUE DE NICE 
LIBERATION;31/10/2015;09H00;16H00;ORGANISME PUBLIC;EXPOSITION;;MAIRIE DE NICE
LIBERATION;31/10/2015;16H00;18H00;ACTIVITE BIEN ETRE;ATELIER;;LA VOIE ZEN GESTION DU STRESS
NICE-CENTRE;26/10/2015;13H00;17H00;SENIORS;FORMATION;;ACCOMPAGNIA'DOM
NICE-CENTRE;26/10/2015;15H00;17H00;COURS DE LANGUE;COURS;;CFLEC CENTRE DE FORMATION LANGUES ET CIVILISATIONS 
NICE-CENTRE;26/10/2015;15H00;18H00;COURS DE LANGUE;COURS;;FRANCE GRANDE BRETAGNE
NICE-CENTRE;26/10/2015;18H00;21H00;ENSEIGNEMENT;ANIMATION;;AMICALE DES POLONAIS NICE - COTE D'AZUR
NICE-CENTRE;26/10/2015;19H00;21H00;CULTURE;ATELIER;;CERCLE DES ECRIVAINS DE LA COTE D'AZUR
NICE-CENTRE;27/10/2015;10H00;13H00;SANTE;;;ANPAA06 - ASSOCIATION NATIONALE DE PREVENTION EN ALCOOLOGIE ET ADDICTOLOGIE -COMITE DES A M   
NICE-CENTRE;27/10/2015;10H00;17H00;COURS DE LANGUE;COURS;;FRANCE GRANDE BRETAGNE
NICE-CENTRE;27/10/2015;16H00;17H00;COURS DE LANGUE;COURS;;SUNCHINE 
NICE-CENTRE;27/10/2015;18H00;21H00;CITOYENNETE;REUNION;;CNR - COMITE POUR UNE NOUVELLE RESISTANCE 
NICE-CENTRE;27/10/2015;18H00;21H00;THEATRE;COURS;;COMPAGNIE AU BALCON
NICE-CENTRE;27/10/2015;19H00;21H00;CULTURE;REUNION;;AEFL - ASSOCIATION D'ETUDES DE FREUD ET LACAN
NICE-CENTRE;28/10/2015;10H00;19H00;SOCIAL;REUNION;;CHRYSALIDES
NICE-CENTRE;28/10/2015;13H00;17H00;SOCIAL;REUNION;;CHRYSALIDES
NICE-CENTRE;28/10/2015;13H00;19H00;SOCIAL;REUNION;;CHRYSALIDES
NICE-CENTRE;28/10/2015;14H00;16H00;COURS DE LANGUE;COURS;;CFLEC CENTRE DE FORMATION LANGUES ET CIVILISATIONS 
NICE-CENTRE;28/10/2015;17H00;19H00;ACTIVITE BIEN ETRE;COURS;;SHANTI-YOGA
NICE-CENTRE;28/10/2015;18H00;20H00;SANTE;REUNION;;OA - OUTRE-MANGEURS ANONYMES
NICE-CENTRE;29/10/2015;15H00;17H00;ENSEIGNEMENT;REUNION;;ASSOUCIACIOUN DOU MALOUNAT
NICE-CENTRE;30/10/2015;09H00;11H00;COURS DE LANGUE;COURS;;CFLEC CENTRE DE FORMATION LANGUES ET CIVILISATIONS 
NICE-CENTRE;30/10/2015;15H00;16H00;COURS DE LANGUE;COURS;;CFLEC CENTRE DE FORMATION LANGUES ET CIVILISATIONS 
NICE-CENTRE;30/10/2015;18H00;21H00;THEATRE;COURS;;LE QUADRANT MAGIQUE
NICE-CENTRE;30/10/2015;18H00;21H00;THEATRE;COURS;;LE QUADRANT MAGIQUE
NICE-CENTRE;30/10/2015;18H00;21H00;THEATRE;COURS;;LE QUADRANT MAGIQUE
NICE-CENTRE;30/10/2015;18H00;21H00;THEATRE;COURS;;COUR ET JARDIN
NICE-CENTRE;30/10/2015;19H00;21H00;ENSEIGNEMENT;REUNION;;AMICALE DES POLONAIS NICE - COTE D'AZUR
NICE-CENTRE;31/10/2015;11H00;12H00;ACTIVITE BIEN ETRE;COURS;;SHANTI-YOGA
NICE-CENTRE;31/10/2015;14H00;18H00;LOISIRS;ATELIER;;CARACTERE
NICE-EST SAINT ROCH;26/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;26/10/2015;09H00;13H00;HANDICAP;PERMANENCE;;INSEIT INSTITUT INTERNATIONAL POUR L'ETUDE ET L'INTEGRATION DES NOUVELLES TECHNIQUES ET TECHNOLOGIES
