Maison des Associations;Date;Heure de début;Heure de fin;Activité;Type de réservation;Associations
COMTE DE FALICON;14/03/2019;16H00;18H00;PROXIMITE;REUNION;COMITE DE QUARTIER SAINT SYLVESTRE - SAINT BARTHELEMY SUPERIEUR
COMTE DE FALICON;14/03/2019;17H00;18H00;PROXIMITE;PERMANENCE;COMITE DE QUARTIER SAINT SYLVESTRE - SAINT BARTHELEMY SUPERIEUR
COMTE DE FALICON;15/03/2019;13H00;17H00;ORGANISME PUBLIC;ATELIER;DIRECTION DE LA SANTE PUBLIQUE
COMTE DE FALICON;15/03/2019;14H00;16H00;SOCIAL;REUNION;UNIS - CITE MEDITERRANEE
COMTE DE FALICON;16/03/2019;10H00;12H00;ARTS PLASTIQUES;COURS;ETOILE D'AZUR
COMTE DE FALICON;16/03/2019;11H00;12H00;COURS DE LANGUE;COURS;MINI SCHOOLS - RELAIS M.S. 
COMTE DE FALICON;16/03/2019;14H00;18H00;CULTURE;ASSEMBLEE GENERALE;MENSA COTE D'AZUR
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;11/03/2019;10H00;11H00;AFFAIRES MILITAIRES;PERMANENCE;LES VIEILLES TIGES - GROUPEMENT ROLAND GARROS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;11/03/2019;10H00;12H00;ORGANISME PUBLIC;PERMANENCE;MAIRIE DE NICE ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;11/03/2019;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;AMLH DPLV - ASSOCIATION DES MEMBRES DE LA LEGION D'HONNEUR DECORES AU PERIL DE LEUR VIE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;11/03/2019;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;INSTITUT PERICLES - DELEGATION DPTALE DE LA COMMISSION DE LA RESERVE MILITAIRE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;11/03/2019;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;ANOCR 06 - ASS. NALE DES OFFICIERS DE CARRIERE EN RETRAITE - GROUPEMENT DES ALPES-MARITIMES
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;11/03/2019;14H00;18H00;ORGANISME PUBLIC;PERMANENCE;MAIRIE DE NICE ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;11/03/2019;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;SNEMM NICE - SOCIETE NATIONALE D''ENTRAIDE DE LA MEDAILLE MILITAIRE -2ème -1394ème Section de Nice
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;11/03/2019;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;UNC - UNION NATIONALE DES COMBATTANTS SECTION DE NICE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;11/03/2019;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;INSTITUT PERICLES - DELEGATION DPTALE DE LA COMMISSION DE LA RESERVE MILITAIRE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/03/2019;10H00;12H00;ORGANISME PUBLIC;PERMANENCE;MAIRIE DE NICE ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/03/2019;10H00;12H00;AFFAIRES MILITAIRES;REUNION;ANMONM - ASS. NALE DES MEMBRES DE L'ORDRE NATIONAL DU MERITE - Section Départementale des AM 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/03/2019;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;INSTITUT PERICLES - DELEGATION DPTALE DE LA COMMISSION DE LA RESERVE MILITAIRE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/03/2019;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;SMLH - SOCIETE DES MEMBRES DE LA LEGION D'HONNEUR - SECTION DES A.M.
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/03/2019;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;AMICALE NAT. DU 22EME BCA ET DES TROUPES DE MONTAGNE SIDI-BRAHIM DE CANNES, NICE, VILLEFRANCHE/MER
