Support d'identification,Catégorie,Déchetterie,Date,Heure,Produit,Quantité
25150,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,16:56:00,CARTON,"0,00"
05128,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,16:57:00,CARTON,"0,00"
07402,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,16:59:00,CARTON,"0,00"
25360,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,17:05:00,CARTON,"0,00"
24982,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,17:24:00,CARTON,"0,00"
25150,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,17:27:00,CARTON,"0,00"
05553,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,17:35:00,CARTON,"0,00"
00076,PARTICULIER,GENSAC,16/02/2013,11:49:00,CARTON,"1,00"
06488,PARTICULIER,GENSAC,16/02/2013,14:12:00,TOUT VENANT ENCOMBRANTS,"1,00"
06488,PARTICULIER,GENSAC,16/02/2013,14:12:00,DECHETS VERTS,"1,00"
08396,PARTICULIER,GENSAC,16/02/2013,14:38:00,DECHETS VERTS,"1,00"
08396,PARTICULIER,GENSAC,16/02/2013,14:38:00,PILES,"0,50"
24380,PARTICULIER,GENSAC,16/02/2013,15:47:00,TOUT VENANT ENCOMBRANTS,"1,00"
01287,PARTICULIER,GENSAC,16/02/2013,16:16:00,FERRAILLE,"1,00"
01287,PARTICULIER,GENSAC,16/02/2013,16:16:00,TOUT VENANT ENCOMBRANTS,"1,00"
01287,PARTICULIER,GENSAC,16/02/2013,16:16:00,CARTON,"1,00"
01287,PARTICULIER,GENSAC,16/02/2013,16:16:00,NYLON,"1,00"
07170,PARTICULIER,GENSAC,16/02/2013,16:30:00,NYLON,"1,00"
27466,PARTICULIER,GENSAC,16/02/2013,16:50:00,NYLON,"1,00"
27466,PARTICULIER,GENSAC,16/02/2013,16:50:00,CARTON,"1,00"
27441,PARTICULIER,GENSAC,16/02/2013,17:11:00,FERRAILLE,"1,00"
24678,PARTICULIER,GENSAC,16/02/2013,17:16:00,DECHETS VERTS,"1,00"
07170,PARTICULIER,GENSAC,18/02/2013,09:00:00,GRAVATS,"1,00"
07170,PARTICULIER,GENSAC,18/02/2013,09:00:00,TOUT VENANT ENCOMBRANTS,"1,00"
07837,PARTICULIER,GENSAC,18/02/2013,09:25:00,DECHETS VERTS,"1,00"
27466,PARTICULIER,GENSAC,18/02/2013,09:48:00,PAPIER,"1,00"
27466,PARTICULIER,GENSAC,18/02/2013,09:48:00,FERRAILLE,"1,00"
06560,PARTICULIER,GENSAC,18/02/2013,09:55:00,FERRAILLE,"1,00"
06560,PARTICULIER,GENSAC,18/02/2013,09:55:00,TOUT VENANT ENCOMBRANTS,"1,00"
06297,PARTICULIER,GENSAC,18/02/2013,09:59:00,DECHETS VERTS,"1,00"
07835,PARTICULIER,GENSAC,18/02/2013,10:33:00,TOUT VENANT ENCOMBRANTS,"1,00"
07835,PARTICULIER,GENSAC,18/02/2013,10:33:00,FERRAILLE,"1,00"
07835,PARTICULIER,GENSAC,18/02/2013,10:33:00,DECHETS VERTS,"1,00"
24660,PARTICULIER,GENSAC,18/02/2013,10:46:00,DECHETS VERTS,"1,00"
00126,PARTICULIER,GENSAC,18/02/2013,10:47:00,DECHETS VERTS,"1,00"
00126,PARTICULIER,GENSAC,18/02/2013,10:47:00,HUILE MOTEUR,"1,00"
06313,PARTICULIER,GENSAC,18/02/2013,10:48:00,CARTON,"1,00"
04861,PARTICULIER,GENSAC,18/02/2013,10:51:00,FERRAILLE,"1,00"
04861,PARTICULIER,GENSAC,18/02/2013,10:51:00,TOUT VENANT ENCOMBRANTS,"1,00"
07150,PARTICULIER,GENSAC,18/02/2013,10:57:00,DECHETS VERTS,"1,00"
01262,PARTICULIER,GENSAC,18/02/2013,11:04:00,TOUT VENANT ENCOMBRANTS,"1,00"
