Maison des Associations;Date ;Heure de d‚but;Heure de fin;Activit‚;Type de r‚servation;Association
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;26/06/2019;14H00;17H00;AFFAIRES MILITAIRES;COURS;AMTS - ASSOCIATION MEMOIRE DU TIRAILLEUR SENEGALAIS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;26/06/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;UNPRG NICE - UNION NATIONALE DU PERSONNEL EN RETRAITE DE LA GENDARMERIE - SECTEUR NICE 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;26/06/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;ASAF 06 - ASSOCIATION DE SOUTIEN A L'ARMEE FRANCAISE DES ALPES MARITIMES
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;26/06/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;ANORAA - ASSOCIATION NATIONALE DES OFFICIERS DE RESERVE DE L'ARMEE DE L'AIR
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;26/06/2019;15H00;17H00;AFFAIRES MILITAIRES;REUNION;AMICALE PATRIOTIQUE ET DES ANCIENS DES TROUPES DE MARINE ET ANCIENS D'OUTRE-MER
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;27/06/2019;10H00;12H00;ORGANISME PUBLIC;PERMANENCE;MAIRIE DE NICE ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;27/06/2019;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;LE SOUVENIR FRANCAIS - COMITE DE NICE - SF
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;27/06/2019;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;INSTITUT PERICLES - DELEGATION DPTALE DE LA COMMISSION DE LA RESERVE MILITAIRE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;27/06/2019;11H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;AMMAC - AMICALE DES MARINS ET MARINS ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;27/06/2019;14H00;15H00;AFFAIRES MILITAIRES;PERMANENCE;ARAC06 ASSOCIATION REPUBLICAINE DES ANCIENS COMBATTANTS ET VICTIMES DE GUERRE COMITE DEPARTEMENTAL06
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;27/06/2019;14H00;18H00;ORGANISME PUBLIC;PERMANENCE;MAIRIE DE NICE ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;27/06/2019;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;INSTITUT PERICLES - DELEGATION DPTALE DE LA COMMISSION DE LA RESERVE MILITAIRE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;27/06/2019;15H00;16H00;AFFAIRES MILITAIRES;PERMANENCE;ARAC NICE ASSOCIATION REPUBLICAINE ANCIENS COMBATTANTS ET VICTIMES DE GUERRE NICE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;27/06/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;AFFAA - ANCIENS DES FORCES FRANCAISES EN ALLEMAGNE ET EN AUTRICHE 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;27/06/2019;15H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;UNPRG UD06 - UNION NATIONALE DU PERSONNEL EN RETRAITE DE LA GENDARMERIE - UNION DEPARTEMENTALE 06 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;27/06/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;UMCA - UNION MEDITERRANEENNE DES COMBATTANTS DE L'AIR ET ANCIENS DE L'ARMEE DE L'AIR
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;27/06/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;UNOR CA - UNION DES OFFICIERS DE RESERVE DE LA COTE D'AZUR 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;28/06/2019;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;SMLH - SOCIETE DES MEMBRES DE LA LEGION D'HONNEUR - SECTION DES A.M.
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;28/06/2019;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;INSTITUT PERICLES - DELEGATION DPTALE DE LA COMMISSION DE LA RESERVE MILITAIRE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;28/06/2019;10H00;12H00;ORGANISME PUBLIC;PERMANENCE;MAIRIE DE NICE ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;28/06/2019;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;SNEMM06 - SOCIETE NATIONALE  D'ENTRAIDE DE LA MEDAILLE MILITAIRE - Union D‚p. des AM et Monaco
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;28/06/2019;14H00;18H00;ORGANISME PUBLIC;PERMANENCE;MAIRIE DE NICE ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;28/06/2019;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;INSTITUT PERICLES - DELEGATION DPTALE DE LA COMMISSION DE LA RESERVE MILITAIRE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;28/06/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;UNSOR - UNION NATIONALE DES SOUS-OFFICIERS EN RETRAITE - SECTION NICE ET BANLIEUE 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;28/06/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;CESEGUMO - CENTRE D'ETUDES SUR LA SECONDE GUERRE MONDIALE 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;28/06/2019;16H00;19H00;AFFAIRES MILITAIRES;PERMANENCE;UNP - UNION NATIONALE DES PARACHUTISTES DE NICE 
GARIBALDI;24/06/2019;09H00;17H00;SOCIAL;FORMATION;ASSOCIATION RESEAU DES TRAVAILLEURS SOCIAUX INDEPENDANTS - ARTSI
GARIBALDI;24/06/2019;09H00;11H00;ACTIVITE BIEN ETRE;COURS;QI GONG & SANTE
GARIBALDI;24/06/2019;09H00;14H00;ACTIVITE BIEN ETRE;COURS;L'ESPACE DES POSSIBLES
GARIBALDI;24/06/2019;12H00;14H00;SANTE;COURS;SOS CANCER DU SEIN REGION PACA ET CORSE
GARIBALDI;24/06/2019;12H00;14H00;ACTIVITE BIEN ETRE;COURS;MANGALAM
GARIBALDI;24/06/2019;14H00;16H00;SOCIAL;REUNION;ASSOCIATION ESPOIR DE VIVRE
GARIBALDI;24/06/2019;14H00;17H00;DANSE ;COURS;AZUR BALLET
GARIBALDI;24/06/2019;14H00;15H00;SANTE;REUNION;AMAPA
GARIBALDI;24/06/2019;16H00;18H00;COURS DE LANGUE;COURS;ASSOCIATION LINGUISTIQUE CULTURELLE ETRANGERE
GARIBALDI;24/06/2019;16H00;18H00;CULTURE;COURS;FRANCE ETATS UNIS NICE
GARIBALDI;24/06/2019;18H00;20H00;ACTIVITE BIEN ETRE;COURS;YOGADOR
GARIBALDI;24/06/2019;18H00;20H00;ACTIVITE BIEN ETRE;COURS;SOPHROLOGIE ET SOI
GARIBALDI;24/06/2019;18H00;19H00;SANTE;COURS;ASSOCIATION ANTHROPOSOPHIQUE DE NICE 
GARIBALDI;24/06/2019;19H00;21H00;COURS DE LANGUE;COURS;LET'S SPEAK IN ENGLISH
GARIBALDI;24/06/2019;19H00;21H00;SPORT;COURS;FIT'4 U
GARIBALDI;25/06/2019;10H00;12H00;ACTIVITE BIEN ETRE;COURS;L'ESPACE DES POSSIBLES
GARIBALDI;25/06/2019;10H00;12H00;SANTE;ATELIER;ANPAA06 - ASSOCIATION NATIONALE DE PREVENTION EN ALCOOLOGIE ET ADDICTOLOGIE -COMITE DES A M   
GARIBALDI;25/06/2019;14H00;17H00;SANTE;REUNION;GROUPEMENT DE PARKINSONIENS DES ALPES-MARITIMES ET PACA - GPAM PACA
GARIBALDI;25/06/2019;15H00;17H00;THEATRE;COURS;SCENE OUVERTE COMPAGNIE
GARIBALDI;25/06/2019;18H00;20H00;COURS DE LANGUE;COURS;MANABI
GARIBALDI;25/06/2019;18H00;21H00;CITOYENNETE;PERMANENCE;CNR - COMITE POUR UNE NOUVELLE RESISTANCE 
GARIBALDI;25/06/2019;18H00;19H00;SPORT;COURS;GYMNASTIQUE VOLONTAIRE CORVESY GV CORVESY
GARIBALDI;25/06/2019;19H00;21H00;CULTURE;COURS;ASSOCIATION FRANCE-JAPON - CHAIRE KAWABATA
GARIBALDI;25/06/2019;19H00;20H00;ACTIVITE BIEN ETRE;COURS;ASSOCIATION POUR L'ART DU MIEUX ETRE
GARIBALDI;26/06/2019;09H00;13H00;ACTIVITE BIEN ETRE;COURS;L'ESPACE DES POSSIBLES
GARIBALDI;26/06/2019;09H00;18H00;SOCIAL;ATELIER;CHRYSALIDES
GARIBALDI;26/06/2019;10H00;12H00;CULTURE;COURS;"ASSOCIATION NICOISE ""CHINE HORIZON"""
GARIBALDI;26/06/2019;10H00;12H00;SANTE;ATELIER;ASSOCIATION HOSPITALIERE SAINTE MARIE
GARIBALDI;26/06/2019;10H00;11H00;CULTURE;ATELIER;BUBULLE
GARIBALDI;26/06/2019;11H00;12H00;DANSE ;COURS;TIGRE TANGO
GARIBALDI;26/06/2019;13H00;18H00;SOCIAL;ATELIER;CHRYSALIDES
GARIBALDI;26/06/2019;13H00;18H00;SOCIAL;ATELIER;CHRYSALIDES
GARIBALDI;26/06/2019;14H00;16H00;COURS DE LANGUE;COURS;INSTITUT CONFUCIUS COTE D'AZUR
GARIBALDI;26/06/2019;18H00;20H00;CULTURE;COURS;COMMUNAUTE GRECQUE DES ALPES-MARITIMES CGDAM
GARIBALDI;26/06/2019;18H00;21H00;CITOYENNETE;REUNION;LDH - LIGUE DES DROITS DE L'HOMME
GARIBALDI;26/06/2019;18H00;20H00;ACTIVITE BIEN ETRE;COURS;L'ESPACE DES POSSIBLES
GARIBALDI;26/06/2019;19H00;21H00;CULTURE;COURS;ASSOCIATION FRANCE-JAPON - CHAIRE KAWABATA
GARIBALDI;26/06/2019;19H00;21H00;CITOYENNETE;REUNION;ESPRIT MOTARD 06
GARIBALDI;27/06/2019;09H00;11H00;ACTIVITE BIEN ETRE;COURS;QI GONG & SANTE
GARIBALDI;27/06/2019;10H00;12H00;ACTIVITE BIEN ETRE;COURS;SOPHROLOGIE ET SOI
GARIBALDI;27/06/2019;10H00;11H00;CULTURE;COURS;COLOMBIE COTE D'AZUR CCA
GARIBALDI;27/06/2019;11H00;12H00;CULTURE;COURS;COLOMBIE COTE D'AZUR CCA
GARIBALDI;27/06/2019;11H00;12H00;ORGANISME PUBLIC;REUNION;MAIRIE DE NICE
GARIBALDI;27/06/2019;12H00;13H00;SPORT;COURS;GYMNASTIQUE VOLONTAIRE CORVESY GV CORVESY
GARIBALDI;27/06/2019;13H00;15H00;SOCIAL;REUNION;ASSOCIATION ESPOIR DE VIVRE
GARIBALDI;27/06/2019;13H00;15H00;ACTIVITE BIEN ETRE;COURS;LA VOIE ZEN GESTION DU STRESS
GARIBALDI;27/06/2019;13H00;18H00;LOISIRS;ATELIER;NICE TAROT CLUB
GARIBALDI;27/06/2019;15H00;16H00;HUMANITAIRE;REUNION;ATDQM - AGIR TOUS POUR LA DIGNITE DU QUART MONDE
GARIBALDI;27/06/2019;16H00;19H00;CULTURE;REUNION;ARJNCA - ASSOCIATION DES RESSORTISSANTS JAPONAIS DE NICE COTE D'AZUR
GARIBALDI;27/06/2019;18H00;21H00;ECONOMIE;REUNION;LES AMIS DE NICE COOP
GARIBALDI;27/06/2019;18H00;21H00;THEATRE;COURS;LE QUADRANT MAGIQUE
GARIBALDI;27/06/2019;18H00;20H00;COURS DE LANGUE;COURS;MANABI
GARIBALDI;27/06/2019;19H00;21H00;CULTURE;COURS;ASSOCIATION FRANCE-JAPON - CHAIRE KAWABATA
GARIBALDI;27/06/2019;20H00;21H00;DANSE ;COURS;TIGRE TANGO
GARIBALDI;28/06/2019;09H00;12H00;ORGANISME PUBLIC;REUNION;DIRECTION DE LA SANTE PUBLIQUE
GARIBALDI;28/06/2019;10H00;14H00;HANDICAP;REUNION;ASSOCIATION ESPOIR DE VIVRE
GARIBALDI;28/06/2019;10H00;11H00;CULTURE;COURS;COLOMBIE COTE D'AZUR CCA
GARIBALDI;28/06/2019;12H00;13H00;ACTIVITE BIEN ETRE;COURS;ASSOCIATION POUR L'ART DU MIEUX ETRE
GARIBALDI;28/06/2019;12H00;14H00;SANTE;COURS;SOS CANCER DU SEIN REGION PACA ET CORSE
GARIBALDI;28/06/2019;16H00;18H00;CULTURE;COURS;FRANCE ETATS UNIS NICE
GARIBALDI;28/06/2019;16H00;20H00;THEATRE;AMPHITHEATRE MISE EN PLACE REGIE;LE QUADRANT MAGIQUE
GARIBALDI;28/06/2019;17H00;18H00;THEATRE;COURS;LE QUADRANT MAGIQUE
GARIBALDI;28/06/2019;18H00;21H00;THEATRE;COURS;COUR ET JARDIN
GARIBALDI;28/06/2019;18H00;21H00;CITOYENNETE;CONFERENCE;CNR - COMITE POUR UNE NOUVELLE RESISTANCE 
GARIBALDI;28/06/2019;18H00;21H00;THEATRE;COURS;COUR ET JARDIN
GARIBALDI;28/06/2019;18H00;21H00;THEATRE;COURS;COUR ET JARDIN
GARIBALDI;28/06/2019;20H00;23H00;THEATRE;SPECTACLE;LE QUADRANT MAGIQUE
GARIBALDI;29/06/2019;10H00;18H00;SOCIAL;ATELIER;LIONS CLUB NICE MASSENA
GARIBALDI;29/06/2019;11H00;13H00;ACTIVITE BIEN ETRE;COURS;SHANTI-YOGA
GARIBALDI;29/06/2019;14H00;18H00;COURS DE LANGUE;ASSEMBLEE GENERALE;SERBES DE LA COTE D'AZUR - SRBI SA AZURNE OBALE
LA LUNA;24/06/2019;09H00;12H00;EMPLOI;REUNION;EGEE 06 - ENTENTE DES GENERATIONS POUR L'EMPLOI ET L'ENTREPRISE
LA LUNA;24/06/2019;14H00;17H00;MUSIQUE;PERMANENCE;ORCHESTRE SYMPHONIQUE EUROPEEN MUSICA E PACE
LA LUNA;24/06/2019;14H00;17H00;INFORMATIQUE;ATELIER;DIRECTION DES SENIORS
LA LUNA;24/06/2019;14H00;16H00;INFORMATIQUE;COURS;DIRECTION DES SENIORS
LA LUNA;24/06/2019;14H00;17H00;LOISIRS;ANIMATION;DIRECTION DES SENIORS
LA LUNA;24/06/2019;14H00;17H00;LOISIRS;ANIMATION;DIRECTION DES SENIORS
LA LUNA;25/06/2019;09H00;12H00;ACTIVITE BIEN ETRE;ATELIER;DIRECTION DES SENIORS
LA LUNA;25/06/2019;14H00;17H00;COURS DE LANGUE;COURS;DIRECTION DES SENIORS
LA LUNA;25/06/2019;14H00;17H00;CHANT;COURS;SENSATIONS ART CULTURE LOISIRS SPECTACLES
LA LUNA;25/06/2019;17H00;18H00;SPORT;COURS;SENSATIONS ART CULTURE LOISIRS SPECTACLES
LA LUNA;25/06/2019;18H00;20H00;ACTIVITE BIEN ETRE;COURS;YOGA ESSENCE
LA LUNA;25/06/2019;18H00;20H00;DANSE ;COURS;1000 AURAS DANSENT
LA LUNA;25/06/2019;19H00;20H00;ACTIVITE BIEN ETRE;COURS;ASSOCIATION CONNAISSANCES ET TRANSCENDANCE
LA LUNA;26/06/2019;10H00;12H00;MUSIQUE;ATELIER;ARSIS
LA LUNA;26/06/2019;14H00;18H00;LOISIRS;ANIMATION;PROMO LOISIRS
LA LUNA;26/06/2019;14H00;18H00;LOISIRS;ANIMATION;PROMO LOISIRS
LA LUNA;26/06/2019;18H00;20H00;SPECTACLE VIVANT;ATELIER;CELLO MI MUSICA
LA LUNA;27/06/2019;09H00;10H00;DANSE ;COURS;1000 AURAS DANSENT
LA LUNA;27/06/2019;10H00;12H00;ACTIVITE BIEN ETRE;COURS;GYM ET BIEN ETRE
LA LUNA;27/06/2019;10H00;12H00;ACTIVITE BIEN ETRE;COURS;L'ESPACE DES POSSIBLES
LA LUNA;27/06/2019;18H00;20H00;DANSE ;COURS;1000 AURAS DANSENT
LA LUNA;28/06/2019;10H00;13H00;ACTIVITE BIEN ETRE;COURS;SESAME
LA LUNA;28/06/2019;14H00;16H00;CHANT;COURS;DIRECTION DES SENIORS
LA LUNA;28/06/2019;16H00;18H00;CHANT;COURS;DIRECTION DES SENIORS
LA LUNA;28/06/2019;19H00;20H00;CULTURE;COURS;SUN RIVIER'ART
LA LUNA;29/06/2019;10H00;12H00;CULTURE;COURS;SUN RIVIER'ART
LA LUNA;29/06/2019;10H00;12H00;COURS DE LANGUE;COURS;PLANETE ASIE 
LA LUNA;29/06/2019;10H00;12H00;COURS DE LANGUE;COURS;ASSOCIATION PASSERELLE FRANCO JAPONAIS
LA LUNA;29/06/2019;10H00;12H00;ACTIVITE BIEN ETRE;COURS;OLEA PADMA
LA LUNA;29/06/2019;10H00;13H00;SPECTACLE VIVANT;ATELIER;VAGUES DE SOLEILS
LA LUNA;29/06/2019;14H00;17H00;SPECTACLE VIVANT;ATELIER;VAGUES DE SOLEILS
LA LUNA;29/06/2019;15H00;17H00;CULTURE;ATELIER;ATELIER DU CINEMA FRANCO-RUSSE MARIA
LIBERATION;29/06/2019;10H00;12H00;ECONOMIE;REUNION;LES AMIS DE NICE COOP
NICE-CENTRE;25/06/2019;09H00;14H00;ORGANISME PUBLIC;REUNION;SVA SERVICE DE LA VIE ASSOCIATIVE
NICE-CENTRE;25/06/2019;10H00;11H00;CULTURE;COURS;COLOMBIE COTE D'AZUR CCA
NICE-CENTRE;26/06/2019;09H00;12H00;COURS DE LANGUE;COURS;INSTITUT CONFUCIUS COTE D'AZUR
NICE-CENTRE;26/06/2019;09H00;12H00;SOCIAL;PERMANENCE;ABI 06 - ASSOCIATION AU BENEFICE DE L'INSERTION
NICE-CENTRE;26/06/2019;18H00;19H00;CULTURE;COURS;ANECA - ASSOCIATION NICE ESPAGNE COTE D'AZUR
NICE-CENTRE;26/06/2019;18H00;20H00;SANTE;REUNION;OA - OUTRE-MANGEURS ANONYMES
NICE-CENTRE;27/06/2019;17H00;20H00;CULTURE;COURS;"ASSOCIATION NICOISE ""CHINE HORIZON"""
